* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: 31/10/2023 5:44:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64 Audio U6t M15 L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.853	21.1084
20.299999	101.883	20.2167
20.600000	101.910	19.3329
20.900000	101.934	18.4606
21.200001	101.956	17.6041
21.400000	101.970	17.0439
21.799999	101.996	15.9496
22.000000	102.008	15.4143
22.400000	102.034	14.3608
22.700001	102.054	13.5784
23.000000	102.074	12.7959
23.299999	102.092	12.0121
23.600000	102.108	11.2297
24.000000	102.125	10.1974
24.299999	102.136	9.4391
24.700001	102.146	8.4543
25.000000	102.153	7.7339
25.400000	102.162	6.7910
25.799999	102.168	5.8610
26.200001	102.173	4.9435
26.500000	102.174	4.2660
26.900000	102.175	3.3789
27.200001	102.174	2.7242
27.600000	102.172	1.8602
28.000000	102.169	1.0016
28.500000	102.160	-0.0617
29.000000	102.148	-1.0997
29.500000	102.133	-2.1052
30.000000	102.119	-3.0878
30.400000	102.107	-3.8657
30.700001	102.097	-4.4441
31.100000	102.082	-5.2036
31.500000	102.067	-5.9459
32.000000	102.049	-6.8544
32.500000	102.032	-7.7573
33.000000	102.012	-8.6599
33.500000	101.988	-9.5443
34.000000	101.963	-10.3911
34.500000	101.939	-11.2084
35.000000	101.917	-12.0245
35.500000	101.894	-12.8529
36.000000	101.865	-13.6737
36.500000	101.832	-14.4594
37.000000	101.800	-15.2100
37.500000	101.771	-15.9540
38.200001	101.728	-17.0137
38.700001	101.692	-17.7587
39.500000	101.632	-18.8714
40.000000	101.600	-19.5437
40.599998	101.564	-20.3740
41.200001	101.523	-21.2253
41.799999	101.476	-22.0487
42.500000	101.420	-22.9379
43.099998	101.378	-23.6680
43.700001	101.338	-24.4078
44.400002	101.289	-25.2818
45.000000	101.242	-26.0084
45.500000	101.202	-26.5875
46.200001	101.147	-27.3749
46.799999	101.099	-28.0370
47.500000	101.043	-28.7782
48.200001	100.991	-29.4990
48.700001	100.956	-30.0322
49.400002	100.904	-30.8154
50.000000	100.852	-31.4778
50.799999	100.780	-32.2961
51.500000	100.722	-32.9836
52.200001	100.667	-33.6808
53.000000	100.602	-34.4755
53.799999	100.535	-35.2460
54.500000	100.477	-35.8956
55.200001	100.419	-36.5206
56.000000	100.356	-37.2151
57.000000	100.277	-38.0706
58.000000	100.198	-38.9075
59.000000	100.119	-39.7327
60.000000	100.038	-40.5478
60.799999	99.971	-41.1819
61.500000	99.913	-41.7180
62.200001	99.856	-42.2383
63.000000	99.794	-42.8209
64.000000	99.717	-43.5405
65.000000	99.641	-44.2523
66.000000	99.564	-44.9512
67.000000	99.487	-45.6357
68.000000	99.410	-46.3060
69.000000	99.332	-46.9556
70.000000	99.256	-47.5907
71.000000	99.180	-48.2166
72.000000	99.104	-48.8268
73.000000	99.030	-49.4224
74.000000	98.956	-50.0054
75.000000	98.882	-50.5757
76.199997	98.794	-51.2449
77.500000	98.699	-51.9442
78.800003	98.606	-52.6160
80.000000	98.524	-53.2306
81.199997	98.442	-53.8362
82.500000	98.356	-54.4858
