* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: 31/10/2023 5:50:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64 Audio U6t M20 R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.288	4.1080
20.299999	103.288	3.3401
20.600000	103.289	2.5637
20.900000	103.289	1.7795
21.200001	103.286	0.9974
21.400000	103.283	0.4838
21.799999	103.275	-0.5204
22.000000	103.271	-1.0114
22.400000	103.264	-1.9794
22.700001	103.259	-2.7034
23.000000	103.254	-3.4304
23.299999	103.247	-4.1564
23.600000	103.237	-4.8729
24.000000	103.221	-5.8013
24.299999	103.207	-6.4733
24.700001	103.190	-7.3433
25.000000	103.178	-7.9861
25.400000	103.161	-8.8398
25.799999	103.141	-9.6875
26.200001	103.117	-10.5139
26.500000	103.097	-11.1099
26.900000	103.070	-11.8691
27.200001	103.051	-12.4181
27.600000	103.029	-13.1390
28.000000	103.008	-13.8663
28.500000	102.981	-14.7949
29.000000	102.947	-15.7257
29.500000	102.908	-16.6283
30.000000	102.868	-17.4967
30.400000	102.837	-18.1856
30.700001	102.814	-18.7100
31.100000	102.780	-19.4188
31.500000	102.739	-20.1194
32.000000	102.683	-20.9395
32.500000	102.629	-21.6832
33.000000	102.586	-22.4077
33.500000	102.549	-23.1848
34.000000	102.504	-24.0152
34.500000	102.448	-24.8158
35.000000	102.389	-25.5223
35.500000	102.340	-26.1661
36.000000	102.303	-26.8394
36.500000	102.266	-27.5812
37.000000	102.218	-28.3379
37.500000	102.162	-29.0348
38.200001	102.089	-29.9019
38.700001	102.044	-30.5094
39.500000	101.971	-31.5090
40.000000	101.921	-32.1160
40.599998	101.863	-32.8223
41.200001	101.804	-33.5331
41.799999	101.740	-34.2381
42.500000	101.663	-35.0131
43.099998	101.601	-35.6518
43.700001	101.542	-36.3029
44.400002	101.472	-37.0742
45.000000	101.411	-37.7286
45.500000	101.359	-38.2694
46.200001	101.282	-38.9965
46.799999	101.217	-39.5508
47.500000	101.154	-40.1521
48.200001	101.101	-40.8323
48.700001	101.056	-41.3755
49.400002	100.973	-42.0923
50.000000	100.898	-42.5919
50.799999	100.810	-43.1849
51.500000	100.740	-43.7380
52.200001	100.665	-44.3013
53.000000	100.579	-44.9235
53.799999	100.493	-45.5345
54.500000	100.418	-46.0374
55.200001	100.349	-46.5063
56.000000	100.279	-47.0488
57.000000	100.195	-47.7520
58.000000	100.116	-48.4543
59.000000	100.038	-49.1913
60.000000	99.954	-49.9536
60.799999	99.880	-50.5527
61.500000	99.812	-51.0595
62.200001	99.743	-51.5461
63.000000	99.663	-52.0800
64.000000	99.564	-52.7179
65.000000	99.466	-53.3214
66.000000	99.371	-53.9001
67.000000	99.276	-54.4547
68.000000	99.180	-54.9786
69.000000	99.086	-55.4612
70.000000	98.996	-55.8917
71.000000	98.916	-56.2977
72.000000	98.847	-56.7198
73.000000	98.785	-57.1791
74.000000	98.726	-57.6749
75.000000	98.667	-58.2233
76.199997	98.585	-58.9255
77.500000	98.484	-59.6219
78.800003	98.383	-60.2870
80.000000	98.288	-60.9011
81.199997	98.193	-61.5047
82.500000	98.089	-62.1476
83.800003	97.985	-62.7485
85.000000	97.892	-63.2582
