* Measurement data measured by REW V5.20.9
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 10/11/2022 4:35:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fourte L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.806	5.6104
20.299999	97.798	5.0221
20.600000	97.788	4.4388
20.900000	97.775	3.8672
21.200001	97.758	3.3164
21.400000	97.747	2.9653
21.799999	97.723	2.3018
22.000000	97.712	1.9869
22.400000	97.692	1.3795
22.700001	97.679	0.9310
23.000000	97.667	0.4796
23.299999	97.654	0.0253
23.600000	97.639	-0.4258
24.000000	97.616	-1.0087
24.299999	97.597	-1.4222
24.700001	97.573	-1.9399
25.000000	97.557	-2.3120
25.400000	97.540	-2.8069
25.799999	97.526	-3.3250
26.200001	97.510	-3.8761
26.500000	97.494	-4.3036
26.900000	97.467	-4.8727
27.200001	97.443	-5.2836
27.600000	97.409	-5.7994
28.000000	97.375	-6.2843
28.500000	97.335	-6.8767
29.000000	97.294	-7.4772
29.500000	97.247	-8.0649
30.000000	97.196	-8.5911
30.400000	97.157	-8.9549
30.700001	97.133	-9.2055
31.100000	97.107	-9.5400
31.500000	97.086	-9.9004
32.000000	97.060	-10.3961
32.500000	97.028	-10.9095
33.000000	96.990	-11.3984
33.500000	96.952	-11.8527
34.000000	96.914	-12.2864
34.500000	96.877	-12.7096
35.000000	96.838	-13.1191
35.500000	96.801	-13.5140
36.000000	96.764	-13.9044
36.500000	96.727	-14.3013
37.000000	96.689	-14.7045
37.500000	96.647	-15.1039
38.200001	96.585	-15.6375
38.700001	96.540	-15.9932
39.500000	96.471	-16.5243
40.000000	96.431	-16.8485
40.599998	96.385	-17.2476
41.200001	96.338	-17.6562
41.799999	96.288	-18.0531
42.500000	96.229	-18.4768
43.099998	96.182	-18.8099
43.700001	96.139	-19.1406
44.400002	96.091	-19.5488
45.000000	96.047	-19.9120
45.500000	96.007	-20.2036
46.200001	95.950	-20.5759
46.799999	95.903	-20.8700
47.500000	95.851	-21.2078
48.200001	95.800	-21.5471
48.700001	95.764	-21.7866
49.400002	95.712	-22.1121
50.000000	95.669	-22.3816
50.799999	95.611	-22.7321
51.500000	95.561	-23.0331
52.200001	95.510	-23.3235
53.000000	95.451	-23.6381
53.799999	95.393	-23.9405
54.500000	95.343	-24.1990
55.200001	95.294	-24.4532
56.000000	95.237	-24.7412
57.000000	95.166	-25.0874
58.000000	95.098	-25.4149
59.000000	95.030	-25.7435
60.000000	94.962	-26.0562
60.799999	94.907	-26.2870
61.500000	94.861	-26.4828
62.200001	94.814	-26.6697
63.000000	94.761	-26.8688
64.000000	94.697	-27.1121
65.000000	94.634	-27.3542
66.000000	94.572	-27.5892
67.000000	94.510	-27.8206
68.000000	94.451	-28.0447
69.000000	94.393	-28.2744
70.000000	94.334	-28.5032
71.000000	94.277	-28.7208
72.000000	94.220	-28.9368
73.000000	94.162	-29.1339
74.000000	94.106	-29.3077
75.000000	94.051	-29.4741
76.199997	93.984	-29.6594
77.500000	93.913	-29.8325
78.800003	93.845	-29.9911
80.000000	93.787	-30.1402
81.199997	93.730	-30.3138
82.500000	93.668	-30.5104
83.800003	93.604	-30.7074
85.000000	93.544	-30.8719
86.199997	93.485	-31.0139
87.500000	93.424	-31.1458
88.500000	93.380	-31.2460
90.000000	93.316	-31.4062
91.199997	93.264	-31.5332
92.500000	93.208	-31.6431
93.800003	93.155	-31.7417
95.000000	93.108	-31.8361
96.199997	93.060	-31.9322
97.500000	93.008	-32.0408
98.800003	92.956	-32.1522
100.000000	92.908	-32.2520
101.500000	92.851	-32.3625
103.000000	92.797	-32.4643
104.400002	92.748	-32.5562
106.000000	92.693	-32.6456
107.500000	92.642	-32.7265
109.000000	92.592	-32.8003
110.599998	92.543	-32.8805
112.000000	92.501	-32.9703
113.800003	92.444	-33.0879
115.000000	92.406	-33.1487
117.199997	92.337	-33.2311
118.000000	92.314	-33.2604
120.599998	92.239	-33.3714
122.000000	92.200	-33.4333
124.099998	92.145	-33.5262
125.000000	92.122	-33.5665
126.500000	92.084	-33.6273
128.000000	92.047	-33.6807
131.500000	91.960	-33.8019
132.000000	91.948	-33.8192
134.000000	91.902	-33.8890
136.000000	91.858	-33.9578
138.000000	91.816	-34.0177
140.000000	91.774	-34.0698
143.000000	91.711	-34.1569
145.000000	91.669	-34.2285
147.500000	91.622	-34.3096
150.000000	91.578	-34.3864
152.500000	91.534	-34.4518
155.000000	91.490	-34.5203
157.500000	91.447	-34.5968
160.000000	91.408	-34.6691
162.500000	91.371	-34.7404
165.000000	91.335	-34.8087
167.500000	91.299	-34.8801
