* Measurement data measured by REW V5.20.9
* Source: Microphone (Realtek(R) Audio), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 10/11/2022 4:35:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Fourte R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.011	5.2620
20.299999	97.012	4.7864
20.600000	97.013	4.3013
20.900000	97.012	3.8058
21.200001	97.006	3.3102
21.400000	96.999	2.9895
21.799999	96.982	2.3854
22.000000	96.973	2.1052
22.400000	96.958	1.5825
22.700001	96.949	1.2052
23.000000	96.944	0.8209
23.299999	96.939	0.4203
23.600000	96.933	0.0046
24.000000	96.921	-0.5601
24.299999	96.908	-0.9767
24.700001	96.888	-1.5086
25.000000	96.872	-1.8873
25.400000	96.851	-2.3687
25.799999	96.831	-2.8295
26.200001	96.813	-3.2745
26.500000	96.800	-3.6011
26.900000	96.785	-4.0322
27.200001	96.774	-4.3572
27.600000	96.761	-4.7955
28.000000	96.745	-5.2360
28.500000	96.724	-5.7784
29.000000	96.702	-6.3091
29.500000	96.679	-6.8381
30.000000	96.651	-7.3624
30.400000	96.625	-7.7579
30.700001	96.604	-8.0291
31.100000	96.579	-8.3563
31.500000	96.559	-8.6649
32.000000	96.543	-9.0767
32.500000	96.528	-9.5533
33.000000	96.505	-10.0714
33.500000	96.472	-10.5726
34.000000	96.436	-11.0223
34.500000	96.403	-11.4365
35.000000	96.373	-11.8476
35.500000	96.342	-12.2662
36.000000	96.309	-12.6752
36.500000	96.275	-13.0574
37.000000	96.242	-13.4155
37.500000	96.212	-13.7656
38.200001	96.173	-14.2635
38.700001	96.144	-14.6238
39.500000	96.095	-15.1937
40.000000	96.063	-15.5386
40.599998	96.024	-15.9335
41.200001	95.986	-16.3085
41.799999	95.950	-16.6747
42.500000	95.908	-17.0998
43.099998	95.872	-17.4578
43.700001	95.835	-17.8082
44.400002	95.792	-18.2079
45.000000	95.753	-18.5322
45.500000	95.722	-18.7844
46.200001	95.681	-19.1294
46.799999	95.648	-19.4410
47.500000	95.606	-19.8125
48.200001	95.562	-20.1638
48.700001	95.531	-20.4071
49.400002	95.489	-20.7582
50.000000	95.451	-21.0651
50.799999	95.398	-21.4542
51.500000	95.352	-21.7719
52.200001	95.307	-22.0783
53.000000	95.258	-22.4186
53.799999	95.209	-22.7515
54.500000	95.167	-23.0367
55.200001	95.126	-23.3128
56.000000	95.080	-23.6252
57.000000	95.022	-24.0248
58.000000	94.960	-24.4095
59.000000	94.898	-24.7579
60.000000	94.839	-25.0875
