* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: 31/10/2023 5:47:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64 Audio U6t M12 L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.297	43.7063
20.299999	96.369	42.8959
20.600000	96.439	42.0944
20.900000	96.508	41.3004
21.200001	96.575	40.5126
21.400000	96.619	39.9901
21.799999	96.703	38.9513
22.000000	96.744	38.4356
22.400000	96.822	37.4140
22.700001	96.879	36.6595
23.000000	96.933	35.9169
23.299999	96.986	35.1863
23.600000	97.037	34.4658
24.000000	97.104	33.5170
24.299999	97.153	32.8115
24.700001	97.215	31.8781
25.000000	97.259	31.1848
25.400000	97.315	30.2729
25.799999	97.368	29.3779
26.200001	97.418	28.4993
26.500000	97.455	27.8492
26.900000	97.502	26.9916
27.200001	97.535	26.3542
27.600000	97.578	25.5122
28.000000	97.619	24.6801
28.500000	97.668	23.6544
29.000000	97.714	22.6431
29.500000	97.758	21.6431
30.000000	97.799	20.6530
30.400000	97.829	19.8687
30.700001	97.851	19.2860
31.100000	97.879	18.5182
31.500000	97.904	17.7622
32.000000	97.934	16.8354
32.500000	97.962	15.9276
33.000000	97.990	15.0341
33.500000	98.015	14.1510
34.000000	98.038	13.2779
34.500000	98.060	12.4172
35.000000	98.079	11.5696
35.500000	98.097	10.7324
36.000000	98.113	9.9024
36.500000	98.127	9.0798
37.000000	98.139	8.2688
37.500000	98.149	7.4725
38.200001	98.161	6.3833
38.700001	98.168	5.6222
39.500000	98.179	4.4279
40.000000	98.186	3.6901
40.599998	98.192	2.8087
41.200001	98.196	1.9362
41.799999	98.196	1.0828
42.500000	98.194	0.1176
43.099998	98.192	-0.6896
43.700001	98.190	-1.4891
44.400002	98.185	-2.4197
45.000000	98.178	-3.2092
45.500000	98.171	-3.8529
46.200001	98.161	-4.7351
46.799999	98.152	-5.4896
47.500000	98.138	-6.3669
48.200001	98.121	-7.2068
48.700001	98.110	-7.7781
49.400002	98.100	-8.5704
50.000000	98.093	-9.2680
50.799999	98.078	-10.2043
51.500000	98.061	-10.9961
52.200001	98.044	-11.7651
53.000000	98.024	-12.6329
53.799999	98.002	-13.4840
54.500000	97.981	-14.2095
55.200001	97.960	-14.9213
56.000000	97.935	-15.7240
57.000000	97.904	-16.7138
58.000000	97.871	-17.6896
59.000000	97.836	-18.6496
60.000000	97.801	-19.5870
60.799999	97.772	-20.3217
61.500000	97.746	-20.9544
62.200001	97.721	-21.5781
63.000000	97.691	-22.2805
64.000000	97.653	-23.1420
65.000000	97.614	-23.9835
66.000000	97.575	-24.8100
67.000000	97.535	-25.6237
68.000000	97.495	-26.4237
69.000000	97.455	-27.2096
70.000000	97.414	-27.9839
71.000000	97.373	-28.7460
72.000000	97.331	-29.4899
73.000000	97.289	-30.2151
74.000000	97.246	-30.9238
75.000000	97.205	-31.6202
76.199997	97.156	-32.4492
77.500000	97.101	-33.3359
78.800003	97.046	-34.2036
80.000000	96.995	-34.9882
81.199997	96.944	-35.7579
82.500000	96.889	-36.5747
83.800003	96.834	-37.3684
85.000000	96.784	-38.0837
86.199997	96.734	-38.7889
87.500000	96.679	-39.5407
88.500000	96.637	-40.1088
90.000000	96.575	-40.9454
91.199997	96.525	-41.6029
92.500000	96.472	-42.3043
93.800003	96.418	-42.9922
95.000000	96.368	-43.6148
96.199997	96.318	-44.2246
97.500000	96.265	-44.8662
98.800003	96.215	-45.5023
100.000000	96.168	-46.0897
101.500000	96.109	-46.8107
103.000000	96.051	-47.5154
104.400002	95.997	-48.1655
106.000000	95.934	-48.8935
107.500000	95.877	-49.5585
109.000000	95.821	-50.2094
110.599998	95.762	-50.8881
112.000000	95.711	-51.4701
113.800003	95.646	-52.2084
115.000000	95.603	-52.6937
117.199997	95.525	-53.5672
118.000000	95.497	-53.8806
120.599998	95.408	-54.8848
122.000000	95.361	-55.4117
124.099998	95.290	-56.1833
125.000000	95.260	-56.5092
126.500000	95.211	-57.0482
128.000000	95.163	-57.5818
131.500000	95.052	-58.7959
132.000000	95.037	-58.9651
134.000000	94.976	-59.6335
136.000000	94.916	-60.2909
138.000000	94.857	-60.9382
140.000000	94.798	-61.5742
143.000000	94.714	-62.5037
145.000000	94.661	-63.1035
147.500000	94.595	-63.8423
150.000000	94.528	-64.5799
152.500000	94.463	-65.3013
155.000000	94.400	-66.0045
157.500000	94.339	-66.6923
160.000000	94.279	-67.3672
162.500000	94.221	-68.0334
165.000000	94.165	-68.6916
167.500000	94.110	-69.3401
170.000000	94.057	-69.9758
172.500000	94.005	-70.5981
175.000000	93.954	-71.2072
177.500000	93.905	-71.8062
180.000000	93.857	-72.4005
182.500000	93.811	-72.9875
185.000000	93.765	-73.5652
187.500000	93.721	-74.1365
190.000000	93.679	-74.7005
192.500000	93.637	-75.2560
195.000000	93.597	-75.8017
197.500000	93.558	-76.3389
200.000000	93.520	-76.8700
203.000000	93.475	-77.5007
206.000000	93.433	-78.1248
209.000000	93.393	-78.7421
212.000000	93.353	-79.3477
214.000000	93.328	-79.7451
218.000000	93.278	-80.5305
220.000000	93.254	-80.9191
224.000000	93.208	-81.6847
227.000000	93.175	-82.2513
230.000000	93.143	-82.8145
233.000000	93.113	-83.3741
236.000000	93.083	-83.9263
240.000000	93.046	-84.6474
243.000000	93.019	-85.1796
247.000000	92.984	-85.8805
250.000000	92.960	-86.4003
254.000000	92.928	-87.0882
258.000000	92.897	-87.7691
262.000000	92.868	-88.4392
265.000000	92.847	-88.9351
269.000000	92.820	-89.5864
272.000000	92.800	-90.0675
276.000000	92.775	-90.6992
280.000000	92.750	-91.3188
285.000000	92.720	-92.0763
290.000000	92.690	-92.8104
295.000000	92.662	-93.5178
300.000000	92.635	-94.1880
304.000000	92.616	-94.6862
307.000000	92.603	-95.0345
311.000000	92.591	-95.4656
315.000000	92.587	-95.8647
320.000000	92.600	-96.3564
325.000000	92.630	-96.9135
330.000000	92.669	-97.5890
335.000000	92.703	-98.3810
340.000000	92.726	-99.2468
345.000000	92.736	-100.1292
350.000000	92.738	-100.9889
355.000000	92.734	-101.8132
360.000000	92.728	-102.6030
365.000000	92.722	-103.3658
370.000000	92.715	-104.1035
375.000000	92.708	-104.8226
382.000000	92.699	-105.8099
387.000000	92.693	-106.5017
395.000000	92.684	-107.5859
400.000000	92.679	-108.2501
406.000000	92.673	-109.0367
412.000000	92.666	-109.8107
418.000000	92.659	-110.5717
425.000000	92.651	-111.4425
431.000000	92.645	-112.1824
437.000000	92.638	-112.9166
444.000000	92.629	-113.7615
450.000000	92.621	-114.4765
455.000000	92.614	-115.0647
462.000000	92.602	-115.8719
468.000000	92.592	-116.5468
475.000000	92.578	-117.3179
482.000000	92.564	-118.0742
487.000000	92.554	-118.6054
494.000000	92.538	-119.3410
500.000000	92.524	-119.9625
508.000000	92.505	-120.7692
515.000000	92.487	-121.4553
522.000000	92.469	-122.1288
530.000000	92.447	-122.8818
538.000000	92.423	-123.6110
545.000000	92.401	-124.2305
552.000000	92.377	-124.8336
560.000000	92.349	-125.5007
570.000000	92.314	-126.3057
