* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: 31/10/2023 5:51:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64 Audio U6t M12 R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.262	42.0638
20.299999	96.337	41.2529
20.600000	96.410	40.4377
20.900000	96.482	39.6163
21.200001	96.550	38.7934
21.400000	96.593	38.2488
21.799999	96.675	37.1769
22.000000	96.714	36.6524
22.400000	96.789	35.6286
22.700001	96.845	34.8790
23.000000	96.900	34.1388
23.299999	96.955	33.4018
23.600000	97.008	32.6643
24.000000	97.074	31.6794
24.299999	97.120	30.9446
24.700001	97.176	29.9814
25.000000	97.215	29.2790
25.400000	97.263	28.3723
25.799999	97.311	27.4918
26.200001	97.360	26.6218
26.500000	97.395	25.9677
26.900000	97.442	25.0885
27.200001	97.474	24.4249
27.600000	97.514	23.5404
28.000000	97.551	22.6653
28.500000	97.592	21.5964
29.000000	97.632	20.5596
29.500000	97.674	19.5449
30.000000	97.716	18.5326
30.400000	97.749	17.7167
30.700001	97.771	17.1035
31.100000	97.798	16.2946
31.500000	97.820	15.5081
32.000000	97.845	14.5687
32.500000	97.868	13.6721
33.000000	97.893	12.7955
33.500000	97.916	11.9196
34.000000	97.935	11.0409
34.500000	97.948	10.1697
35.000000	97.958	9.3125
35.500000	97.966	8.4644
36.000000	97.972	7.6179
36.500000	97.977	6.7736
37.000000	97.981	5.9351
37.500000	97.987	5.0979
38.200001	97.996	3.9190
38.700001	98.001	3.0869
39.500000	98.009	1.8138
40.000000	98.015	1.0513
40.599998	98.021	0.1707
41.200001	98.026	-0.6601
41.799999	98.029	-1.4689
42.500000	98.020	-2.4150
43.099998	97.997	-3.1614
43.700001	97.974	-3.8486
44.400002	97.949	-4.7595
45.000000	97.901	-5.6309
45.500000	97.849	-6.2619
46.200001	97.811	-7.1228
46.799999	97.793	-8.3135
47.500000	97.653	-10.0305
48.200001	97.392	-10.6301
48.700001	97.288	-10.0920
49.400002	97.410	-9.3701
50.000000	97.618	-9.9604
50.799999	97.753	-11.8434
51.500000	97.756	-13.1387
52.200001	97.766	-14.0096
53.000000	97.786	-14.9605
53.799999	97.784	-15.8157
54.500000	97.778	-16.5040
55.200001	97.759	-17.2399
56.000000	97.715	-18.0571
57.000000	97.655	-19.0100
58.000000	97.601	-20.0193
59.000000	97.550	-21.0464
60.000000	97.508	-22.0592
60.799999	97.480	-22.8419
61.500000	97.457	-23.4905
62.200001	97.435	-24.1108
63.000000	97.405	-24.7977
64.000000	97.356	-25.5960
65.000000	97.303	-26.3151
66.000000	97.254	-27.0241
67.000000	97.213	-27.7746
68.000000	97.178	-28.5995
69.000000	97.143	-29.4844
70.000000	97.105	-30.3529
71.000000	97.067	-31.1791
72.000000	97.027	-31.9626
73.000000	96.985	-32.7042
74.000000	96.939	-33.4347
75.000000	96.888	-34.1505
76.199997	96.824	-34.9836
77.500000	96.758	-35.8872
78.800003	96.695	-36.7893
80.000000	96.638	-37.5919
81.199997	96.584	-38.3741
82.500000	96.523	-39.1946
83.800003	96.460	-39.9766
85.000000	96.403	-40.6829
86.199997	96.345	-41.3889
87.500000	96.282	-42.1438
88.500000	96.233	-42.7123
90.000000	96.164	-43.5599
91.199997	96.107	-44.2325
92.500000	96.046	-44.9371
93.800003	95.986	-45.6178
95.000000	95.932	-46.2352
96.199997	95.876	-46.8363
97.500000	95.818	-47.4680
98.800003	95.761	-48.1061
100.000000	95.708	-48.7014
101.500000	95.641	-49.4336
103.000000	95.575	-50.1416
104.400002	95.515	-50.7888
106.000000	95.445	-51.5163
107.500000	95.378	-52.1731
109.000000	95.314	-52.8130
110.599998	95.247	-53.4939
112.000000	95.187	-54.0739
113.800003	95.113	-54.7872
115.000000	95.066	-55.2576
117.199997	94.977	-56.1217
118.000000	94.945	-56.4304
120.599998	94.841	-57.4180
122.000000	94.786	-57.9501
124.099998	94.701	-58.7310
125.000000	94.665	-59.0547
126.500000	94.606	-59.5869
128.000000	94.548	-60.1179
131.500000	94.410	-61.3021
132.000000	94.391	-61.4634
134.000000	94.314	-62.1060
136.000000	94.233	-62.7318
138.000000	94.153	-63.3248
140.000000	94.074	-63.9039
143.000000	93.952	-64.7349
145.000000	93.869	-65.2289
147.500000	93.768	-65.8074
150.000000	93.665	-66.3245
152.500000	93.564	-66.7359
155.000000	93.467	-67.0433
157.500000	93.376	-67.1801
160.000000	93.309	-67.1223
162.500000	93.290	-66.9885
165.000000	93.324	-66.9594
167.500000	93.402	-67.2314
170.000000	93.485	-67.9154
172.500000	93.537	-68.9008
175.000000	93.551	-69.9724
177.500000	93.537	-71.0303
180.000000	93.501	-72.0327
182.500000	93.448	-72.9279
185.000000	93.391	-73.7278
187.500000	93.333	-74.4810
190.000000	93.273	-75.1916
192.500000	93.215	-75.8550
195.000000	93.158	-76.4808
197.500000	93.100	-77.0651
200.000000	93.041	-77.5956
203.000000	92.975	-78.1804
206.000000	92.913	-78.7236
209.000000	92.855	-79.1909
212.000000	92.805	-79.5800
214.000000	92.779	-79.8141
218.000000	92.750	-80.2634
220.000000	92.749	-80.5093
224.000000	92.770	-81.1508
227.000000	92.787	-81.7917
230.000000	92.794	-82.5303
233.000000	92.790	-83.3146
236.000000	92.773	-84.0928
240.000000	92.736	-85.0610
243.000000	92.704	-85.7343
247.000000	92.658	-86.5858
250.000000	92.624	-87.1917
254.000000	92.581	-87.9550
258.000000	92.540	-88.7034
262.000000	92.502	-89.4310
265.000000	92.476	-89.9528
269.000000	92.442	-90.6500
272.000000	92.418	-91.1620
276.000000	92.385	-91.8074
280.000000	92.354	-92.4473
285.000000	92.317	-93.2047
290.000000	92.281	-93.9093
