* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: 31/10/2023 5:51:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64 Audio U6t MX R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.073	53.5634
20.299999	91.177	52.8381
20.600000	91.274	52.0600
20.900000	91.359	51.2513
21.200001	91.433	50.4487
21.400000	91.476	49.9375
21.799999	91.555	48.9896
22.000000	91.594	48.5545
22.400000	91.676	47.7422
22.700001	91.744	47.1519
23.000000	91.814	46.5498
23.299999	91.886	45.9270
23.600000	91.954	45.2886
24.000000	92.041	44.4331
24.299999	92.103	43.8049
24.700001	92.184	42.9917
25.000000	92.245	42.3923
25.400000	92.326	41.5902
25.799999	92.404	40.7759
26.200001	92.476	39.9614
26.500000	92.526	39.3647
26.900000	92.589	38.5994
27.200001	92.636	38.0467
27.600000	92.699	37.3244
28.000000	92.761	36.6008
28.500000	92.836	35.6844
29.000000	92.903	34.7705
29.500000	92.964	33.8783
30.000000	93.021	33.0121
30.400000	93.065	32.3354
30.700001	93.098	31.8361
31.100000	93.142	31.1778
31.500000	93.186	30.5201
32.000000	93.240	29.6837
32.500000	93.289	28.8334
33.000000	93.330	28.0036
33.500000	93.368	27.2321
34.000000	93.410	26.5173
34.500000	93.460	25.8129
35.000000	93.513	25.0748
35.500000	93.564	24.2966
36.000000	93.606	23.5064
36.500000	93.642	22.7343
37.000000	93.672	21.9980
37.500000	93.701	21.3014
38.200001	93.743	20.3702
38.700001	93.776	19.7025
39.500000	93.824	18.5873
40.000000	93.848	17.8867
40.599998	93.871	17.0795
41.200001	93.895	16.3031
41.799999	93.922	15.5294
42.500000	93.952	14.6184
43.099998	93.976	13.8394
43.700001	93.998	13.0717
44.400002	94.021	12.2095
45.000000	94.040	11.5043
45.500000	94.057	10.9279
46.200001	94.077	10.1442
46.799999	94.091	9.5352
47.500000	94.120	8.8838
48.200001	94.162	8.1505
48.700001	94.187	7.5289
49.400002	94.196	6.6211
50.000000	94.186	5.9332
50.799999	94.175	5.1668
51.500000	94.175	4.5421
52.200001	94.183	3.9120
53.000000	94.198	3.1661
53.799999	94.215	2.3684
54.500000	94.226	1.6494
55.200001	94.234	0.9460
56.000000	94.242	0.1678
57.000000	94.253	-0.7904
58.000000	94.260	-1.7351
59.000000	94.264	-2.6509
60.000000	94.266	-3.5612
60.799999	94.264	-4.2833
61.500000	94.260	-4.8982
62.200001	94.256	-5.5043
63.000000	94.250	-6.1908
64.000000	94.240	-7.0228
