* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: 31/10/2023 5:48:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64 Audio U6t No Apex L1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	86.266	59.4744
20.299999	86.364	58.7303
20.600000	86.456	57.9841
20.900000	86.541	57.2425
21.200001	86.620	56.5112
21.400000	86.668	56.0356
21.799999	86.755	55.1320
22.000000	86.794	54.7151
22.400000	86.868	53.9703
22.700001	86.925	53.4902
23.000000	86.988	53.0603
23.299999	87.059	52.6501
23.600000	87.136	52.2297
24.000000	87.246	51.6143
24.299999	87.327	51.0984
24.700001	87.429	50.3467
25.000000	87.497	49.7564
25.400000	87.576	48.9698
25.799999	87.643	48.2220
26.200001	87.705	47.5348
26.500000	87.752	47.0556
26.900000	87.819	46.4424
27.200001	87.872	45.9792
27.600000	87.945	45.3328
28.000000	88.015	44.6501
28.500000	88.092	43.7857
29.000000	88.161	42.9728
29.500000	88.231	42.2290
30.000000	88.309	41.5068
30.400000	88.374	40.9050
30.700001	88.421	40.4324
31.100000	88.479	39.7861
31.500000	88.530	39.1446
32.000000	88.584	38.3840
32.500000	88.634	37.6877
33.000000	88.685	37.0500
33.500000	88.740	36.4470
34.000000	88.800	35.8414
34.500000	88.862	35.1988
35.000000	88.919	34.5138
35.500000	88.967	33.8212
36.000000	89.007	33.1683
36.500000	89.047	32.5711
37.000000	89.092	31.9987
37.500000	89.142	31.4048
38.200001	89.210	30.5047
38.700001	89.249	29.8433
39.500000	89.297	28.8491
40.000000	89.326	28.2873
40.599998	89.363	27.6552
41.200001	89.405	27.0328
41.799999	89.449	26.3986
42.500000	89.499	25.6425
43.099998	89.540	24.9849
43.700001	89.576	24.3304
44.400002	89.615	23.6035
45.000000	89.650	23.0137
45.500000	89.680	22.5170
46.200001	89.715	21.8195
46.799999	89.737	21.3030
47.500000	89.777	20.8218
48.200001	89.843	20.2629
48.700001	89.886	19.7239
49.400002	89.915	18.8954
50.000000	89.918	18.3005
50.799999	89.928	17.6825
51.500000	89.950	17.1342
52.200001	89.970	16.5439
53.000000	89.990	15.8905
53.799999	90.015	15.2441
54.500000	90.038	14.6559
55.200001	90.059	14.0663
56.000000	90.082	13.4215
57.000000	90.113	12.6610
58.000000	90.147	11.9117
59.000000	90.178	11.1771
60.000000	90.208	10.4437
60.799999	90.227	9.8518
61.500000	90.239	9.3596
62.200001	90.253	8.8907
63.000000	90.271	8.3541
64.000000	90.295	7.6759
65.000000	90.319	6.9917
66.000000	90.341	6.2938
67.000000	90.359	5.6108
68.000000	90.375	4.9592
69.000000	90.391	4.3398
70.000000	90.410	3.7345
71.000000	90.429	3.1228
72.000000	90.447	2.5097
73.000000	90.463	1.9136
74.000000	90.480	1.3278
75.000000	90.497	0.7301
76.199997	90.512	0.0283
77.500000	90.528	-0.6827
78.800003	90.545	-1.3997
80.000000	90.559	-2.0518
81.199997	90.574	-2.6887
82.500000	90.593	-3.3887
83.800003	90.612	-4.0884
85.000000	90.628	-4.7286
86.199997	90.642	-5.3441
87.500000	90.657	-5.9785
88.500000	90.668	-6.4725
90.000000	90.681	-7.2151
91.199997	90.691	-7.8171
92.500000	90.701	-8.4810
93.800003	90.714	-9.1206
95.000000	90.734	-9.6760
96.199997	90.765	-10.2465
97.500000	90.792	-10.9559
98.800003	90.792	-11.6014
100.000000	90.789	-12.0693
101.500000	90.795	-12.6254
103.000000	90.808	-13.2495
104.400002	90.816	-13.8935
106.000000	90.822	-14.5757
107.500000	90.837	-15.1807
109.000000	90.853	-15.8110
110.599998	90.864	-16.4927
112.000000	90.872	-17.0864
113.800003	90.885	-17.8627
115.000000	90.894	-18.3800
117.199997	90.911	-19.2983
118.000000	90.916	-19.6182
120.599998	90.936	-20.6045
