* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -25.0 dBFS with no timing reference
* Dated: 31/10/2023 5:52:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64 Audio U6t No Apex R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	86.090	58.6738
20.299999	86.179	58.1112
20.600000	86.278	57.5191
20.900000	86.380	56.8519
21.200001	86.473	56.1130
21.400000	86.527	55.6149
21.799999	86.617	54.6794
22.000000	86.658	54.2697
22.400000	86.744	53.5768
22.700001	86.821	53.1124
23.000000	86.908	52.6212
23.299999	86.997	52.0641
23.600000	87.078	51.4507
24.000000	87.167	50.6139
24.299999	87.221	50.0447
24.700001	87.288	49.4144
25.000000	87.344	49.0147
25.400000	87.434	48.4908
25.799999	87.533	47.8749
26.200001	87.623	47.1428
26.500000	87.678	46.5583
26.900000	87.734	45.8057
27.200001	87.769	45.2981
27.600000	87.815	44.7004
28.000000	87.870	44.1459
28.500000	87.948	43.4279
29.000000	88.027	42.6453
29.500000	88.103	41.8297
30.000000	88.176	41.0180
30.400000	88.235	40.3728
30.700001	88.279	39.8862
31.100000	88.338	39.2329
31.500000	88.394	38.5824
32.000000	88.462	37.7932
32.500000	88.528	37.0420
33.000000	88.596	36.3147
33.500000	88.664	35.5877
34.000000	88.727	34.8538
34.500000	88.780	34.1345
35.000000	88.825	33.4574
35.500000	88.866	32.8325
36.000000	88.907	32.2441
36.500000	88.948	31.6702
37.000000	88.988	31.0977
37.500000	89.029	30.5221
38.200001	89.088	29.6935
38.700001	89.130	29.0674
39.500000	89.189	28.0147
40.000000	89.218	27.3712
40.599998	89.251	26.6606
41.200001	89.291	26.0018
41.799999	89.334	25.3420
42.500000	89.378	24.5819
43.099998	89.411	24.0184
43.700001	89.453	23.5204
44.400002	89.512	22.8733
45.000000	89.550	22.2244
45.500000	89.567	21.6877
46.200001	89.581	20.9813
46.799999	89.583	20.3707
47.500000	89.561	19.7571
48.200001	89.548	19.4529
48.700001	89.580	19.3144
49.400002	89.673	18.8206
50.000000	89.744	18.0271
50.799999	89.781	16.8910
51.500000	89.799	16.1097
52.200001	89.831	15.4019
53.000000	89.866	14.5876
53.799999	89.894	13.8674
54.500000	89.922	13.2989
55.200001	89.947	12.7405
56.000000	89.971	12.1271
57.000000	89.996	11.3829
58.000000	90.013	10.6346
59.000000	90.029	9.9027
60.000000	90.051	9.1564
60.799999	90.069	8.5450
61.500000	90.087	8.0149
62.200001	90.108	7.4891
63.000000	90.132	6.8875
64.000000	90.157	6.1600
65.000000	90.182	5.4914
66.000000	90.208	4.8391
67.000000	90.230	4.1717
68.000000	90.247	3.5125
69.000000	90.262	2.8600
70.000000	90.276	2.2058
71.000000	90.289	1.5578
72.000000	90.304	0.9316
73.000000	90.322	0.3288
74.000000	90.344	-0.2875
75.000000	90.360	-0.9255
76.199997	90.371	-1.6504
77.500000	90.383	-2.3799
78.800003	90.398	-3.1373
80.000000	90.408	-3.8572
81.199997	90.418	-4.5444
82.500000	90.433	-5.2678
83.800003	90.451	-5.9754
85.000000	90.465	-6.6364
86.199997	90.473	-7.2875
87.500000	90.479	-7.9694
88.500000	90.483	-8.4934
90.000000	90.493	-9.2786
91.199997	90.504	-9.8864
92.500000	90.521	-10.5157
93.800003	90.535	-11.1068
95.000000	90.542	-11.5776
96.199997	90.552	-11.9913
97.500000	90.572	-12.5342
98.800003	90.574	-13.2464
100.000000	90.565	-13.8740
101.500000	90.568	-14.6556
103.000000	90.576	-15.4656
