* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 01/11/2023 12:25:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64Audio Volur M15 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.551	-1.7919
20.299999	103.546	-2.5889
20.600000	103.540	-3.3715
20.900000	103.533	-4.1376
21.200001	103.525	-4.8867
21.400000	103.519	-5.3770
21.799999	103.506	-6.3363
22.000000	103.500	-6.8063
22.400000	103.488	-7.7294
22.700001	103.478	-8.4093
23.000000	103.469	-9.0805
23.299999	103.460	-9.7441
23.600000	103.451	-10.4008
24.000000	103.438	-11.2662
24.299999	103.428	-11.9089
24.700001	103.415	-12.7596
25.000000	103.403	-13.3936
25.400000	103.387	-14.2318
25.799999	103.368	-15.0575
26.200001	103.348	-15.8663
26.500000	103.333	-16.4619
26.900000	103.313	-17.2457
27.200001	103.298	-17.8303
27.600000	103.278	-18.6105
28.000000	103.257	-19.3914
28.500000	103.227	-20.3596
29.000000	103.194	-21.3043
29.500000	103.160	-22.2191
30.000000	103.128	-23.1096
30.400000	103.103	-23.8125
30.700001	103.085	-24.3374
31.100000	103.061	-25.0358
31.500000	103.036	-25.7310
32.000000	103.003	-26.5873
32.500000	102.969	-27.4217
33.000000	102.935	-28.2339
33.500000	102.902	-29.0314
34.000000	102.869	-29.8212
34.500000	102.835	-30.6019
35.000000	102.800	-31.3711
35.500000	102.766	-32.1331
36.000000	102.732	-32.8971
36.500000	102.697	-33.6663
37.000000	102.658	-34.4319
37.500000	102.617	-35.1808
38.200001	102.559	-36.1940
38.700001	102.520	-36.8994
39.500000	102.459	-38.0100
40.000000	102.423	-38.6940
40.599998	102.383	-39.5109
41.200001	102.344	-40.3344
41.799999	102.302	-41.1593
42.500000	102.249	-42.0935
43.099998	102.204	-42.8618
43.700001	102.158	-43.6195
44.400002	102.100	-44.4904
45.000000	102.047	-45.2008
45.500000	102.004	-45.7733
46.200001	101.943	-46.5835
46.799999	101.884	-47.2637
47.500000	101.813	-47.9409
48.200001	101.768	-48.5461
48.700001	101.753	-49.0645
49.400002	101.728	-49.9955
50.000000	101.684	-50.8607
50.799999	101.607	-51.8889
51.500000	101.544	-52.6873
52.200001	101.485	-53.4661
53.000000	101.417	-54.3047
53.799999	101.357	-55.0914
54.500000	101.309	-55.7895
55.200001	101.258	-56.4860
56.000000	101.200	-57.2514
57.000000	101.133	-58.2269
58.000000	101.062	-59.2543
59.000000	100.985	-60.2714
60.000000	100.908	-61.2631
60.799999	100.847	-62.0334
61.500000	100.796	-62.6923
62.200001	100.746	-63.3392
63.000000	100.690	-64.0574
64.000000	100.623	-64.9297
65.000000	100.557	-65.7906
66.000000	100.492	-66.6545
67.000000	100.425	-67.5472
68.000000	100.349	-68.4307
69.000000	100.272	-69.2670
70.000000	100.199	-70.0825
71.000000	100.126	-70.8862
72.000000	100.056	-71.6614
73.000000	99.988	-72.4153
74.000000	99.921	-73.1559
75.000000	99.855	-73.8741
76.199997	99.780	-74.7054
77.500000	99.707	-75.6024
78.800003	99.637	-76.5353
80.000000	99.571	-77.4010
81.199997	99.506	-78.2682
82.500000	99.433	-79.2247
83.800003	99.354	-80.1750
85.000000	99.279	-81.0220
86.199997	99.205	-81.8425
87.500000	99.128	-82.7118
88.500000	99.071	-83.3727
90.000000	98.985	-84.3505
91.199997	98.917	-85.1100
92.500000	98.846	-85.9196
93.800003	98.776	-86.7325
95.000000	98.711	-87.4811
96.199997	98.645	-88.2202
97.500000	98.575	-89.0031
98.800003	98.506	-89.7804
100.000000	98.441	-90.4973
101.500000	98.356	-91.3595
103.000000	98.274	-92.1918
104.400002	98.197	-92.9576
106.000000	98.111	-93.8087
107.500000	98.033	-94.5830
109.000000	97.958	-95.3438
110.599998	97.881	-96.1411
112.000000	97.816	-96.8301
113.800003	97.734	-97.7170
115.000000	97.681	-98.3140
117.199997	97.581	-99.4233
118.000000	97.543	-99.8306
120.599998	97.413	-101.1331
122.000000	97.341	-101.8080
124.099998	97.230	-102.7849
125.000000	97.181	-103.1893
126.500000	97.098	-103.8395
128.000000	97.012	-104.4590
131.500000	96.803	-105.7769
132.000000	96.771	-105.9471
134.000000	96.643	-106.5668
136.000000	96.510	-107.0615
138.000000	96.375	-107.3865
140.000000	96.244	-107.4678
143.000000	96.098	-107.0236
145.000000	96.076	-106.4164
147.500000	96.178	-105.7115
150.000000	96.399	-105.7036
152.500000	96.635	-106.7260
155.000000	96.796	-108.5074
157.500000	96.858	-110.5491
160.000000	96.845	-112.5004
162.500000	96.786	-114.2316
165.000000	96.707	-115.7413
167.500000	96.621	-117.0784
170.000000	96.533	-118.2845
172.500000	96.447	-119.3920
175.000000	96.366	-120.4242
177.500000	96.288	-121.3978
180.000000	96.212	-122.3214
182.500000	96.139	-123.2051
185.000000	96.067	-124.0481
187.500000	95.997	-124.8515
190.000000	95.931	-125.6251
192.500000	95.868	-126.3768
195.000000	95.806	-127.1100
197.500000	95.746	-127.8282
200.000000	95.687	-128.5325
203.000000	95.619	-129.3583
206.000000	95.553	-130.1617
209.000000	95.489	-130.9484
212.000000	95.427	-131.7212
214.000000	95.388	-132.2273
