* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 01/11/2023 12:39:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64Audio Volur M20 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.916	-3.5034
20.299999	102.912	-4.1700
20.600000	102.910	-4.8260
20.900000	102.909	-5.4821
21.200001	102.910	-6.1499
21.400000	102.910	-6.6057
21.799999	102.907	-7.5403
22.000000	102.903	-8.0145
22.400000	102.889	-8.9589
22.700001	102.873	-9.6478
23.000000	102.855	-10.3094
23.299999	102.837	-10.9445
23.600000	102.820	-11.5598
24.000000	102.800	-12.3636
24.299999	102.786	-12.9626
24.700001	102.767	-13.7574
25.000000	102.753	-14.3460
25.400000	102.733	-15.1150
25.799999	102.714	-15.8680
26.200001	102.696	-16.6149
26.500000	102.683	-17.1747
26.900000	102.663	-17.9174
27.200001	102.646	-18.4639
27.600000	102.624	-19.1691
28.000000	102.602	-19.8484
28.500000	102.580	-20.6852
29.000000	102.560	-21.5410
29.500000	102.538	-22.4189
30.000000	102.511	-23.2925
30.400000	102.487	-23.9733
30.700001	102.469	-24.4738
31.100000	102.446	-25.1351
31.500000	102.424	-25.7949
32.000000	102.394	-26.6130
32.500000	102.362	-27.4111
33.000000	102.332	-28.1869
33.500000	102.303	-28.9553
34.000000	102.275	-29.7283
34.500000	102.243	-30.4974
35.000000	102.208	-31.2451
35.500000	102.172	-31.9634
36.000000	102.138	-32.6616
36.500000	102.104	-33.3524
37.000000	102.071	-34.0416
37.500000	102.038	-34.7284
38.200001	101.990	-35.6846
38.700001	101.956	-36.3644
39.500000	101.902	-37.4481
40.000000	101.867	-38.1212
40.599998	101.824	-38.9152
41.200001	101.781	-39.6841
41.799999	101.739	-40.4305
42.500000	101.691	-41.2825
43.099998	101.649	-41.9938
43.700001	101.608	-42.6915
44.400002	101.558	-43.5027
45.000000	101.511	-44.1796
45.500000	101.472	-44.7173
46.200001	101.421	-45.4777
46.799999	101.372	-46.1852
47.500000	101.296	-46.9633
48.200001	101.220	-47.5182
48.700001	101.192	-47.8436
49.400002	101.186	-48.4684
50.000000	101.180	-49.2328
50.799999	101.137	-50.3193
51.500000	101.090	-51.1566
52.200001	101.049	-51.9469
53.000000	101.002	-52.8477
53.799999	100.954	-53.7119
54.500000	100.911	-54.4462
55.200001	100.866	-55.1640
56.000000	100.811	-55.9485
57.000000	100.743	-56.9008
58.000000	100.675	-57.8487
59.000000	100.606	-58.7961
60.000000	100.537	-59.7515
60.799999	100.481	-60.5046
61.500000	100.434	-61.1439
62.200001	100.389	-61.7721
63.000000	100.342	-62.4929
64.000000	100.283	-63.4016
65.000000	100.220	-64.3043
66.000000	100.154	-65.1738
67.000000	100.089	-65.9995
68.000000	100.027	-66.8206
69.000000	99.966	-67.6601
70.000000	99.902	-68.5020
71.000000	99.837	-69.3318
72.000000	99.774	-70.1462
73.000000	99.711	-70.9475
74.000000	99.648	-71.7314
75.000000	99.587	-72.4950
76.199997	99.514	-73.3994
77.500000	99.434	-74.3613
78.800003	99.354	-75.2977
80.000000	99.282	-76.1596
81.199997	99.211	-77.0276
82.500000	99.133	-77.9739
83.800003	99.055	-78.8989
85.000000	98.984	-79.7314
86.199997	98.913	-80.5527
87.500000	98.835	-81.4179
88.500000	98.775	-82.0651
90.000000	98.685	-83.0233
91.199997	98.613	-83.7840
92.500000	98.535	-84.5953
93.800003	98.458	-85.3934
95.000000	98.387	-86.1243
96.199997	98.315	-86.8414
97.500000	98.237	-87.5983
98.800003	98.159	-88.3533
100.000000	98.083	-89.0515
101.500000	97.979	-89.8893
103.000000	97.874	-90.6729
104.400002	97.775	-91.3804
106.000000	97.657	-92.1387
107.500000	97.545	-92.7810
109.000000	97.431	-93.3525
110.599998	97.305	-93.8575
112.000000	97.191	-94.1857
113.800003	97.047	-94.4163
115.000000	96.957	-94.4267
117.199997	96.829	-94.1129
118.000000	96.802	-93.8974
