* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 01/11/2023 12:27:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64Audio Volur MX L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	92.389	24.5745
20.299999	92.443	23.7191
20.600000	92.496	22.8827
20.900000	92.548	22.0573
21.200001	92.600	21.2324
21.400000	92.634	20.6802
21.799999	92.697	19.5743
22.000000	92.726	19.0251
22.400000	92.780	17.9471
22.700001	92.818	17.1634
23.000000	92.856	16.4006
23.299999	92.895	15.6498
23.600000	92.935	14.9017
24.000000	92.988	13.8964
24.299999	93.026	13.1348
24.700001	93.073	12.1185
25.000000	93.105	11.3662
25.400000	93.146	10.3862
25.799999	93.186	9.4313
26.200001	93.227	8.4900
26.500000	93.257	7.7859
26.900000	93.297	6.8467
27.200001	93.326	6.1443
27.600000	93.362	5.2160
28.000000	93.397	4.2997
28.500000	93.438	3.1669
29.000000	93.478	2.0416
29.500000	93.514	0.9261
30.000000	93.548	-0.1741
30.400000	93.573	-1.0438
30.700001	93.592	-1.6922
31.100000	93.615	-2.5527
31.500000	93.636	-3.4073
32.000000	93.661	-4.4637
32.500000	93.685	-5.5067
33.000000	93.707	-6.5403
33.500000	93.728	-7.5624
34.000000	93.748	-8.5641
34.500000	93.768	-9.5446
35.000000	93.789	-10.5167
35.500000	93.811	-11.4928
36.000000	93.830	-12.4661
36.500000	93.846	-13.4199
37.000000	93.861	-14.3508
37.500000	93.876	-15.2736
38.200001	93.893	-16.5684
38.700001	93.900	-17.4742
39.500000	93.910	-18.8561
40.000000	93.922	-19.7174
40.599998	93.935	-20.7977
41.200001	93.939	-21.8986
41.799999	93.938	-22.9500
42.500000	93.944	-24.1182
43.099998	93.957	-25.1417
43.700001	93.968	-26.1779
44.400002	93.981	-27.3352
45.000000	93.999	-28.3082
45.500000	94.011	-29.1331
46.200001	94.017	-30.2075
46.799999	94.031	-30.9658
47.500000	94.085	-31.8876
48.200001	94.138	-33.1710
48.700001	94.135	-34.2173
49.400002	94.074	-35.4501
50.000000	94.020	-36.1640
50.799999	93.997	-36.9980
51.500000	93.996	-37.9238
52.200001	93.980	-38.9642
53.000000	93.950	-40.1127
53.799999	93.926	-41.1935
54.500000	93.916	-42.1265
55.200001	93.914	-43.0760
56.000000	93.915	-44.1768
57.000000	93.915	-45.5283
58.000000	93.913	-46.8230
59.000000	93.910	-48.0726
60.000000	93.905	-49.3162
60.799999	93.897	-50.3262
61.500000	93.885	-51.2066
62.200001	93.873	-52.0685
63.000000	93.860	-53.0483
64.000000	93.844	-54.2889
65.000000	93.826	-55.4722
66.000000	93.817	-56.5978
67.000000	93.813	-57.7635
68.000000	93.799	-58.9304
69.000000	93.778	-60.0336
70.000000	93.759	-61.1134
71.000000	93.736	-62.1898
72.000000	93.711	-63.2473
73.000000	93.683	-64.2836
74.000000	93.652	-65.2711
75.000000	93.622	-66.1776
76.199997	93.600	-67.1879
77.500000	93.591	-68.2954
78.800003	93.584	-69.4143
80.000000	93.585	-70.4519
81.199997	93.591	-71.5520
82.500000	93.593	-72.8119
83.800003	93.582	-74.0823
85.000000	93.566	-75.2061
86.199997	93.549	-76.2939
87.500000	93.530	-77.4409
88.500000	93.514	-78.3092
90.000000	93.488	-79.5732
91.199997	93.469	-80.5546
92.500000	93.452	-81.6252
93.800003	93.435	-82.7120
95.000000	93.418	-83.7217
96.199997	93.397	-84.7042
97.500000	93.377	-85.6974
98.800003	93.368	-86.6670
100.000000	93.357	-87.6205
101.500000	93.323	-88.7582
103.000000	93.289	-89.7874
104.400002	93.262	-90.7400
106.000000	93.231	-91.8297
107.500000	93.203	-92.8329
109.000000	93.176	-93.8171
110.599998	93.147	-94.8387
112.000000	93.121	-95.7073
113.800003	93.089	-96.8085
115.000000	93.070	-97.5433
117.199997	93.037	-98.9031
118.000000	93.024	-99.3992
120.599998	92.976	-100.9940
122.000000	92.944	-101.8269
124.099998	92.887	-103.0186
125.000000	92.860	-103.5104
126.500000	92.813	-104.3094
128.000000	92.762	-105.0778
131.500000	92.625	-106.6995
132.000000	92.603	-106.9073
134.000000	92.512	-107.6573
136.000000	92.413	-108.2300
138.000000	92.311	-108.5520
140.000000	92.218	-108.5460
143.000000	92.156	-107.8695
145.000000	92.223	-107.1741
147.500000	92.451	-106.6311
150.000000	92.773	-107.0752
152.500000	93.059	-108.5747
155.000000	93.242	-110.6154
157.500000	93.330	-112.7367
160.000000	93.355	-114.7169
162.500000	93.344	-116.4742
165.000000	93.316	-118.0233
167.500000	93.281	-119.4186
170.000000	93.243	-120.6974
172.500000	93.205	-121.8712
175.000000	93.171	-122.9570
177.500000	93.138	-123.9802
180.000000	93.106	-124.9441
182.500000	93.074	-125.8599
185.000000	93.043	-126.7435
187.500000	93.013	-127.5986
190.000000	92.985	-128.4227
192.500000	92.958	-129.2208
195.000000	92.932	-129.9962
197.500000	92.907	-130.7456
200.000000	92.884	-131.4657
203.000000	92.859	-132.3030
206.000000	92.835	-133.1145
209.000000	92.810	-133.8949
212.000000	92.787	-134.6506
214.000000	92.772	-135.1448
218.000000	92.746	-136.1133
220.000000	92.734	-136.5883
224.000000	92.710	-137.5193
227.000000	92.693	-138.1985
230.000000	92.677	-138.8591
233.000000	92.663	-139.5087
236.000000	92.648	-140.1498
240.000000	92.628	-140.9886
243.000000	92.613	-141.6070
247.000000	92.593	-142.4250
250.000000	92.577	-143.0238
254.000000	92.555	-143.7936
258.000000	92.532	-144.5365
262.000000	92.510	-145.2471
265.000000	92.494	-145.7621
269.000000	92.471	-146.4311
272.000000	92.454	-146.9147
276.000000	92.430	-147.5429
280.000000	92.406	-148.1601
285.000000	92.375	-148.8959
290.000000	92.342	-149.5892
295.000000	92.309	-150.2313
300.000000	92.277	-150.7961
304.000000	92.255	-151.1830
307.000000	92.242	-151.4429
311.000000	92.232	-151.7624
315.000000	92.233	-152.0767
320.000000	92.247	-152.5248
325.000000	92.268	-153.0681
330.000000	92.284	-153.6967
335.000000	92.293	-154.3762
340.000000	92.293	-155.0546
345.000000	92.285	-155.7078
350.000000	92.271	-156.3287
355.000000	92.253	-156.9078
360.000000	92.233	-157.4583
365.000000	92.213	-157.9882
370.000000	92.192	-158.4892
375.000000	92.170	-158.9620
382.000000	92.143	-159.5659
387.000000	92.127	-159.9728
395.000000	92.102	-160.6166
400.000000	92.086	-161.0027
406.000000	92.068	-161.4427
412.000000	92.051	-161.8680
418.000000	92.037	-162.2921
425.000000	92.019	-162.7863
431.000000	92.003	-163.1987
437.000000	91.986	-163.6014
444.000000	91.965	-164.0504
450.000000	91.948	-164.4144
455.000000	91.933	-164.7079
462.000000	91.912	-165.0994
468.000000	91.895	-165.4137
475.000000	91.876	-165.7707
482.000000	91.857	-166.1158
487.000000	91.843	-166.3497
494.000000	91.825	-166.6670
500.000000	91.809	-166.9278
508.000000	91.789	-167.2492
515.000000	91.771	-167.5176
522.000000	91.753	-167.7764
530.000000	91.734	-168.0540
538.000000	91.715	-168.3214
545.000000	91.700	-168.5413
552.000000	91.684	-168.7449
560.000000	91.667	-168.9645
570.000000	91.647	-169.2129
580.000000	91.626	-169.4376
590.000000	91.608	-169.6409
600.000000	91.590	-169.8170
608.000000	91.577	-169.9443
615.000000	91.567	-170.0455
622.000000	91.556	-170.1373
630.000000	91.545	-170.2311
640.000000	91.533	-170.3330
650.000000	91.522	-170.4170
660.000000	91.512	-170.4761
670.000000	91.503	-170.5173
680.000000	91.496	-170.5424
690.000000	91.490	-170.5403
700.000000	91.487	-170.5259
710.000000	91.485	-170.4954
720.000000	91.486	-170.4453
730.000000	91.488	-170.3849
740.000000	91.491	-170.3051
750.000000	91.497	-170.2020
762.000000	91.507	-170.0609
775.000000	91.522	-169.8866
788.000000	91.540	-169.6911
800.000000	91.563	-169.5017
812.000000	91.589	-169.2807
825.000000	91.624	-169.0295
838.000000	91.663	-168.7723
850.000000	91.704	-168.5158
862.000000	91.749	-168.2524
875.000000	91.803	-167.9603
885.000000	91.848	-167.7278
900.000000	91.923	-167.3851
912.000000	91.989	-167.1144
925.000000	92.067	-166.8238
938.000000	92.151	-166.5538
