* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 01/11/2023 12:41:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64Audio Volur MX R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.205	26.0275
20.299999	90.260	25.1555
20.600000	90.310	24.3194
20.900000	90.357	23.5341
21.200001	90.407	22.7986
21.400000	90.443	22.3237
21.799999	90.525	21.3774
22.000000	90.569	20.8895
22.400000	90.659	19.8590
22.700001	90.724	19.0393
23.000000	90.783	18.1944
23.299999	90.834	17.3449
23.600000	90.879	16.5077
24.000000	90.930	15.4319
24.299999	90.965	14.6654
24.700001	91.009	13.7008
25.000000	91.043	13.0157
25.400000	91.092	12.1362
25.799999	91.145	11.2657
26.200001	91.201	10.3779
26.500000	91.242	9.6998
26.900000	91.292	8.7966
27.200001	91.327	8.1368
27.600000	91.375	7.2899
28.000000	91.430	6.4576
28.500000	91.505	5.3669
29.000000	91.577	4.1748
29.500000	91.631	2.9356
30.000000	91.668	1.7584
30.400000	91.694	0.8934
30.700001	91.716	0.2778
31.100000	91.748	-0.5273
31.500000	91.780	-1.3270
32.000000	91.820	-2.3028
32.500000	91.862	-3.2333
33.000000	91.915	-4.1647
33.500000	91.974	-5.1785
34.000000	92.024	-6.2958
34.500000	92.054	-7.4326
35.000000	92.069	-8.4891
35.500000	92.085	-9.4456
36.000000	92.111	-10.3698
36.500000	92.142	-11.3250
37.000000	92.170	-12.3104
37.500000	92.193	-13.2853
38.200001	92.225	-14.6017
38.700001	92.250	-15.5313
39.500000	92.288	-17.0248
40.000000	92.307	-17.9409
40.599998	92.329	-19.0077
41.200001	92.350	-20.0441
41.799999	92.370	-21.0619
42.500000	92.394	-22.2476
43.099998	92.410	-23.2665
43.700001	92.425	-24.2692
