* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 01/11/2023 12:37:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64Audio Volur No Module L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	78.880	-76.7521
20.299999	79.002	-77.2092
20.600000	79.128	-77.6495
20.900000	79.259	-78.0807
21.200001	79.396	-78.5141
21.400000	79.491	-78.8162
21.799999	79.684	-79.4738
22.000000	79.781	-79.8359
22.400000	79.969	-80.6220
22.700001	80.102	-81.2394
23.000000	80.228	-81.8501
23.299999	80.350	-82.4414
23.600000	80.470	-83.0186
24.000000	80.628	-83.7880
24.299999	80.742	-84.3764
24.700001	80.881	-85.1569
25.000000	80.976	-85.7004
25.400000	81.095	-86.3169
25.799999	81.220	-86.8034
26.200001	81.361	-87.2349
26.500000	81.478	-87.5925
26.900000	81.637	-88.1753
27.200001	81.748	-88.6911
27.600000	81.878	-89.4273
28.000000	81.985	-90.1209
28.500000	82.103	-90.8281
29.000000	82.225	-91.3754
29.500000	82.360	-91.8649
30.000000	82.503	-92.3803
30.400000	82.618	-92.8260
30.700001	82.703	-93.1781
31.100000	82.813	-93.6678
31.500000	82.916	-94.1725
32.000000	83.035	-94.7917
32.500000	83.146	-95.3480
33.000000	83.259	-95.8275
33.500000	83.383	-96.2871
34.000000	83.512	-96.8082
34.500000	83.635	-97.4064
35.000000	83.743	-98.0168
35.500000	83.842	-98.5627
36.000000	83.943	-99.0402
36.500000	84.052	-99.5101
37.000000	84.163	-100.0268
37.500000	84.267	-100.5808
38.200001	84.400	-101.3269
38.700001	84.492	-101.8095
39.500000	84.645	-102.5633
40.000000	84.739	-103.0482
40.599998	84.845	-103.6147
41.200001	84.948	-104.1291
41.799999	85.055	-104.6075
42.500000	85.184	-105.1779
43.099998	85.293	-105.6970
43.700001	85.395	-106.2257
44.400002	85.509	-106.8333
45.000000	85.602	-107.3513
45.500000	85.676	-107.7932
46.200001	85.768	-108.4132
46.799999	85.833	-108.8747
47.500000	85.912	-109.2424
48.200001	86.024	-109.5354
48.700001	86.121	-109.8493
49.400002	86.249	-110.5203
50.000000	86.330	-111.1686
50.799999	86.412	-111.8732
51.500000	86.489	-112.3506
52.200001	86.576	-112.8191
53.000000	86.676	-113.3702
53.799999	86.774	-113.9298
54.500000	86.854	-114.4284
55.200001	86.929	-114.8974
56.000000	87.016	-115.3892
57.000000	87.126	-116.0062
58.000000	87.232	-116.5914
59.000000	87.347	-117.1668
60.000000	87.459	-117.8029
60.799999	87.545	-118.3187
61.500000	87.617	-118.7810
62.200001	87.684	-119.2587
63.000000	87.753	-119.7790
64.000000	87.838	-120.3606
65.000000	87.930	-120.9485
66.000000	88.017	-121.5652
67.000000	88.100	-122.1614
68.000000	88.180	-122.7290
69.000000	88.257	-123.2621
70.000000	88.331	-123.7678
71.000000	88.399	-124.2437
72.000000	88.463	-124.6513
73.000000	88.535	-125.0447
74.000000	88.608	-125.4712
75.000000	88.683	-125.9214
76.199997	88.775	-126.5263
77.500000	88.872	-127.2194
78.800003	88.964	-127.9156
80.000000	89.042	-128.5291
81.199997	89.115	-129.0829
82.500000	89.192	-129.6603
83.800003	89.261	-130.2217
85.000000	89.324	-130.7274
86.199997	89.388	-131.2457
87.500000	89.459	-131.8298
88.500000	89.512	-132.2903
90.000000	89.590	-132.9688
91.199997	89.649	-133.4931
92.500000	89.707	-134.0268
93.800003	89.759	-134.5206
95.000000	89.802	-134.9346
96.199997	89.846	-135.2970
97.500000	89.907	-135.7101
98.800003	89.967	-136.2452
100.000000	90.014	-136.7587
101.500000	90.073	-137.3777
103.000000	90.133	-137.9930
104.400002	90.187	-138.5612
106.000000	90.244	-139.2007
107.500000	90.291	-139.7754
109.000000	90.336	-140.3484
110.599998	90.378	-140.9707
112.000000	90.411	-141.5013
113.800003	90.451	-142.1595
115.000000	90.474	-142.5788
117.199997	90.512	-143.3258
118.000000	90.524	-143.5905
120.599998	90.554	-144.4087
122.000000	90.567	-144.8312
124.099998	90.582	-145.4527
125.000000	90.585	-145.7104
126.500000	90.588	-146.1261
128.000000	90.586	-146.5241
131.500000	90.558	-147.3194
132.000000	90.551	-147.4155
134.000000	90.516	-147.7370
136.000000	90.467	-147.8940
138.000000	90.410	-147.8082
140.000000	90.356	-147.3817
143.000000	90.350	-146.0413
145.000000	90.454	-144.8559
147.500000	90.750	-143.6817
150.000000	91.140	-143.6117
152.500000	91.476	-144.6255
155.000000	91.707	-146.1604
157.500000	91.848	-147.7984
160.000000	91.927	-149.2822
162.500000	91.973	-150.5501
165.000000	91.998	-151.6467
167.500000	92.012	-152.6051
170.000000	92.024	-153.4658
172.500000	92.033	-154.2488
175.000000	92.040	-154.9529
177.500000	92.047	-155.5959
180.000000	92.054	-156.2143
