* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 01/11/2023 12:42:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 64Audio Volur No Module R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	79.570	-84.3074
20.299999	79.679	-84.7989
20.600000	79.792	-85.1876
20.900000	79.918	-85.5007
21.200001	80.061	-85.8130
21.400000	80.164	-86.0701
21.799999	80.374	-86.7422
22.000000	80.472	-87.1569
22.400000	80.643	-88.0784
22.700001	80.747	-88.7577
23.000000	80.836	-89.3507
23.299999	80.921	-89.8429
23.600000	81.010	-90.2627
24.000000	81.137	-90.7872
24.299999	81.236	-91.2100
24.700001	81.360	-91.8280
25.000000	81.443	-92.2962
25.400000	81.540	-92.8553
25.799999	81.635	-93.2924
26.200001	81.740	-93.6387
26.500000	81.830	-93.8926
26.900000	81.959	-94.2853
27.200001	82.057	-94.6373
27.600000	82.182	-95.1642
28.000000	82.299	-95.7088
28.500000	82.439	-96.3694
29.000000	82.578	-97.0228
29.500000	82.711	-97.6892
30.000000	82.834	-98.3229
30.400000	82.930	-98.7641
30.700001	83.005	-99.0584
31.100000	83.113	-99.4442
31.500000	83.225	-99.8725
32.000000	83.356	-100.4867
32.500000	83.466	-101.0944
33.000000	83.564	-101.5691
33.500000	83.671	-101.9149
34.000000	83.794	-102.2686
34.500000	83.919	-102.7328
35.000000	84.027	-103.2590
35.500000	84.120	-103.7207
36.000000	84.216	-104.0838
36.500000	84.327	-104.4454
37.000000	84.444	-104.9204
37.500000	84.548	-105.5054
38.200001	84.659	-106.2934
38.700001	84.730	-106.7201
39.500000	84.867	-107.2908
40.000000	84.962	-107.7146
40.599998	85.063	-108.2976
41.200001	85.146	-108.8309
41.799999	85.228	-109.2516
42.500000	85.336	-109.6991
43.099998	85.434	-110.1156
43.700001	85.535	-110.5486
44.400002	85.664	-111.1576
45.000000	85.764	-111.8480
45.500000	85.826	-112.4267
46.200001	85.910	-113.0255
46.799999	86.023	-113.5232
47.500000	86.154	-114.5561
48.200001	86.184	-115.7078
48.700001	86.160	-116.0652
49.400002	86.192	-115.8260
50.000000	86.324	-115.6251
50.799999	86.527	-116.0548
51.500000	86.643	-116.6556
52.200001	86.734	-117.0814
53.000000	86.840	-117.5412
53.799999	86.923	-118.0396
54.500000	86.985	-118.3769
55.200001	87.057	-118.6749
56.000000	87.148	-119.1061
57.000000	87.251	-119.7812
58.000000	87.339	-120.4172
59.000000	87.439	-120.9137
60.000000	87.561	-121.4544
60.799999	87.654	-121.9497
61.500000	87.729	-122.3819
62.200001	87.799	-122.8102
63.000000	87.868	-123.2786
64.000000	87.949	-123.7982
65.000000	88.032	-124.3068
66.000000	88.114	-124.8348
67.000000	88.196	-125.4102
68.000000	88.267	-125.9917
69.000000	88.339	-126.4877
70.000000	88.419	-126.9922
71.000000	88.494	-127.5368
72.000000	88.561	-128.0539
73.000000	88.625	-128.5452
74.000000	88.689	-129.0253
75.000000	88.753	-129.5062
76.199997	88.832	-130.0917
77.500000	88.916	-130.7420
78.800003	88.994	-131.3846
80.000000	89.062	-131.9506
81.199997	89.124	-132.4983
82.500000	89.188	-133.0557
83.800003	89.255	-133.6107
85.000000	89.314	-134.1452
86.199997	89.371	-134.6466
87.500000	89.435	-135.1602
88.500000	89.481	-135.5617
90.000000	89.539	-136.1531
91.199997	89.582	-136.6303
92.500000	89.626	-137.2003
93.800003	89.670	-137.8131
95.000000	89.716	-138.3979
96.199997	89.764	-138.9977
97.500000	89.812	-139.5145
98.800003	89.882	-139.9182
100.000000	89.942	-140.4295
101.500000	89.965	-141.0181
103.000000	89.974	-141.4480
104.400002	89.984	-141.8918
106.000000	89.992	-142.4773
107.500000	90.001	-143.0425
109.000000	90.012	-143.5942
110.599998	90.016	-144.1363
112.000000	90.008	-144.5495
113.800003	89.978	-144.9833
115.000000	89.949	-145.2226
117.199997	89.868	-145.5794
118.000000	89.826	-145.6302
120.599998	89.670	-145.1961
122.000000	89.596	-144.4965
124.099998	89.556	-142.7525
125.000000	89.590	-141.8205
126.500000	89.737	-140.2480
128.000000	89.996	-138.9886
131.500000	90.769	-138.7462
132.000000	90.869	-139.0060
134.000000	91.197	-140.4781
136.000000	91.405	-142.2250
138.000000	91.528	-143.8534
140.000000	91.602	-145.2804
143.000000	91.666	-147.0731
145.000000	91.693	-148.0559
147.500000	91.728	-149.0941
150.000000	91.762	-150.0861
152.500000	91.786	-150.9982
155.000000	91.809	-151.8602
157.500000	91.829	-152.6749
160.000000	91.848	-153.4299
162.500000	91.867	-154.1403
165.000000	91.884	-154.8104
167.500000	91.898	-155.4310
170.000000	91.911	-156.0219
172.500000	91.925	-156.6060
175.000000	91.936	-157.1727
177.500000	91.947	-157.7215
180.000000	91.957	-158.2592
182.500000	91.968	-158.7789
185.000000	91.979	-159.2776
187.500000	91.987	-159.7585
190.000000	91.996	-160.2250
192.500000	92.005	-160.6754
195.000000	92.012	-161.1148
197.500000	92.017	-161.5570
200.000000	92.021	-161.9961
203.000000	92.028	-162.5024
206.000000	92.033	-162.9843
209.000000	92.038	-163.4545
212.000000	92.041	-163.9151
214.000000	92.043	-164.2116
218.000000	92.046	-164.7922
220.000000	92.046	-165.0842
224.000000	92.046	-165.6510
227.000000	92.046	-166.0497
230.000000	92.045	-166.4312
233.000000	92.043	-166.8002
236.000000	92.041	-167.1567
240.000000	92.039	-167.6246
243.000000	92.037	-167.9750
247.000000	92.035	-168.4261
250.000000	92.034	-168.7550
254.000000	92.033	-169.1890
258.000000	92.031	-169.6117
262.000000	92.027	-170.0145
265.000000	92.024	-170.3070
269.000000	92.020	-170.6951
272.000000	92.017	-170.9845
276.000000	92.009	-171.3711
280.000000	91.999	-171.7549
285.000000	91.986	-172.2071
290.000000	91.971	-172.6270
295.000000	91.956	-173.0309
300.000000	91.938	-173.4138
304.000000	91.923	-173.6946
307.000000	91.912	-173.8948
311.000000	91.897	-174.1494
315.000000	91.884	-174.3848
320.000000	91.873	-174.6608
325.000000	91.864	-174.9323
330.000000	91.856	-175.2025
335.000000	91.849	-175.4863
340.000000	91.840	-175.7838
345.000000	91.831	-176.0765
350.000000	91.821	-176.3623
355.000000	91.809	-176.6575
360.000000	91.795	-176.9460
365.000000	91.779	-177.2181
370.000000	91.761	-177.4795
375.000000	91.741	-177.7229
382.000000	91.711	-178.0112
387.000000	91.690	-178.1775
395.000000	91.665	-178.3970
400.000000	91.655	-178.5266
406.000000	91.648	-178.6979
412.000000	91.644	-178.9051
418.000000	91.639	-179.1491
425.000000	91.626	-179.4557
431.000000	91.610	-179.7119
437.000000	91.591	-179.9523
444.000000	91.565	179.7865
450.000000	91.541	179.5848
455.000000	91.521	179.4335
462.000000	91.491	179.2445
468.000000	91.467	179.1020
475.000000	91.439	178.9462
482.000000	91.411	178.7980
487.000000	91.391	178.7033
494.000000	91.364	178.5895
500.000000	91.340	178.5052
508.000000	91.310	178.4126
515.000000	91.283	178.3459
522.000000	91.257	178.2839
530.000000	91.228	178.2225
538.000000	91.199	178.1772
545.000000	91.175	178.1525
552.000000	91.152	178.1420
560.000000	91.126	178.1396
570.000000	91.093	178.1477
580.000000	91.062	178.1831
590.000000	91.032	178.2422
600.000000	91.003	178.3215
608.000000	90.981	178.3950
615.000000	90.963	178.4670
622.000000	90.945	178.5473
630.000000	90.926	178.6494
640.000000	90.904	178.7964
650.000000	90.883	178.9630
660.000000	90.863	179.1429
670.000000	90.844	179.3411
680.000000	90.828	179.5576
690.000000	90.813	179.7913
700.000000	90.801	-179.9645
710.000000	90.791	-179.7053
720.000000	90.783	-179.4276
730.000000	90.778	-179.1363
740.000000	90.774	-178.8301
750.000000	90.773	-178.5060
762.000000	90.776	-178.1003
775.000000	90.784	-177.6539
788.000000	90.795	-177.1843
800.000000	90.811	-176.7350
812.000000	90.830	-176.2628
825.000000	90.858	-175.7377
838.000000	90.891	-175.2133
850.000000	90.927	-174.7220
862.000000	90.968	-174.2229
875.000000	91.018	-173.6759
885.000000	91.060	-173.2487
900.000000	91.131	-172.6167
912.000000	91.194	-172.1219
925.000000	91.268	-171.5925
938.000000	91.348	-171.0793
950.000000	91.428	-170.6140
962.000000	91.512	-170.1583
975.000000	91.608	-169.6851
988.000000	91.709	-169.2400
1000.000000	91.807	-168.8520
1015.000000	91.935	-168.4034
1030.000000	92.067	-167.9989
1044.000000	92.193	-167.6542
1060.000000	92.342	-167.3022
1075.000000	92.484	-167.0177
1090.000000	92.627	-166.7780
1106.000000	92.783	-166.5773
1120.000000	92.920	-166.4424
1138.000000	93.094	-166.3133
1150.000000	93.210	-166.2496
1172.000000	93.420	-166.1848
1180.000000	93.495	-166.1809
1206.000000	93.738	-166.2232
1220.000000	93.868	-166.2723
1241.000000	94.058	-166.3886
1250.000000	94.139	-166.4517
1265.000000	94.273	-166.5693
1280.000000	94.405	-166.6983
1315.000000	94.711	-167.0938
1320.000000	94.754	-167.1600
1340.000000	94.922	-167.4320
1360.000000	95.087	-167.7119
1380.000000	95.248	-168.0224
1400.000000	95.405	-168.3639
1430.000000	95.634	-168.8714
1450.000000	95.781	-169.2182
1475.000000	95.963	-169.6754
1500.000000	96.143	-170.1329
1525.000000	96.320	-170.5804
1550.000000	96.495	-171.0274
1575.000000	96.672	-171.5080
1600.000000	96.846	-172.0022
1625.000000	97.018	-172.4913
1650.000000	97.188	-173.0007
1675.000000	97.360	-173.5507
1700.000000	97.534	-174.1288
1725.000000	97.707	-174.7427
1750.000000	97.878	-175.3962
1775.000000	98.047	-176.1012
1800.000000	98.211	-176.8618
1825.000000	98.369	-177.6745
1850.000000	98.520	-178.5396
1875.000000	98.664	-179.4521
1900.000000	98.801	179.5858
1925.000000	98.927	178.5738
1950.000000	99.044	177.5224
1975.000000	99.149	176.4271
2000.000000	99.239	175.3031
2030.000000	99.328	173.9489
2060.000000	99.395	172.5803
2090.000000	99.443	171.1985
2120.000000	99.470	169.8458
2140.000000	99.477	168.9608
2180.000000	99.465	167.2411
2200.000000	99.446	166.4244
2240.000000	99.387	164.8870
2270.000000	99.327	163.8125
2300.000000	99.255	162.8212
2330.000000	99.172	161.9186
2360.000000	99.081	161.0953
2400.000000	98.950	160.1274
2430.000000	98.844	159.5042
2470.000000	98.698	158.7802
2500.000000	98.587	158.3100
2540.000000	98.438	157.7767
2580.000000	98.287	157.3422
2620.000000	98.138	157.0090
2650.000000	98.027	156.8093
2690.000000	97.880	156.6242
2720.000000	97.770	156.5486
2760.000000	97.627	156.5068
2800.000000	97.490	156.5337
2850.000000	97.324	156.6680
2900.000000	97.165	156.9047
2950.000000	97.015	157.2488
3000.000000	96.874	157.6617
3040.000000	96.764	158.0784
3070.000000	96.683	158.4329
3110.000000	96.579	158.9409
3150.000000	96.483	159.4982
3200.000000	96.372	160.2632
3250.000000	96.270	161.1099
3300.000000	96.177	162.0300
3350.000000	96.095	163.0173
3400.000000	96.025	164.0616
3450.000000	95.967	165.1599
3500.000000	95.921	166.3096
3550.000000	95.889	167.4933
3600.000000	95.872	168.7054
3650.000000	95.871	169.9376
3700.000000	95.883	171.1772
3750.000000	95.910	172.4196
