* Measurement data measured by REW V5.30.2
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), no input selected, L, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: 04/01/2024 10:53:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R L Jan 4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 91.600 -142.1263
20.299999 91.633 -143.0548
20.600000 91.662 -143.9745
20.900000 91.685 -144.8795
21.200001 91.704 -145.7629
21.400000 91.714 -146.3361
21.799999 91.732 -147.4378
22.000000 91.740 -147.9650
22.400000 91.760 -148.9763
22.700001 91.780 -149.7094
23.000000 91.805 -150.4378
23.299999 91.834 -151.1787
23.600000 91.866 -151.9455
24.000000 91.908 -153.0158
24.299999 91.935 -153.8468
24.700001 91.963 -154.9685
25.000000 91.978 -155.8043
25.400000 91.989 -156.8978
25.799999 91.991 -157.9605
26.200001 91.981 -158.9760
26.500000 91.964 -159.6835
26.900000 91.933 -160.5146
27.200001 91.909 -161.0371
27.600000 91.886 -161.6157
28.000000 91.881 -162.1307
28.500000 91.897 -162.8260
29.000000 91.914 -163.6457
29.500000 91.915 -164.5056
30.000000 91.908 -165.2953
30.400000 91.910 -165.8840
30.700001 91.918 -166.3401
31.100000 91.932 -167.0094
31.500000 91.941 -167.7485
32.000000 91.936 -168.6899
32.500000 91.920 -169.5566
33.000000 91.911 -170.3541
33.500000 91.909 -171.1691
34.000000 91.902 -172.0394
34.500000 91.878 -172.9050
35.000000 91.842 -173.6844
35.500000 91.803 -174.3606
36.000000 91.770 -174.9798
36.500000 91.740 -175.5946
37.000000 91.709 -176.2292
37.500000 91.673 -176.8840
38.200001 91.615 -177.8130
38.700001 91.568 -178.4715
39.500000 91.495 -179.5382
40.000000 91.448 179.7720
40.599998 91.386 178.9607
41.200001 91.327 178.2305
41.799999 91.283 177.5726
42.500000 91.253 176.7967
43.099998 91.233 176.0985
43.700001 91.208 175.4269
44.400002 91.179 174.7399
45.000000 91.157 174.2197
45.500000 91.142 173.8016
46.200001 91.117 173.2025
46.799999 91.087 172.6773
47.500000 91.038 172.0689
48.200001 90.976 171.4657
48.700001 90.924 171.0537
49.400002 90.844 170.5551
50.000000 90.786 170.1928
50.799999 90.732 169.6446
51.500000 90.689 169.0355
52.200001 90.636 168.4157
53.000000 90.578 167.7871
53.799999 90.529 167.1820
54.500000 90.484 166.6618
55.200001 90.437 166.1890
56.000000 90.382 165.6992
57.000000 90.311 165.1146
58.000000 90.234 164.5547
59.000000 90.155 164.0110
60.000000 90.075 163.4705
60.799999 90.012 163.0432
61.500000 89.957 162.6812
62.200001 89.903 162.3410
63.000000 89.844 161.9714
64.000000 89.772 161.5172
65.000000 89.699 161.1097
66.000000 89.632 160.7064
67.000000 89.561 160.2812
68.000000 89.490 159.8779
69.000000 89.419 159.4149
70.000000 89.334 158.9739
71.000000 89.251 158.6362
72.000000 89.176 158.3214
73.000000 89.104 158.0177
74.000000 89.035 157.7159
75.000000 88.965 157.4055
76.199997 88.882 157.0250
77.500000 88.786 156.6054
78.800003 88.687 156.2274
80.000000 88.600 155.8981
81.199997 88.513 155.5690
82.500000 88.421 155.2311
83.800003 88.326 154.8607
85.000000 88.229 154.6234
86.199997 88.147 154.4671
87.500000 88.063 154.2396
88.500000 87.994 154.0617
90.000000 87.887 153.8072
91.199997 87.801 153.6020
92.500000 87.705 153.3802
93.800003 87.607 153.1886
95.000000 87.517 153.0463
96.199997 87.428 152.9327
97.500000 87.329 152.8064
98.800003 87.222 152.7175
100.000000 87.125 152.6461
101.500000 86.989 152.5209
103.000000 86.846 152.5827
104.400002 86.727 152.7394
106.000000 86.589 152.9081
107.500000 86.441 153.2715
109.000000 86.303 153.9045
110.599998 86.177 154.8457
112.000000 86.107 155.9338
113.800003 86.113 157.5016
115.000000 86.191 158.4216
117.199997 86.428 159.0953
118.000000 86.515 158.9959
120.599998 86.704 157.7879
122.000000 86.731 156.9771
124.099998 86.712 155.8516
125.000000 86.683 155.4117
126.500000 86.618 154.7903
128.000000 86.542 154.3064
131.500000 86.362 153.5004
132.000000 86.336 153.4083
134.000000 86.230 153.1093
136.000000 86.125 152.9012
138.000000 86.026 152.7538
140.000000 85.930 152.6466
143.000000 85.788 152.4998
145.000000 85.691 152.4299
147.500000 85.577 152.3925
150.000000 85.469 152.3740
152.500000 85.362 152.4037
155.000000 85.256 152.4553
157.500000 85.152 152.5105
160.000000 85.052 152.5864
162.500000 84.953 152.6827
165.000000 84.854 152.8148
167.500000 84.753 152.9731
170.000000 84.655 153.1678
172.500000 84.558 153.3921
175.000000 84.461 153.6770
177.500000 84.370 154.0182
180.000000 84.284 154.4182
182.500000 84.210 154.9119
185.000000 84.157 155.4699
187.500000 84.134 156.0316
190.000000 84.137 156.4639
192.500000 84.151 156.6839
195.000000 84.163 156.7052
197.500000 84.160 156.6081
200.000000 84.136 156.4612
203.000000 84.079 156.2759
206.000000 84.006 156.1501
209.000000 83.930 156.1139
212.000000 83.853 156.1482
214.000000 83.800 156.2014
218.000000 83.695 156.3654
220.000000 83.646 156.4745
224.000000 83.554 156.7354
227.000000 83.492 156.9207
230.000000 83.430 157.0983
233.000000 83.366 157.2736
236.000000 83.301 157.4419
240.000000 83.218 157.6937
243.000000 83.157 157.9148
247.000000 83.077 158.2171
250.000000 83.019 158.4599
254.000000 82.948 158.8456
258.000000 82.885 159.1575
262.000000 82.826 159.4321
265.000000 82.779 159.6492
269.000000 82.716 159.9378
272.000000 82.669 160.1619
276.000000 82.609 160.4616
280.000000 82.550 160.7685
285.000000 82.479 161.1786
290.000000 82.412 161.5825
295.000000 82.343 161.9737
300.000000 82.279 162.3709
304.000000 82.228 162.6998
307.000000 82.190 162.9373
311.000000 82.141 163.2462
315.000000 82.093 163.5648
320.000000 82.038 163.9799
325.000000 81.987 164.3771
330.000000 81.935 164.7578
335.000000 81.884 165.1529
340.000000 81.835 165.5587
345.000000 81.789 165.9766
350.000000 81.744 166.3836
355.000000 81.698 166.7590
360.000000 81.651 167.1394
365.000000 81.605 167.5477
370.000000 81.566 167.9639
375.000000 81.531 168.3568
382.000000 81.478 168.8927
387.000000 81.439 169.2924
395.000000 81.382 169.9105
400.000000 81.349 170.2818
406.000000 81.311 170.7437
412.000000 81.273 171.2070
418.000000 81.235 171.6732
425.000000 81.194 172.1916
431.000000 81.163 172.6447
437.000000 81.131 173.0990
444.000000 81.091 173.6111
450.000000 81.062 174.0519
455.000000 81.040 174.4421
462.000000 81.011 174.9882
468.000000 80.985 175.4301
475.000000 80.954 175.9319
482.000000 80.924 176.4541
487.000000 80.905 176.8389
494.000000 80.878 177.3340
500.000000 80.855 177.7372
508.000000 80.825 178.3145
515.000000 80.799 178.8185
522.000000 80.777 179.3248
530.000000 80.757 179.9068
538.000000 80.738 -179.5356
545.000000 80.723 -179.0370
552.000000 80.703 -178.5278
560.000000 80.683 -177.9650
570.000000 80.660 -177.2579
580.000000 80.636 -176.5585
590.000000 80.615 -175.8584
600.000000 80.596 -175.1683
608.000000 80.581 -174.6152
615.000000 80.571 -174.1376
622.000000 80.563 -173.6495
630.000000 80.552 -173.0900
640.000000 80.541 -172.4119
650.000000 80.532 -171.7128
660.000000 80.523 -171.0113
670.000000 80.517 -170.3101
680.000000 80.513 -169.5964
690.000000 80.510 -168.8859
700.000000 80.508 -168.1608
710.000000 80.511 -167.4371
720.000000 80.519 -166.7215
730.000000 80.527 -166.0037
740.000000 80.534 -165.2994
750.000000 80.544 -164.5937
762.000000 80.561 -163.7309
775.000000 80.584 -162.7913
788.000000 80.610 -161.8570
800.000000 80.636 -161.0065
812.000000 80.667 -160.1665
825.000000 80.706 -159.2515
838.000000 80.748 -158.3414
850.000000 80.792 -157.5052
862.000000 80.840 -156.6872
875.000000 80.897 -155.8115
885.000000 80.944 -155.1424
900.000000 81.017 -154.1595
912.000000 81.081 -153.3938
925.000000 81.153 -152.5788
938.000000 81.231 -151.7868
950.000000 81.307 -151.0753
962.000000 81.386 -150.3868
975.000000 81.478 -149.6732
988.000000 81.572 -148.9906
1000.000000 81.659 -148.3852
1015.000000 81.771 -147.6713
1030.000000 81.885 -147.0077
1044.000000 81.994 -146.4337
1060.000000 82.121 -145.8322
1075.000000 82.241 -145.3005
1090.000000 82.360 -144.8163
1106.000000 82.487 -144.3580
1120.000000 82.597 -143.9926
1138.000000 82.735 -143.5636
1150.000000 82.826 -143.3065
1172.000000 82.988 -142.8945
1180.000000 83.045 -142.7613
1206.000000 83.226 -142.3725
1220.000000 83.320 -142.1933
1241.000000 83.456 -141.9506
1250.000000 83.512 -141.8599
1265.000000 83.604 -141.7215
1280.000000 83.693 -141.5930
1315.000000 83.891 -141.3066
1320.000000 83.918 -141.2693
1340.000000 84.023 -141.1326
1360.000000 84.125 -141.0062
1380.000000 84.224 -140.8795
1400.000000 84.320 -140.7603
1430.000000 84.460 -140.5804
1450.000000 84.549 -140.4602
1475.000000 84.658 -140.3106
1500.000000 84.766 -140.1607
1525.000000 84.872 -140.0169
1550.000000 84.977 -139.8788
1575.000000 85.081 -139.7455
1600.000000 85.185 -139.6054
1625.000000 85.288 -139.4699
1650.000000 85.390 -139.3483
1675.000000 85.493 -139.2327
1700.000000 85.596 -139.1197
1725.000000 85.699 -139.0172
1750.000000 85.802 -138.9289
1775.000000 85.906 -138.8510
1800.000000 86.010 -138.7907
1825.000000 86.114 -138.7431
1850.000000 86.219 -138.7111
1875.000000 86.322 -138.6991
1900.000000 86.426 -138.7013
1925.000000 86.530 -138.7179
1950.000000 86.633 -138.7533
1975.000000 86.735 -138.8103
2000.000000 86.838 -138.8836
2030.000000 86.960 -138.9983
2060.000000 87.081 -139.1441
2090.000000 87.200 -139.3151
2120.000000 87.318 -139.5157
2140.000000 87.396 -139.6640
2180.000000 87.549 -139.9984
2200.000000 87.625 -140.1866
2240.000000 87.772 -140.5970
2270.000000 87.879 -140.9394
2300.000000 87.983 -141.3142
2330.000000 88.085 -141.7168
2360.000000 88.183 -142.1434
2400.000000 88.307 -142.7547
2430.000000 88.395 -143.2431
2470.000000 88.507 -143.9285
2500.000000 88.585 -144.4671
2540.000000 88.681 -145.2147
2580.000000 88.768 -145.9918
2620.000000 88.845 -146.7956
2650.000000 88.897 -147.4099
2690.000000 88.957 -148.2437
2720.000000 88.995 -148.8785
2760.000000 89.036 -149.7278
2800.000000 89.067 -150.5641
2850.000000 89.089 -151.5892
2900.000000 89.097 -152.5656
2950.000000 89.091 -153.4578
3000.000000 89.077 -154.2496
3040.000000 89.066 -154.8096
3070.000000 89.062 -155.1919
3110.000000 89.065 -155.6822
3150.000000 89.078 -156.1977
3200.000000 89.102 -156.9332
3250.000000 89.125 -157.8063
3300.000000 89.135 -158.8119
3350.000000 89.123 -159.9049
3400.000000 89.086 -161.0200
3450.000000 89.024 -162.0992
3500.000000 88.944 -163.1114
3550.000000 88.852 -164.0421
3600.000000 88.750 -164.8912
3650.000000 88.643 -165.6756
3700.000000 88.532 -166.4118
3750.000000 88.416 -167.1097
3820.000000 88.242 -168.0300
3870.000000 88.107 -168.6424
3950.000000 87.872 -169.5104
4000.000000 87.714 -169.9579
4060.000000 87.515 -170.3644
4120.000000 87.312 -170.6091
4180.000000 87.113 -170.6915
4250.000000 86.895 -170.6286
4310.000000 86.725 -170.5029
4370.000000 86.567 -170.3497
4440.000000 86.391 -170.1620
4500.000000 86.245 -169.9974
4550.000000 86.125 -169.8529
4620.000000 85.959 -169.6352
4680.000000 85.818 -169.4264
4750.000000 85.655 -169.1577
4820.000000 85.492 -168.8624
4870.000000 85.376 -168.6354
4940.000000 85.213 -168.2802
5000.000000 85.074 -167.9389
5080.000000 84.890 -167.4317
5150.000000 84.731 -166.9393
5220.000000 84.575 -166.3992
5300.000000 84.400 -165.7100
5380.000000 84.231 -164.9532
5450.000000 84.088 -164.2385
5520.000000 83.950 -163.4692
5600.000000 83.800 -162.5204
5700.000000 83.628 -161.2481
