* Measurement data measured by REW V5.30.2
* Source: Headset (2- USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: 04/01/2024 10:48:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: R Jan 4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 91.163 -141.8938
20.299999 91.195 -142.7948
20.600000 91.227 -143.6653
20.900000 91.259 -144.5118
21.200001 91.292 -145.3458
21.400000 91.314 -145.9017
21.799999 91.359 -147.0276
22.000000 91.380 -147.6002
22.400000 91.414 -148.7567
22.700001 91.431 -149.6153
23.000000 91.441 -150.4430
23.299999 91.447 -151.2215
23.600000 91.452 -151.9429
24.000000 91.465 -152.8318
24.299999 91.483 -153.4750
24.700001 91.515 -154.3572
25.000000 91.542 -155.0632
25.400000 91.571 -156.0642
25.799999 91.586 -157.0889
26.200001 91.585 -158.0699
26.500000 91.579 -158.7469
26.900000 91.571 -159.5656
27.200001 91.569 -160.1332
27.600000 91.572 -160.8657
28.000000 91.580 -161.6026
28.500000 91.591 -162.5459
29.000000 91.598 -163.5016
29.500000 91.601 -164.4613
30.000000 91.599 -165.4320
30.400000 91.591 -166.2147
30.700001 91.580 -166.7963
31.100000 91.559 -167.5463
31.500000 91.532 -168.2478
32.000000 91.498 -169.0426
32.500000 91.471 -169.7662
33.000000 91.454 -170.4729
33.500000 91.445 -171.2180
34.000000 91.434 -172.0161
34.500000 91.415 -172.8306
35.000000 91.389 -173.6088
35.500000 91.363 -174.3340
36.000000 91.341 -175.0332
36.500000 91.321 -175.7365
37.000000 91.298 -176.4400
37.500000 91.270 -177.1195
38.200001 91.230 -178.0211
38.700001 91.201 -178.6469
39.500000 91.146 -179.5977
40.000000 91.112 179.8630
40.599998 91.077 179.2385
41.200001 91.046 178.5778
41.799999 91.008 177.8862
42.500000 90.955 177.1252
43.099998 90.912 176.5262
43.700001 90.877 175.9206
44.400002 90.833 175.1768
45.000000 90.788 174.5631
45.500000 90.750 174.1026
46.200001 90.705 173.5064
46.799999 90.673 172.9843
47.500000 90.630 172.3699
48.200001 90.586 171.8156
48.700001 90.561 171.4365
49.400002 90.531 170.8353
50.000000 90.493 170.2494
50.799999 90.415 169.5427
51.500000 90.347 169.0757
52.200001 90.292 168.6399
53.000000 90.233 168.0771
53.799999 90.167 167.5130
54.500000 90.108 167.0617
55.200001 90.054 166.6294
56.000000 89.995 166.1362
57.000000 89.922 165.5177
58.000000 89.846 164.9366
59.000000 89.775 164.3967
60.000000 89.705 163.8434
60.799999 89.647 163.4077
61.500000 89.595 163.0402
62.200001 89.542 162.6809
63.000000 89.482 162.2842
64.000000 89.407 161.8087
65.000000 89.333 161.3607
66.000000 89.261 160.9385
67.000000 89.190 160.5334
68.000000 89.121 160.1411
69.000000 89.049 159.7296
70.000000 88.972 159.3462
71.000000 88.896 158.9956
72.000000 88.821 158.6451
73.000000 88.747 158.3132
74.000000 88.676 157.9857
75.000000 88.606 157.6555
76.199997 88.522 157.2797
77.500000 88.432 156.8981
78.800003 88.341 156.5531
80.000000 88.258 156.2620
81.199997 88.173 155.9708
82.500000 88.078 155.6781
83.800003 87.984 155.4213
85.000000 87.906 155.1769
86.199997 87.826 154.8966
87.500000 87.738 154.6238
88.500000 87.671 154.4235
90.000000 87.570 154.1434
91.199997 87.488 153.9373
92.500000 87.398 153.7436
93.800003 87.310 153.5742
95.000000 87.230 153.4208
96.199997 87.147 153.2679
97.500000 87.053 153.1412
98.800003 86.962 153.0576
100.000000 86.882 152.9496
101.500000 86.768 152.7489
103.000000 86.643 152.6827
104.400002 86.537 152.6912
106.000000 86.417 152.6890
107.500000 86.294 152.7630
109.000000 86.164 152.9827
110.599998 86.025 153.3896
112.000000 85.911 153.9286
113.800003 85.800 154.9112
115.000000 85.764 155.6909
117.199997 85.802 157.0812
118.000000 85.849 157.4537
120.599998 86.058 157.6183
122.000000 86.147 157.1272
124.099998 86.207 156.0910
125.000000 86.206 155.6595
126.500000 86.178 155.0263
128.000000 86.125 154.5020
131.500000 85.951 153.6228
132.000000 85.924 153.5187
134.000000 85.817 153.1840
136.000000 85.717 152.9648
138.000000 85.622 152.8040
140.000000 85.525 152.6943
143.000000 85.387 152.5926
145.000000 85.300 152.5411
147.500000 85.191 152.5214
150.000000 85.086 152.5468
152.500000 84.982 152.5751
155.000000 84.880 152.6185
157.500000 84.781 152.6783
160.000000 84.683 152.7594
162.500000 84.587 152.8669
165.000000 84.496 152.9876
167.500000 84.410 153.1024
170.000000 84.324 153.2349
172.500000 84.236 153.4007
175.000000 84.150 153.5894
177.500000 84.068 153.7924
180.000000 83.990 154.0265
182.500000 83.916 154.3026
185.000000 83.846 154.5574
187.500000 83.777 154.8267
190.000000 83.713 155.1497
192.500000 83.655 155.4959
195.000000 83.605 155.8353
197.500000 83.566 156.1459
200.000000 83.537 156.4337
203.000000 83.512 156.7476
206.000000 83.486 156.9411
209.000000 83.457 157.0219
212.000000 83.422 157.0197
214.000000 83.392 157.0130
218.000000 83.319 157.0329
220.000000 83.277 157.0623
224.000000 83.190 157.1806
227.000000 83.126 157.2978
230.000000 83.062 157.4225
233.000000 82.998 157.5732
236.000000 82.936 157.7472
240.000000 82.858 158.0210
243.000000 82.801 158.2316
247.000000 82.727 158.5060
250.000000 82.674 158.7094
254.000000 82.600 159.0138
258.000000 82.528 159.3064
262.000000 82.462 159.5992
265.000000 82.413 159.8352
269.000000 82.351 160.1656
272.000000 82.305 160.4063
276.000000 82.248 160.7108
280.000000 82.192 161.0095
285.000000 82.123 161.4258
290.000000 82.056 161.8243
295.000000 81.990 162.2004
300.000000 81.930 162.6050
304.000000 81.881 162.9397
307.000000 81.844 163.1885
311.000000 81.798 163.5135
315.000000 81.754 163.8324
320.000000 81.702 164.2405
325.000000 81.652 164.6466
330.000000 81.602 165.0515
335.000000 81.553 165.4503
340.000000 81.505 165.8380
345.000000 81.459 166.2678
350.000000 81.416 166.6909
355.000000 81.375 167.0686
360.000000 81.335 167.4452
365.000000 81.295 167.8332
370.000000 81.256 168.2071
375.000000 81.221 168.5848
382.000000 81.174 169.1430
387.000000 81.140 169.5260
395.000000 81.089 170.1400
400.000000 81.059 170.5211
406.000000 81.025 170.9735
412.000000 80.992 171.4202
418.000000 80.958 171.8546
425.000000 80.919 172.3611
431.000000 80.889 172.8052
437.000000 80.861 173.2427
444.000000 80.827 173.7404
450.000000 80.800 174.1617
455.000000 80.779 174.5193
462.000000 80.748 175.0459
468.000000 80.724 175.4807
475.000000 80.699 175.9824
482.000000 80.673 176.4746
487.000000 80.657 176.8058
494.000000 80.637 177.2939
500.000000 80.620 177.7281
508.000000 80.595 178.2611
515.000000 80.572 178.7237
522.000000 80.553 179.2000
530.000000 80.536 179.7520
538.000000 80.520 -179.7277
545.000000 80.499 -179.2460
552.000000 80.481 -178.7463
560.000000 80.464 -178.2226
570.000000 80.439 -177.5485
580.000000 80.421 -176.8733
590.000000 80.410 -176.1857
600.000000 80.401 -175.5348
608.000000 80.387 -175.0124
615.000000 80.377 -174.5431
622.000000 80.371 -174.0674
630.000000 80.368 -173.5342
640.000000 80.367 -172.8841
650.000000 80.365 -172.2139
660.000000 80.360 -171.5822
670.000000 80.356 -170.9702
680.000000 80.356 -170.3331
690.000000 80.358 -169.6940
700.000000 80.360 -169.0648
710.000000 80.364 -168.4411
720.000000 80.368 -167.8159
730.000000 80.373 -167.1760
740.000000 80.380 -166.5374
750.000000 80.391 -165.9044
762.000000 80.406 -165.1432
775.000000 80.423 -164.3059
788.000000 80.444 -163.4696
800.000000 80.467 -162.7043
812.000000 80.493 -161.9312
825.000000 80.524 -161.0970
838.000000 80.560 -160.2566
850.000000 80.596 -159.4855
862.000000 80.636 -158.7234
875.000000 80.684 -157.8943
885.000000 80.725 -157.2738
900.000000 80.793 -156.3697
912.000000 80.850 -155.6552
925.000000 80.915 -154.8853
938.000000 80.984 -154.1441
950.000000 81.052 -153.4829
962.000000 81.123 -152.8433
975.000000 81.204 -152.1715
988.000000 81.289 -151.5243
1000.000000 81.369 -150.9550
1015.000000 81.472 -150.2915
1030.000000 81.578 -149.6719
1044.000000 81.679 -149.1337
1060.000000 81.796 -148.5650
1075.000000 81.907 -148.0728
1090.000000 82.017 -147.6286
1106.000000 82.134 -147.1977
1120.000000 82.236 -146.8592
1138.000000 82.364 -146.4697
1150.000000 82.449 -146.2394
1172.000000 82.598 -145.8685
1180.000000 82.650 -145.7474
1206.000000 82.815 -145.4031
1220.000000 82.900 -145.2470
1241.000000 83.025 -145.0406
1250.000000 83.076 -144.9612
1265.000000 83.160 -144.8435
1280.000000 83.239 -144.7357
1315.000000 83.416 -144.5032
1320.000000 83.440 -144.4721
1340.000000 83.532 -144.3528
1360.000000 83.621 -144.2417
1380.000000 83.707 -144.1358
1400.000000 83.792 -144.0267
1430.000000 83.912 -143.8620
1450.000000 83.990 -143.7480
1475.000000 84.084 -143.6051
1500.000000 84.177 -143.4701
1525.000000 84.269 -143.3362
1550.000000 84.358 -143.1946
1575.000000 84.445 -143.0492
1600.000000 84.533 -142.9041
1625.000000 84.620 -142.7641
1650.000000 84.707 -142.6219
1675.000000 84.793 -142.4717
1700.000000 84.880 -142.3207
1725.000000 84.968 -142.1764
1750.000000 85.057 -142.0331
1775.000000 85.149 -141.9021
1800.000000 85.243 -141.7919
1825.000000 85.337 -141.7014
1850.000000 85.430 -141.6266
1875.000000 85.522 -141.5624
1900.000000 85.615 -141.5115
1925.000000 85.708 -141.4718
1950.000000 85.803 -141.4444
1975.000000 85.898 -141.4358
2000.000000 85.994 -141.4494
2030.000000 86.109 -141.5000
2060.000000 86.222 -141.5812
2090.000000 86.333 -141.6881
2120.000000 86.443 -141.8192
2140.000000 86.516 -141.9185
2180.000000 86.659 -142.1427
2200.000000 86.729 -142.2701
2240.000000 86.869 -142.5671
2270.000000 86.973 -142.8209
2300.000000 87.075 -143.0982
2330.000000 87.175 -143.3992
2360.000000 87.272 -143.7292
2400.000000 87.399 -144.2169
2430.000000 87.492 -144.6131
2470.000000 87.611 -145.1784
2500.000000 87.696 -145.6337
2540.000000 87.804 -146.2847
2580.000000 87.904 -146.9780
2620.000000 87.998 -147.7102
2650.000000 88.064 -148.2818
2690.000000 88.143 -149.0770
2720.000000 88.196 -149.6933
2760.000000 88.259 -150.5354
2800.000000 88.313 -151.3963
2850.000000 88.365 -152.4964
2900.000000 88.400 -153.5981
2950.000000 88.420 -154.6740
3000.000000 88.428 -155.7207
3040.000000 88.427 -156.5276
3070.000000 88.424 -157.1137
3110.000000 88.418 -157.8782
3150.000000 88.410 -158.6439
3200.000000 88.397 -159.6309
3250.000000 88.374 -160.6530
3300.000000 88.339 -161.6803
3350.000000 88.291 -162.6855
3400.000000 88.236 -163.6711
3450.000000 88.175 -164.6615
3500.000000 88.105 -165.6746
3550.000000 88.021 -166.7124
3600.000000 87.919 -167.7471
3650.000000 87.797 -168.7448
3700.000000 87.657 -169.6796
3750.000000 87.504 -170.5229
3820.000000 87.272 -171.5248
3870.000000 87.100 -172.1176
3950.000000 86.820 -172.8866
4000.000000 86.644 -173.2848
4060.000000 86.429 -173.7024
4120.000000 86.208 -174.0462
4180.000000 85.979 -174.3026
4250.000000 85.702 -174.4514
4310.000000 85.459 -174.4240
4370.000000 85.217 -174.2453
4440.000000 84.942 -173.8403
4500.000000 84.719 -173.3418
4550.000000 84.547 -172.8442
4620.000000 84.326 -172.0770
4680.000000 84.153 -171.3895
4750.000000 83.968 -170.5903
4820.000000 83.795 -169.8008
4870.000000 83.675 -169.2447
4940.000000 83.512 -168.4648
5000.000000 83.373 -167.7816
5080.000000 83.193 -166.8299
5150.000000 83.039 -165.9468
5220.000000 82.889 -165.0209
5300.000000 82.726 -163.8911
5380.000000 82.576 -162.6816
5450.000000 82.456 -161.5719
5520.000000 82.348 -160.4152
5600.000000 82.240 -159.0583
5700.000000 82.132 -157.3406
