* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 01/11/2023 2:17:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AUR Audio Aurora L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	100.966	159.4205
20.299999	100.938	158.8385
20.600000	100.912	158.2651
20.900000	100.886	157.6945
21.200001	100.860	157.1277
21.400000	100.842	156.7566
21.799999	100.806	156.0379
22.000000	100.789	155.6915
22.400000	100.757	155.0180
22.700001	100.735	154.5164
23.000000	100.715	154.0049
23.299999	100.694	153.4811
23.600000	100.671	152.9513
24.000000	100.635	152.2522
24.299999	100.605	151.7454
24.700001	100.564	151.0963
25.000000	100.534	150.6221
25.400000	100.495	149.9934
25.799999	100.456	149.3611
26.200001	100.414	148.7314
26.500000	100.382	148.2677
26.900000	100.339	147.6646
27.200001	100.307	147.2209
27.600000	100.267	146.6332
28.000000	100.228	146.0435
28.500000	100.179	145.3063
29.000000	100.129	144.5822
29.500000	100.079	143.8791
30.000000	100.032	143.1911
30.400000	99.994	142.6450
30.700001	99.966	142.2361
31.100000	99.927	141.6938
31.500000	99.886	141.1587
32.000000	99.832	140.5068
32.500000	99.776	139.8775
33.000000	99.720	139.2701
33.500000	99.663	138.6791
34.000000	99.609	138.0944
34.500000	99.555	137.5045
35.000000	99.502	136.9036
35.500000	99.449	136.2941
36.000000	99.396	135.6808
36.500000	99.342	135.0680
37.000000	99.288	134.4658
37.500000	99.234	133.8893
38.200001	99.162	133.1272
38.700001	99.115	132.5931
39.500000	99.035	131.7763
40.000000	98.987	131.3285
40.599998	98.939	130.7999
41.200001	98.890	130.1645
41.799999	98.815	129.5007
42.500000	98.705	128.9738
43.099998	98.640	128.6724
43.700001	98.598	128.2012
44.400002	98.527	127.4705
45.000000	98.451	126.9705
45.500000	98.409	126.5869
46.200001	98.359	125.8293
46.799999	98.279	125.1875
47.500000	98.202	124.9338
48.200001	98.239	124.6423
48.700001	98.288	123.9003
49.400002	98.253	122.4035
50.000000	98.130	121.5164
50.799999	97.994	121.1205
51.500000	97.946	120.7465
52.200001	97.890	120.1307
53.000000	97.800	119.4871
53.799999	97.718	118.9059
54.500000	97.650	118.3406
55.200001	97.580	117.7417
56.000000	97.495	117.0382
57.000000	97.381	116.2878
58.000000	97.300	115.7021
59.000000	97.246	114.9425
60.000000	97.164	114.0753
60.799999	97.082	113.4823
61.500000	97.009	113.0391
62.200001	96.940	112.6317
63.000000	96.868	112.1726
64.000000	96.786	111.5430
65.000000	96.707	110.8306
66.000000	96.622	110.0890
67.000000	96.532	109.3923
68.000000	96.447	108.7736
69.000000	96.369	108.1812
70.000000	96.291	107.5864
71.000000	96.210	107.0084
72.000000	96.129	106.4440
73.000000	96.048	105.8765
74.000000	95.967	105.3077
75.000000	95.887	104.7527
76.199997	95.795	104.1095
77.500000	95.699	103.4072
78.800003	95.601	102.7122
80.000000	95.510	102.1074
81.199997	95.424	101.5108
82.500000	95.334	100.8470
83.800003	95.243	100.1801
85.000000	95.159	99.5881
86.199997	95.077	99.0245
87.500000	94.990	98.4163
88.500000	94.922	97.9480
90.000000	94.818	97.2567
91.199997	94.733	96.7039
92.500000	94.638	96.1274
93.800003	94.545	95.5781
95.000000	94.462	95.0733
96.199997	94.379	94.5630
97.500000	94.288	94.0162
98.800003	94.194	93.5056
100.000000	94.107	93.0839
101.500000	93.999	92.6053
103.000000	93.891	92.1796
104.400002	93.792	91.8055
106.000000	93.679	91.3835
107.500000	93.569	91.0424
109.000000	93.458	90.8480
110.599998	93.349	90.8379
112.000000	93.273	90.9589
113.800003	93.210	91.1558
115.000000	93.195	91.2606
117.199997	93.231	91.1954
118.000000	93.256	91.0457
120.599998	93.333	90.1913
122.000000	93.359	89.5784
124.099998	93.369	88.5674
125.000000	93.368	88.1205
126.500000	93.364	87.3386
128.000000	93.352	86.5115
131.500000	93.281	84.6902
132.000000	93.267	84.4459
134.000000	93.201	83.4992
136.000000	93.124	82.6096
138.000000	93.043	81.7678
140.000000	92.962	80.9757
143.000000	92.842	79.8836
145.000000	92.763	79.2065
147.500000	92.668	78.4001
150.000000	92.576	77.6291
152.500000	92.489	76.8989
155.000000	92.404	76.1935
157.500000	92.321	75.5156
160.000000	92.241	74.8556
162.500000	92.163	74.2204
165.000000	92.088	73.6054
167.500000	92.015	72.9927
170.000000	91.944	72.3965
