* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -6.0 dBFS with no timing reference
* Dated: 01/11/2023 2:19:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AUR Audio Aurora R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.001	162.8685
20.299999	100.988	162.2436
20.600000	100.976	161.5922
20.900000	100.960	160.9120
21.200001	100.937	160.2152
21.400000	100.917	159.7580
21.799999	100.867	158.8946
22.000000	100.839	158.5020
22.400000	100.784	157.8051
22.700001	100.748	157.3403
23.000000	100.718	156.8936
23.299999	100.693	156.4401
23.600000	100.670	155.9711
24.000000	100.639	155.3282
24.299999	100.613	154.8496
24.700001	100.579	154.2319
25.000000	100.556	153.7795
25.400000	100.529	153.1668
25.799999	100.505	152.5144
26.200001	100.478	151.8180
26.500000	100.454	151.2830
26.900000	100.415	150.5810
27.200001	100.383	150.0777
27.600000	100.340	149.4409
28.000000	100.299	148.8301
28.500000	100.249	148.0827
29.000000	100.199	147.3578
29.500000	100.148	146.6766
30.000000	100.100	146.0392
30.400000	100.065	145.5430
30.700001	100.040	145.1711
31.100000	100.005	144.6791
31.500000	99.969	144.2054
32.000000	99.924	143.6543
32.500000	99.887	143.1260
33.000000	99.857	142.5580
33.500000	99.825	141.9130
34.000000	99.783	141.2229
34.500000	99.729	140.5612
35.000000	99.673	139.9621
35.500000	99.624	139.3887
36.000000	99.580	138.7824
36.500000	99.534	138.1346
37.000000	99.483	137.4916
37.500000	99.430	136.8883
38.200001	99.363	136.0695
38.700001	99.318	135.4649
39.500000	99.237	134.5344
40.000000	99.189	134.0110
40.599998	99.137	133.3889
41.200001	99.083	132.7476
41.799999	99.021	132.1767
42.500000	98.964	131.6334
43.099998	98.936	131.0940
43.700001	98.899	130.4007
44.400002	98.825	129.6110
45.000000	98.756	129.0921
45.500000	98.710	128.6790
46.200001	98.647	127.9994
46.799999	98.573	127.4352
47.500000	98.489	126.9669
48.200001	98.438	126.5103
48.700001	98.410	126.0518
49.400002	98.349	125.2947
50.000000	98.281	124.7037
50.799999	98.196	124.0226
51.500000	98.132	123.4035
52.200001	98.065	122.7554
53.000000	97.987	122.0497
53.799999	97.913	121.3808
54.500000	97.853	120.8062
55.200001	97.797	120.2223
56.000000	97.727	119.5324
57.000000	97.624	118.7946
58.000000	97.545	118.2483
59.000000	97.494	117.4886
60.000000	97.401	116.5617
60.799999	97.303	116.0006
61.500000	97.226	115.6661
62.200001	97.171	115.3848
63.000000	97.135	114.9795
64.000000	97.097	114.2021
65.000000	97.028	113.2903
66.000000	96.933	112.4961
67.000000	96.836	111.8627
68.000000	96.752	111.3243
69.000000	96.680	110.7760
70.000000	96.610	110.1797
71.000000	96.535	109.5624
72.000000	96.458	108.9565
73.000000	96.382	108.3629
74.000000	96.309	107.7496
75.000000	96.233	107.1328
76.199997	96.141	106.4464
77.500000	96.047	105.7257
78.800003	95.954	105.0401
80.000000	95.876	104.4411
81.199997	95.803	103.8067
82.500000	95.720	103.1006
83.800003	95.636	102.4240
85.000000	95.559	101.8245
86.199997	95.483	101.2439
87.500000	95.404	100.6118
88.500000	95.341	100.1136
90.000000	95.245	99.3852
91.199997	95.168	98.8218
92.500000	95.089	98.2353
93.800003	95.012	97.6665
95.000000	94.942	97.1533
96.199997	94.871	96.6608
97.500000	94.797	96.1383
98.800003	94.723	95.5939
100.000000	94.653	95.0903
101.500000	94.570	94.4594
103.000000	94.490	93.8257
104.400002	94.418	93.2510
106.000000	94.338	92.6176
107.500000	94.265	92.0423
109.000000	94.194	91.4676
110.599998	94.118	90.8539
112.000000	94.052	90.3173
113.800003	93.967	89.6359
115.000000	93.911	89.1868
117.199997	93.805	88.3807
118.000000	93.767	88.0941
120.599998	93.646	87.1719
122.000000	93.582	86.6796
124.099998	93.487	85.9622
125.000000	93.446	85.6661
126.500000	93.379	85.1873
128.000000	93.314	84.7274
131.500000	93.172	83.6703
132.000000	93.152	83.5172
134.000000	93.064	82.9192
136.000000	92.973	82.3554
138.000000	92.884	81.8201
140.000000	92.797	81.3122
143.000000	92.674	80.6221
145.000000	92.591	80.2054
147.500000	92.491	79.7688
150.000000	92.401	79.4432
152.500000	92.332	79.2267
155.000000	92.289	79.0549
157.500000	92.278	78.8175
160.000000	92.291	78.4070
162.500000	92.310	77.8040
165.000000	92.320	77.0258
167.500000	92.312	76.1515
170.000000	92.284	75.2448
172.500000	92.238	74.3699
175.000000	92.185	73.5400
177.500000	92.129	72.7529
180.000000	92.071	72.0294
182.500000	92.011	71.3646
185.000000	91.951	70.7343
187.500000	91.893	70.1253
190.000000	91.837	69.5406
192.500000	91.782	68.9882
195.000000	91.729	68.4539
197.500000	91.677	67.9210
200.000000	91.628	67.3861
203.000000	91.572	66.7672
206.000000	91.518	66.1796
209.000000	91.465	65.6064
212.000000	91.414	65.0449
214.000000	91.380	64.6826
218.000000	91.315	63.9936
220.000000	91.284	63.6532
224.000000	91.221	62.9657
227.000000	91.174	62.4774
230.000000	91.131	62.0122
233.000000	91.092	61.5522
236.000000	91.053	61.1003
240.000000	91.003	60.5114
243.000000	90.966	60.0771
247.000000	90.916	59.5194
250.000000	90.883	59.1156
254.000000	90.845	58.5857
258.000000	90.806	58.0771
262.000000	90.767	57.5928
265.000000	90.740	57.2344
269.000000	90.705	56.7396
272.000000	90.679	56.3763
276.000000	90.645	55.9117
280.000000	90.615	55.4637
285.000000	90.583	54.9250
290.000000	90.550	54.4048
295.000000	90.519	53.8896
300.000000	90.490	53.3866
304.000000	90.467	52.9992
307.000000	90.450	52.7166
311.000000	90.429	52.3473
315.000000	90.409	51.9918
320.000000	90.386	51.5674
325.000000	90.364	51.1522
330.000000	90.344	50.7533
335.000000	90.325	50.3568
340.000000	90.308	49.9744
345.000000	90.291	49.6219
350.000000	90.277	49.2819
355.000000	90.265	48.9530
360.000000	90.253	48.6425
365.000000	90.243	48.3404
370.000000	90.235	48.0530
375.000000	90.230	47.7883
382.000000	90.227	47.4389
387.000000	90.228	47.1943
395.000000	90.237	46.8055
400.000000	90.245	46.5600
406.000000	90.257	46.2561
412.000000	90.271	45.9432
418.000000	90.285	45.6249
425.000000	90.300	45.2526
431.000000	90.313	44.9359
437.000000	90.326	44.6296
444.000000	90.342	44.2803
450.000000	90.356	43.9806
455.000000	90.368	43.7338
462.000000	90.389	43.3972
468.000000	90.406	43.1115
475.000000	90.426	42.7830
482.000000	90.447	42.4660
487.000000	90.461	42.2440
494.000000	90.480	41.9333
500.000000	90.498	41.6692
508.000000	90.524	41.3235
515.000000	90.548	41.0210
522.000000	90.572	40.7134
530.000000	90.598	40.3605
538.000000	90.626	40.0150
545.000000	90.650	39.7234
552.000000	90.673	39.4390
560.000000	90.698	39.1065
570.000000	90.729	38.6903
580.000000	90.760	38.2865
590.000000	90.793	37.9044
600.000000	90.828	37.5296
608.000000	90.858	37.2097
615.000000	90.883	36.9142
622.000000	90.907	36.6105
630.000000	90.930	36.2628
640.000000	90.956	35.8343
650.000000	90.978	35.4104
660.000000	90.997	34.9963
670.000000	91.014	34.5945
680.000000	91.028	34.2138
690.000000	91.040	33.8525
700.000000	91.050	33.5027
710.000000	91.058	33.1691
720.000000	91.065	32.8563
730.000000	91.070	32.5670
740.000000	91.074	32.2941
750.000000	91.075	32.0419
762.000000	91.075	31.7712
775.000000	91.075	31.5259
788.000000	91.074	31.3317
800.000000	91.075	31.1795
812.000000	91.076	31.0566
825.000000	91.079	30.9660
838.000000	91.085	30.9197
850.000000	91.093	30.9049
862.000000	91.103	30.9157
875.000000	91.119	30.9521
885.000000	91.135	30.9965
900.000000	91.164	31.0892
912.000000	91.190	31.1840
925.000000	91.223	31.2987
938.000000	91.260	31.4214
950.000000	91.300	31.5375
962.000000	91.344	31.6522
975.000000	91.399	31.7740
988.000000	91.458	31.8888
1000.000000	91.516	31.9844
1015.000000	91.594	32.0856
1030.000000	91.675	32.1632
1044.000000	91.754	32.2147
1060.000000	91.847	32.2505
1075.000000	91.938	32.2537
1090.000000	92.031	32.2141
1106.000000	92.132	32.1268
1120.000000	92.221	32.0233
1138.000000	92.335	31.8608
1150.000000	92.409	31.7339
1172.000000	92.542	31.4554
1180.000000	92.588	31.3411
1206.000000	92.735	30.9394
1220.000000	92.811	30.7098
1241.000000	92.921	30.3467
1250.000000	92.967	30.1833
1265.000000	93.043	29.9014
1280.000000	93.117	29.6123
1315.000000	93.280	28.9510
1320.000000	93.302	28.8571
1340.000000	93.388	28.4792
1360.000000	93.471	28.1045
1380.000000	93.551	27.7411
1400.000000	93.629	27.3872
1430.000000	93.744	26.8641
1450.000000	93.821	26.5204
1475.000000	93.916	26.1002
1500.000000	94.011	25.6884
1525.000000	94.105	25.2820
1550.000000	94.199	24.8784
1575.000000	94.292	24.4778
1600.000000	94.384	24.0787
1625.000000	94.477	23.6753
1650.000000	94.571	23.2686
1675.000000	94.666	22.8560
1700.000000	94.762	22.4312
1725.000000	94.858	21.9946
1750.000000	94.953	21.5481
1775.000000	95.049	21.0913
1800.000000	95.144	20.6204
1825.000000	95.240	20.1279
1850.000000	95.335	19.6149
1875.000000	95.428	19.0909
1900.000000	95.520	18.5529
1925.000000	95.611	17.9911
1950.000000	95.700	17.4088
1975.000000	95.789	16.8096
2000.000000	95.876	16.1921
2030.000000	95.976	15.4293
2060.000000	96.073	14.6411
2090.000000	96.166	13.8270
2120.000000	96.253	12.9945
2140.000000	96.309	12.4298
2180.000000	96.414	11.2693
2200.000000	96.464	10.6783
2240.000000	96.558	9.4795
2270.000000	96.621	8.5622
2300.000000	96.677	7.6440
2330.000000	96.727	6.7274
2360.000000	96.771	5.8045
2400.000000	96.822	4.5786
2430.000000	96.854	3.6719
2470.000000	96.890	2.4761
2500.000000	96.913	1.5879
2540.000000	96.940	0.4170
2580.000000	96.962	-0.7482
2620.000000	96.977	-1.9106
2650.000000	96.983	-2.7822
2690.000000	96.984	-3.9479
2720.000000	96.979	-4.8224
2760.000000	96.965	-5.9784
2800.000000	96.942	-7.1108
2850.000000	96.903	-8.4901
2900.000000	96.853	-9.8143
2950.000000	96.795	-11.0769
3000.000000	96.728	-12.2831
3040.000000	96.668	-13.1964
3070.000000	96.620	-13.8501
3110.000000	96.555	-14.6875
3150.000000	96.490	-15.4873
3200.000000	96.408	-16.4373
3250.000000	96.327	-17.3370
3300.000000	96.246	-18.1787
3350.000000	96.167	-18.9718
3400.000000	96.090	-19.7350
3450.000000	96.018	-20.4768
3500.000000	95.948	-21.2156
3550.000000	95.881	-21.9689
3600.000000	95.815	-22.7376
3650.000000	95.747	-23.5309
3700.000000	95.679	-24.3542
3750.000000	95.607	-25.2037
3820.000000	95.498	-26.4399
3870.000000	95.410	-27.3518
3950.000000	95.246	-28.8345
4000.000000	95.128	-29.7650
4060.000000	94.970	-30.8614
4120.000000	94.794	-31.9087
4180.000000	94.599	-32.8857
4250.000000	94.353	-33.9058
4310.000000	94.127	-34.6602
4370.000000	93.891	-35.2862
4440.000000	93.603	-35.8321
4500.000000	93.349	-36.1345
4550.000000	93.134	-36.2657
4620.000000	92.834	-36.2643
4680.000000	92.580	-36.0977
4750.000000	92.292	-35.7118
4820.000000	92.016	-35.1257
4870.000000	91.827	-34.5915
4940.000000	91.577	-33.6915
5000.000000	91.381	-32.7870
5080.000000	91.147	-31.4058
5150.000000	90.971	-30.0433
5220.000000	90.826	-28.5551
5300.000000	90.705	-26.7399
5380.000000	90.641	-24.8586
5450.000000	90.635	-23.2090
5520.000000	90.680	-21.6236
5600.000000	90.794	-19.9908
5700.000000	91.029	-18.4335
5800.000000	91.341	-17.7238
5900.000000	91.673	-18.1781
6000.000000	91.930	-19.9113
6080.000000	92.012	-22.0399
6150.000000	91.960	-24.1390
6220.000000	91.788	-26.1257
6300.000000	91.462	-27.8787
6400.000000	90.932	-28.8792
6500.000000	90.367	-28.4548
6600.000000	89.860	-26.8109
6700.000000	89.464	-24.2922
6800.000000	89.201	-21.2393
6900.000000	89.075	-17.9279
7000.000000	89.082	-14.5771
7100.000000	89.217	-11.3748
7200.000000	89.471	-8.4727
7300.000000	89.836	-5.9902
7400.000000	90.311	-4.1005
7500.000000	90.879	-3.0244
7620.000000	91.646	-3.0986
7750.000000	92.505	-5.2720
7880.000000	93.255	-9.9515
8000.000000	93.698	-16.3620
8120.000000	93.786	-24.0154
8250.000000	93.431	-32.3126
8380.000000	92.670	-39.1930
8500.000000	91.730	-43.5946
8620.000000	90.687	-46.0504
8750.000000	89.548	-46.7734
8850.000000	88.718	-46.1930
9000.000000	87.606	-43.9227
9120.000000	86.862	-41.3228
9250.000000	86.201	-38.1542
9380.000000	85.656	-34.8414
9500.000000	85.234	-31.6829
9620.000000	84.886	-28.4291
9750.000000	84.595	-24.8571
9880.000000	84.396	-21.3462
10000.000000	84.291	-18.2592
10150.000000	84.256	-14.7477
10300.000000	84.311	-11.7776
10440.000000	84.422	-9.6316
10600.000000	84.583	-8.0635
10750.000000	84.724	-7.5353
10900.000000	84.802	-7.8784
11060.000000	84.766	-8.9904
11200.000000	84.605	-10.3008
11380.000000	84.212	-11.9824
11500.000000	83.839	-12.8822
11720.000000	82.933	-13.5002
11800.000000	82.541	-13.1881
12060.000000	81.219	-9.5903
12200.000000	80.587	-6.3471
12410.000000	79.807	-0.5647
12500.000000	79.534	2.1335
12650.000000	79.157	6.8085
12800.000000	78.871	11.5912
13150.000000	78.500	22.8651
13200.000000	78.479	24.4883
13400.000000	78.474	30.9816
13600.000000	78.606	37.3773
13800.000000	78.878	43.5353
14000.000000	79.290	49.3010
14300.000000	80.159	56.8926
14500.000000	80.898	61.0154
14750.000000	81.980	64.8041
15000.000000	83.219	66.6899
15250.000000	84.536	65.9212
15500.000000	85.728	61.7501
15750.000000	86.511	54.4876
16000.000000	86.727	46.2289
16250.000000	86.491	39.4430
16500.000000	86.081	34.9933
16750.000000	85.735	32.1608
17000.000000	85.536	29.7474
17250.000000	85.436	26.8533
17500.000000	85.339	23.0790
17750.000000	85.146	18.3781
18000.000000	84.749	13.1398
18250.000000	84.092	8.5569
18500.000000	83.296	5.6893
18750.000000	82.565	4.2083
19000.000000	81.947	3.1884
19250.000000	81.388	2.4445
19500.000000	80.902	2.1049
19750.000000	80.546	1.9455
