* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 01/11/2023 12:11:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Astell&Kern Aura L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.614	-0.8365
20.299999	101.610	-1.0555
20.600000	101.608	-1.2675
20.900000	101.607	-1.4795
21.200001	101.607	-1.6976
21.400000	101.607	-1.8460
21.799999	101.603	-2.1432
22.000000	101.599	-2.2877
22.400000	101.590	-2.5596
22.700001	101.582	-2.7472
23.000000	101.574	-2.9239
23.299999	101.566	-3.0952
23.600000	101.559	-3.2643
24.000000	101.548	-3.4884
24.299999	101.539	-3.6547
24.700001	101.526	-3.8732
25.000000	101.517	-4.0362
25.400000	101.505	-4.2563
25.799999	101.492	-4.4815
26.200001	101.479	-4.7089
26.500000	101.469	-4.8774
26.900000	101.456	-5.0968
27.200001	101.446	-5.2582
27.600000	101.435	-5.4734
28.000000	101.426	-5.6923
28.500000	101.413	-5.9699
29.000000	101.401	-6.2416
29.500000	101.388	-6.4979
30.000000	101.376	-6.7388
30.400000	101.367	-6.9250
30.700001	101.361	-7.0627
31.100000	101.353	-7.2441
31.500000	101.343	-7.4212
32.000000	101.331	-7.6334
32.500000	101.318	-7.8350
33.000000	101.305	-8.0302
33.500000	101.291	-8.2240
34.000000	101.277	-8.4184
34.500000	101.263	-8.6116
35.000000	101.248	-8.8029
35.500000	101.234	-8.9950
36.000000	101.220	-9.1918
36.500000	101.206	-9.3937
37.000000	101.192	-9.5962
37.500000	101.177	-9.7926
38.200001	101.157	-10.0501
38.700001	101.144	-10.2251
39.500000	101.127	-10.5073
40.000000	101.116	-10.6866
40.599998	101.101	-10.8937
41.200001	101.086	-11.0838
41.799999	101.072	-11.2643
42.500000	101.055	-11.4753
43.099998	101.040	-11.6566
43.700001	101.024	-11.8410
44.400002	101.003	-12.0618
45.000000	100.983	-12.2397
45.500000	100.967	-12.3794
46.200001	100.947	-12.6085
46.799999	100.923	-12.8512
47.500000	100.879	-13.0684
48.200001	100.842	-13.1135
48.700001	100.836	-13.1170
49.400002	100.847	-13.2647
50.000000	100.849	-13.5319
50.799999	100.831	-13.8897
51.500000	100.811	-14.1200
52.200001	100.795	-14.3293
53.000000	100.777	-14.5658
53.799999	100.758	-14.7744
54.500000	100.742	-14.9397
55.200001	100.726	-15.0949
56.000000	100.709	-15.2723
57.000000	100.686	-15.5201
58.000000	100.657	-15.7699
59.000000	100.629	-15.9997
60.000000	100.603	-16.2307
60.799999	100.585	-16.4270
61.500000	100.567	-16.5999
62.200001	100.550	-16.7628
63.000000	100.530	-16.9370
64.000000	100.508	-17.1534
65.000000	100.484	-17.3680
66.000000	100.461	-17.5811
67.000000	100.436	-17.8042
68.000000	100.409	-18.0230
69.000000	100.384	-18.2316
70.000000	100.360	-18.4432
71.000000	100.338	-18.6591
72.000000	100.314	-18.8713
73.000000	100.291	-19.0758
74.000000	100.268	-19.2751
75.000000	100.245	-19.4793
76.199997	100.215	-19.7290
77.500000	100.181	-19.9775
78.800003	100.150	-20.2244
80.000000	100.123	-20.4660
81.199997	100.093	-20.7076
82.500000	100.062	-20.9555
83.800003	100.031	-21.2041
85.000000	100.003	-21.4368
86.199997	99.973	-21.6687
87.500000	99.940	-21.9179
88.500000	99.914	-22.1050
90.000000	99.875	-22.3839
91.199997	99.843	-22.6032
92.500000	99.809	-22.8398
93.800003	99.775	-23.0726
95.000000	99.744	-23.2828
96.199997	99.713	-23.4966
97.500000	99.680	-23.7431
98.800003	99.642	-23.9924
100.000000	99.606	-24.1950
101.500000	99.565	-24.4188
103.000000	99.526	-24.6553
104.400002	99.487	-24.8769
106.000000	99.441	-25.1227
107.500000	99.396	-25.3541
109.000000	99.351	-25.5905
110.599998	99.302	-25.8429
112.000000	99.259	-26.0620
113.800003	99.202	-26.3307
115.000000	99.163	-26.4995
117.199997	99.089	-26.8025
118.000000	99.061	-26.9109
120.599998	98.966	-27.2382
122.000000	98.912	-27.3909
124.099998	98.828	-27.5899
125.000000	98.790	-27.6614
126.500000	98.724	-27.7582
128.000000	98.656	-27.8227
131.500000	98.485	-27.7626
132.000000	98.461	-27.7161
134.000000	98.367	-27.4021
136.000000	98.293	-26.8666
138.000000	98.267	-26.1484
140.000000	98.309	-25.4653
143.000000	98.465	-25.1338
145.000000	98.565	-25.4973
147.500000	98.632	-26.3088
150.000000	98.639	-27.1849
152.500000	98.606	-27.9756
155.000000	98.549	-28.6456
157.500000	98.480	-29.2067
160.000000	98.407	-29.6791
162.500000	98.334	-30.0824
165.000000	98.261	-30.4351
167.500000	98.188	-30.7459
170.000000	98.116	-31.0191
172.500000	98.046	-31.2570
175.000000	97.977	-31.4651
177.500000	97.912	-31.6538
180.000000	97.850	-31.8360
182.500000	97.791	-32.0199
185.000000	97.733	-32.2080
187.500000	97.676	-32.4038
190.000000	97.618	-32.6070
192.500000	97.558	-32.8111
195.000000	97.497	-33.0122
197.500000	97.434	-33.2064
200.000000	97.370	-33.3881
