* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 01/11/2023 12:13:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Astell&Kern Aura R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	102.443	-3.2363
20.299999	102.439	-3.5029
20.600000	102.435	-3.7545
20.900000	102.432	-3.9955
21.200001	102.430	-4.2341
21.400000	102.428	-4.3954
21.799999	102.420	-4.7208
22.000000	102.413	-4.8803
22.400000	102.396	-5.1777
22.700001	102.379	-5.3714
23.000000	102.363	-5.5386
23.299999	102.349	-5.6906
23.600000	102.336	-5.8414
24.000000	102.321	-6.0598
24.299999	102.309	-6.2415
24.700001	102.291	-6.4988
25.000000	102.276	-6.6922
25.400000	102.254	-6.9425
25.799999	102.235	-7.1892
26.200001	102.217	-7.4461
26.500000	102.205	-7.6497
26.900000	102.188	-7.9314
27.200001	102.174	-8.1419
27.600000	102.155	-8.4102
28.000000	102.137	-8.6599
28.500000	102.117	-8.9544
29.000000	102.100	-9.2445
29.500000	102.082	-9.5305
30.000000	102.062	-9.7942
30.400000	102.045	-9.9787
30.700001	102.033	-10.1028
31.100000	102.019	-10.2608
31.500000	102.007	-10.4250
32.000000	101.991	-10.6536
32.500000	101.971	-10.8996
33.000000	101.946	-11.1377
33.500000	101.920	-11.3564
34.000000	101.896	-11.5687
34.500000	101.875	-11.7937
35.000000	101.853	-12.0322
35.500000	101.830	-12.2682
36.000000	101.808	-12.4894
36.500000	101.790	-12.7006
37.000000	101.775	-12.9154
37.500000	101.760	-13.1387
38.200001	101.737	-13.4464
38.700001	101.720	-13.6475
39.500000	101.692	-13.9439
40.000000	101.674	-14.1262
40.599998	101.650	-14.3387
41.200001	101.624	-14.5319
41.799999	101.599	-14.7142
42.500000	101.573	-14.9457
43.099998	101.549	-15.1656
43.700001	101.523	-15.3857
44.400002	101.496	-15.6379
45.000000	101.474	-15.8633
45.500000	101.456	-16.0526
46.200001	101.431	-16.2964
46.799999	101.415	-16.4950
47.500000	101.399	-16.7658
48.200001	101.373	-17.0669
48.700001	101.348	-17.2496
49.400002	101.312	-17.4224
