* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 06/10/2022 2:59:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EE + A&K Odyssey L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.564	178.5432
20.299999	97.536	178.0064
20.600000	97.508	177.5508
20.900000	97.487	177.1775
21.200001	97.480	176.8439
21.400000	97.484	176.5997
21.799999	97.504	175.9963
22.000000	97.512	175.6234
22.400000	97.508	174.7711
22.700001	97.482	174.1336
23.000000	97.440	173.5972
23.299999	97.396	173.1986
23.600000	97.360	172.9086
24.000000	97.339	172.5757
24.299999	97.338	172.2609
24.700001	97.340	171.6866
25.000000	97.332	171.1690
25.400000	97.299	170.4605
25.799999	97.250	169.8233
26.200001	97.198	169.2644
26.500000	97.158	168.8692
26.900000	97.100	168.3654
27.200001	97.051	168.0385
27.600000	96.983	167.7379
28.000000	96.933	167.6110
28.500000	96.925	167.5183
29.000000	96.966	167.1471
29.500000	97.003	166.3493
30.000000	96.988	165.3569
30.400000	96.940	164.6680
30.700001	96.895	164.2791
31.100000	96.845	163.9004
31.500000	96.811	163.5834
32.000000	96.786	163.1327
32.500000	96.759	162.5947
33.000000	96.720	162.0533
33.500000	96.677	161.5630
34.000000	96.635	161.0981
34.500000	96.593	160.6190
35.000000	96.545	160.1409
35.500000	96.493	159.7148
36.000000	96.446	159.3503
36.500000	96.411	158.9900
37.000000	96.383	158.5645
37.500000	96.350	158.0720
38.200001	96.288	157.4023
38.700001	96.242	157.0094
39.500000	96.182	156.4732
40.000000	96.153	156.1532
40.599998	96.123	155.7938
41.200001	96.104	155.4392
41.799999	96.092	155.0157
42.500000	96.064	154.4334
43.099998	96.024	153.9672
43.700001	95.980	153.5714
44.400002	95.929	153.1398
45.000000	95.881	152.7895
45.500000	95.842	152.5309
46.200001	95.797	152.1594
46.799999	95.760	151.7571
47.500000	95.701	151.2616
48.200001	95.638	150.8718
48.700001	95.604	150.6268
49.400002	95.567	150.2134
50.000000	95.531	149.7995
50.799999	95.477	149.2705
51.500000	95.430	148.8301
52.200001	95.382	148.3875
53.000000	95.327	147.9101
53.799999	95.275	147.4213
54.500000	95.226	146.9480
55.200001	95.168	146.4928
56.000000	95.102	146.0471
57.000000	95.033	145.5101
58.000000	94.966	144.9479
59.000000	94.901	144.4815
60.000000	94.858	144.0256
60.799999	94.819	143.5482
61.500000	94.766	143.1400
62.200001	94.702	142.8472
63.000000	94.638	142.6151
64.000000	94.571	142.2955
65.000000	94.503	141.9073
66.000000	94.431	141.4945
67.000000	94.358	141.0873
68.000000	94.292	140.7142
69.000000	94.234	140.3387
70.000000	94.178	139.9767
71.000000	94.126	139.6215
72.000000	94.070	139.2540
73.000000	94.009	138.9183
74.000000	93.950	138.5908
75.000000	93.890	138.2369
76.199997	93.816	137.8188
77.500000	93.740	137.3741
78.800003	93.666	136.9318
