* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 06/10/2022 2:59:16 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: EE + A&K Odyssey R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.472	-172.6273
20.299999	96.456	-173.2023
20.600000	96.435	-173.7175
20.900000	96.414	-174.1636
21.200001	96.401	-174.5546
21.400000	96.397	-174.8062
21.799999	96.403	-175.3339
22.000000	96.409	-175.6308
22.400000	96.421	-176.3124
22.700001	96.423	-176.8821
23.000000	96.415	-177.4631
23.299999	96.398	-178.0161
23.600000	96.376	-178.5193
24.000000	96.348	-179.1074
24.299999	96.333	-179.5098
24.700001	96.320	179.9594
25.000000	96.315	179.5406
25.400000	96.307	178.9479
25.799999	96.295	178.3383
26.200001	96.277	177.7438
26.500000	96.261	177.3203
26.900000	96.240	176.7891
27.200001	96.225	176.4128
27.600000	96.207	175.9325
28.000000	96.192	175.4656
28.500000	96.178	174.8781
29.000000	96.165	174.2644
29.500000	96.147	173.6308
30.000000	96.123	173.0110
30.400000	96.101	172.5433
30.700001	96.085	172.2074
31.100000	96.065	171.7673
31.500000	96.046	171.3265
32.000000	96.021	170.7767
32.500000	95.994	170.2473
33.000000	95.970	169.7411
33.500000	95.950	169.2333
34.000000	95.931	168.7045
34.500000	95.907	168.1732
35.000000	95.880	167.6730
35.500000	95.855	167.2112
36.000000	95.834	166.7589
36.500000	95.814	166.2925
37.000000	95.789	165.8231
37.500000	95.761	165.3801
38.200001	95.723	164.8141
38.700001	95.698	164.4136
39.500000	95.656	163.7397
40.000000	95.625	163.3303
40.599998	95.589	162.8762
41.200001	95.560	162.4209
41.799999	95.534	161.9120
42.500000	95.494	161.2772
43.099998	95.452	160.7756
43.700001	95.413	160.3363
44.400002	95.375	159.8652
45.000000	95.349	159.4670
45.500000	95.329	159.1226
46.200001	95.297	158.6205
46.799999	95.259	158.2421
47.500000	95.220	157.9554
48.200001	95.215	157.6768
48.700001	95.223	157.3159
49.400002	95.206	156.5809
50.000000	95.153	155.9772
50.799999	95.069	155.4461
51.500000	95.017	155.0784
52.200001	94.975	154.6461
53.000000	94.923	154.1459
53.799999	94.879	153.6744
54.500000	94.845	153.2225
55.200001	94.804	152.7629
