* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 06/10/2022 3:28:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AK Pathfinder L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.810	7.4737
20.299999	103.803	7.0613
20.600000	103.795	6.6462
20.900000	103.785	6.2310
21.200001	103.774	5.8228
21.400000	103.765	5.5587
21.799999	103.747	5.0536
22.000000	103.738	4.8126
22.400000	103.720	4.3494
22.700001	103.709	4.0130
23.000000	103.698	3.6813
23.299999	103.688	3.3522
23.600000	103.678	3.0249
24.000000	103.666	2.5908
24.299999	103.656	2.2669
24.700001	103.642	1.8375
25.000000	103.632	1.5184
25.400000	103.616	1.0991
25.799999	103.600	0.6904
26.200001	103.582	0.2947
26.500000	103.569	0.0062
26.900000	103.552	-0.3691
27.200001	103.539	-0.6450
27.600000	103.521	-1.0066
28.000000	103.504	-1.3608
28.500000	103.482	-1.7941
29.000000	103.460	-2.2210
29.500000	103.438	-2.6461
30.000000	103.414	-3.0645
30.400000	103.394	-3.3866
30.700001	103.379	-3.6182
31.100000	103.359	-3.9171
31.500000	103.341	-4.2124
32.000000	103.319	-4.5857
32.500000	103.295	-4.9565
33.000000	103.269	-5.3056
33.500000	103.244	-5.6274
34.000000	103.222	-5.9407
34.500000	103.203	-6.2668
35.000000	103.182	-6.6054
35.500000	103.158	-6.9383
36.000000	103.133	-7.2548
36.500000	103.109	-7.5625
37.000000	103.086	-7.8740
37.500000	103.062	-8.1902
38.200001	103.025	-8.6229
38.700001	103.000	-8.9183
39.500000	102.960	-9.3838
40.000000	102.935	-9.6754
40.599998	102.904	-10.0153
41.200001	102.873	-10.3309
41.799999	102.844	-10.6277
42.500000	102.813	-10.9738
43.099998	102.784	-11.2728
43.700001	102.754	-11.5582
44.400002	102.719	-11.8719
45.000000	102.688	-12.1389
45.500000	102.661	-12.3593
46.200001	102.621	-12.6532
46.799999	102.587	-12.8958
47.500000	102.546	-13.1733
48.200001	102.504	-13.4174
48.700001	102.480	-13.5741
49.400002	102.455	-13.8333
50.000000	102.434	-14.1295
50.799999	102.392	-14.5480
51.500000	102.349	-14.8434
52.200001	102.313	-15.0966
53.000000	102.278	-15.3986
53.799999	102.241	-15.7026
54.500000	102.208	-15.9553
55.200001	102.174	-16.2000
56.000000	102.135	-16.4659
57.000000	102.086	-16.7787
58.000000	102.036	-17.0857
59.000000	101.987	-17.3881
60.000000	101.937	-17.6913
60.799999	101.896	-17.9287
61.500000	101.860	-18.1257
62.200001	101.826	-18.3174
63.000000	101.788	-18.5416
64.000000	101.740	-18.8266
65.000000	101.690	-19.0955
66.000000	101.641	-19.3464
67.000000	101.592	-19.5923
68.000000	101.543	-19.8341
69.000000	101.493	-20.0651
70.000000	101.444	-20.2906
71.000000	101.394	-20.5193
72.000000	101.343	-20.7419
73.000000	101.293	-20.9453
74.000000	101.244	-21.1395
75.000000	101.197	-21.3332
