* Measurement data measured by REW V5.20.9
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 06/10/2022 3:28:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AK Pathfinder R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.946	5.5210
20.299999	103.935	5.1184
20.600000	103.924	4.7169
20.900000	103.913	4.3143
21.200001	103.901	3.9122
21.400000	103.893	3.6472
21.799999	103.874	3.1293
22.000000	103.865	2.8783
22.400000	103.845	2.3933
22.700001	103.831	2.0422
23.000000	103.818	1.6979
23.299999	103.805	1.3577
23.600000	103.792	1.0205
24.000000	103.775	0.5761
24.299999	103.761	0.2489
24.700001	103.743	-0.1766
25.000000	103.729	-0.4873
25.400000	103.711	-0.8928
25.799999	103.693	-1.2922
26.200001	103.675	-1.6875
26.500000	103.660	-1.9805
26.900000	103.640	-2.3638
27.200001	103.624	-2.6442
27.600000	103.603	-3.0081
28.000000	103.582	-3.3624
28.500000	103.555	-3.7963
29.000000	103.528	-4.2242
29.500000	103.501	-4.6457
30.000000	103.472	-5.0569
30.400000	103.449	-5.3758
30.700001	103.432	-5.6089
31.100000	103.410	-5.9128
31.500000	103.389	-6.2118
32.000000	103.362	-6.5813
32.500000	103.337	-6.9479
33.000000	103.312	-7.3133
33.500000	103.286	-7.6799
34.000000	103.258	-8.0453
34.500000	103.228	-8.3974
35.000000	103.196	-8.7241
35.500000	103.165	-9.0268
36.000000	103.136	-9.3212
36.500000	103.108	-9.6179
37.000000	103.077	-9.9091
37.500000	103.045	-10.1775
38.200001	103.005	-10.5128
38.700001	102.982	-10.7524
39.500000	102.949	-11.1935
40.000000	102.925	-11.4939
40.599998	102.892	-11.8430
41.200001	102.858	-12.1647
41.799999	102.826	-12.4780
42.500000	102.789	-12.8527
43.099998	102.754	-13.1644
43.700001	102.718	-13.4530
44.400002	102.679	-13.7821
45.000000	102.644	-14.0709
45.500000	102.612	-14.3004
46.200001	102.568	-14.5901
46.799999	102.533	-14.8350
47.500000	102.490	-15.1335
48.200001	102.444	-15.3951
48.700001	102.414	-15.5500
49.400002	102.384	-15.7856
50.000000	102.360	-16.0494
50.799999	102.319	-16.4352
51.500000	102.277	-16.7379
52.200001	102.238	-17.0182
53.000000	102.192	-17.3309
53.799999	102.146	-17.6154
54.500000	102.108	-17.8460
55.200001	102.071	-18.0758
56.000000	102.027	-18.3338
57.000000	101.972	-18.6368
58.000000	101.917	-18.9214
59.000000	101.861	-19.1899
60.000000	101.808	-19.4583
60.799999	101.766	-19.6866
61.500000	101.727	-19.8911
62.200001	101.687	-20.0878
63.000000	101.640	-20.2955
64.000000	101.585	-20.5360
65.000000	101.533	-20.7740
66.000000	101.480	-21.0151
67.000000	101.425	-21.2468
68.000000	101.370	-21.4592
69.000000	101.315	-21.6620
70.000000	101.260	-21.8674
71.000000	101.205	-22.0640
72.000000	101.152	-22.2503
73.000000	101.101	-22.4346
74.000000	101.051	-22.6108
75.000000	101.002	-22.7783
76.199997	100.942	-22.9667
77.500000	100.876	-23.1578
78.800003	100.810	-23.3509
80.000000	100.749	-23.5349
81.199997	100.689	-23.7172
82.500000	100.625	-23.8943
83.800003	100.563	-24.0470
85.000000	100.505	-24.1693
86.199997	100.445	-24.2842
87.500000	100.377	-24.4263
88.500000	100.326	-24.5489
90.000000	100.252	-24.7459
91.199997	100.197	-24.8812
92.500000	100.143	-24.9761
93.800003	100.087	-25.0176
95.000000	100.027	-25.0312
96.199997	99.953	-25.0476
97.500000	99.861	-25.0811
98.800003	99.758	-25.1548
100.000000	99.676	-25.0940
101.500000	99.649	-25.1482
103.000000	99.630	-25.4999
104.400002	99.595	-25.7244
106.000000	99.546	-25.8177
107.500000	99.485	-25.8463
109.000000	99.414	-25.8766
110.599998	99.338	-25.9543
112.000000	99.275	-26.0469
113.800003	99.198	-26.1373
115.000000	99.147	-26.1519
117.199997	99.055	-26.1205
118.000000	99.021	-26.1138
120.599998	98.913	-26.1359
122.000000	98.856	-26.1597
124.099998	98.770	-26.1705
125.000000	98.733	-26.1642
126.500000	98.670	-26.1512
128.000000	98.608	-26.1494
131.500000	98.461	-26.1558
132.000000	98.440	-26.1489
134.000000	98.359	-26.1015
136.000000	98.277	-26.0298
138.000000	98.192	-25.9493
140.000000	98.102	-25.8649
143.000000	97.961	-25.7100
145.000000	97.865	-25.5819
147.500000	97.742	-25.3597
150.000000	97.611	-24.9685
152.500000	97.477	-24.3613
155.000000	97.355	-23.4875
157.500000	97.280	-22.3598
160.000000	97.288	-21.1730
162.500000	97.374	-20.3170
165.000000	97.483	-20.0299
167.500000	97.561	-20.2083
170.000000	97.589	-20.5812
172.500000	97.576	-20.9543
175.000000	97.540	-21.2485
177.500000	97.491	-21.4620
180.000000	97.435	-21.6081
182.500000	97.375	-21.7064
185.000000	97.312	-21.7657
187.500000	97.248	-21.7869
190.000000	97.185	-21.7751
192.500000	97.121	-21.7384
195.000000	97.058	-21.6786
197.500000	96.994	-21.5889
200.000000	96.932	-21.4745
203.000000	96.859	-21.3259
206.000000	96.790	-21.1676
209.000000	96.723	-20.9937
212.000000	96.657	-20.7985
214.000000	96.613	-20.6616
218.000000	96.530	-20.3860
220.000000	96.490	-20.2460
224.000000	96.413	-19.9500
227.000000	96.358	-19.7185
230.000000	96.303	-19.4810
233.000000	96.250	-19.2378
236.000000	96.199	-18.9976
240.000000	96.133	-18.6895
243.000000	96.085	-18.4623
247.000000	96.023	-18.1573
250.000000	95.977	-17.9262
254.000000	95.918	-17.6078
258.000000	95.860	-17.2798
262.000000	95.804	-16.9491
265.000000	95.763	-16.7010
269.000000	95.709	-16.3650
272.000000	95.671	-16.1127
276.000000	95.620	-15.7811
280.000000	95.570	-15.4496
285.000000	95.510	-15.0354
290.000000	95.450	-14.6071
295.000000	95.393	-14.1743
300.000000	95.339	-13.7384
304.000000	95.297	-13.3932
307.000000	95.268	-13.1379
311.000000	95.229	-12.7942
315.000000	95.192	-12.4393
320.000000	95.148	-11.9899
325.000000	95.108	-11.5466
330.000000	95.072	-11.1063
335.000000	95.038	-10.6810
340.000000	95.006	-10.2810
345.000000	94.973	-9.9038
350.000000	94.938	-9.5450
355.000000	94.908	-9.1864
360.000000	94.878	-8.8136
365.000000	94.847	-8.4451
370.000000	94.815	-8.0775
375.000000	94.783	-7.7092
382.000000	94.740	-7.1909
387.000000	94.710	-6.8158
395.000000	94.664	-6.2170
400.000000	94.637	-5.8458
406.000000	94.604	-5.4030
412.000000	94.573	-4.9618
418.000000	94.543	-4.5182
425.000000	94.509	-3.9929
431.000000	94.482	-3.5376
437.000000	94.455	-3.0793
444.000000	94.427	-2.5438
450.000000	94.405	-2.0917
455.000000	94.388	-1.7219
462.000000	94.366	-1.2114
468.000000	94.349	-0.7785
475.000000	94.330	-0.2830
482.000000	94.313	0.2057
487.000000	94.301	0.5529
