* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -39.0 dBFS with no timing reference
* Dated: 06/03/2024 11:19:14 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audiosense DT200 (Velvet) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 90.268 6.4255
20.299999 90.221 6.2732
20.600000 90.194 6.2278
20.900000 90.188 6.1870
21.200001 90.198 6.0706
21.400000 90.206 5.9354
21.799999 90.217 5.5532
22.000000 90.216 5.3323
22.400000 90.206 4.8925
22.700001 90.194 4.5870
23.000000 90.185 4.2993
23.299999 90.178 4.0152
23.600000 90.174 3.7227
24.000000 90.170 3.3154
24.299999 90.166 3.0031
24.700001 90.159 2.5890
25.000000 90.154 2.2859
25.400000 90.144 1.9012
25.799999 90.132 1.5532
26.200001 90.121 1.2528
26.500000 90.115 1.0537
26.900000 90.112 0.7993
27.200001 90.112 0.5988
27.600000 90.109 0.3101
28.000000 90.098 0.0204
28.500000 90.074 -0.2793
29.000000 90.050 -0.4788
29.500000 90.040 -0.6413
30.000000 90.041 -0.8649
30.400000 90.041 -1.1113
30.700001 90.037 -1.3220
31.100000 90.027 -1.6106
31.500000 90.013 -1.8884
32.000000 89.996 -2.2205
32.500000 89.981 -2.5518
33.000000 89.967 -2.8816
33.500000 89.953 -3.1924
34.000000 89.944 -3.4851
34.500000 89.941 -3.7881
35.000000 89.937 -4.1218
35.500000 89.925 -4.4618
36.000000 89.905 -4.7533
36.500000 89.884 -4.9678
37.000000 89.870 -5.1403
37.500000 89.861 -5.3379
38.200001 89.838 -5.6810
38.700001 89.808 -5.8906
39.500000 89.765 -6.0960
40.000000 89.752 -6.2603
40.599998 89.731 -6.5811
41.200001 89.688 -6.9048
41.799999 89.647 -7.1060
42.500000 89.634 -7.3765
43.099998 89.623 -7.8235
43.700001 89.579 -8.3019
44.400002 89.511 -8.5583
45.000000 89.486 -8.5699
45.500000 89.492 -8.6010
46.200001 89.511 -8.7759
46.799999 89.520 -8.9854
47.500000 89.512 -9.1658
48.200001 89.500 -9.1097
48.700001 89.515 -8.9717
49.400002 89.576 -9.0129
50.000000 89.607 -9.4373
50.799999 89.554 -10.0765
51.500000 89.477 -10.3272
52.200001 89.422 -10.5636
53.000000 89.336 -11.0005
53.799999 89.227 -11.2272
54.500000 89.170 -11.2265
55.200001 89.159 -11.3114
56.000000 89.169 -11.6424
57.000000 89.163 -12.1054
58.000000 89.169 -12.3495
59.000000 89.163 -12.7424
60.000000 89.076 -12.8512
60.799999 89.014 -12.6299
61.500000 88.973 -12.5239
62.200001 88.930 -12.5950
63.000000 88.871 -12.8825
64.000000 88.810 -13.5197
65.000000 88.757 -15.1959
66.000000 88.430 -16.9572
67.000000 88.111 -15.4069
68.000000 88.340 -13.6332
69.000000 88.583 -14.3141
70.000000 88.646 -14.8991
71.000000 88.672 -15.0531
72.000000 88.655 -15.0015
73.000000 88.628 -14.8887
74.000000 88.579 -14.8807
75.000000 88.530 -14.9242
76.199997 88.485 -15.2094
77.500000 88.436 -15.7342
78.800003 88.366 -16.0494
80.000000 88.336 -16.0012
81.199997 88.325 -16.0454
82.500000 88.284 -16.1263
83.800003 88.233 -16.0992
85.000000 88.196 -16.1270
86.199997 88.159 -16.2462
87.500000 88.116 -16.3906
88.500000 88.080 -16.4421
90.000000 88.048 -16.4574
91.199997 88.023 -16.6333
92.500000 87.979 -16.8422
93.800003 87.933 -17.0157
95.000000 87.897 -17.1464
96.199997 87.866 -17.2422
97.500000 87.839 -17.3171
98.800003 87.811 -17.3903
100.000000 87.779 -17.4692
101.500000 87.728 -17.5718
103.000000 87.678 -17.6459
104.400002 87.638 -17.7100
106.000000 87.599 -17.7844
107.500000 87.560 -17.8472
109.000000 87.519 -17.8453
110.599998 87.477 -17.8571
112.000000 87.440 -17.9006
113.800003 87.394 -18.0032
115.000000 87.362 -18.0753
117.199997 87.302 -18.1605
118.000000 87.281 -18.1688
120.599998 87.218 -18.1906
122.000000 87.184 -18.2222
124.099998 87.133 -18.2658
125.000000 87.110 -18.2884
126.500000 87.072 -18.3125
128.000000 87.033 -18.3234
131.500000 86.947 -18.3824
132.000000 86.935 -18.3870
134.000000 86.891 -18.4043
136.000000 86.849 -18.4503
138.000000 86.803 -18.4894
140.000000 86.759 -18.4941
143.000000 86.697 -18.4752
145.000000 86.658 -18.4475
147.500000 86.607 -18.4750
150.000000 86.551 -18.5231
152.500000 86.500 -18.5354
155.000000 86.451 -18.4985
157.500000 86.400 -18.4558
160.000000 86.344 -18.4684
162.500000 86.286 -18.4602
165.000000 86.240 -18.3892
167.500000 86.193 -18.3299
170.000000 86.141 -18.2486
172.500000 86.087 -18.1754
175.000000 86.035 -18.0900
177.500000 85.985 -18.0111
180.000000 85.933 -17.8962
182.500000 85.883 -17.7664
185.000000 85.832 -17.6359
187.500000 85.782 -17.4717
190.000000 85.733 -17.2468
192.500000 85.691 -16.9664
195.000000 85.659 -16.6562
197.500000 85.642 -16.3474
200.000000 85.638 -16.0742
203.000000 85.644 -15.8081
206.000000 85.657 -15.6271
209.000000 85.669 -15.6007
212.000000 85.670 -15.7012
214.000000 85.664 -15.7917
218.000000 85.634 -15.9340
220.000000 85.612 -15.9897
224.000000 85.563 -16.0607
227.000000 85.529 -16.0726
230.000000 85.494 -16.0566
233.000000 85.460 -16.0239
236.000000 85.427 -15.9939
240.000000 85.385 -15.9476
243.000000 85.356 -15.9014
247.000000 85.321 -15.8391
250.000000 85.294 -15.8163
254.000000 85.257 -15.8245
258.000000 85.215 -15.8183
262.000000 85.168 -15.8357
265.000000 85.130 -15.8722
269.000000 85.081 -15.8662
272.000000 85.049 -15.8079
276.000000 85.004 -15.7310
280.000000 84.956 -15.6591
285.000000 84.899 -15.5509
290.000000 84.840 -15.4146
295.000000 84.781 -15.3015
300.000000 84.726 -15.1661
304.000000 84.681 -15.0579
307.000000 84.647 -14.9822
311.000000 84.600 -14.8586
315.000000 84.560 -14.7002
320.000000 84.508 -14.5382
325.000000 84.457 -14.3268
330.000000 84.410 -14.1502
335.000000 84.361 -13.9490
340.000000 84.314 -13.7035
345.000000 84.275 -13.4651
350.000000 84.239 -13.2473
355.000000 84.204 -13.0443
360.000000 84.173 -12.8745
365.000000 84.144 -12.7123
370.000000 84.112 -12.5778
375.000000 84.077 -12.4603
382.000000 84.029 -12.2926
387.000000 83.994 -12.1726
395.000000 83.935 -11.9579
400.000000 83.896 -11.8229
406.000000 83.847 -11.6117
412.000000 83.795 -11.4014
418.000000 83.745 -11.1971
425.000000 83.693 -10.9388
431.000000 83.650 -10.7061
437.000000 83.605 -10.4805
444.000000 83.557 -10.2242
450.000000 83.516 -9.9948
455.000000 83.480 -9.7999
462.000000 83.428 -9.5411
468.000000 83.386 -9.3060
475.000000 83.337 -9.0358
482.000000 83.290 -8.7780
487.000000 83.256 -8.5782
494.000000 83.210 -8.2886
500.000000 83.171 -8.0288
508.000000 83.119 -7.6736
515.000000 83.073 -7.3862
522.000000 83.027 -7.0967
530.000000 82.976 -6.7163
538.000000 82.929 -6.3422
545.000000 82.887 -6.0076
552.000000 82.846 -5.6788
560.000000 82.801 -5.3135
570.000000 82.744 -4.8386
580.000000 82.689 -4.3354
590.000000 82.635 -3.8332
600.000000 82.580 -3.3218
608.000000 82.537 -2.8988
615.000000 82.501 -2.5116
622.000000 82.467 -2.1313
630.000000 82.429 -1.7055
640.000000 82.382 -1.1602
650.000000 82.338 -0.6072
660.000000 82.296 -0.0540
670.000000 82.253 0.5078
680.000000 82.212 1.0690
690.000000 82.172 1.6422
700.000000 82.130 2.2310
710.000000 82.091 2.8248
720.000000 82.053 3.4448
730.000000 82.018 4.0863
740.000000 81.984 4.7423
750.000000 81.953 5.4225
762.000000 81.921 6.2598
775.000000 81.895 7.1691
788.000000 81.873 8.0791
800.000000 81.858 8.9197
812.000000 81.849 9.7667
825.000000 81.845 10.6862
838.000000 81.845 11.6056
850.000000 81.849 12.4521
862.000000 81.859 13.2955
875.000000 81.875 14.1987
885.000000 81.890 14.8960
900.000000 81.920 15.9316
912.000000 81.951 16.7364
925.000000 81.989 17.5964
938.000000 82.032 18.4393
950.000000 82.076 19.1876
962.000000 82.122 19.9234
975.000000 82.178 20.7024
988.000000 82.239 21.4432
1000.000000 82.298 22.0929
1015.000000 82.375 22.8681
1030.000000 82.456 23.6003
1044.000000 82.532 24.2437
1060.000000 82.622 24.9294
1075.000000 82.706 25.5282
1090.000000 82.792 26.0761
1106.000000 82.883 26.6157
1120.000000 82.960 27.0583
1138.000000 83.058 27.5846
1150.000000 83.121 27.9098
1172.000000 83.232 28.4451
1180.000000 83.271 28.6221
1206.000000 83.390 29.1679
1220.000000 83.450 29.4462
1241.000000 83.536 29.8556
1250.000000 83.572 30.0261
1265.000000 83.629 30.2998
1280.000000 83.682 30.5657
1315.000000 83.799 31.1748
1320.000000 83.814 31.2640
1340.000000 83.874 31.6249
1360.000000 83.931 31.9905
1380.000000 83.987 32.3729
1400.000000 84.040 32.7749
1430.000000 84.120 33.3980
1450.000000 84.172 33.8242
1475.000000 84.238 34.3766
1500.000000 84.305 34.9467
1525.000000 84.374 35.5305
1550.000000 84.445 36.1349
1575.000000 84.520 36.7538
1600.000000 84.599 37.3815
1625.000000 84.683 38.0137
1650.000000 84.770 38.6518
1675.000000 84.863 39.2925
1700.000000 84.960 39.9229
1725.000000 85.062 40.5424
1750.000000 85.168 41.1415
1775.000000 85.278 41.7228
1800.000000 85.392 42.2987
1825.000000 85.511 42.8578
1850.000000 85.634 43.3935
1875.000000 85.762 43.9172
1900.000000 85.894 44.4333
1925.000000 86.030 44.9275
1950.000000 86.171 45.3952
1975.000000 86.318 45.8346
2000.000000 86.470 46.2393
2030.000000 86.660 46.6854
2060.000000 86.857 47.0878
2090.000000 87.061 47.4271
2120.000000 87.273 47.6927
2140.000000 87.417 47.8293
2180.000000 87.713 48.0114
2200.000000 87.864 48.0464
2240.000000 88.173 47.9802
2270.000000 88.410 47.8193
2300.000000 88.650 47.5636
2330.000000 88.891 47.1935
2360.000000 89.133 46.6974
2400.000000 89.452 45.8407
2430.000000 89.687 45.0522
2470.000000 89.990 43.7965
2500.000000 90.206 42.6977
2540.000000 90.477 41.0237
2580.000000 90.720 39.1178
2620.000000 90.928 37.0096
2650.000000 91.058 35.3149
2690.000000 91.194 32.9411
2720.000000 91.263 31.1013
2760.000000 91.311 28.6107
2800.000000 91.309 26.1323
2850.000000 91.238 23.1470
2900.000000 91.099 20.3855
2950.000000 90.902 17.9402
3000.000000 90.663 15.8768
3040.000000 90.454 14.5197
3070.000000 90.293 13.6689
3110.000000 90.082 12.7393
3150.000000 89.878 12.0070
3200.000000 89.638 11.2946
3250.000000 89.413 10.7198
3300.000000 89.197 10.2448
3350.000000 88.982 9.8686
3400.000000 88.766 9.6108
3450.000000 88.554 9.5037
3500.000000 88.347 9.5549
3550.000000 88.150 9.7581
3600.000000 87.967 10.1063
3650.000000 87.800 10.5715
3700.000000 87.653 11.1359
3750.000000 87.525 11.7762
3820.000000 87.380 12.7662
3870.000000 87.300 13.5098
3950.000000 87.218 14.7076
4000.000000 87.193 15.4286
4060.000000 87.186 16.2412
4120.000000 87.203 16.9686
4180.000000 87.242 17.5889
4250.000000 87.309 18.1465
4310.000000 87.381 18.4547
4370.000000 87.463 18.5839
4440.000000 87.562 18.4979
4500.000000 87.644 18.2227
4550.000000 87.705 17.8492
4620.000000 87.775 17.1083
4680.000000 87.813 16.2791
4750.000000 87.821 15.1042
4820.000000 87.776 13.7690
4870.000000 87.706 12.7692
4940.000000 87.550 11.4083
5000.000000 87.364 10.3877
5080.000000 87.051 9.3849
5150.000000 86.731 8.9528
5220.000000 86.391 9.0081
5300.000000 86.005 9.6964
5380.000000 85.650 11.0251
5450.000000 85.389 12.6626
5520.000000 85.198 14.6580
5600.000000 85.091 17.1539
