* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -39.0 dBFS with no timing reference
* Dated: 06/03/2024 11:17:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audiosense DT200 (Velvet) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 90.760 5.8824
20.299999 90.745 5.6039
20.600000 90.738 5.3513
20.900000 90.740 5.0903
21.200001 90.745 4.7988
21.400000 90.748 4.5875
21.799999 90.750 4.1488
22.000000 90.749 3.9349
22.400000 90.746 3.5356
22.700001 90.746 3.2531
23.000000 90.748 2.9647
23.299999 90.751 2.6560
23.600000 90.751 2.3281
24.000000 90.739 1.8966
24.299999 90.724 1.6127
24.700001 90.702 1.3170
25.000000 90.691 1.1458
25.400000 90.688 0.9293
25.799999 90.694 0.6607
26.200001 90.698 0.3160
26.500000 90.694 0.0288
26.900000 90.679 -0.3422
27.200001 90.664 -0.5878
27.600000 90.645 -0.8713
28.000000 90.631 -1.1364
28.500000 90.617 -1.4887
29.000000 90.600 -1.8583
29.500000 90.580 -2.2073
30.000000 90.564 -2.5443
30.400000 90.550 -2.8289
30.700001 90.537 -3.0447
31.100000 90.513 -3.2958
31.500000 90.488 -3.4611
32.000000 90.477 -3.5704
32.500000 90.500 -3.7504
33.000000 90.531 -4.1838
33.500000 90.529 -4.8138
34.000000 90.481 -5.3721
34.500000 90.417 -5.6496
35.000000 90.379 -5.7073
35.500000 90.378 -5.7830
36.000000 90.389 -6.0259
36.500000 90.386 -6.3871
37.000000 90.365 -6.7396
37.500000 90.337 -7.0135
38.200001 90.302 -7.2769
38.700001 90.286 -7.4174
39.500000 90.280 -7.6929
40.000000 90.278 -7.9749
40.599998 90.256 -8.3842
41.200001 90.210 -8.7185
41.799999 90.163 -8.9083
42.500000 90.126 -9.0715
43.099998 90.100 -9.2568
43.700001 90.073 -9.4630
44.400002 90.044 -9.7054
45.000000 90.023 -9.9498
45.500000 90.002 -10.1796
46.200001 89.967 -10.4885
46.799999 89.938 -10.7227
47.500000 89.907 -10.9874
48.200001 89.876 -11.2462
48.700001 89.854 -11.4198
49.400002 89.825 -11.6557
50.000000 89.800 -11.8499
50.799999 89.766 -12.0654
51.500000 89.745 -12.2346
52.200001 89.733 -12.4594
53.000000 89.714 -12.8075
53.799999 89.680 -13.1675
54.500000 89.645 -13.4277
55.200001 89.610 -13.6328
56.000000 89.574 -13.8162
57.000000 89.537 -14.0127
58.000000 89.498 -14.2117
59.000000 89.458 -14.3707
60.000000 89.421 -14.5891
60.799999 89.380 -14.7852
61.500000 89.345 -14.9272
62.200001 89.315 -15.0873
63.000000 89.284 -15.3017
64.000000 89.258 -15.6941
65.000000 89.196 -16.2987
66.000000 89.082 -16.4574
67.000000 89.040 -16.1479
68.000000 89.054 -16.1147
69.000000 89.050 -16.2869
70.000000 89.030 -16.4742
71.000000 88.989 -16.6746
72.000000 88.929 -16.7421
73.000000 88.892 -16.6871
74.000000 88.876 -16.8810
75.000000 88.823 -17.2812
76.199997 88.728 -17.5107
77.500000 88.651 -17.5221
78.800003 88.623 -17.4882
80.000000 88.616 -17.7363
81.199997 88.577 -18.0527
82.500000 88.521 -18.1700
83.800003 88.483 -18.1730
85.000000 88.455 -18.2238
86.199997 88.423 -18.3019
87.500000 88.385 -18.3696
88.500000 88.361 -18.4462
90.000000 88.315 -18.6953
91.199997 88.262 -18.8524
92.500000 88.206 -18.9491
93.800003 88.154 -19.0017
95.000000 88.111 -19.0480
96.199997 88.069 -19.0931
97.500000 88.024 -19.1284
98.800003 87.983 -19.1580
100.000000 87.949 -19.2090
101.500000 87.901 -19.3071
103.000000 87.849 -19.3920
104.400002 87.797 -19.4441
106.000000 87.744 -19.4689
107.500000 87.701 -19.5452
109.000000 87.655 -19.6603
110.599998 87.605 -19.7587
112.000000 87.560 -19.8174
113.800003 87.505 -19.8041
115.000000 87.472 -19.7962
117.199997 87.403 -19.8159
118.000000 87.375 -19.8303
120.599998 87.283 -19.8511
122.000000 87.239 -19.8624
124.099998 87.172 -19.8676
125.000000 87.144 -19.8463
126.500000 87.095 -19.8031
128.000000 87.041 -19.7435
131.500000 86.913 -19.5100
132.000000 86.896 -19.4718
134.000000 86.830 -19.2984
136.000000 86.762 -19.0587
138.000000 86.694 -18.7001
140.000000 86.634 -18.2502
143.000000 86.584 -17.3888
145.000000 86.597 -16.7206
147.500000 86.678 -15.9766
150.000000 86.808 -15.7249
152.500000 86.921 -16.1047
155.000000 86.972 -16.8098
157.500000 86.963 -17.5160
160.000000 86.916 -18.1304
162.500000 86.848 -18.5897
165.000000 86.783 -18.9129
167.500000 86.717 -19.1675
170.000000 86.648 -19.2931
172.500000 86.586 -19.3484
175.000000 86.526 -19.3870
177.500000 86.470 -19.4159
180.000000 86.414 -19.4907
182.500000 86.356 -19.5287
185.000000 86.301 -19.5096
187.500000 86.246 -19.4421
190.000000 86.194 -19.3903
192.500000 86.145 -19.3652
195.000000 86.099 -19.3414
197.500000 86.053 -19.3029
200.000000 86.004 -19.2561
203.000000 85.947 -19.2062
206.000000 85.896 -19.1168
209.000000 85.849 -19.0193
212.000000 85.802 -18.9152
214.000000 85.773 -18.8527
218.000000 85.716 -18.7336
220.000000 85.689 -18.6778
224.000000 85.631 -18.5659
227.000000 85.586 -18.4647
230.000000 85.544 -18.3826
233.000000 85.505 -18.3232
236.000000 85.463 -18.2557
240.000000 85.408 -18.1215
243.000000 85.368 -18.0254
247.000000 85.310 -17.9170
250.000000 85.269 -17.8416
254.000000 85.215 -17.7104
258.000000 85.163 -17.5780
262.000000 85.113 -17.4551
265.000000 85.073 -17.3217
269.000000 85.020 -17.1410
272.000000 84.986 -16.9900
276.000000 84.945 -16.7736
280.000000 84.903 -16.5884
285.000000 84.852 -16.3837
290.000000 84.804 -16.1785
295.000000 84.754 -15.9684
300.000000 84.708 -15.7592
304.000000 84.671 -15.6123
307.000000 84.638 -15.4860
311.000000 84.599 -15.2947
315.000000 84.568 -15.0894
320.000000 84.532 -14.8438
325.000000 84.494 -14.6293
330.000000 84.458 -14.3901
335.000000 84.425 -14.1472
340.000000 84.393 -13.9223
345.000000 84.364 -13.6979
350.000000 84.340 -13.4828
355.000000 84.318 -13.2855
360.000000 84.298 -13.1467
365.000000 84.277 -13.0524
370.000000 84.250 -12.9794
375.000000 84.219 -12.9232
382.000000 84.171 -12.8519
387.000000 84.134 -12.7748
395.000000 84.068 -12.6240
400.000000 84.026 -12.5035
406.000000 83.976 -12.3378
412.000000 83.925 -12.1691
418.000000 83.873 -11.9997
425.000000 83.811 -11.7812
431.000000 83.761 -11.5800
437.000000 83.713 -11.3678
444.000000 83.658 -11.1191
450.000000 83.612 -10.8899
455.000000 83.573 -10.6815
462.000000 83.517 -10.3987
468.000000 83.470 -10.1602
475.000000 83.417 -9.8770
482.000000 83.366 -9.6011
487.000000 83.329 -9.4048
494.000000 83.279 -9.1018
500.000000 83.239 -8.8147
508.000000 83.186 -8.4501
515.000000 83.140 -8.1401
522.000000 83.095 -7.8187
530.000000 83.044 -7.4363
538.000000 82.994 -7.0473
545.000000 82.951 -6.7194
552.000000 82.907 -6.3892
560.000000 82.859 -6.0127
570.000000 82.803 -5.5294
580.000000 82.746 -5.0082
590.000000 82.686 -4.4890
600.000000 82.631 -3.9689
608.000000 82.589 -3.5518
615.000000 82.553 -3.1711
622.000000 82.518 -2.7745
630.000000 82.478 -2.3236
640.000000 82.428 -1.7715
650.000000 82.379 -1.2041
660.000000 82.333 -0.6258
670.000000 82.289 -0.0229
680.000000 82.248 0.5709
690.000000 82.208 1.1736
700.000000 82.170 1.7998
710.000000 82.134 2.4246
720.000000 82.100 3.0615
730.000000 82.068 3.7115
740.000000 82.037 4.3688
750.000000 82.009 5.0313
762.000000 81.980 5.8439
775.000000 81.954 6.7263
788.000000 81.934 7.6208
800.000000 81.919 8.4669
812.000000 81.905 9.3126
825.000000 81.896 10.2233
838.000000 81.893 11.1251
850.000000 81.896 11.9764
862.000000 81.905 12.8287
875.000000 81.920 13.7433
885.000000 81.935 14.4514
900.000000 81.965 15.4991
912.000000 81.994 16.3188
925.000000 82.030 17.1884
938.000000 82.072 18.0391
950.000000 82.113 18.7973
962.000000 82.158 19.5291
975.000000 82.213 20.2985
988.000000 82.272 21.0470
1000.000000 82.331 21.7122
1015.000000 82.407 22.4994
1030.000000 82.486 23.2438
1044.000000 82.561 23.9009
1060.000000 82.647 24.6031
1075.000000 82.731 25.2156
1090.000000 82.815 25.7891
1106.000000 82.903 26.3542
1120.000000 82.980 26.8081
1138.000000 83.077 27.3418
1150.000000 83.139 27.6694
1172.000000 83.248 28.2368
1180.000000 83.285 28.4280
1206.000000 83.402 29.0141
1220.000000 83.462 29.3116
1241.000000 83.547 29.7454
1250.000000 83.582 29.9279
1265.000000 83.638 30.2264
1280.000000 83.690 30.5152
1315.000000 83.805 31.1823
1320.000000 83.821 31.2795
1340.000000 83.881 31.6695
1360.000000 83.939 32.0705
1380.000000 83.994 32.4969
1400.000000 84.049 32.9395
1430.000000 84.131 33.6131
1450.000000 84.185 34.0776
1475.000000 84.255 34.6711
1500.000000 84.324 35.2766
1525.000000 84.398 35.9008
1550.000000 84.475 36.5381
1575.000000 84.557 37.1855
1600.000000 84.642 37.8308
1625.000000 84.731 38.4696
1650.000000 84.821 39.0992
1675.000000 84.916 39.7332
1700.000000 85.014 40.3639
1725.000000 85.114 40.9858
1750.000000 85.220 41.6090
1775.000000 85.331 42.2322
1800.000000 85.447 42.8488
1825.000000 85.568 43.4532
1850.000000 85.694 44.0435
1875.000000 85.825 44.6180
1900.000000 85.962 45.1674
1925.000000 86.104 45.6991
1950.000000 86.252 46.2043
1975.000000 86.405 46.6741
2000.000000 86.565 47.1123
2030.000000 86.763 47.5948
2060.000000 86.969 48.0275
2090.000000 87.183 48.3960
2120.000000 87.404 48.6957
2140.000000 87.555 48.8569
2180.000000 87.865 49.0677
2200.000000 88.025 49.1146
2240.000000 88.351 49.0739
2270.000000 88.601 48.9222
2300.000000 88.855 48.6638
2330.000000 89.110 48.2848
2360.000000 89.366 47.7760
2400.000000 89.705 46.8907
2430.000000 89.955 46.0674
2470.000000 90.279 44.7468
2500.000000 90.511 43.5869
2540.000000 90.801 41.8183
2580.000000 91.061 39.7987
2620.000000 91.284 37.5582
2650.000000 91.423 35.7543
2690.000000 91.567 33.2245
2720.000000 91.640 31.2633
2760.000000 91.690 28.6123
2800.000000 91.686 25.9795
2850.000000 91.607 22.8124
2900.000000 91.454 19.8885
2950.000000 91.242 17.2988
3000.000000 90.985 15.1101
3040.000000 90.759 13.6690
3070.000000 90.583 12.7696
3110.000000 90.347 11.7986
3150.000000 90.116 11.0658
3200.000000 89.844 10.4374
3250.000000 89.595 10.0281
3300.000000 89.366 9.7532
3350.000000 89.150 9.5720
3400.000000 88.941 9.4954
3450.000000 88.739 9.5576
3500.000000 88.548 9.7642
3550.000000 88.372 10.1058
3600.000000 88.213 10.5666
3650.000000 88.074 11.1292
3700.000000 87.958 11.7705
3750.000000 87.862 12.4564
3820.000000 87.766 13.4680
3870.000000 87.724 14.2028
3950.000000 87.704 15.3331
4000.000000 87.720 15.9722
4060.000000 87.764 16.6492
4120.000000 87.834 17.1968
4180.000000 87.927 17.5765
4250.000000 88.055 17.7604
4310.000000 88.174 17.6830
4370.000000 88.295 17.3843
4440.000000 88.432 16.7617
4500.000000 88.539 15.9899
4550.000000 88.620 15.1700
4620.000000 88.709 13.7406
4680.000000 88.752 12.2556
4750.000000 88.747 10.2620
4820.000000 88.666 8.0905
4870.000000 88.555 6.5165
4940.000000 88.325 4.4167
5000.000000 88.060 2.8314
5080.000000 87.628 1.1992
5150.000000 87.195 0.3351
5220.000000 86.736 0.0757
5300.000000 86.210 0.5587
5380.000000 85.720 1.8416
5450.000000 85.350 3.5392
5520.000000 85.062 5.6332
