* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -39.0 dBFS with no timing reference
* Dated: 06/03/2024 11:34:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audiosense DT200 (Final E) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 89.370 7.6566
20.299999 89.516 8.2115
20.600000 89.720 8.0416
20.900000 89.886 7.1932
21.200001 89.958 6.0413
21.400000 89.953 5.3286
21.799999 89.867 4.4402
22.000000 89.820 4.3200
22.400000 89.782 4.5042
22.700001 89.812 4.6801
23.000000 89.865 4.6581
23.299999 89.905 4.4183
23.600000 89.911 4.0843
24.000000 89.871 3.7723
24.299999 89.833 3.7443
24.700001 89.813 3.8846
25.000000 89.830 3.9463
25.400000 89.873 3.7507
25.799999 89.897 3.2158
26.200001 89.873 2.5400
26.500000 89.825 2.1052
26.900000 89.751 1.7619
27.200001 89.712 1.6759
27.600000 89.705 1.6323
28.000000 89.749 1.4405
28.500000 89.826 0.7405
29.000000 89.852 -0.3228
29.500000 89.802 -1.2594
30.000000 89.724 -1.6803
30.400000 89.688 -1.6536
30.700001 89.688 -1.5277
31.100000 89.719 -1.3546
31.500000 89.771 -1.2577
32.000000 89.847 -1.2751
32.500000 89.922 -1.4685
33.000000 89.976 -1.8538
33.500000 89.988 -2.3334
34.000000 89.959 -2.7370
34.500000 89.918 -3.0181
35.000000 89.876 -3.2928
35.500000 89.821 -3.6172
36.000000 89.745 -3.8704
36.500000 89.677 -3.9613
37.000000 89.650 -4.0493
37.500000 89.649 -4.3907
38.200001 89.608 -5.2370
38.700001 89.539 -5.7234
39.500000 89.456 -6.0385
40.000000 89.443 -6.1930
40.599998 89.431 -6.4528
41.200001 89.413 -6.6658
41.799999 89.403 -6.8207
42.500000 89.385 -7.0033
43.099998 89.358 -7.0594
43.700001 89.346 -7.0204
44.400002 89.358 -7.1526
45.000000 89.347 -7.4926
45.500000 89.310 -7.7722
46.200001 89.255 -8.0016
46.799999 89.228 -8.1849
47.500000 89.201 -8.5240
48.200001 89.167 -8.8723
48.700001 89.149 -9.0951
49.400002 89.136 -9.4659
50.000000 89.119 -9.8630
50.799999 89.073 -10.3531
51.500000 89.021 -10.6161
52.200001 88.979 -10.7086
53.000000 88.957 -10.7433
53.799999 88.953 -10.8751
54.500000 88.944 -11.0585
55.200001 88.930 -11.2523
56.000000 88.909 -11.4978
57.000000 88.861 -11.7675
58.000000 88.802 -11.8870
59.000000 88.750 -11.8698
60.000000 88.723 -11.8879
60.799999 88.704 -12.1035
61.500000 88.670 -12.3934
62.200001 88.621 -12.6276
63.000000 88.578 -12.7883
64.000000 88.554 -13.0544
65.000000 88.545 -13.2913
66.000000 88.575 -13.6304
67.000000 88.561 -14.0198
68.000000 88.577 -13.8917
69.000000 88.642 -14.3760
70.000000 88.543 -15.0201
71.000000 88.422 -14.7391
72.000000 88.369 -14.4827
73.000000 88.308 -14.4380
74.000000 88.248 -14.4695
75.000000 88.179 -14.5262
76.199997 88.108 -14.5038
77.500000 88.071 -14.3053
78.800003 88.116 -14.5541
80.000000 88.088 -15.3320
81.199997 88.020 -15.7184
82.500000 87.985 -16.2551
83.800003 87.874 -16.7009
85.000000 87.803 -16.4005
86.199997 87.792 -16.1805
87.500000 87.771 -16.0676
88.500000 87.748 -16.0125
90.000000 87.696 -16.0509
91.199997 87.640 -16.1022
92.500000 87.589 -16.1704
93.800003 87.539 -16.2931
95.000000 87.492 -16.3635
96.199997 87.448 -16.3835
97.500000 87.402 -16.4048
98.800003 87.353 -16.4402
100.000000 87.312 -16.4877
101.500000 87.261 -16.6210
103.000000 87.200 -16.6966
104.400002 87.144 -16.6786
106.000000 87.075 -16.6078
107.500000 87.006 -16.5176
109.000000 86.935 -16.4586
110.599998 86.851 -16.3456
112.000000 86.786 -16.1494
113.800003 86.674 -15.9202
115.000000 86.574 -15.4231
117.199997 86.470 -13.8789
118.000000 86.469 -13.3103
120.599998 86.583 -11.6199
122.000000 86.744 -10.8789
124.099998 87.061 -10.7930
125.000000 87.178 -11.1780
126.500000 87.307 -12.1453
128.000000 87.351 -13.2502
131.500000 87.243 -15.3735
132.000000 87.218 -15.5793
134.000000 87.127 -16.1669
136.000000 87.055 -16.5737
138.000000 86.988 -16.8256
140.000000 86.922 -17.0060
143.000000 86.820 -17.2117
145.000000 86.754 -17.3210
147.500000 86.672 -17.3910
150.000000 86.596 -17.4083
152.500000 86.524 -17.4355
155.000000 86.460 -17.4401
157.500000 86.404 -17.4304
160.000000 86.349 -17.3925
162.500000 86.297 -17.3531
165.000000 86.244 -17.3389
167.500000 86.185 -17.3136
170.000000 86.121 -17.2164
172.500000 86.064 -17.0793
175.000000 86.009 -16.9279
177.500000 85.960 -16.7263
180.000000 85.920 -16.4861
182.500000 85.893 -16.2224
185.000000 85.881 -15.9838
187.500000 85.880 -15.8377
190.000000 85.884 -15.8018
192.500000 85.887 -15.8865
195.000000 85.880 -16.0417
197.500000 85.862 -16.2064
200.000000 85.837 -16.3859
203.000000 85.789 -16.6019
206.000000 85.732 -16.6158
209.000000 85.679 -16.6195
212.000000 85.626 -16.6730
214.000000 85.593 -16.7053
218.000000 85.529 -16.6789
220.000000 85.495 -16.6303
224.000000 85.424 -16.5294
227.000000 85.372 -16.4988
230.000000 85.321 -16.4693
233.000000 85.274 -16.4225
236.000000 85.227 -16.3331
240.000000 85.171 -16.1885
243.000000 85.129 -16.0861
247.000000 85.067 -15.9439
250.000000 85.021 -15.8244
254.000000 84.965 -15.6486
258.000000 84.907 -15.4647
262.000000 84.844 -15.3095
265.000000 84.794 -15.1593
269.000000 84.731 -14.8363
272.000000 84.694 -14.5623
276.000000 84.650 -14.1625
280.000000 84.622 -13.6202
285.000000 84.641 -12.8926
290.000000 84.711 -12.5911
295.000000 84.765 -12.8107
300.000000 84.763 -13.2200
304.000000 84.725 -13.4825
307.000000 84.686 -13.6100
311.000000 84.632 -13.7080
315.000000 84.579 -13.7318
320.000000 84.515 -13.6641
325.000000 84.453 -13.5460
330.000000 84.396 -13.4320
335.000000 84.343 -13.3258
340.000000 84.291 -13.1987
345.000000 84.241 -13.0461
350.000000 84.192 -12.8757
355.000000 84.146 -12.7050
360.000000 84.097 -12.5304
365.000000 84.049 -12.3346
370.000000 84.003 -12.1436
375.000000 83.959 -11.9914
382.000000 83.901 -11.7660
387.000000 83.857 -11.5822
395.000000 83.790 -11.2736
400.000000 83.749 -11.0848
406.000000 83.699 -10.8407
412.000000 83.650 -10.5925
418.000000 83.604 -10.3662
425.000000 83.552 -10.0802
431.000000 83.507 -9.8499
437.000000 83.462 -9.6317
444.000000 83.411 -9.3707
450.000000 83.367 -9.1134
455.000000 83.331 -8.8904
462.000000 83.280 -8.5936
468.000000 83.237 -8.3329
475.000000 83.188 -8.0229
482.000000 83.142 -7.7209
487.000000 83.110 -7.5066
494.000000 83.063 -7.2053
500.000000 83.021 -6.9456
508.000000 82.968 -6.5890
515.000000 82.923 -6.2505
522.000000 82.879 -5.9218
530.000000 82.829 -5.5458
538.000000 82.782 -5.1550
545.000000 82.741 -4.8038
552.000000 82.701 -4.4608
560.000000 82.656 -4.0665
570.000000 82.600 -3.5630
580.000000 82.544 -3.0456
590.000000 82.487 -2.5187
600.000000 82.433 -1.9894
608.000000 82.392 -1.5509
615.000000 82.358 -1.1636
622.000000 82.323 -0.7753
630.000000 82.285 -0.3287
640.000000 82.238 0.2429
650.000000 82.192 0.8387
660.000000 82.148 1.4402
670.000000 82.106 2.0432
680.000000 82.067 2.6465
690.000000 82.029 3.2651
700.000000 81.994 3.8912
710.000000 81.960 4.5279
720.000000 81.929 5.1771
730.000000 81.897 5.8335
740.000000 81.867 6.4958
750.000000 81.839 7.1610
762.000000 81.812 7.9663
775.000000 81.789 8.8541
788.000000 81.771 9.7548
800.000000 81.757 10.6047
812.000000 81.746 11.4535
825.000000 81.739 12.3651
838.000000 81.738 13.2741
850.000000 81.741 14.1234
862.000000 81.750 14.9830
875.000000 81.766 15.9114
885.000000 81.781 16.6176
900.000000 81.811 17.6497
912.000000 81.838 18.4592
925.000000 81.875 19.3253
938.000000 81.916 20.1805
950.000000 81.958 20.9519
962.000000 82.003 21.6954
975.000000 82.056 22.4698
988.000000 82.115 23.2237
1000.000000 82.172 23.8916
1015.000000 82.247 24.6729
1030.000000 82.324 25.4200
1044.000000 82.397 26.0804
1060.000000 82.482 26.7839
1075.000000 82.563 27.4079
1090.000000 82.643 27.9861
1106.000000 82.728 28.5395
1120.000000 82.803 28.9904
1138.000000 82.896 29.5309
1150.000000 82.956 29.8688
1172.000000 83.060 30.4435
1180.000000 83.096 30.6437
1206.000000 83.202 31.2647
1220.000000 83.256 31.5755
1241.000000 83.333 32.0180
1250.000000 83.363 32.2079
1265.000000 83.410 32.5232
1280.000000 83.453 32.8400
1315.000000 83.541 33.6541
1320.000000 83.552 33.7825
1340.000000 83.595 34.3326
1360.000000 83.644 34.9727
1380.000000 83.709 35.6757
1400.000000 83.793 36.3474
1430.000000 83.939 37.1135
1450.000000 84.028 37.4677
1475.000000 84.118 37.8445
1500.000000 84.188 38.2546
1525.000000 84.249 38.7382
1550.000000 84.309 39.2797
1575.000000 84.373 39.8533
1600.000000 84.437 40.4528
1625.000000 84.505 41.0873
1650.000000 84.575 41.7475
1675.000000 84.649 42.4107
1700.000000 84.727 43.0856
1725.000000 84.808 43.7550
1750.000000 84.889 44.4288
1775.000000 84.973 45.1213
1800.000000 85.060 45.8235
1825.000000 85.152 46.5352
1850.000000 85.248 47.2566
1875.000000 85.344 47.9857
1900.000000 85.437 48.7356
1925.000000 85.530 49.5471
1950.000000 85.627 50.4606
1975.000000 85.734 51.5127
2000.000000 85.869 52.7269
2030.000000 86.096 54.3145
2060.000000 86.407 55.7510
2090.000000 86.776 56.6483
2120.000000 87.139 56.9173
2140.000000 87.354 56.8780
2180.000000 87.716 56.7254
2200.000000 87.883 56.7332
2240.000000 88.237 56.9135
2270.000000 88.541 57.0014
2300.000000 88.868 56.8523
2330.000000 89.199 56.4071
2360.000000 89.516 55.7147
2400.000000 89.913 54.5374
2430.000000 90.197 53.4946
2470.000000 90.555 51.8612
2500.000000 90.801 50.4543
2540.000000 91.090 48.4080
2580.000000 91.338 46.2576
2620.000000 91.555 44.0349
2650.000000 91.699 42.2985
2690.000000 91.862 39.8621
2720.000000 91.956 37.9500
2760.000000 92.040 35.3425
2800.000000 92.079 32.7376
2850.000000 92.073 29.5221
2900.000000 92.004 26.3362
2950.000000 91.860 23.2617
3000.000000 91.641 20.4751
3040.000000 91.424 18.5393
3070.000000 91.246 17.2765
3110.000000 90.995 15.8486
3150.000000 90.738 14.7021
3200.000000 90.419 13.6345
3250.000000 90.113 12.9003
3300.000000 89.824 12.4191
3350.000000 89.548 12.1547
3400.000000 89.287 12.0911
3450.000000 89.043 12.2147
3500.000000 88.819 12.5001
3550.000000 88.618 12.9110
3600.000000 88.440 13.4238
3650.000000 88.285 14.0067
3700.000000 88.148 14.6479
3750.000000 88.030 15.3452
3820.000000 87.899 16.4227
3870.000000 87.836 17.2408
3950.000000 87.795 18.4927
4000.000000 87.802 19.1592
4060.000000 87.832 19.7942
4120.000000 87.875 20.2404
4180.000000 87.920 20.5358
4250.000000 87.971 20.7639
4310.000000 88.018 20.8987
4370.000000 88.078 20.9553
4440.000000 88.167 20.8344
4500.000000 88.253 20.4774
4550.000000 88.319 19.9711
4620.000000 88.389 18.9496
4680.000000 88.414 17.8237
4750.000000 88.385 16.3110
4820.000000 88.283 14.7197
4870.000000 88.165 13.6219
4940.000000 87.940 12.2593
5000.000000 87.699 11.3356
5080.000000 87.332 10.5477
5150.000000 86.984 10.3255
5220.000000 86.628 10.5583
5300.000000 86.230 11.3760
5380.000000 85.863 12.7690
5450.000000 85.589 14.4183
5520.000000 85.380 16.3849
5600.000000 85.244 18.8179
