* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -39.0 dBFS with no timing reference
* Dated: 06/03/2024 11:30:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audiosense DT200 (Final E)R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 90.576 12.1819
20.299999 90.669 11.0248
20.600000 90.687 9.8183
20.900000 90.653 8.8141
21.200001 90.604 8.1184
21.400000 90.581 7.7993
21.799999 90.580 7.2959
22.000000 90.599 7.0105
22.400000 90.644 6.2487
22.700001 90.660 5.5612
23.000000 90.650 4.9022
23.299999 90.622 4.3857
23.600000 90.595 4.0593
24.000000 90.590 3.8369
24.299999 90.615 3.6937
24.700001 90.669 3.3642
25.000000 90.704 2.9910
25.400000 90.722 2.4279
25.799999 90.709 1.9587
26.200001 90.683 1.6935
26.500000 90.672 1.6124
26.900000 90.676 1.5602
27.200001 90.692 1.4890
27.600000 90.718 1.2911
28.000000 90.737 0.9805
28.500000 90.742 0.5037
29.000000 90.727 -0.0005
29.500000 90.695 -0.4909
30.000000 90.649 -0.9142
30.400000 90.609 -1.1634
30.700001 90.583 -1.2961
31.100000 90.560 -1.4353
31.500000 90.551 -1.5857
32.000000 90.548 -1.8280
32.500000 90.544 -2.0759
33.000000 90.553 -2.2815
33.500000 90.586 -2.5537
34.000000 90.627 -3.0649
34.500000 90.634 -3.7959
35.000000 90.584 -4.4778
35.500000 90.506 -4.8574
36.000000 90.448 -4.9662
36.500000 90.426 -5.0679
37.000000 90.412 -5.3351
37.500000 90.378 -5.6954
38.200001 90.307 -6.0835
38.700001 90.267 -6.2762
39.500000 90.222 -6.6267
40.000000 90.198 -6.8593
40.599998 90.182 -7.1385
41.200001 90.180 -7.5068
41.799999 90.166 -7.9368
42.500000 90.140 -8.2677
43.099998 90.148 -8.4272
43.700001 90.184 -8.7711
44.400002 90.186 -9.4805
45.000000 90.124 -9.9576
45.500000 90.061 -10.0610
46.200001 90.012 -9.9523
46.799999 90.000 -9.9351
47.500000 89.984 -10.0568
48.200001 89.967 -10.2543
48.700001 89.956 -10.4862
49.400002 89.920 -10.9072
50.000000 89.872 -11.2070
50.799999 89.821 -11.4714
51.500000 89.788 -11.7090
52.200001 89.750 -11.8654
53.000000 89.735 -11.8697
53.799999 89.755 -12.0620
54.500000 89.738 -12.4358
55.200001 89.676 -12.6039
56.000000 89.628 -12.4597
57.000000 89.621 -12.5837
58.000000 89.554 -13.0852
59.000000 89.471 -13.3080
60.000000 89.437 -13.6123
60.799999 89.408 -13.9004
61.500000 89.401 -14.0077
62.200001 89.422 -14.1539
63.000000 89.430 -14.3007
64.000000 89.488 -13.8706
65.000000 89.681 -14.3605
66.000000 89.614 -16.0737
67.000000 89.335 -16.1210
68.000000 89.224 -15.3831
69.000000 89.150 -15.3839
70.000000 89.057 -15.4271
71.000000 88.981 -15.5432
72.000000 88.896 -15.4612
73.000000 88.878 -14.9118
74.000000 88.953 -14.6905
75.000000 88.977 -15.1127
76.199997 88.879 -15.3547
77.500000 88.792 -15.1069
78.800003 88.755 -15.5900
80.000000 88.630 -16.4243
81.199997 88.509 -16.7255
82.500000 88.472 -16.9197
83.800003 88.469 -17.2867
85.000000 88.440 -17.5439
86.199997 88.399 -17.5515
87.500000 88.355 -17.4296
88.500000 88.333 -17.3170
90.000000 88.305 -17.5391
91.199997 88.237 -17.8006
92.500000 88.156 -17.9091
93.800003 88.079 -17.9711
95.000000 88.010 -18.0375
96.199997 87.945 -18.0563
97.500000 87.901 -18.0562
98.800003 87.873 -18.2509
100.000000 87.815 -18.5222
101.500000 87.697 -18.3723
103.000000 87.619 -17.7960
104.400002 87.580 -17.4495
106.000000 87.511 -17.3344
107.500000 87.420 -16.9343
109.000000 87.394 -15.8999
110.599998 87.488 -14.7682
112.000000 87.602 -14.1597
113.800003 87.734 -13.6839
115.000000 87.825 -13.7069
117.199997 87.950 -14.6340
118.000000 87.974 -15.1738
120.599998 87.956 -16.8422
122.000000 87.909 -17.4463
124.099998 87.819 -18.0236
125.000000 87.778 -18.2173
126.500000 87.710 -18.5137
128.000000 87.648 -18.7671
131.500000 87.526 -19.1580
132.000000 87.507 -19.1846
134.000000 87.427 -19.2177
136.000000 87.351 -19.2618
138.000000 87.284 -19.3738
140.000000 87.223 -19.4634
143.000000 87.144 -19.3973
145.000000 87.096 -19.3666
147.500000 87.025 -19.4434
150.000000 86.953 -19.4522
152.500000 86.898 -19.4118
155.000000 86.845 -19.3608
157.500000 86.790 -19.3237
160.000000 86.739 -19.3646
162.500000 86.688 -19.4576
165.000000 86.636 -19.4722
167.500000 86.580 -19.4408
170.000000 86.524 -19.3734
172.500000 86.471 -19.3281
175.000000 86.423 -19.2905
177.500000 86.376 -19.2496
180.000000 86.329 -19.1799
182.500000 86.283 -19.1113
185.000000 86.235 -19.0580
187.500000 86.185 -19.0108
190.000000 86.138 -18.9585
192.500000 86.094 -18.9146
195.000000 86.049 -18.8816
197.500000 86.004 -18.8445
200.000000 85.960 -18.8077
203.000000 85.909 -18.7398
206.000000 85.859 -18.6372
209.000000 85.809 -18.5170
212.000000 85.760 -18.4156
214.000000 85.730 -18.3319
218.000000 85.679 -18.1151
220.000000 85.650 -18.0170
224.000000 85.571 -17.9246
227.000000 85.505 -17.8927
230.000000 85.449 -17.8176
233.000000 85.399 -17.6765
236.000000 85.348 -17.5129
240.000000 85.283 -17.3079
243.000000 85.231 -17.1194
247.000000 85.159 -16.8041
250.000000 85.107 -16.5382
254.000000 85.043 -16.1222
258.000000 84.986 -15.6248
262.000000 84.945 -15.0775
265.000000 84.927 -14.6312
269.000000 84.931 -14.0536
272.000000 84.957 -13.6678
276.000000 85.005 -13.2998
280.000000 85.054 -13.1449
285.000000 85.100 -13.2157
290.000000 85.118 -13.4686
295.000000 85.108 -13.7703
300.000000 85.075 -14.0413
304.000000 85.035 -14.2087
307.000000 85.000 -14.3052
311.000000 84.954 -14.4128
315.000000 84.905 -14.4626
320.000000 84.841 -14.4399
325.000000 84.779 -14.3672
330.000000 84.717 -14.2815
335.000000 84.658 -14.1769
340.000000 84.601 -14.0473
345.000000 84.543 -13.9014
350.000000 84.487 -13.7339
355.000000 84.437 -13.5784
360.000000 84.389 -13.4271
365.000000 84.344 -13.2624
370.000000 84.298 -13.0948
375.000000 84.247 -12.9179
382.000000 84.182 -12.6682
387.000000 84.137 -12.4777
395.000000 84.064 -12.1570
400.000000 84.020 -11.9691
406.000000 83.970 -11.7435
412.000000 83.921 -11.5013
418.000000 83.871 -11.2531
425.000000 83.817 -10.9865
431.000000 83.769 -10.7546
437.000000 83.722 -10.5122
444.000000 83.668 -10.2075
450.000000 83.622 -9.9378
455.000000 83.585 -9.7122
462.000000 83.532 -9.4095
468.000000 83.486 -9.1451
475.000000 83.435 -8.8335
482.000000 83.386 -8.5192
487.000000 83.352 -8.2941
494.000000 83.304 -7.9752
500.000000 83.265 -7.6925
508.000000 83.214 -7.3201
515.000000 83.168 -6.9843
522.000000 83.120 -6.6403
530.000000 83.068 -6.2557
538.000000 83.017 -5.8640
545.000000 82.973 -5.5324
552.000000 82.931 -5.1773
560.000000 82.883 -4.7681
570.000000 82.821 -4.2669
580.000000 82.763 -3.7313
590.000000 82.707 -3.2010
600.000000 82.652 -2.6659
608.000000 82.610 -2.2202
615.000000 82.573 -1.8303
622.000000 82.536 -1.4425
630.000000 82.494 -0.9843
640.000000 82.442 -0.3946
650.000000 82.396 0.1976
660.000000 82.352 0.8094
670.000000 82.307 1.4214
680.000000 82.263 2.0358
690.000000 82.223 2.6633
700.000000 82.185 3.3076
710.000000 82.148 3.9626
720.000000 82.114 4.6249
730.000000 82.081 5.2975
740.000000 82.050 5.9771
750.000000 82.022 6.6719
762.000000 81.993 7.5095
775.000000 81.966 8.4177
788.000000 81.944 9.3188
800.000000 81.927 10.1676
812.000000 81.913 11.0453
825.000000 81.905 11.9820
838.000000 81.901 12.9159
850.000000 81.902 13.7807
862.000000 81.909 14.6522
875.000000 81.922 15.5947
885.000000 81.936 16.3088
900.000000 81.961 17.3681
912.000000 81.986 18.2050
925.000000 82.022 19.0933
938.000000 82.063 19.9661
950.000000 82.105 20.7586
962.000000 82.149 21.5256
975.000000 82.202 22.3213
988.000000 82.259 23.0808
1000.000000 82.314 23.7550
1015.000000 82.385 24.5683
1030.000000 82.459 25.3440
1044.000000 82.529 26.0235
1060.000000 82.611 26.7560
1075.000000 82.688 27.4044
1090.000000 82.766 28.0065
1106.000000 82.847 28.5981
1120.000000 82.917 29.0806
1138.000000 83.005 29.6613
1150.000000 83.061 30.0276
1172.000000 83.156 30.6681
1180.000000 83.189 30.8941
1206.000000 83.290 31.6113
1220.000000 83.340 32.0001
1241.000000 83.410 32.6138
1250.000000 83.440 32.8906
1265.000000 83.494 33.3696
1280.000000 83.554 33.8529
1315.000000 83.716 34.7831
1320.000000 83.738 34.8807
1340.000000 83.820 35.2146
1360.000000 83.884 35.5283
1380.000000 83.934 35.8714
1400.000000 83.977 36.2665
1430.000000 84.033 36.9669
1450.000000 84.069 37.4745
1475.000000 84.115 38.1627
1500.000000 84.166 38.9062
1525.000000 84.220 39.6796
1550.000000 84.276 40.4467
1575.000000 84.333 41.2369
1600.000000 84.386 42.0693
1625.000000 84.438 42.9711
1650.000000 84.494 43.9525
1675.000000 84.556 45.0223
1700.000000 84.626 46.1915
1725.000000 84.711 47.4760
1750.000000 84.818 48.8724
1775.000000 84.956 50.3627
1800.000000 85.138 51.9250
1825.000000 85.378 53.4580
1850.000000 85.679 54.7415
1875.000000 86.018 55.5442
1900.000000 86.352 55.7921
1925.000000 86.645 55.6324
1950.000000 86.883 55.3022
1975.000000 87.075 54.9808
2000.000000 87.237 54.7606
2030.000000 87.412 54.6723
2060.000000 87.585 54.7497
2090.000000 87.765 54.9438
2120.000000 87.961 55.2154
2140.000000 88.103 55.4214
2180.000000 88.422 55.8027
2200.000000 88.600 55.9174
2240.000000 88.980 55.8631
2270.000000 89.266 55.5531
2300.000000 89.541 55.0591
2330.000000 89.801 54.4426
2360.000000 90.051 53.7475
2400.000000 90.374 52.7386
2430.000000 90.616 51.9125
2470.000000 90.941 50.6472
2500.000000 91.184 49.5226
2540.000000 91.494 47.7495
2580.000000 91.776 45.6623
2620.000000 92.013 43.3057
2650.000000 92.155 41.4235
2690.000000 92.298 38.8427
2720.000000 92.372 36.8879
2760.000000 92.431 34.2974
2800.000000 92.449 31.7586
2850.000000 92.421 28.6465
2900.000000 92.335 25.5818
2950.000000 92.178 22.6534
3000.000000 91.954 20.0294
3040.000000 91.739 18.2203
3070.000000 91.565 17.0439
3110.000000 91.322 15.7103
3150.000000 91.073 14.6241
3200.000000 90.759 13.5955
3250.000000 90.448 12.9081
3300.000000 90.150 12.5270
3350.000000 89.868 12.4344
3400.000000 89.610 12.5870
3450.000000 89.380 12.9329
3500.000000 89.177 13.4338
3550.000000 89.002 14.0502
3600.000000 88.856 14.7662
3650.000000 88.741 15.5537
3700.000000 88.658 16.3657
3750.000000 88.607 17.1461
3820.000000 88.577 18.1345
3870.000000 88.578 18.7512
3950.000000 88.611 19.5819
4000.000000 88.648 20.0153
4060.000000 88.709 20.4545
4120.000000 88.793 20.7856
4180.000000 88.901 20.9607
4250.000000 89.054 20.8816
4310.000000 89.201 20.5062
4370.000000 89.348 19.8010
4440.000000 89.502 18.5519
4500.000000 89.603 17.1411
4550.000000 89.657 15.7614
4620.000000 89.680 13.5800
4680.000000 89.640 11.5312
4750.000000 89.515 9.0215
4820.000000 89.295 6.5361
4870.000000 89.078 4.8770
4940.000000 88.699 2.8562
5000.000000 88.314 1.5123
5080.000000 87.741 0.4075
5150.000000 87.209 0.1517
5220.000000 86.677 0.5757
5300.000000 86.100 1.8441
5380.000000 85.586 3.8552
5450.000000 85.215 6.1113
5520.000000 84.934 8.6722
5600.000000 84.738 11.6919
