* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -39.0 dBFS with no timing reference
* Dated: 06/03/2024 11:22:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audiosense DT200 (CP120) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 89.767 7.3597
20.299999 89.786 7.0015
20.600000 89.802 6.5886
20.900000 89.808 6.1647
21.200001 89.804 5.7827
21.400000 89.799 5.5665
21.799999 89.791 5.2200
22.000000 89.792 5.0729
22.400000 89.798 4.7828
22.700001 89.804 4.5492
23.000000 89.806 4.3052
23.299999 89.804 4.0656
23.600000 89.798 3.8435
24.000000 89.790 3.5764
24.299999 89.786 3.3826
24.700001 89.784 3.0988
25.000000 89.783 2.8479
25.400000 89.776 2.4564
25.799999 89.760 2.0233
26.200001 89.732 1.5963
26.500000 89.708 1.3055
26.900000 89.678 0.9628
27.200001 89.661 0.7215
27.600000 89.647 0.3841
28.000000 89.634 0.0205
28.500000 89.614 -0.3939
29.000000 89.602 -0.6605
29.500000 89.630 -0.8618
30.000000 89.690 -1.2568
30.400000 89.726 -1.7769
30.700001 89.726 -2.1981
31.100000 89.692 -2.6047
31.500000 89.645 -2.6700
32.000000 89.638 -2.3622
32.500000 89.714 -2.1460
33.000000 89.808 -2.4689
33.500000 89.829 -3.1808
34.000000 89.759 -3.7661
34.500000 89.656 -3.9012
35.000000 89.587 -3.7313
35.500000 89.562 -3.6254
36.000000 89.547 -3.7883
36.500000 89.511 -4.1699
37.000000 89.446 -4.6194
37.500000 89.358 -4.9947
38.200001 89.236 -5.2373
38.700001 89.186 -5.2679
39.500000 89.184 -5.5187
40.000000 89.193 -5.9142
40.599998 89.183 -6.4407
41.200001 89.163 -6.8051
41.799999 89.161 -6.9968
42.500000 89.191 -7.2045
43.099998 89.222 -7.5306
43.700001 89.225 -7.9779
44.400002 89.171 -8.3440
45.000000 89.118 -8.3195
45.500000 89.105 -8.1938
46.200001 89.123 -8.2629
46.799999 89.121 -8.5951
47.500000 89.084 -8.9923
48.200001 89.047 -9.2800
48.700001 89.026 -9.4780
49.400002 88.998 -9.7413
50.000000 88.978 -9.9157
50.799999 88.963 -10.1389
51.500000 88.944 -10.3473
52.200001 88.915 -10.5011
53.000000 88.881 -10.6500
53.799999 88.834 -10.8384
54.500000 88.782 -10.9969
55.200001 88.732 -11.1650
56.000000 88.677 -11.4059
57.000000 88.623 -11.6868
58.000000 88.608 -12.0305
59.000000 88.596 -12.3868
60.000000 88.580 -12.5795
60.799999 88.549 -12.5430
61.500000 88.521 -12.3234
62.200001 88.494 -12.1624
63.000000 88.416 -12.0787
64.000000 88.281 -12.0032
65.000000 88.018 -12.5040
66.000000 87.598 -10.8315
67.000000 87.784 -8.0699
68.000000 88.156 -9.8520
69.000000 88.092 -12.5476
70.000000 88.002 -13.6351
71.000000 87.981 -14.3425
72.000000 87.969 -14.6901
73.000000 87.957 -14.8395
74.000000 87.930 -14.6858
75.000000 87.927 -14.5255
76.199997 87.912 -14.4568
77.500000 87.941 -14.9207
78.800003 87.789 -15.8545
80.000000 87.631 -15.3073
81.199997 87.582 -14.8881
82.500000 87.489 -14.3799
83.800003 87.448 -13.7621
85.000000 87.420 -13.6872
86.199997 87.324 -13.8201
87.500000 87.194 -13.4368
88.500000 87.119 -12.8320
90.000000 87.125 -11.2145
91.199997 87.261 -10.4419
92.500000 87.398 -10.2271
93.800003 87.519 -10.3436
95.000000 87.614 -10.6473
96.199997 87.695 -11.1371
97.500000 87.748 -11.7410
98.800003 87.772 -12.2756
100.000000 87.777 -12.6936
101.500000 87.758 -13.2297
103.000000 87.710 -13.6071
104.400002 87.673 -13.8228
106.000000 87.646 -14.0535
107.500000 87.626 -14.2995
109.000000 87.605 -14.5625
110.599998 87.580 -14.9044
112.000000 87.556 -15.2288
113.800003 87.523 -15.7177
115.000000 87.492 -16.0371
117.199997 87.420 -16.5084
118.000000 87.389 -16.6404
120.599998 87.288 -16.9432
122.000000 87.239 -17.0787
124.099998 87.169 -17.2897
125.000000 87.138 -17.3635
126.500000 87.087 -17.4570
128.000000 87.036 -17.5416
131.500000 86.917 -17.6912
132.000000 86.902 -17.7107
134.000000 86.840 -17.7668
136.000000 86.783 -17.7889
138.000000 86.728 -17.8106
140.000000 86.672 -17.8309
143.000000 86.585 -17.8488
145.000000 86.529 -17.8305
147.500000 86.467 -17.7965
150.000000 86.407 -17.7755
152.500000 86.348 -17.7333
155.000000 86.285 -17.6627
157.500000 86.226 -17.5607
160.000000 86.175 -17.4808
162.500000 86.131 -17.4249
165.000000 86.086 -17.3464
167.500000 86.038 -17.2665
170.000000 85.985 -17.1733
172.500000 85.930 -17.0981
175.000000 85.873 -17.0124
177.500000 85.815 -16.8960
180.000000 85.760 -16.7244
182.500000 85.711 -16.5236
185.000000 85.662 -16.3091
187.500000 85.611 -16.0531
190.000000 85.562 -15.7434
192.500000 85.521 -15.3676
195.000000 85.496 -14.9291
197.500000 85.489 -14.4365
200.000000 85.506 -13.9249
203.000000 85.562 -13.4341
206.000000 85.643 -13.2598
209.000000 85.722 -13.4324
212.000000 85.773 -13.8497
214.000000 85.785 -14.1780
218.000000 85.762 -14.8059
220.000000 85.735 -15.0577
224.000000 85.671 -15.4222
227.000000 85.618 -15.6019
230.000000 85.565 -15.7274
233.000000 85.513 -15.8130
236.000000 85.464 -15.8716
240.000000 85.403 -15.9203
243.000000 85.357 -15.9261
247.000000 85.296 -15.9022
250.000000 85.254 -15.8916
254.000000 85.199 -15.8636
258.000000 85.142 -15.8220
262.000000 85.089 -15.7617
265.000000 85.051 -15.6926
269.000000 84.997 -15.6232
272.000000 84.957 -15.5827
276.000000 84.906 -15.5182
280.000000 84.856 -15.4307
285.000000 84.799 -15.2972
290.000000 84.742 -15.1335
295.000000 84.682 -15.0161
300.000000 84.623 -14.9005
304.000000 84.580 -14.7882
307.000000 84.550 -14.6846
311.000000 84.509 -14.5452
315.000000 84.468 -14.4229
320.000000 84.420 -14.2671
325.000000 84.373 -14.1137
330.000000 84.328 -13.9697
335.000000 84.279 -13.8240
340.000000 84.229 -13.6581
345.000000 84.183 -13.4814
350.000000 84.141 -13.3015
355.000000 84.098 -13.1432
360.000000 84.052 -12.9752
365.000000 84.008 -12.7968
370.000000 83.965 -12.6207
375.000000 83.922 -12.4589
382.000000 83.863 -12.2121
387.000000 83.820 -12.0322
395.000000 83.751 -11.7324
400.000000 83.713 -11.5415
406.000000 83.669 -11.3114
412.000000 83.622 -11.0991
418.000000 83.577 -10.8733
425.000000 83.525 -10.5902
431.000000 83.478 -10.3661
437.000000 83.433 -10.1298
444.000000 83.381 -9.8424
450.000000 83.338 -9.6051
455.000000 83.304 -9.4080
462.000000 83.256 -9.1240
468.000000 83.213 -8.8683
475.000000 83.162 -8.5720
482.000000 83.114 -8.2755
487.000000 83.080 -8.0537
494.000000 83.035 -7.7390
500.000000 82.998 -7.4760
508.000000 82.947 -7.1213
515.000000 82.903 -6.8030
522.000000 82.860 -6.4766
530.000000 82.809 -6.0992
538.000000 82.761 -5.7211
545.000000 82.719 -5.3795
552.000000 82.677 -5.0379
560.000000 82.630 -4.6451
570.000000 82.573 -4.1415
580.000000 82.518 -3.6315
590.000000 82.463 -3.1049
600.000000 82.410 -2.5754
608.000000 82.370 -2.1500
615.000000 82.334 -1.7764
622.000000 82.300 -1.3998
630.000000 82.262 -0.9545
640.000000 82.216 -0.3875
650.000000 82.172 0.1854
660.000000 82.130 0.7745
670.000000 82.088 1.3738
680.000000 82.047 1.9771
690.000000 82.010 2.5937
700.000000 81.974 3.2123
710.000000 81.939 3.8262
720.000000 81.907 4.4526
730.000000 81.879 5.0903
740.000000 81.852 5.7395
750.000000 81.824 6.4019
762.000000 81.797 7.2146
775.000000 81.772 8.1056
788.000000 81.752 8.9844
800.000000 81.738 9.8079
812.000000 81.728 10.6431
825.000000 81.722 11.5531
838.000000 81.722 12.4646
850.000000 81.726 13.3057
862.000000 81.735 14.1456
875.000000 81.751 15.0438
885.000000 81.766 15.7234
900.000000 81.796 16.7542
912.000000 81.826 17.5758
925.000000 81.862 18.4307
938.000000 81.903 19.2662
950.000000 81.946 20.0239
962.000000 81.993 20.7623
975.000000 82.048 21.5321
988.000000 82.107 22.2744
1000.000000 82.165 22.9366
1015.000000 82.240 23.7222
1030.000000 82.318 24.4581
1044.000000 82.395 25.0972
1060.000000 82.484 25.7955
1075.000000 82.566 26.4094
1090.000000 82.649 26.9709
1106.000000 82.738 27.5215
1120.000000 82.814 27.9717
1138.000000 82.911 28.5090
1150.000000 82.975 28.8407
1172.000000 83.084 29.4036
1180.000000 83.122 29.5918
1206.000000 83.240 30.1645
1220.000000 83.299 30.4531
1241.000000 83.383 30.8666
1250.000000 83.418 31.0399
1265.000000 83.473 31.3232
1280.000000 83.526 31.6034
1315.000000 83.639 32.2513
1320.000000 83.655 32.3473
1340.000000 83.714 32.7335
1360.000000 83.771 33.1219
1380.000000 83.826 33.5298
1400.000000 83.878 33.9419
1430.000000 83.955 34.5810
1450.000000 84.007 35.0301
1475.000000 84.072 35.6142
1500.000000 84.137 36.2138
1525.000000 84.204 36.8338
1550.000000 84.274 37.4770
1575.000000 84.350 38.1270
1600.000000 84.427 38.7778
1625.000000 84.508 39.4383
1650.000000 84.595 40.0993
1675.000000 84.688 40.7538
1700.000000 84.784 41.4068
1725.000000 84.882 42.0529
1750.000000 84.985 42.6909
1775.000000 85.091 43.3133
1800.000000 85.199 43.9299
1825.000000 85.311 44.5413
1850.000000 85.426 45.1501
1875.000000 85.543 45.7621
1900.000000 85.665 46.3942
1925.000000 85.792 47.0559
1950.000000 85.929 47.7612
1975.000000 86.082 48.5040
2000.000000 86.259 49.2527
2030.000000 86.509 50.0471
2060.000000 86.789 50.5571
2090.000000 87.068 50.7409
2120.000000 87.328 50.7150
2140.000000 87.490 50.6509
2180.000000 87.800 50.4890
2200.000000 87.953 50.3894
2240.000000 88.260 50.1282
2270.000000 88.495 49.8623
2300.000000 88.733 49.5167
2330.000000 88.973 49.0725
2360.000000 89.214 48.5154
2400.000000 89.532 47.5921
2430.000000 89.768 46.7570
2470.000000 90.074 45.4408
2500.000000 90.294 44.2973
2540.000000 90.568 42.5646
2580.000000 90.816 40.5952
2620.000000 91.029 38.4164
2650.000000 91.164 36.6647
2690.000000 91.305 34.2067
2720.000000 91.378 32.2950
2760.000000 91.432 29.6990
2800.000000 91.435 27.1049
2850.000000 91.368 23.9600
2900.000000 91.231 21.0139
2950.000000 91.032 18.3521
3000.000000 90.784 16.0521
3040.000000 90.561 14.5009
3070.000000 90.388 13.5076
3110.000000 90.154 12.3977
3150.000000 89.922 11.5020
3200.000000 89.639 10.6425
3250.000000 89.365 10.0070
3300.000000 89.100 9.5677
3350.000000 88.846 9.3179
3400.000000 88.605 9.2382
3450.000000 88.380 9.3068
3500.000000 88.171 9.4957
3550.000000 87.979 9.7688
3600.000000 87.802 10.1156
3650.000000 87.639 10.5193
3700.000000 87.484 10.9620
3750.000000 87.334 11.4769
3820.000000 87.138 12.4160
3870.000000 87.020 13.2737
3950.000000 86.902 14.8207
4000.000000 86.875 15.7590
4060.000000 86.881 16.7554
4120.000000 86.917 17.5740
4180.000000 86.976 18.1938
4250.000000 87.059 18.6464
4310.000000 87.135 18.8033
4370.000000 87.206 18.7448
4440.000000 87.270 18.4496
4500.000000 87.301 18.0622
4550.000000 87.312 17.7003
4620.000000 87.311 17.1843
4680.000000 87.304 16.7012
4750.000000 87.285 16.0145
4820.000000 87.241 15.1577
4870.000000 87.185 14.4651
4940.000000 87.062 13.4620
5000.000000 86.913 12.6566
5080.000000 86.650 11.8040
5150.000000 86.369 11.4016
5220.000000 86.057 11.4237
5300.000000 85.689 12.0712
5380.000000 85.345 13.4056
5450.000000 85.099 15.0799
5520.000000 84.928 17.1045
5600.000000 84.847 19.5925
