* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -39.0 dBFS with no timing reference
* Dated: 06/03/2024 11:24:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audiosense DT200 (CP120) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 90.817 5.6321
20.299999 90.796 5.2495
20.600000 90.777 4.9048
20.900000 90.762 4.5776
21.200001 90.749 4.2518
21.400000 90.741 4.0355
21.799999 90.726 3.6195
22.000000 90.719 3.4255
22.400000 90.713 3.0594
22.700001 90.716 2.7808
23.000000 90.722 2.4761
23.299999 90.728 2.1401
23.600000 90.729 1.7886
24.000000 90.719 1.3517
24.299999 90.707 1.0857
24.700001 90.694 0.8265
25.000000 90.694 0.6748
25.400000 90.707 0.4547
25.799999 90.725 0.1512
26.200001 90.732 -0.2323
26.500000 90.725 -0.5272
26.900000 90.703 -0.8577
27.200001 90.684 -1.0363
27.600000 90.668 -1.2168
28.000000 90.665 -1.4200
28.500000 90.662 -1.7941
29.000000 90.636 -2.2086
29.500000 90.603 -2.4860
30.000000 90.600 -2.6949
30.400000 90.622 -3.0236
30.700001 90.632 -3.4278
31.100000 90.608 -4.0663
31.500000 90.531 -4.5264
32.000000 90.425 -4.4333
32.500000 90.441 -3.8240
33.000000 90.614 -3.7470
33.500000 90.789 -4.9307
34.000000 90.777 -6.8533
34.500000 90.540 -8.1686
35.000000 90.248 -7.8258
35.500000 90.156 -6.2404
36.000000 90.328 -5.1023
36.500000 90.567 -5.5145
37.000000 90.661 -7.0527
37.500000 90.557 -8.5577
38.200001 90.280 -9.1739
38.700001 90.161 -8.7621
39.500000 90.147 -8.2675
40.000000 90.156 -8.3463
40.599998 90.147 -8.5372
41.200001 90.140 -8.6885
41.799999 90.143 -8.8781
42.500000 90.143 -9.1809
43.099998 90.137 -9.4617
43.700001 90.128 -9.7781
44.400002 90.100 -10.2245
45.000000 90.052 -10.6123
45.500000 89.994 -10.8622
46.200001 89.907 -11.0125
46.799999 89.849 -10.9858
47.500000 89.815 -10.9469
48.200001 89.807 -11.0358
48.700001 89.809 -11.1909
49.400002 89.813 -11.5450
50.000000 89.802 -11.9448
50.799999 89.752 -12.3795
51.500000 89.702 -12.5028
52.200001 89.676 -12.5076
53.000000 89.659 -12.5960
53.799999 89.631 -12.7877
54.500000 89.597 -12.9879
55.200001 89.562 -13.2590
56.000000 89.513 -13.7416
57.000000 89.410 -14.3267
58.000000 89.340 -14.5297
59.000000 89.348 -14.8465
60.000000 89.338 -15.2499
60.799999 89.323 -15.2163
61.500000 89.332 -15.0498
62.200001 89.331 -14.9546
63.000000 89.280 -14.7629
64.000000 89.172 -14.4505
65.000000 88.901 -13.8484
66.000000 88.716 -10.8710
67.000000 89.082 -9.4950
68.000000 89.246 -12.3507
69.000000 88.990 -14.6665
70.000000 88.803 -15.4734
71.000000 88.727 -16.0419
72.000000 88.716 -16.4756
73.000000 88.715 -16.8499
74.000000 88.705 -17.0507
75.000000 88.658 -17.2245
76.199997 88.566 -17.1949
77.500000 88.408 -17.4742
78.800003 88.218 -16.5712
80.000000 88.284 -15.9736
81.199997 88.321 -16.3708
82.500000 88.325 -16.4634
83.800003 88.334 -16.5536
85.000000 88.290 -16.7457
86.199997 88.183 -16.7288
87.500000 88.052 -16.4968
88.500000 87.953 -16.0288
90.000000 87.982 -15.1224
91.199997 88.063 -15.4136
92.500000 88.082 -15.7083
93.800003 88.140 -15.6853
95.000000 88.214 -15.9265
96.199997 88.239 -16.4012
97.500000 88.200 -16.7778
98.800003 88.139 -16.9218
100.000000 88.099 -16.9745
101.500000 88.076 -17.3884
103.000000 88.019 -17.9985
104.400002 87.963 -18.3693
106.000000 87.914 -18.5818
107.500000 87.875 -18.6616
109.000000 87.827 -18.6937
110.599998 87.768 -18.7044
112.000000 87.715 -18.7408
113.800003 87.646 -18.7775
115.000000 87.605 -18.7458
117.199997 87.542 -18.5825
118.000000 87.521 -18.5093
120.599998 87.465 -18.2606
122.000000 87.451 -18.1610
124.099998 87.452 -18.0849
125.000000 87.456 -18.0939
126.500000 87.463 -18.1615
128.000000 87.463 -18.3149
131.500000 87.421 -18.8373
132.000000 87.412 -18.9153
134.000000 87.369 -19.1947
136.000000 87.318 -19.4158
138.000000 87.258 -19.5822
140.000000 87.200 -19.7018
143.000000 87.113 -19.8348
145.000000 87.056 -19.8310
147.500000 86.991 -19.8783
150.000000 86.919 -19.9837
152.500000 86.853 -20.0419
155.000000 86.796 -20.0533
157.500000 86.740 -20.0529
160.000000 86.681 -20.0733
162.500000 86.620 -20.1292
165.000000 86.554 -20.1503
167.500000 86.495 -20.1432
170.000000 86.433 -20.1216
172.500000 86.374 -20.0577
175.000000 86.316 -19.9790
177.500000 86.257 -19.9000
180.000000 86.199 -19.8225
182.500000 86.141 -19.7671
185.000000 86.082 -19.7033
187.500000 86.022 -19.6372
190.000000 85.961 -19.5532
192.500000 85.903 -19.4249
195.000000 85.845 -19.2947
197.500000 85.778 -19.1595
200.000000 85.706 -18.9983
203.000000 85.624 -18.7605
206.000000 85.540 -18.4487
209.000000 85.451 -18.0269
212.000000 85.362 -17.4757
214.000000 85.308 -16.9809
218.000000 85.235 -15.6486
220.000000 85.233 -14.8582
224.000000 85.338 -13.3181
227.000000 85.502 -12.5776
230.000000 85.687 -12.4849
233.000000 85.837 -12.9946
236.000000 85.920 -13.8022
240.000000 85.938 -14.8787
243.000000 85.906 -15.5466
247.000000 85.835 -16.1896
250.000000 85.774 -16.5078
254.000000 85.689 -16.7749
258.000000 85.607 -16.9421
262.000000 85.528 -17.0293
265.000000 85.472 -17.0432
269.000000 85.400 -17.0359
272.000000 85.349 -17.0233
276.000000 85.284 -16.9850
280.000000 85.224 -16.9231
285.000000 85.153 -16.8235
290.000000 85.083 -16.7380
295.000000 85.014 -16.6348
300.000000 84.954 -16.4257
304.000000 84.905 -16.2981
307.000000 84.869 -16.2136
311.000000 84.823 -16.0752
315.000000 84.779 -15.9345
320.000000 84.724 -15.7627
325.000000 84.667 -15.5793
330.000000 84.612 -15.3976
335.000000 84.561 -15.2279
340.000000 84.517 -15.0424
345.000000 84.471 -14.8414
350.000000 84.421 -14.6624
355.000000 84.373 -14.5043
360.000000 84.328 -14.3196
365.000000 84.283 -14.1375
370.000000 84.238 -13.9615
375.000000 84.195 -13.7850
382.000000 84.137 -13.5370
387.000000 84.097 -13.3596
395.000000 84.032 -13.0753
400.000000 83.991 -12.8917
406.000000 83.942 -12.6730
412.000000 83.892 -12.4532
418.000000 83.843 -12.2260
425.000000 83.787 -11.9669
431.000000 83.740 -11.7472
437.000000 83.693 -11.5154
444.000000 83.638 -11.2320
450.000000 83.592 -10.9803
455.000000 83.555 -10.7666
462.000000 83.502 -10.4775
468.000000 83.457 -10.2285
475.000000 83.406 -9.9290
482.000000 83.354 -9.6314
487.000000 83.317 -9.4176
494.000000 83.269 -9.1081
500.000000 83.229 -8.8329
508.000000 83.173 -8.4639
515.000000 83.125 -8.1533
522.000000 83.078 -7.8176
530.000000 83.027 -7.4111
538.000000 82.978 -7.0178
545.000000 82.934 -6.6887
552.000000 82.890 -6.3580
560.000000 82.840 -5.9606
570.000000 82.782 -5.4462
580.000000 82.724 -4.9352
590.000000 82.665 -4.4083
600.000000 82.609 -3.8507
608.000000 82.564 -3.4082
615.000000 82.527 -3.0192
622.000000 82.491 -2.6309
630.000000 82.451 -2.1807
640.000000 82.403 -1.6230
650.000000 82.354 -1.0592
660.000000 82.308 -0.4618
670.000000 82.263 0.1449
680.000000 82.221 0.7610
690.000000 82.182 1.3893
700.000000 82.143 2.0222
710.000000 82.108 2.6592
720.000000 82.075 3.3060
730.000000 82.043 3.9619
740.000000 82.013 4.6279
750.000000 81.986 5.2961
762.000000 81.959 6.1016
775.000000 81.933 6.9982
788.000000 81.912 7.9107
800.000000 81.896 8.7443
812.000000 81.884 9.5879
825.000000 81.877 10.5022
838.000000 81.875 11.4160
850.000000 81.877 12.2776
862.000000 81.884 13.1311
875.000000 81.899 14.0453
885.000000 81.912 14.7474
900.000000 81.939 15.7850
912.000000 81.968 16.5968
925.000000 82.002 17.4659
938.000000 82.041 18.3252
950.000000 82.081 19.0939
962.000000 82.126 19.8371
975.000000 82.180 20.6133
988.000000 82.239 21.3686
1000.000000 82.296 22.0392
1015.000000 82.372 22.8463
1030.000000 82.449 23.5950
1044.000000 82.522 24.2455
1060.000000 82.608 24.9599
1075.000000 82.690 25.5868
1090.000000 82.773 26.1575
1106.000000 82.859 26.7245
1120.000000 82.934 27.1910
1138.000000 83.031 27.7438
1150.000000 83.093 28.0846
1172.000000 83.200 28.6439
1180.000000 83.237 28.8404
1206.000000 83.353 29.4615
1220.000000 83.410 29.7736
1241.000000 83.493 30.2206
1250.000000 83.528 30.4135
1265.000000 83.584 30.7249
1280.000000 83.638 31.0209
1315.000000 83.752 31.7130
1320.000000 83.767 31.8121
1340.000000 83.828 32.2183
1360.000000 83.886 32.6470
1380.000000 83.942 33.0845
1400.000000 83.995 33.5251
1430.000000 84.076 34.2126
1450.000000 84.130 34.6846
1475.000000 84.198 35.2963
1500.000000 84.269 35.9299
1525.000000 84.344 36.5738
1550.000000 84.422 37.2185
1575.000000 84.502 37.8606
1600.000000 84.586 38.5128
1625.000000 84.674 39.1672
1650.000000 84.766 39.8109
1675.000000 84.860 40.4503
1700.000000 84.957 41.0934
1725.000000 85.058 41.7310
1750.000000 85.163 42.3617
1775.000000 85.273 42.9896
1800.000000 85.387 43.6132
1825.000000 85.507 44.2257
1850.000000 85.632 44.8228
1875.000000 85.763 45.4012
1900.000000 85.898 45.9664
1925.000000 86.038 46.5129
1950.000000 86.184 47.0287
1975.000000 86.335 47.5169
2000.000000 86.491 47.9807
2030.000000 86.686 48.5014
2060.000000 86.888 48.9798
2090.000000 87.097 49.4152
2120.000000 87.316 49.8122
2140.000000 87.469 50.0553
2180.000000 87.797 50.4510
2200.000000 87.973 50.5683
2240.000000 88.338 50.5626
2270.000000 88.613 50.3442
2300.000000 88.884 49.9754
2330.000000 89.149 49.4848
2360.000000 89.408 48.8764
2400.000000 89.747 47.8899
2430.000000 89.995 47.0116
2470.000000 90.316 45.6387
2500.000000 90.546 44.4513
2540.000000 90.835 42.6621
2580.000000 91.097 40.6415
2620.000000 91.326 38.4027
2650.000000 91.473 36.5830
2690.000000 91.627 33.9948
2720.000000 91.706 31.9669
2760.000000 91.760 29.2151
2800.000000 91.757 26.4802
2850.000000 91.676 23.1981
2900.000000 91.521 20.1682
2950.000000 91.306 17.4921
3000.000000 91.048 15.2270
3040.000000 90.822 13.7188
3070.000000 90.649 12.7517
3110.000000 90.419 11.6525
3150.000000 90.190 10.7361
3200.000000 89.905 9.8239
3250.000000 89.623 9.1583
3300.000000 89.348 8.7294
3350.000000 89.084 8.5308
3400.000000 88.833 8.5385
3450.000000 88.601 8.7282
3500.000000 88.391 9.0714
3550.000000 88.202 9.5386
3600.000000 88.037 10.1092
3650.000000 87.896 10.7587
3700.000000 87.778 11.4620
3750.000000 87.683 12.1970
3820.000000 87.589 13.2395
3870.000000 87.548 13.9770
3950.000000 87.526 15.0926
4000.000000 87.539 15.7208
4060.000000 87.580 16.3837
4120.000000 87.644 16.9199
4180.000000 87.729 17.2958
4250.000000 87.850 17.4868
4310.000000 87.967 17.4127
4370.000000 88.088 17.1102
4440.000000 88.229 16.4597
4500.000000 88.344 15.6205
4550.000000 88.431 14.6948
4620.000000 88.522 13.0283
4680.000000 88.551 11.2748
4750.000000 88.506 8.9599
4820.000000 88.360 6.5559
4870.000000 88.191 4.9241
4940.000000 87.876 2.9247
5000.000000 87.549 1.5651
5080.000000 87.054 0.3557
5150.000000 86.589 -0.0934
5220.000000 86.115 0.0518
5300.000000 85.586 0.9496
5380.000000 85.103 2.5997
5450.000000 84.746 4.5867
5520.000000 84.475 6.9376
