* Measurement data measured by REW V5.30.9
* Source: External Mic (Realtek(R) Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: 23/02/2024 1:39:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Campfire Audio Trifecta L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 93.441 178.4500
20.299999 93.422 178.1206
20.600000 93.403 177.8292
20.900000 93.389 177.5636
21.200001 93.379 177.3015
21.400000 93.374 177.1181
21.799999 93.366 176.7171
22.000000 93.361 176.5014
22.400000 93.345 176.0602
22.700001 93.329 175.7410
23.000000 93.312 175.4443
23.299999 93.296 175.1702
23.600000 93.282 174.9102
24.000000 93.269 174.5653
24.299999 93.261 174.2974
24.700001 93.251 173.9266
25.000000 93.242 173.6445
25.400000 93.228 173.2747
25.799999 93.212 172.9193
26.200001 93.197 172.5792
26.500000 93.184 172.3336
26.900000 93.167 172.0193
27.200001 93.154 171.7943
27.600000 93.137 171.5071
28.000000 93.120 171.2281
28.500000 93.099 170.8788
29.000000 93.075 170.5275
29.500000 93.048 170.1880
30.000000 93.022 169.8665
30.400000 93.003 169.6089
30.700001 92.989 169.4048
31.100000 92.971 169.1127
31.500000 92.949 168.8094
32.000000 92.915 168.4584
32.500000 92.884 168.1771
33.000000 92.867 167.9377
33.500000 92.866 167.6483
34.000000 92.867 167.2466
34.500000 92.853 166.7798
35.000000 92.820 166.3730
35.500000 92.784 166.1011
36.000000 92.762 165.9083
36.500000 92.751 165.6744
37.000000 92.735 165.3606
37.500000 92.701 165.0490
38.200001 92.643 164.7563
38.700001 92.613 164.5781
39.500000 92.565 164.1582
40.000000 92.520 163.9028
40.599998 92.478 163.6754
41.200001 92.461 163.3127
41.799999 92.421 162.6967
42.500000 92.292 162.2515
43.099998 92.199 162.6086
43.700001 92.232 163.1997
44.400002 92.367 163.1297
45.000000 92.425 162.4447
45.500000 92.405 161.8590
46.200001 92.316 161.3813
46.799999 92.201 161.4279
47.500000 92.094 162.3276
48.200001 92.183 163.4716
48.700001 92.345 163.4271
49.400002 92.474 161.8535
50.000000 92.373 160.1928
50.799999 92.106 159.2003
51.500000 91.969 159.1039
52.200001 91.917 158.8297
53.000000 91.883 158.2651
53.799999 91.860 157.5945
54.500000 91.824 157.0762
55.200001 91.786 156.8590
56.000000 91.778 156.8461
57.000000 91.778 156.7432
58.000000 91.705 156.6600
59.000000 91.598 157.3357
60.000000 91.658 158.0499
60.799999 91.747 157.3972
61.500000 91.713 156.1779
62.200001 91.568 155.2002
63.000000 91.386 154.9923
64.000000 91.342 155.2360
65.000000 91.374 154.6973
66.000000 91.350 154.1174
67.000000 91.302 153.4878
68.000000 91.139 153.4956
69.000000 91.117 154.5441
70.000000 91.239 154.2610
71.000000 91.228 153.0026
72.000000 91.160 151.7181
73.000000 91.011 150.1312
74.000000 90.728 149.5711
75.000000 90.616 150.9645
76.199997 90.914 151.4353
77.500000 90.973 149.2469
78.800003 90.763 148.9381
80.000000 90.672 149.2435
81.199997 90.582 149.4193
82.500000 90.533 149.6089
83.800003 90.535 149.1527
85.000000 90.480 148.3414
86.199997 90.387 147.8283
87.500000 90.289 147.6919
88.500000 90.233 147.8284
90.000000 90.189 148.0988
91.199997 90.168 148.0521
92.500000 90.107 147.7353
93.800003 90.015 147.3850
95.000000 89.912 147.1400
96.199997 89.828 147.1318
97.500000 89.791 147.0909
98.800003 89.772 146.8181
100.000000 89.747 146.5336
101.500000 89.735 146.1285
103.000000 89.657 145.3227
104.400002 89.513 145.2258
106.000000 89.433 145.5809
107.500000 89.410 145.5173
109.000000 89.366 145.1691
110.599998 89.294 144.7907
112.000000 89.228 144.5657
113.800003 89.153 144.3531
115.000000 89.103 144.2094
117.199997 89.005 143.9390
118.000000 88.968 143.8384
120.599998 88.854 143.5195
122.000000 88.797 143.3560
124.099998 88.710 143.1433
125.000000 88.672 143.0673
126.500000 88.608 142.9526
128.000000 88.546 142.8223
131.500000 88.397 142.5043
132.000000 88.375 142.4619
134.000000 88.289 142.3155
136.000000 88.208 142.1821
138.000000 88.132 141.9979
140.000000 88.053 141.8034
143.000000 87.930 141.5944
145.000000 87.849 141.4579
147.500000 87.748 141.3235
150.000000 87.656 141.2155
152.500000 87.569 141.0885
155.000000 87.475 140.9751
157.500000 87.381 140.8915
160.000000 87.285 140.8219
162.500000 87.193 140.7699
165.000000 87.098 140.6938
167.500000 87.000 140.6455
170.000000 86.906 140.6436
172.500000 86.815 140.6545
175.000000 86.728 140.7046
177.500000 86.649 140.7655
180.000000 86.581 140.7923
182.500000 86.519 140.7598
185.000000 86.453 140.6784
187.500000 86.381 140.5737
190.000000 86.305 140.4843
192.500000 86.228 140.4154
195.000000 86.147 140.3756
197.500000 86.066 140.3605
200.000000 85.986 140.3403
203.000000 85.891 140.3107
206.000000 85.797 140.3039
209.000000 85.703 140.3129
212.000000 85.612 140.3171
214.000000 85.551 140.3300
218.000000 85.433 140.4045
220.000000 85.375 140.4484
224.000000 85.260 140.5188
227.000000 85.175 140.5736
230.000000 85.090 140.6371
233.000000 85.006 140.6933
236.000000 84.921 140.7629
240.000000 84.813 140.8821
243.000000 84.734 140.9747
247.000000 84.627 141.1055
250.000000 84.548 141.1986
254.000000 84.447 141.3372
258.000000 84.345 141.4861
262.000000 84.243 141.6398
265.000000 84.169 141.7670
269.000000 84.073 141.9273
272.000000 84.001 142.0497
276.000000 83.906 142.2346
280.000000 83.813 142.4284
285.000000 83.697 142.6685
290.000000 83.585 142.9103
295.000000 83.476 143.1728
300.000000 83.369 143.4288
304.000000 83.284 143.6340
307.000000 83.220 143.7961
311.000000 83.135 144.0203
315.000000 83.055 144.2469
320.000000 82.955 144.5330
325.000000 82.856 144.8300
330.000000 82.759 145.1366
335.000000 82.664 145.4341
340.000000 82.570 145.7674
345.000000 82.478 146.0972
350.000000 82.387 146.4102
355.000000 82.297 146.7417
360.000000 82.208 147.0707
365.000000 82.123 147.4030
370.000000 82.038 147.7491
375.000000 81.956 148.1075
382.000000 81.845 148.5905
387.000000 81.764 148.9392
395.000000 81.642 149.5372
400.000000 81.566 149.9051
406.000000 81.477 150.3412
412.000000 81.390 150.7928
418.000000 81.303 151.2448
425.000000 81.207 151.7835
431.000000 81.126 152.2620
437.000000 81.045 152.7351
444.000000 80.956 153.2956
450.000000 80.880 153.7783
455.000000 80.817 154.1638
462.000000 80.733 154.7348
468.000000 80.663 155.2390
475.000000 80.582 155.7945
482.000000 80.503 156.3595
487.000000 80.447 156.7797
494.000000 80.371 157.3647
500.000000 80.308 157.8771
508.000000 80.227 158.5897
515.000000 80.158 159.1929
522.000000 80.092 159.7860
530.000000 80.019 160.4855
538.000000 79.950 161.1883
545.000000 79.891 161.7993
552.000000 79.835 162.4209
560.000000 79.773 163.1208
570.000000 79.694 163.9884
580.000000 79.622 164.8541
590.000000 79.553 165.7623
600.000000 79.485 166.6724
608.000000 79.435 167.4014
615.000000 79.392 168.0309
622.000000 79.351 168.6487
630.000000 79.307 169.3751
640.000000 79.255 170.3141
650.000000 79.205 171.2386
660.000000 79.161 172.1602
670.000000 79.119 173.0864
680.000000 79.081 174.0128
690.000000 79.045 174.9470
700.000000 79.014 175.8844
710.000000 78.988 176.8362
720.000000 78.964 177.7801
730.000000 78.943 178.7123
740.000000 78.926 179.6557
750.000000 78.914 -179.3922
762.000000 78.902 -178.2747
775.000000 78.894 -177.0406
788.000000 78.893 -175.7995
800.000000 78.897 -174.6518
812.000000 78.905 -173.5211
825.000000 78.924 -172.3229
838.000000 78.948 -171.1148
850.000000 78.976 -169.9881
862.000000 79.011 -168.8953
875.000000 79.055 -167.7156
885.000000 79.091 -166.8285
900.000000 79.152 -165.5314
912.000000 79.205 -164.4897
925.000000 79.268 -163.3815
938.000000 79.336 -162.3074
950.000000 79.406 -161.3425
962.000000 79.479 -160.4005
975.000000 79.562 -159.4175
988.000000 79.649 -158.4679
1000.000000 79.729 -157.6348
1015.000000 79.830 -156.5722
1030.000000 79.935 -155.4913
1044.000000 80.046 -154.5399
1060.000000 80.180 -153.5414
1075.000000 80.308 -152.6673
1090.000000 80.438 -151.8553
1106.000000 80.578 -151.0413
1120.000000 80.700 -150.4009
1138.000000 80.855 -149.6706
1150.000000 80.951 -149.2294
1172.000000 81.109 -148.4995
1180.000000 81.159 -148.2350
1206.000000 81.299 -147.2395
1220.000000 81.372 -146.5656
1241.000000 81.501 -145.4182
1250.000000 81.563 -144.9146
1265.000000 81.677 -144.0853
1280.000000 81.803 -143.2746
1315.000000 82.121 -141.4936
1320.000000 82.169 -141.2574
1340.000000 82.367 -140.3474
1360.000000 82.571 -139.4954
1380.000000 82.778 -138.7098
1400.000000 82.993 -137.9572
1430.000000 83.326 -136.9261
1450.000000 83.555 -136.2733
1475.000000 83.854 -135.4878
1500.000000 84.171 -134.7973
1525.000000 84.508 -134.2378
1550.000000 84.857 -133.8529
1575.000000 85.214 -133.6407
1600.000000 85.578 -133.5961
1625.000000 85.950 -133.7251
1650.000000 86.330 -134.0371
1675.000000 86.714 -134.5748
1700.000000 87.098 -135.3327
1725.000000 87.481 -136.3735
1750.000000 87.855 -137.7082
1775.000000 88.214 -139.3378
1800.000000 88.549 -141.2938
1825.000000 88.846 -143.6051
1850.000000 89.091 -146.2037
1875.000000 89.269 -149.0614
1900.000000 89.362 -152.0645
1925.000000 89.364 -155.0145
1950.000000 89.282 -157.7171
1975.000000 89.138 -160.0256
2000.000000 88.963 -161.8677
2030.000000 88.742 -163.6056
2060.000000 88.501 -164.9554
2090.000000 88.249 -165.6977
2120.000000 88.043 -165.6885
2140.000000 87.970 -165.4450
2180.000000 87.989 -165.2905
2200.000000 88.035 -165.6644
2240.000000 88.075 -167.2098
2270.000000 88.024 -168.5851
2300.000000 87.921 -169.8177
2330.000000 87.794 -170.8600
2360.000000 87.661 -171.8000
2400.000000 87.462 -173.0478
2430.000000 87.282 -173.9365
2470.000000 87.000 -174.8927
2500.000000 86.765 -175.4119
2540.000000 86.431 -175.7687
2580.000000 86.087 -175.7091
2620.000000 85.752 -175.3000
2650.000000 85.513 -174.7873
2690.000000 85.210 -173.8532
2720.000000 84.997 -173.0208
2760.000000 84.733 -171.7393
2800.000000 84.491 -170.2249
2850.000000 84.235 -168.0883
2900.000000 84.041 -165.7915
2950.000000 83.901 -163.5128
3000.000000 83.790 -161.3675
3040.000000 83.706 -159.6543
3070.000000 83.645 -158.3388
3110.000000 83.572 -156.5086
3150.000000 83.515 -154.5542
3200.000000 83.477 -151.9702
3250.000000 83.485 -149.3206
3300.000000 83.536 -146.6666
3350.000000 83.627 -144.0453
3400.000000 83.760 -141.4855
3450.000000 83.938 -139.0488
3500.000000 84.153 -136.8464
3550.000000 84.388 -134.9276
3600.000000 84.624 -133.2599
3650.000000 84.850 -131.7340
3700.000000 85.068 -130.2150
3750.000000 85.289 -128.6536
3820.000000 85.629 -126.4187
3870.000000 85.899 -124.8085
3950.000000 86.395 -122.3264
4000.000000 86.748 -120.8722
4060.000000 87.217 -119.2559
4120.000000 87.743 -117.8715
4180.000000 88.327 -116.7775
4250.000000 89.086 -116.0010
4310.000000 89.804 -115.9255
4370.000000 90.576 -116.5447
4440.000000 91.525 -118.4099
4500.000000 92.348 -121.2025
4550.000000 93.004 -124.4729
4620.000000 93.799 -130.5612
4680.000000 94.291 -136.9939
4750.000000 94.557 -145.3434
4820.000000 94.458 -153.7302
4870.000000 94.184 -159.2235
4940.000000 93.584 -165.6851
5000.000000 92.944 -169.8840
5080.000000 92.032 -173.6103
5150.000000 91.251 -175.3388
5220.000000 90.531 -175.9676
5300.000000 89.807 -175.6684
5380.000000 89.191 -174.5484
5450.000000 88.744 -173.0927
5520.000000 88.381 -171.3187
5600.000000 88.062 -168.9933
5700.000000 87.803 -165.8018
5800.000000 87.696 -162.4168
5900.000000 87.735 -158.9424
6000.000000 87.930 -155.5396
6080.000000 88.196 -152.9664
