* Measurement data measured by REW V5.30.9
* Source: External Mic (Realtek(R) Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -11.0 dBFS with no timing reference
* Dated: 23/02/2024 1:39:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Campfire Audio Trifecta R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 92.977 177.0950
20.299999 92.953 176.8546
20.600000 92.938 176.6508
20.900000 92.931 176.4474
21.200001 92.930 176.2155
21.400000 92.930 176.0396
21.799999 92.925 175.6487
22.000000 92.920 175.4461
22.400000 92.903 175.0580
22.700001 92.888 174.7939
23.000000 92.875 174.5480
23.299999 92.864 174.3056
23.600000 92.855 174.0518
24.000000 92.843 173.6861
24.299999 92.830 173.4004
24.700001 92.809 173.0291
25.000000 92.792 172.7687
25.400000 92.772 172.4396
25.799999 92.756 172.1053
26.200001 92.740 171.7472
26.500000 92.726 171.4714
26.900000 92.702 171.1250
27.200001 92.684 170.8987
27.600000 92.665 170.6364
28.000000 92.657 170.3749
28.500000 92.653 169.9740
29.000000 92.637 169.5044
29.500000 92.601 169.0983
30.000000 92.563 168.8504
30.400000 92.549 168.7202
30.700001 92.548 168.6038
31.100000 92.552 168.3718
31.500000 92.550 168.0529
32.000000 92.529 167.6154
32.500000 92.495 167.2271
33.000000 92.460 166.8960
33.500000 92.427 166.5834
34.000000 92.393 166.2901
34.500000 92.365 166.0316
35.000000 92.349 165.7629
35.500000 92.341 165.4090
36.000000 92.323 164.9809
36.500000 92.287 164.6017
37.000000 92.251 164.3696
37.500000 92.235 164.2244
38.200001 92.242 163.8634
38.700001 92.229 163.4526
39.500000 92.149 162.9733
40.000000 92.101 162.9250
40.599998 92.077 162.8927
41.200001 92.061 162.6517
41.799999 92.019 162.3102
42.500000 91.963 162.0181
43.099998 91.939 161.7038
43.700001 91.912 161.1987
44.400002 91.851 160.6484
45.000000 91.817 160.3523
45.500000 91.814 160.0956
46.200001 91.810 159.7539
46.799999 91.831 159.7816
47.500000 91.989 159.7137
48.200001 92.180 158.3427
48.700001 92.171 156.7827
49.400002 91.907 155.4109
50.000000 91.646 155.8927
50.799999 91.562 157.3564
51.500000 91.591 157.6077
52.200001 91.519 157.3639
53.000000 91.400 157.4818
53.799999 91.351 157.5064
54.500000 91.309 157.1276
55.200001 91.244 156.7428
56.000000 91.201 156.5139
57.000000 91.226 156.1790
58.000000 91.271 155.6005
59.000000 91.273 155.1071
60.000000 91.246 154.9754
60.799999 91.215 154.9381
61.500000 91.158 154.9417
62.200001 91.094 155.1165
63.000000 91.065 155.2595
64.000000 91.037 154.6608
65.000000 90.919 153.8138
66.000000 90.812 153.3289
67.000000 90.761 152.9206
68.000000 90.757 152.5388
69.000000 90.769 152.0079
70.000000 90.737 151.5050
71.000000 90.671 151.2485
72.000000 90.589 151.2236
73.000000 90.530 151.2835
74.000000 90.488 150.9388
75.000000 90.393 150.3157
76.199997 90.259 149.9373
77.500000 90.176 149.6612
78.800003 90.137 149.5954
80.000000 90.161 149.3066
81.199997 90.121 148.8286
82.500000 90.078 148.6902
83.800003 90.029 148.1190
85.000000 89.912 147.6921
86.199997 89.802 147.6526
87.500000 89.748 147.6755
88.500000 89.721 147.4106
90.000000 89.626 147.1059
91.199997 89.577 147.1548
92.500000 89.539 146.9589
93.800003 89.468 146.7761
95.000000 89.410 146.7384
96.199997 89.366 146.6393
97.500000 89.315 146.3766
98.800003 89.240 146.0960
100.000000 89.172 145.9937
101.500000 89.111 145.8167
103.000000 89.057 145.5469
104.400002 89.000 145.2254
106.000000 88.934 144.9555
107.500000 88.881 144.7059
109.000000 88.823 144.4561
110.599998 88.756 144.2215
112.000000 88.691 144.0447
113.800003 88.608 143.8286
115.000000 88.552 143.6647
117.199997 88.448 143.3982
118.000000 88.413 143.3152
120.599998 88.307 143.0630
122.000000 88.250 142.9421
124.099998 88.163 142.7562
125.000000 88.125 142.6667
126.500000 88.059 142.5256
128.000000 87.994 142.3986
131.500000 87.851 142.1163
132.000000 87.831 142.0788
134.000000 87.751 141.9318
136.000000 87.673 141.7687
138.000000 87.591 141.6162
140.000000 87.516 141.5259
143.000000 87.407 141.2366
145.000000 87.318 141.0723
147.500000 87.212 140.9410
150.000000 87.114 140.8160
152.500000 87.018 140.7039
155.000000 86.923 140.5942
157.500000 86.827 140.4984
160.000000 86.732 140.4217
162.500000 86.640 140.3289
165.000000 86.544 140.2297
167.500000 86.450 140.1613
170.000000 86.359 140.0985
172.500000 86.269 140.0533
175.000000 86.177 140.0377
177.500000 86.087 140.0226
180.000000 85.999 139.9951
182.500000 85.912 139.9850
185.000000 85.826 140.0065
187.500000 85.742 140.0355
190.000000 85.660 140.0776
192.500000 85.586 140.1416
195.000000 85.515 140.2004
197.500000 85.444 140.2398
200.000000 85.375 140.2516
203.000000 85.293 140.2521
206.000000 85.211 140.2481
209.000000 85.127 140.2261
212.000000 85.040 140.2043
214.000000 84.981 140.1989
218.000000 84.862 140.2095
220.000000 84.802 140.2322
224.000000 84.684 140.2776
227.000000 84.596 140.3259
230.000000 84.510 140.3948
233.000000 84.425 140.4564
236.000000 84.341 140.5161
240.000000 84.231 140.6284
243.000000 84.150 140.7204
247.000000 84.043 140.8404
250.000000 83.964 140.9320
254.000000 83.861 141.0749
258.000000 83.758 141.2420
262.000000 83.656 141.4031
265.000000 83.581 141.5148
269.000000 83.481 141.6675
272.000000 83.408 141.7990
276.000000 83.312 141.9980
280.000000 83.217 142.1945
285.000000 83.103 142.4373
290.000000 82.990 142.6820
295.000000 82.881 142.9307
300.000000 82.770 143.1866
304.000000 82.684 143.3993
307.000000 82.621 143.5753
311.000000 82.537 143.8193
315.000000 82.455 144.0596
320.000000 82.354 144.3549
325.000000 82.254 144.6524
330.000000 82.157 144.9753
335.000000 82.059 145.2903
340.000000 81.963 145.5838
345.000000 81.868 145.9055
350.000000 81.777 146.2357
355.000000 81.690 146.5694
360.000000 81.604 146.9018
365.000000 81.518 147.2424
370.000000 81.432 147.5807
375.000000 81.347 147.9272
382.000000 81.233 148.4429
387.000000 81.155 148.8102
395.000000 81.032 149.3976
400.000000 80.956 149.7703
406.000000 80.864 150.2332
412.000000 80.775 150.6817
418.000000 80.689 151.1425
425.000000 80.590 151.6906
431.000000 80.507 152.1662
437.000000 80.428 152.6382
444.000000 80.337 153.1948
450.000000 80.262 153.6773
455.000000 80.200 154.0854
462.000000 80.113 154.6645
468.000000 80.042 155.1681
475.000000 79.963 155.7625
482.000000 79.886 156.3582
487.000000 79.832 156.8097
494.000000 79.758 157.4326
500.000000 79.693 157.9147
508.000000 79.607 158.5801
515.000000 79.542 159.1832
522.000000 79.480 159.7756
530.000000 79.406 160.4706
538.000000 79.336 161.1732
545.000000 79.279 161.7912
552.000000 79.220 162.4104
560.000000 79.154 163.1168
570.000000 79.077 163.9943
580.000000 79.003 164.8858
590.000000 78.935 165.7980
600.000000 78.867 166.6948
608.000000 78.816 167.4222
615.000000 78.772 168.0741
622.000000 78.731 168.7191
630.000000 78.687 169.4459
640.000000 78.638 170.3771
650.000000 78.590 171.3224
660.000000 78.545 172.2465
670.000000 78.503 173.1581
680.000000 78.464 174.0794
690.000000 78.430 175.0433
700.000000 78.399 175.9955
710.000000 78.370 176.9160
720.000000 78.346 177.8544
730.000000 78.328 178.8282
740.000000 78.312 179.7886
750.000000 78.297 -179.2748
762.000000 78.284 -178.1307
775.000000 78.278 -176.8837
788.000000 78.282 -175.6422
800.000000 78.289 -174.5236
812.000000 78.299 -173.3872
825.000000 78.316 -172.1654
838.000000 78.339 -170.9559
850.000000 78.368 -169.8471
862.000000 78.404 -168.7483
875.000000 78.445 -167.5802
885.000000 78.480 -166.6964
900.000000 78.540 -165.3916
912.000000 78.594 -164.3573
925.000000 78.658 -163.2478
938.000000 78.728 -162.1679
950.000000 78.797 -161.1984
962.000000 78.869 -160.2474
975.000000 78.952 -159.2632
988.000000 79.036 -158.3267
1000.000000 79.113 -157.4613
1015.000000 79.216 -156.3627
1030.000000 79.330 -155.2979
1044.000000 79.441 -154.3625
1060.000000 79.575 -153.3706
1075.000000 79.702 -152.4948
1090.000000 79.831 -151.6766
1106.000000 79.973 -150.8854
1120.000000 80.095 -150.2408
1138.000000 80.244 -149.5096
1150.000000 80.338 -149.0862
1172.000000 80.485 -148.3433
1180.000000 80.530 -148.0571
1206.000000 80.663 -146.9320
1220.000000 80.741 -146.1892
1241.000000 80.879 -144.9891
1250.000000 80.946 -144.4749
1265.000000 81.066 -143.6327
1280.000000 81.196 -142.8238
1315.000000 81.525 -141.0808
1320.000000 81.574 -140.8498
1340.000000 81.772 -139.9723
1360.000000 81.973 -139.1391
1380.000000 82.179 -138.3333
1400.000000 82.392 -137.5359
1430.000000 82.735 -136.3902
1450.000000 82.977 -135.7200
1475.000000 83.293 -135.0244
1500.000000 83.613 -134.4721
1525.000000 83.940 -134.0097
1550.000000 84.275 -133.6321
1575.000000 84.626 -133.3592
1600.000000 84.997 -133.2507
1625.000000 85.380 -133.3981
1650.000000 85.768 -133.8094
1675.000000 86.154 -134.4939
1700.000000 86.532 -135.4641
1725.000000 86.895 -136.7212
1750.000000 87.231 -138.2897
1775.000000 87.529 -140.1635
1800.000000 87.774 -142.2923
1825.000000 87.946 -144.5982
1850.000000 88.031 -146.9029
1875.000000 88.029 -148.9159
1900.000000 87.965 -150.3192
1925.000000 87.911 -150.8984
1950.000000 87.958 -150.8412
1975.000000 88.149 -150.8104
2000.000000 88.445 -151.4932
2030.000000 88.807 -153.5527
2060.000000 89.065 -156.6350
2090.000000 89.174 -160.1802
2120.000000 89.137 -163.7332
2140.000000 89.042 -165.9604
2180.000000 88.714 -169.7578
2200.000000 88.504 -171.2033
2240.000000 88.068 -173.1232
2270.000000 87.782 -173.9321
2300.000000 87.552 -174.5502
2330.000000 87.352 -175.2531
2360.000000 87.144 -176.0712
2400.000000 86.824 -177.0733
2430.000000 86.556 -177.6243
2470.000000 86.180 -178.0118
2500.000000 85.896 -178.0165
2540.000000 85.528 -177.6935
2580.000000 85.181 -177.0530
2620.000000 84.860 -176.1530
2650.000000 84.635 -175.3647
2690.000000 84.354 -174.1734
2720.000000 84.155 -173.1696
2760.000000 83.907 -171.6889
2800.000000 83.681 -170.0298
2850.000000 83.444 -167.7098
2900.000000 83.270 -165.2709
2950.000000 83.149 -162.8712
3000.000000 83.057 -160.6101
3040.000000 82.991 -158.8412
3070.000000 82.946 -157.4933
3110.000000 82.893 -155.6462
3150.000000 82.854 -153.7429
3200.000000 82.829 -151.2794
3250.000000 82.832 -148.7349
3300.000000 82.869 -146.1046
3350.000000 82.948 -143.4112
3400.000000 83.079 -140.7616
3450.000000 83.259 -138.2447
3500.000000 83.477 -135.9612
3550.000000 83.715 -133.9683
3600.000000 83.955 -132.2099
3650.000000 84.191 -130.5923
3700.000000 84.421 -129.0383
3750.000000 84.653 -127.4545
3820.000000 85.003 -125.1794
3870.000000 85.285 -123.5424
3950.000000 85.800 -120.9714
4000.000000 86.168 -119.4729
4060.000000 86.659 -117.8349
4120.000000 87.209 -116.4439
4180.000000 87.822 -115.4024
4250.000000 88.612 -114.7456
4310.000000 89.352 -114.8285
4370.000000 90.140 -115.6601
4440.000000 91.097 -117.7875
4500.000000 91.915 -120.8145
4550.000000 92.558 -124.2833
4620.000000 93.322 -130.5979
4680.000000 93.773 -137.1608
4750.000000 93.988 -145.5217
4820.000000 93.840 -153.7394
4870.000000 93.542 -159.0359
4940.000000 92.927 -165.1752
5000.000000 92.291 -169.0808
5080.000000 91.399 -172.4515
5150.000000 90.650 -173.9422
5220.000000 89.968 -174.3733
5300.000000 89.290 -173.9130
5380.000000 88.728 -172.7065
5450.000000 88.328 -171.1968
5520.000000 88.015 -169.3861
5600.000000 87.760 -167.0524
5700.000000 87.588 -163.9002
5800.000000 87.577 -160.6603
5900.000000 87.721 -157.4629
6000.000000 88.024 -154.4798
6080.000000 88.382 -152.3500
