* Measurement data measured by REW V5.30.5
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 08/02/2024 1:18:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Creative Audirvana Ace2 L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 88.133 -71.0988
20.299999 88.295 -73.0998
20.600000 88.445 -75.0775
20.900000 88.585 -77.0337
21.200001 88.713 -78.9652
21.400000 88.791 -80.2345
21.799999 88.932 -82.7138
22.000000 88.995 -83.9175
22.400000 89.112 -86.2477
22.700001 89.194 -87.9350
23.000000 89.273 -89.5849
23.299999 89.348 -91.2115
23.600000 89.418 -92.8240
24.000000 89.501 -94.9527
24.299999 89.554 -96.5225
24.700001 89.612 -98.5565
25.000000 89.649 -100.0253
25.400000 89.693 -101.9049
25.799999 89.737 -103.7112
26.200001 89.780 -105.4734
26.500000 89.811 -106.7791
26.900000 89.848 -108.4986
27.200001 89.870 -109.7602
27.600000 89.894 -111.3819
28.000000 89.916 -112.9214
28.500000 89.950 -114.7574
29.000000 89.993 -116.5745
29.500000 90.033 -118.4327
30.000000 90.054 -120.2963
30.400000 90.054 -121.7187
30.700001 90.047 -122.7109
31.100000 90.037 -123.9209
31.500000 90.034 -125.0241
32.000000 90.048 -126.3348
32.500000 90.076 -127.6677
33.000000 90.105 -129.0765
33.500000 90.122 -130.5448
34.000000 90.121 -132.0058
34.500000 90.105 -133.3840
35.000000 90.085 -134.6457
35.500000 90.073 -135.8304
36.000000 90.072 -137.0246
36.500000 90.071 -138.2898
37.000000 90.056 -139.6061
37.500000 90.020 -140.8844
38.200001 89.955 -142.4631
38.700001 89.918 -143.4593
39.500000 89.882 -145.0715
40.000000 89.853 -146.1475
40.599998 89.799 -147.3853
41.200001 89.741 -148.4453
41.799999 89.707 -149.4129
42.500000 89.687 -150.6740
43.099998 89.653 -151.8691
43.700001 89.597 -153.0067
44.400002 89.529 -154.1821
45.000000 89.477 -155.1325
45.500000 89.432 -155.9086
46.200001 89.367 -156.9527
46.799999 89.310 -157.8201
47.500000 89.236 -158.8012
48.200001 89.157 -159.7117
48.700001 89.102 -160.3537
49.400002 89.014 -161.2910
50.000000 88.916 -162.0263
50.799999 88.787 -162.7205
51.500000 88.713 -163.2722
52.200001 88.647 -164.0089
53.000000 88.546 -164.8504
53.799999 88.454 -165.5330
54.500000 88.389 -166.1822
55.200001 88.307 -166.8555
56.000000 88.200 -167.4397
57.000000 88.088 -167.9822
58.000000 87.981 -168.5265
59.000000 87.865 -169.0449
60.000000 87.741 -169.4336
60.799999 87.663 -169.6267
61.500000 87.620 -169.8501
62.200001 87.583 -170.1879
63.000000 87.531 -170.5943
64.000000 87.466 -170.9234
65.000000 87.410 -171.1452
66.000000 87.336 -171.1010
67.000000 87.294 -170.7502
68.000000 87.267 -170.5052
69.000000 87.259 -170.1979
70.000000 87.307 -170.6056
71.000000 87.232 -171.7359
72.000000 87.086 -172.3255
73.000000 87.002 -172.8247
74.000000 86.901 -173.4619
75.000000 86.799 -173.6858
76.199997 86.735 -173.6421
77.500000 86.714 -173.5682
78.800003 86.702 -173.7260
80.000000 86.671 -174.1293
81.199997 86.602 -174.6336
82.500000 86.526 -175.1906
83.800003 86.404 -175.6445
85.000000 86.331 -175.3704
86.199997 86.331 -175.2920
87.500000 86.297 -175.4157
88.500000 86.255 -175.4599
90.000000 86.178 -175.5382
91.199997 86.123 -175.5981
92.500000 86.085 -175.7677
93.800003 86.048 -176.0579
95.000000 86.004 -176.1854
96.199997 85.976 -176.2139
97.500000 85.939 -176.2616
98.800003 85.898 -176.1991
100.000000 85.876 -176.1759
101.500000 85.849 -176.4048
103.000000 85.788 -176.6996
104.400002 85.729 -176.7596
106.000000 85.684 -176.7696
107.500000 85.651 -176.7977
109.000000 85.615 -176.8590
110.599998 85.564 -176.8926
112.000000 85.519 -176.8001
113.800003 85.482 -176.7157
115.000000 85.460 -176.7776
117.199997 85.394 -177.0428
118.000000 85.364 -177.0692
120.599998 85.307 -176.8559
122.000000 85.288 -176.7220
124.099998 85.260 -176.5545
125.000000 85.243 -176.5600
126.500000 85.207 -176.5795
128.000000 85.178 -176.6163
131.500000 85.123 -176.8366
132.000000 85.111 -176.8509
134.000000 85.061 -176.7452
136.000000 85.036 -176.6885
138.000000 84.992 -176.7879
140.000000 84.950 -176.7050
143.000000 84.876 -176.6145
145.000000 84.794 -176.4744
147.500000 84.685 -176.5776
150.000000 84.517 -176.9574
152.500000 84.328 -176.9065
155.000000 84.157 -175.9204
157.500000 84.120 -173.8511
160.000000 84.248 -172.0902
162.500000 84.424 -171.4331
165.000000 84.569 -171.5405
167.500000 84.650 -171.8061
170.000000 84.688 -171.9258
172.500000 84.717 -172.1810
175.000000 84.719 -172.4761
177.500000 84.723 -172.4733
180.000000 84.719 -172.5227
182.500000 84.697 -172.5754
185.000000 84.690 -172.6589
187.500000 84.689 -172.8100
190.000000 84.679 -172.9275
192.500000 84.661 -173.0364
195.000000 84.639 -173.1190
197.500000 84.614 -173.1231
200.000000 84.589 -173.1055
203.000000 84.569 -173.1569
206.000000 84.552 -173.2850
209.000000 84.520 -173.3057
212.000000 84.484 -173.2894
214.000000 84.457 -173.2948
218.000000 84.406 -173.2363
220.000000 84.380 -173.2022
224.000000 84.316 -173.1564
227.000000 84.265 -173.0811
230.000000 84.221 -173.0688
233.000000 84.182 -173.1364
236.000000 84.138 -173.1317
240.000000 84.062 -172.9189
243.000000 83.994 -172.7505
247.000000 83.928 -172.5347
250.000000 83.902 -172.2613
254.000000 83.876 -171.8372
258.000000 83.854 -171.6121
262.000000 83.828 -171.3993
265.000000 83.793 -171.2731
269.000000 83.750 -171.1776
272.000000 83.731 -170.9992
276.000000 83.694 -170.6686
280.000000 83.649 -170.4453
285.000000 83.609 -170.2633
290.000000 83.569 -170.0249
295.000000 83.522 -169.7825
300.000000 83.469 -169.5850
304.000000 83.426 -169.3320
307.000000 83.395 -169.1156
311.000000 83.362 -168.8119
315.000000 83.333 -168.5065
320.000000 83.289 -168.1712
325.000000 83.244 -167.8397
330.000000 83.201 -167.5421
335.000000 83.162 -167.2296
340.000000 83.125 -166.9052
345.000000 83.089 -166.5713
350.000000 83.055 -166.2365
355.000000 83.015 -165.8829
360.000000 82.975 -165.5264
365.000000 82.939 -165.1808
370.000000 82.904 -164.8629
375.000000 82.867 -164.5330
382.000000 82.810 -164.0256
387.000000 82.772 -163.6462
395.000000 82.727 -163.0653
400.000000 82.704 -162.7143
406.000000 82.671 -162.3259
412.000000 82.626 -161.9680
418.000000 82.587 -161.5395
425.000000 82.549 -161.0139
431.000000 82.514 -160.6145
437.000000 82.477 -160.2257
444.000000 82.437 -159.7421
450.000000 82.408 -159.3264
455.000000 82.383 -158.9810
462.000000 82.343 -158.4933
468.000000 82.308 -158.0731
475.000000 82.267 -157.5821
482.000000 82.231 -157.0965
487.000000 82.207 -156.7486
494.000000 82.171 -156.2706
500.000000 82.139 -155.8926
508.000000 82.097 -155.3831
515.000000 82.059 -154.9171
522.000000 82.019 -154.4507
530.000000 81.977 -153.9360
538.000000 81.939 -153.4782
545.000000 81.907 -153.0952
552.000000 81.872 -152.7192
560.000000 81.829 -152.3455
570.000000 81.756 -151.9590
580.000000 81.653 -151.6407
590.000000 81.508 -151.2280
600.000000 81.313 -150.4168
608.000000 81.169 -149.2385
615.000000 81.091 -147.9468
622.000000 81.064 -146.6797
630.000000 81.073 -145.4830
640.000000 81.098 -144.3637
650.000000 81.108 -143.3916
660.000000 81.104 -142.4943
670.000000 81.089 -141.6722
680.000000 81.071 -140.8785
690.000000 81.050 -140.0720
700.000000 81.025 -139.2354
710.000000 81.002 -138.4211
720.000000 80.981 -137.5842
730.000000 80.960 -136.7330
740.000000 80.938 -135.8765
750.000000 80.912 -134.9706
762.000000 80.878 -133.8429
775.000000 80.850 -132.6704
788.000000 80.831 -131.5268
800.000000 80.819 -130.4439
812.000000 80.806 -129.3295
825.000000 80.798 -128.1046
838.000000 80.791 -126.8796
850.000000 80.788 -125.7608
862.000000 80.793 -124.6415
875.000000 80.808 -123.4406
885.000000 80.821 -122.5234
900.000000 80.835 -121.1305
912.000000 80.856 -120.0136
925.000000 80.888 -118.8004
938.000000 80.921 -117.6121
950.000000 80.955 -116.5232
962.000000 80.994 -115.4403
975.000000 81.046 -114.2795
988.000000 81.105 -113.1552
1000.000000 81.163 -112.1501
1015.000000 81.236 -110.9265
1030.000000 81.310 -109.7416
1044.000000 81.379 -108.6873
1060.000000 81.466 -107.5033
1075.000000 81.552 -106.4198
1090.000000 81.639 -105.3966
1106.000000 81.733 -104.3678
1120.000000 81.813 -103.5010
1138.000000 81.913 -102.4258
1150.000000 81.977 -101.7374
1172.000000 82.092 -100.5488
1180.000000 82.132 -100.1375
1206.000000 82.261 -98.8842
1220.000000 82.329 -98.2253
1241.000000 82.422 -97.2437
1250.000000 82.460 -96.8220
1265.000000 82.525 -96.1309
1280.000000 82.586 -95.4525
1315.000000 82.704 -93.9623
1320.000000 82.720 -93.7565
1340.000000 82.782 -92.9075
1360.000000 82.840 -92.0305
1380.000000 82.896 -91.1707
1400.000000 82.949 -90.3132
1430.000000 83.021 -88.9705
1450.000000 83.067 -88.0280
1475.000000 83.127 -86.8506
1500.000000 83.180 -85.6674
1525.000000 83.232 -84.4529
1550.000000 83.289 -83.2036
1575.000000 83.353 -81.9827
1600.000000 83.415 -80.7719
1625.000000 83.476 -79.5127
1650.000000 83.534 -78.2369
1675.000000 83.596 -76.9932
1700.000000 83.668 -75.7072
1725.000000 83.748 -74.4443
1750.000000 83.830 -73.1980
1775.000000 83.913 -71.9429
1800.000000 83.999 -70.6909
1825.000000 84.090 -69.4607
1850.000000 84.185 -68.2460
1875.000000 84.282 -67.0529
1900.000000 84.382 -65.8835
1925.000000 84.486 -64.7224
1950.000000 84.595 -63.5589
1975.000000 84.710 -62.4363
2000.000000 84.828 -61.3566
2030.000000 84.971 -60.0747
2060.000000 85.118 -58.8291
2090.000000 85.269 -57.6637
2120.000000 85.421 -56.5054
2140.000000 85.524 -55.7884
2180.000000 85.739 -54.5040
2200.000000 85.849 -53.8813
2240.000000 86.074 -52.7378
2270.000000 86.242 -51.9464
2300.000000 86.410 -51.2283
2330.000000 86.575 -50.5807
2360.000000 86.737 -49.9879
2400.000000 86.947 -49.3153
2430.000000 87.104 -48.8601
2470.000000 87.317 -48.3146
2500.000000 87.477 -47.9781
2540.000000 87.691 -47.6926
2580.000000 87.901 -47.6631
2620.000000 88.092 -47.8604
2650.000000 88.217 -48.1329
2690.000000 88.347 -48.5826
2720.000000 88.417 -48.9438
2760.000000 88.479 -49.4589
2800.000000 88.509 -49.9828
2850.000000 88.511 -50.5746
2900.000000 88.468 -51.0219
2950.000000 88.386 -51.2401
3000.000000 88.284 -51.2693
3040.000000 88.200 -51.1491
3070.000000 88.134 -51.0002
3110.000000 88.038 -50.7414
3150.000000 87.940 -50.4071
3200.000000 87.803 -49.8914
3250.000000 87.651 -49.1964
3300.000000 87.494 -48.3019
3350.000000 87.336 -47.1972
3400.000000 87.189 -45.8904
3450.000000 87.062 -44.3749
3500.000000 86.964 -42.7120
3550.000000 86.898 -41.0424
3600.000000 86.858 -39.4604
3650.000000 86.826 -37.9793
3700.000000 86.790 -36.5526
3750.000000 86.749 -35.1057
3820.000000 86.690 -32.9983
3870.000000 86.651 -31.4019
3950.000000 86.612 -28.7420
4000.000000 86.608 -27.0111
4060.000000 86.623 -24.8607
4120.000000 86.659 -22.6843
4180.000000 86.721 -20.5436
4250.000000 86.830 -18.1109
4310.000000 86.967 -16.1194
4370.000000 87.141 -14.2732
4440.000000 87.387 -12.4258
4500.000000 87.620 -11.2447
4550.000000 87.810 -10.6164
4620.000000 88.012 -10.1888
4680.000000 88.118 -9.5366
4750.000000 88.396 -8.0238
