* Measurement data measured by REW V5.30.5
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 08/02/2024 1:20:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Creative Audirvana Ace2 R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 87.447 -69.8200
20.299999 87.613 -71.9075
20.600000 87.758 -73.9833
20.900000 87.882 -76.0067
21.200001 87.989 -77.9457
21.400000 88.055 -79.1836
21.799999 88.180 -81.5355
22.000000 88.242 -82.6625
22.400000 88.369 -84.8659
22.700001 88.465 -86.5103
23.000000 88.558 -88.1682
23.299999 88.643 -89.8391
23.600000 88.717 -91.5068
24.000000 88.798 -93.6816
24.299999 88.848 -95.2491
24.700001 88.908 -97.2436
25.000000 88.952 -98.6826
25.400000 89.009 -100.5617
25.799999 89.061 -102.4192
26.200001 89.101 -104.2378
26.500000 89.121 -105.5461
26.900000 89.142 -107.1816
27.200001 89.159 -108.3255
27.600000 89.190 -109.7788
28.000000 89.230 -111.2142
28.500000 89.283 -113.0490
29.000000 89.321 -114.9035
29.500000 89.342 -116.6906
30.000000 89.358 -118.3689
30.400000 89.371 -119.6546
30.700001 89.382 -120.6032
31.100000 89.394 -121.8558
31.500000 89.402 -123.0884
32.000000 89.406 -124.5799
32.500000 89.405 -126.0016
33.000000 89.404 -127.3534
33.500000 89.405 -128.6507
34.000000 89.410 -129.9245
34.500000 89.415 -131.2052
35.000000 89.412 -132.4860
35.500000 89.401 -133.7234
36.000000 89.387 -134.8921
36.500000 89.378 -136.0266
37.000000 89.371 -137.1826
37.500000 89.356 -138.3654
38.200001 89.316 -139.9753
38.700001 89.284 -141.0614
39.500000 89.233 -142.7574
40.000000 89.196 -143.7936
40.599998 89.149 -144.9701
41.200001 89.109 -146.0966
41.799999 89.075 -147.2393
42.500000 89.029 -148.5916
43.099998 88.983 -149.7147
43.700001 88.935 -150.7946
44.400002 88.873 -152.0073
45.000000 88.816 -152.9968
45.500000 88.765 -153.7829
46.200001 88.688 -154.8057
46.799999 88.623 -155.5945
47.500000 88.561 -156.5088
48.200001 88.496 -157.5418
48.700001 88.430 -158.2893
49.400002 88.324 -159.1906
50.000000 88.242 -159.8583
50.799999 88.136 -160.7687
51.500000 88.029 -161.4612
52.200001 87.936 -161.9516
53.000000 87.865 -162.5423
53.799999 87.781 -163.2383
54.500000 87.692 -163.7056
55.200001 87.618 -164.0493
56.000000 87.546 -164.4697
57.000000 87.450 -165.0235
58.000000 87.349 -165.5793
59.000000 87.234 -166.0807
60.000000 87.127 -166.4136
60.799999 87.059 -166.6642
61.500000 87.001 -166.9168
62.200001 86.939 -167.1554
63.000000 86.865 -167.3390
64.000000 86.787 -167.4841
65.000000 86.718 -167.7164
66.000000 86.645 -168.0006
67.000000 86.576 -168.5352
68.000000 86.442 -169.1684
69.000000 86.298 -169.1843
70.000000 86.260 -169.0046
71.000000 86.262 -169.1593
72.000000 86.263 -169.3709
73.000000 86.268 -169.6087
74.000000 86.247 -169.9128
75.000000 86.187 -170.0858
76.199997 86.101 -170.0460
77.500000 86.024 -170.0185
78.800003 85.956 -170.2276
80.000000 85.903 -170.5022
81.199997 85.881 -170.8985
82.500000 85.865 -171.4735
83.800003 85.811 -172.0724
85.000000 85.729 -172.0493
86.199997 85.700 -171.7006
87.500000 85.694 -171.4566
88.500000 85.688 -171.3134
90.000000 85.692 -171.3906
91.199997 85.630 -171.8005
92.500000 85.516 -171.7914
93.800003 85.448 -171.6545
95.000000 85.400 -171.7011
96.199997 85.355 -171.8159
97.500000 85.313 -172.0010
98.800003 85.270 -172.1738
100.000000 85.238 -172.2416
101.500000 85.198 -172.3872
103.000000 85.120 -172.3602
104.400002 85.073 -172.0791
106.000000 85.041 -171.9986
107.500000 84.997 -171.9848
109.000000 84.960 -171.9163
110.599998 84.929 -171.8774
112.000000 84.895 -171.8965
113.800003 84.850 -171.8318
115.000000 84.828 -171.8421
117.199997 84.763 -171.8679
118.000000 84.742 -171.7623
120.599998 84.713 -171.6751
122.000000 84.680 -171.7447
124.099998 84.632 -171.7705
125.000000 84.615 -171.7686
126.500000 84.583 -171.7098
128.000000 84.550 -171.5441
131.500000 84.417 -171.3487
132.000000 84.386 -171.3220
134.000000 84.279 -170.9949
136.000000 84.270 -170.8903
138.000000 84.270 -171.3603
140.000000 84.249 -171.7248
143.000000 84.221 -171.7211
145.000000 84.172 -171.6379
147.500000 83.937 -171.5733
150.000000 83.623 -170.1686
152.500000 83.549 -167.8516
155.000000 83.714 -166.1265
157.500000 83.909 -165.3556
160.000000 84.037 -165.2872
162.500000 84.120 -165.5777
165.000000 84.171 -165.8116
167.500000 84.195 -165.8581
170.000000 84.194 -165.9856
172.500000 84.179 -166.1649
175.000000 84.176 -166.2590
177.500000 84.158 -166.3807
180.000000 84.110 -166.2569
182.500000 84.115 -166.0430
185.000000 84.144 -166.1779
187.500000 84.148 -166.2940
190.000000 84.135 -166.2293
192.500000 84.126 -166.1826
195.000000 84.112 -166.1975
197.500000 84.090 -166.1581
200.000000 84.061 -166.0505
203.000000 84.036 -165.9962
206.000000 84.011 -166.0739
209.000000 83.978 -166.0581
212.000000 83.936 -166.0006
214.000000 83.904 -165.9728
218.000000 83.839 -165.9060
220.000000 83.800 -165.8339
224.000000 83.715 -165.5808
227.000000 83.659 -165.3066
230.000000 83.612 -164.8696
233.000000 83.586 -164.3882
236.000000 83.583 -164.0719
240.000000 83.592 -163.8580
243.000000 83.590 -163.8194
247.000000 83.570 -163.7854
250.000000 83.544 -163.6531
254.000000 83.504 -163.3910
258.000000 83.464 -163.1231
262.000000 83.422 -162.8607
265.000000 83.387 -162.5874
269.000000 83.338 -162.1173
272.000000 83.310 -161.9184
276.000000 83.280 -161.7870
280.000000 83.248 -161.5107
285.000000 83.203 -161.1700
290.000000 83.181 -160.9085
295.000000 83.132 -160.6242
300.000000 83.065 -160.1281
304.000000 83.039 -159.7243
307.000000 83.022 -159.4433
311.000000 82.989 -159.0974
315.000000 82.955 -158.7666
320.000000 82.915 -158.3694
325.000000 82.876 -157.9574
330.000000 82.836 -157.5540
335.000000 82.795 -157.1047
340.000000 82.761 -156.6293
345.000000 82.732 -156.1526
350.000000 82.701 -155.6894
355.000000 82.671 -155.2728
360.000000 82.637 -154.8618
365.000000 82.611 -154.4273
370.000000 82.583 -154.0020
375.000000 82.552 -153.5935
382.000000 82.507 -152.9825
387.000000 82.478 -152.5268
395.000000 82.435 -151.8549
400.000000 82.413 -151.4434
406.000000 82.387 -150.9373
412.000000 82.351 -150.4243
418.000000 82.313 -149.8842
425.000000 82.276 -149.2633
431.000000 82.245 -148.7712
437.000000 82.214 -148.2667
444.000000 82.180 -147.6312
450.000000 82.154 -147.1080
455.000000 82.127 -146.6577
462.000000 82.088 -146.0249
468.000000 82.057 -145.4927
475.000000 82.023 -144.8707
482.000000 81.987 -144.2607
487.000000 81.959 -143.8266
494.000000 81.917 -143.2139
500.000000 81.882 -142.6938
508.000000 81.842 -142.0106
515.000000 81.811 -141.3825
522.000000 81.778 -140.7036
530.000000 81.742 -139.9158
538.000000 81.706 -139.1639
545.000000 81.668 -138.5502
552.000000 81.633 -137.8986
560.000000 81.601 -137.1100
570.000000 81.561 -136.0887
580.000000 81.526 -135.0004
590.000000 81.504 -133.8417
600.000000 81.500 -132.7357
608.000000 81.511 -131.9634
615.000000 81.526 -131.3902
622.000000 81.536 -130.9189
630.000000 81.535 -130.4431
640.000000 81.510 -129.8113
650.000000 81.467 -129.1180
660.000000 81.410 -128.3411
670.000000 81.353 -127.4477
680.000000 81.307 -126.5189
690.000000 81.267 -125.5968
700.000000 81.225 -124.6121
710.000000 81.184 -123.5685
720.000000 81.142 -122.5506
730.000000 81.102 -121.6130
740.000000 81.073 -120.6607
750.000000 81.046 -119.6609
762.000000 81.016 -118.4245
775.000000 80.995 -117.1191
788.000000 80.972 -115.7921
800.000000 80.949 -114.5864
812.000000 80.936 -113.3486
825.000000 80.929 -111.9782
838.000000 80.923 -110.6153
850.000000 80.919 -109.3857
862.000000 80.921 -108.1273
875.000000 80.927 -106.7619
885.000000 80.934 -105.7065
900.000000 80.950 -104.1410
912.000000 80.966 -102.9043
925.000000 80.988 -101.5720
938.000000 81.017 -100.2546
950.000000 81.053 -99.0350
962.000000 81.090 -97.8434
975.000000 81.131 -96.5998
988.000000 81.176 -95.4024
1000.000000 81.225 -94.3256
1015.000000 81.292 -92.9866
1030.000000 81.359 -91.6632
1044.000000 81.419 -90.4779
1060.000000 81.495 -89.1737
1075.000000 81.568 -87.9901
1090.000000 81.641 -86.8139
1106.000000 81.720 -85.6344
1120.000000 81.787 -84.6720
1138.000000 81.867 -83.4729
1150.000000 81.920 -82.6863
1172.000000 82.017 -81.3088
1180.000000 82.052 -80.8200
1206.000000 82.166 -79.2731
1220.000000 82.221 -78.4754
1241.000000 82.294 -77.3046
1250.000000 82.323 -76.8070
1265.000000 82.372 -75.9853
1280.000000 82.420 -75.1740
1315.000000 82.517 -73.3183
1320.000000 82.529 -73.0533
1340.000000 82.575 -71.9792
1360.000000 82.620 -70.8651
1380.000000 82.662 -69.7757
1400.000000 82.706 -68.6848
1430.000000 82.773 -67.0397
1450.000000 82.811 -65.9387
1475.000000 82.855 -64.5379
1500.000000 82.905 -63.1014
1525.000000 82.962 -61.6535
1550.000000 83.021 -60.1138
1575.000000 83.079 -58.6002
1600.000000 83.144 -57.1287
1625.000000 83.216 -55.6455
1650.000000 83.296 -54.1618
1675.000000 83.384 -52.7127
1700.000000 83.474 -51.2718
1725.000000 83.568 -49.8281
1750.000000 83.665 -48.4349
1775.000000 83.764 -47.0918
1800.000000 83.868 -45.7592
1825.000000 83.977 -44.4539
1850.000000 84.093 -43.2182
1875.000000 84.209 -42.0227
1900.000000 84.325 -40.8584
1925.000000 84.441 -39.7303
1950.000000 84.562 -38.6411
1975.000000 84.684 -37.5833
2000.000000 84.806 -36.5310
2030.000000 84.953 -35.2821
2060.000000 85.101 -34.0790
2090.000000 85.259 -32.9186
2120.000000 85.428 -31.7665
2140.000000 85.547 -31.0578
2180.000000 85.785 -29.8327
2200.000000 85.902 -29.2883
2240.000000 86.125 -28.3312
2270.000000 86.285 -27.6916
2300.000000 86.446 -27.1023
2330.000000 86.600 -26.5583
2360.000000 86.745 -26.0669
2400.000000 86.936 -25.5043
2430.000000 87.080 -25.1330
2470.000000 87.264 -24.7008
2500.000000 87.401 -24.4592
2540.000000 87.581 -24.2743
2580.000000 87.746 -24.2814
2620.000000 87.885 -24.4603
2650.000000 87.966 -24.6818
2690.000000 88.047 -24.9728
2720.000000 88.091 -25.1957
2760.000000 88.127 -25.5172
2800.000000 88.138 -25.8159
2850.000000 88.119 -26.1738
2900.000000 88.063 -26.4553
2950.000000 87.986 -26.5942
3000.000000 87.895 -26.6687
3040.000000 87.795 -26.5993
3070.000000 87.708 -26.4992
3110.000000 87.587 -26.2850
3150.000000 87.463 -25.9316
3200.000000 87.295 -25.3032
3250.000000 87.125 -24.4375
3300.000000 86.956 -23.3277
3350.000000 86.793 -21.9764
3400.000000 86.656 -20.4139
3450.000000 86.557 -18.7318
3500.000000 86.499 -17.0769
3550.000000 86.466 -15.5736
3600.000000 86.431 -14.2390
3650.000000 86.381 -12.9944
3700.000000 86.322 -11.7094
3750.000000 86.259 -10.3173
3820.000000 86.169 -8.2538
3870.000000 86.110 -6.7049
3950.000000 86.039 -4.1119
4000.000000 86.015 -2.4293
4060.000000 86.004 -0.3513
4120.000000 86.016 1.7808
4180.000000 86.057 3.9801
4250.000000 86.152 6.5926
4310.000000 86.278 8.7828
4370.000000 86.445 10.8464
4440.000000 86.684 12.9349
4500.000000 86.898 14.4332
4550.000000 87.072 15.6863
4620.000000 87.419 17.7808
4680.000000 87.868 18.6545
4750.000000 88.307 17.9444
4820.000000 88.572 17.0120
