* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 09/11/2023 11:23:20 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Delta Airlines Earphones L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	56.433	-81.1405
20.299999	57.438	-80.7418
20.600000	58.200	-84.7192
20.900000	58.448	-91.2965
21.200001	58.115	-97.6113
21.400000	57.574	-99.7070
21.799999	56.111	-96.3179
22.000000	55.608	-90.8859
22.400000	56.193	-76.7930
22.700001	57.771	-69.6220
23.000000	59.234	-68.7635
23.299999	60.224	-72.5134
23.600000	60.668	-78.1601
24.000000	60.464	-84.1847
24.299999	59.907	-84.8821
24.700001	59.216	-79.6794
25.000000	59.278	-73.1664
25.400000	60.283	-65.8857
25.799999	61.505	-64.1015
26.200001	62.271	-67.0020
26.500000	62.462	-70.1013
26.900000	62.309	-73.0927
27.200001	62.054	-73.6718
27.600000	61.803	-72.5676
28.000000	61.846	-71.1687
28.500000	62.126	-71.7802
29.000000	62.194	-75.1992
29.500000	61.887	-79.0250
30.000000	61.424	-81.3353
30.400000	61.159	-82.4414
30.700001	61.057	-83.4485
31.100000	60.950	-85.4326
31.500000	60.759	-87.6678
32.000000	60.377	-89.0726
32.500000	60.117	-87.7873
33.000000	60.320	-85.2644
33.500000	60.872	-83.9328
34.000000	61.383	-84.3809
34.500000	61.689	-85.1288
35.000000	61.897	-84.9735
35.500000	62.153	-84.2082
36.000000	62.427	-83.8484
36.500000	62.573	-84.0729
37.000000	62.530	-83.9478
37.500000	62.413	-82.7058
38.200001	62.404	-80.2453
38.700001	62.430	-79.3397
39.500000	62.145	-77.4006
40.000000	62.058	-73.9014
40.599998	62.582	-69.4643
41.200001	63.422	-69.3566
41.799999	63.825	-73.4065
42.500000	63.534	-77.1410
43.099998	63.181	-76.1661
43.700001	63.266	-73.6624
44.400002	63.696	-72.4153
45.000000	63.998	-72.6094
45.500000	64.199	-72.8157
46.200001	64.475	-73.2290
46.799999	64.671	-73.9590
47.500000	64.823	-74.9596
48.200001	64.925	-75.9385
48.700001	64.975	-76.6260
49.400002	65.020	-77.4609
50.000000	65.053	-78.0151
50.799999	65.089	-78.3912
51.500000	65.162	-78.1234
52.200001	65.332	-77.6685
53.000000	65.546	-77.5389
53.799999	65.687	-77.2073
54.500000	65.825	-76.4464
55.200001	65.992	-75.7432
56.000000	66.159	-75.1564
57.000000	66.331	-74.6968
58.000000	66.419	-74.4136
59.000000	66.560	-73.8517
60.000000	66.744	-74.2212
60.799999	66.806	-74.3994
61.500000	66.917	-73.9802
62.200001	67.114	-73.6641
63.000000	67.337	-73.5950
64.000000	67.611	-73.3394
65.000000	67.873	-73.4192
66.000000	67.986	-73.6487
67.000000	68.005	-73.2339
68.000000	68.050	-72.4532
69.000000	68.135	-71.9738
70.000000	68.207	-71.7576
71.000000	68.334	-71.4280
72.000000	68.548	-71.6139
73.000000	68.689	-72.2503
74.000000	68.770	-72.1598
75.000000	68.921	-71.4549
76.199997	69.138	-70.7449
77.500000	69.301	-70.0308
78.800003	69.450	-68.9436
80.000000	69.665	-68.1025
81.199997	69.924	-67.9266
82.500000	70.157	-68.4454
83.800003	70.305	-68.7123
85.000000	70.470	-68.7435
86.199997	70.558	-69.0630
87.500000	70.561	-68.8887
88.500000	70.578	-68.5576
90.000000	70.651	-67.8785
91.199997	70.836	-67.4357
92.500000	71.088	-67.5666
93.800003	71.320	-67.7061
95.000000	71.528	-67.7719
96.199997	71.648	-67.7710
97.500000	71.719	-67.1886
98.800003	71.796	-66.5601
100.000000	71.861	-66.0223
101.500000	72.026	-65.5579
103.000000	72.248	-65.6494
104.400002	72.444	-65.7670
106.000000	72.687	-65.2360
107.500000	72.961	-64.8219
109.000000	73.124	-64.8190
110.599998	73.202	-64.7428
112.000000	73.242	-64.5612
113.800003	73.358	-64.1544
115.000000	73.485	-63.9603
117.199997	73.740	-63.5593
118.000000	73.837	-63.3096
120.599998	74.168	-62.2821
122.000000	74.368	-61.8694
124.099998	74.630	-62.0181
125.000000	74.696	-62.2511
126.500000	74.758	-62.3831
128.000000	74.859	-62.0449
131.500000	75.307	-61.8281
132.000000	75.360	-61.8889
134.000000	75.503	-61.8530
136.000000	75.642	-61.1479
138.000000	75.850	-60.7103
140.000000	76.046	-60.7036
143.000000	76.333	-60.4748
145.000000	76.476	-60.1171
147.500000	76.676	-58.8837
150.000000	77.031	-58.4193
152.500000	77.306	-58.9274
155.000000	77.483	-59.3291
157.500000	77.603	-59.3658
160.000000	77.780	-59.0219
162.500000	78.055	-58.7359
165.000000	78.334	-58.5537
167.500000	78.565	-58.2559
170.000000	78.779	-57.9573
172.500000	78.976	-57.8809
175.000000	79.176	-57.7373
177.500000	79.400	-57.4716
180.000000	79.635	-57.1655
182.500000	79.860	-57.0210
185.000000	80.074	-57.0216
187.500000	80.286	-56.9884
190.000000	80.486	-56.8386
192.500000	80.655	-56.6578
195.000000	80.815	-56.5443
197.500000	80.991	-56.5532
200.000000	81.192	-56.5311
203.000000	81.459	-56.4542
206.000000	81.713	-56.3083
209.000000	81.941	-56.1870
212.000000	82.174	-56.1080
214.000000	82.348	-56.1150
218.000000	82.692	-56.1552
220.000000	82.844	-56.1904
224.000000	83.146	-56.3296
227.000000	83.388	-56.5361
230.000000	83.621	-56.6429
233.000000	83.855	-56.6700
236.000000	84.086	-56.8606
240.000000	84.360	-57.3608
243.000000	84.553	-57.7457
247.000000	84.820	-58.2678
250.000000	85.011	-58.6888
254.000000	85.207	-59.1637
258.000000	85.361	-59.5838
262.000000	85.505	-59.7897
265.000000	85.608	-59.6282
269.000000	85.784	-58.9948
272.000000	85.963	-58.3981
276.000000	86.254	-57.6819
280.000000	86.571	-57.2468
285.000000	86.961	-57.0320
290.000000	87.367	-57.0989
295.000000	87.762	-57.3586
300.000000	88.129	-57.7685
304.000000	88.423	-58.1208
307.000000	88.643	-58.3997
311.000000	88.929	-58.8124
315.000000	89.206	-59.2781
320.000000	89.545	-59.9100
325.000000	89.877	-60.5463
330.000000	90.201	-61.2142
335.000000	90.522	-61.8938
340.000000	90.840	-62.6259
345.000000	91.154	-63.4049
350.000000	91.464	-64.1890
355.000000	91.767	-65.0131
360.000000	92.064	-65.8698
365.000000	92.362	-66.7335
370.000000	92.656	-67.6305
375.000000	92.935	-68.5951
382.000000	93.321	-69.9740
387.000000	93.594	-70.9783
395.000000	94.024	-72.6447
400.000000	94.286	-73.7175
406.000000	94.593	-75.0359
412.000000	94.893	-76.3879
418.000000	95.187	-77.7650
425.000000	95.520	-79.3973
431.000000	95.796	-80.8148
437.000000	96.066	-82.2490
444.000000	96.379	-83.9526
450.000000	96.641	-85.4230
455.000000	96.855	-86.6453
462.000000	97.148	-88.3641
468.000000	97.397	-89.8445
475.000000	97.685	-91.5781
482.000000	97.974	-93.3318
487.000000	98.181	-94.6063
494.000000	98.472	-96.4312
500.000000	98.721	-98.0409
508.000000	99.053	-100.2565
515.000000	99.345	-102.2690
522.000000	99.635	-104.3704
530.000000	99.967	-106.9048
