* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 09/11/2023 11:24:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Delta Airlines Earphones R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	56.770	109.1848
20.299999	58.244	113.9500
20.600000	59.783	114.5726
20.900000	61.057	111.3434
21.200001	61.952	105.7130
21.400000	62.325	101.4297
21.799999	62.548	92.8926
22.000000	62.422	89.3931
22.400000	61.795	85.4134
22.700001	61.199	85.7339
23.000000	60.801	88.4201
23.299999	60.788	91.6246
23.600000	61.044	93.6333
24.000000	61.400	92.9100
24.299999	61.354	90.3758
24.700001	60.656	87.3581
25.000000	59.677	88.4540
25.400000	58.220	97.2103
25.799999	57.884	111.6159
26.200001	59.142	123.4425
26.500000	60.365	127.0558
26.900000	61.595	125.2407
27.200001	62.096	121.2317
27.600000	62.260	115.2709
28.000000	62.001	110.5571
28.500000	61.398	107.5703
29.000000	60.870	107.2548
29.500000	60.634	108.0602
30.000000	60.693	108.6003
30.400000	60.883	108.2927
30.700001	61.062	107.4495
31.100000	61.255	105.4852
31.500000	61.303	102.9814
32.000000	61.088	100.5746
32.500000	60.709	100.7451
33.000000	60.545	103.4598
33.500000	60.778	106.5047
34.000000	61.159	108.0220
34.500000	61.419	108.5704
35.000000	61.600	109.4716
35.500000	61.876	110.5912
36.000000	62.222	110.6496
36.500000	62.439	109.3302
37.000000	62.426	107.8464
37.500000	62.304	107.3463
38.200001	62.265	107.3516
38.700001	62.298	106.7686
39.500000	62.190	105.8638
40.000000	62.171	106.3214
40.599998	62.386	106.8530
41.200001	62.669	105.9905
41.799999	62.800	104.6344
42.500000	62.888	104.1973
43.099998	63.074	104.1476
43.700001	63.226	103.5998
44.400002	63.251	103.6451
45.000000	63.357	105.0025
45.500000	63.608	105.9614
46.200001	63.955	105.6365
46.799999	64.019	104.7839
47.500000	63.943	105.2328
48.200001	63.995	106.8649
48.700001	64.118	107.9239
49.400002	64.315	109.1004
50.000000	64.519	110.0339
50.799999	64.853	110.5824
51.500000	65.067	110.1083
52.200001	65.129	109.5424
53.000000	65.117	109.7422
53.799999	65.192	110.5960
54.500000	65.354	110.9893
55.200001	65.497	110.6676
56.000000	65.537	110.2031
57.000000	65.570	110.8622
58.000000	65.808	111.9473
59.000000	66.111	112.4084
60.000000	66.430	112.8865
60.799999	66.735	112.8014
61.500000	66.916	111.9468
62.200001	66.917	111.1575
63.000000	66.827	111.5065
64.000000	66.889	112.7737
65.000000	67.022	113.0994
66.000000	67.102	113.1231
67.000000	67.193	113.1369
68.000000	67.320	113.2568
69.000000	67.506	113.3690
70.000000	67.719	113.5884
71.000000	67.999	113.9016
72.000000	68.274	113.7586
73.000000	68.458	113.5549
74.000000	68.601	113.6466
75.000000	68.739	113.8159
76.199997	68.895	114.0194
77.500000	69.083	114.3174
78.800003	69.319	114.6544
80.000000	69.556	114.7907
81.199997	69.730	114.9574
82.500000	69.898	115.6272
83.800003	70.080	116.2797
85.000000	70.242	116.6620
86.199997	70.385	116.9008
87.500000	70.585	117.3953
88.500000	70.808	117.5510
90.000000	71.056	117.3030
91.199997	71.209	117.9468
92.500000	71.512	118.7456
93.800003	71.777	118.3401
95.000000	71.860	117.8239
96.199997	71.909	118.0651
97.500000	72.052	118.8581
98.800003	72.272	119.7255
100.000000	72.494	120.3947
101.500000	72.710	121.0109
103.000000	72.856	121.3531
104.400002	72.921	121.2217
106.000000	72.988	120.9037
107.500000	73.142	120.3543
109.000000	73.350	119.8222
110.599998	73.646	119.8246
112.000000	73.930	120.0192
113.800003	74.233	120.3158
115.000000	74.371	120.4666
117.199997	74.540	121.1135
118.000000	74.623	121.4047
120.599998	74.897	121.6547
122.000000	75.009	121.7490
124.099998	75.206	121.8805
125.000000	75.303	121.7867
126.500000	75.462	121.5566
128.000000	75.638	121.5001
131.500000	76.123	122.1686
132.000000	76.193	122.2762
134.000000	76.443	122.4882
136.000000	76.651	122.4189
138.000000	76.856	122.4250
140.000000	77.094	122.6451
143.000000	77.420	122.9490
145.000000	77.617	122.9917
147.500000	77.883	122.7333
150.000000	78.182	122.6593
152.500000	78.470	122.8443
155.000000	78.685	123.0312
157.500000	78.901	123.1533
160.000000	79.152	122.9601
162.500000	79.406	122.9492
165.000000	79.696	123.1568
