* Measurement data measured by REW V5.31.1
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -44.0 dBFS with no timing reference
* Dated: 30/05/2024 2:26:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Elysian Gaea L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 92.263 -176.2056
20.299999 92.271 -176.7775
20.600000 92.289 -177.3972
20.900000 92.307 -178.0894
21.200001 92.318 -178.8384
21.400000 92.317 -179.3465
21.799999 92.298 179.6909
22.000000 92.281 179.2662
22.400000 92.248 178.5659
22.700001 92.232 178.1547
23.000000 92.233 177.7893
23.299999 92.251 177.4046
23.600000 92.279 176.9432
24.000000 92.318 176.1675
24.299999 92.335 175.4917
24.700001 92.330 174.5712
25.000000 92.310 173.9460
25.400000 92.277 173.2667
25.799999 92.256 172.7357
26.200001 92.257 172.2407
26.500000 92.267 171.8258
26.900000 92.280 171.1878
27.200001 92.283 170.6730
27.600000 92.273 170.0077
28.000000 92.258 169.4158
28.500000 92.248 168.7511
29.000000 92.248 168.0539
29.500000 92.239 167.2703
30.000000 92.208 166.4936
30.400000 92.171 165.9651
30.700001 92.145 165.6346
31.100000 92.123 165.2355
31.500000 92.114 164.7977
32.000000 92.105 164.1030
32.500000 92.071 163.3139
33.000000 92.008 162.6528
33.500000 91.954 162.2537
34.000000 91.952 161.9477
34.500000 91.998 161.3857
35.000000 92.037 160.4135
35.500000 92.021 159.2521
36.000000 91.951 158.2739
36.500000 91.878 157.6439
37.000000 91.841 157.2039
37.500000 91.835 156.7037
38.200001 91.823 155.8225
38.700001 91.799 155.2153
39.500000 91.765 154.3553
40.000000 91.745 153.8181
40.599998 91.713 153.2047
41.200001 91.683 152.6671
41.799999 91.666 152.1113
42.500000 91.640 151.3586
43.099998 91.601 150.7474
43.700001 91.567 150.2409
44.400002 91.550 149.6394
45.000000 91.539 149.0003
45.500000 91.519 148.4112
46.200001 91.472 147.6310
46.799999 91.424 147.0856
47.500000 91.383 146.5729
48.200001 91.368 146.0164
48.700001 91.360 145.5080
49.400002 91.330 144.7054
50.000000 91.288 144.0564
50.799999 91.233 143.2830
51.500000 91.189 142.6193
52.200001 91.145 141.9726
53.000000 91.102 141.2532
53.799999 91.063 140.5014
54.500000 91.024 139.8610
55.200001 90.989 139.2672
56.000000 90.954 138.5755
57.000000 90.904 137.6893
58.000000 90.850 136.8505
59.000000 90.793 136.0005
60.000000 90.732 135.1783
60.799999 90.685 134.5152
61.500000 90.641 133.9174
62.200001 90.594 133.3486
63.000000 90.545 132.7383
64.000000 90.493 131.9453
65.000000 90.436 131.1510
66.000000 90.385 130.4010
67.000000 90.336 129.6105
68.000000 90.275 128.8152
69.000000 90.210 128.1025
70.000000 90.149 127.4255
71.000000 90.088 126.7341
72.000000 90.026 126.0748
73.000000 89.973 125.4034
74.000000 89.920 124.6520
75.000000 89.854 123.8919
76.199997 89.773 123.1341
77.500000 89.714 122.2972
78.800003 89.638 121.3604
80.000000 89.563 120.6013
81.199997 89.496 119.8731
82.500000 89.428 118.9583
83.800003 89.336 118.0587
85.000000 89.256 117.3526
86.199997 89.191 116.6648
87.500000 89.123 115.8212
88.500000 89.058 115.1872
90.000000 88.959 114.3519
91.199997 88.884 113.6989
92.500000 88.807 112.9697
93.800003 88.725 112.2132
95.000000 88.652 111.5449
96.199997 88.583 110.8588
97.500000 88.505 110.1344
98.800003 88.429 109.4355
100.000000 88.358 108.8085
101.500000 88.271 108.0686
103.000000 88.184 107.3139
104.400002 88.100 106.6331
106.000000 88.005 105.8465
107.500000 87.915 105.1200
109.000000 87.829 104.3887
110.599998 87.735 103.5910
112.000000 87.654 102.9291
113.800003 87.551 102.0843
115.000000 87.481 101.5497
117.199997 87.356 100.5957
118.000000 87.310 100.2357
120.599998 87.158 99.1011
122.000000 87.079 98.4726
124.099998 86.952 97.5781
125.000000 86.898 97.2423
126.500000 86.815 96.6881
128.000000 86.732 96.1118
131.500000 86.539 94.7921
132.000000 86.513 94.6037
134.000000 86.406 93.8416
136.000000 86.295 93.1087
138.000000 86.183 92.3992
140.000000 86.071 91.6893
143.000000 85.913 90.6360
145.000000 85.808 89.9656
147.500000 85.677 89.1992
150.000000 85.541 88.4068
152.500000 85.403 87.6354
155.000000 85.276 86.9064
157.500000 85.155 86.1873
160.000000 85.030 85.5029
162.500000 84.906 84.8031
165.000000 84.779 84.1077
167.500000 84.655 83.4443
170.000000 84.532 82.7999
172.500000 84.412 82.1956
175.000000 84.297 81.6117
177.500000 84.178 81.0381
180.000000 84.054 80.4946
182.500000 83.933 79.9587
185.000000 83.816 79.4474
187.500000 83.703 78.9781
190.000000 83.593 78.5087
192.500000 83.479 78.0226
195.000000 83.364 77.5693
197.500000 83.254 77.1326
200.000000 83.145 76.6859
203.000000 83.015 76.1989
206.000000 82.890 75.7804
209.000000 82.763 75.3960
212.000000 82.637 75.0074
214.000000 82.555 74.7289
218.000000 82.388 74.2039
220.000000 82.305 73.9843
224.000000 82.146 73.5609
227.000000 82.026 73.2757
230.000000 81.903 73.0724
233.000000 81.781 72.9277
236.000000 81.663 72.8249
240.000000 81.516 72.7369
243.000000 81.416 72.6945
247.000000 81.296 72.7006
250.000000 81.217 72.7242
254.000000 81.118 72.8234
258.000000 81.036 73.0503
262.000000 80.988 73.2503
265.000000 80.975 73.2753
269.000000 80.960 73.0957
272.000000 80.934 72.7856
276.000000 80.854 72.3022
280.000000 80.765 72.2548
285.000000 80.718 72.2178
290.000000 80.657 71.9300
295.000000 80.569 71.6965
300.000000 80.490 71.5934
304.000000 80.435 71.5589
307.000000 80.399 71.5350
311.000000 80.358 71.5052
315.000000 80.322 71.5008
320.000000 80.288 71.5580
325.000000 80.259 71.6464
330.000000 80.242 71.6661
335.000000 80.235 71.6386
340.000000 80.236 71.5902
345.000000 80.241 71.5515
350.000000 80.240 71.4816
355.000000 80.241 71.3779
360.000000 80.249 71.2773
365.000000 80.263 71.1245
370.000000 80.280 70.9288
375.000000 80.295 70.7595
382.000000 80.318 70.4828
387.000000 80.339 70.2450
395.000000 80.363 69.8632
400.000000 80.376 69.6072
406.000000 80.394 69.3064
412.000000 80.415 68.9673
418.000000 80.432 68.6325
425.000000 80.440 68.1870
431.000000 80.449 67.8297
437.000000 80.461 67.4899
444.000000 80.473 67.1004
450.000000 80.480 66.7685
455.000000 80.484 66.4701
462.000000 80.492 66.0204
468.000000 80.503 65.6936
475.000000 80.512 65.2907
482.000000 80.517 64.8825
487.000000 80.521 64.6175
494.000000 80.523 64.2383
500.000000 80.525 63.9202
508.000000 80.525 63.4952
515.000000 80.520 63.1290
522.000000 80.512 62.7884
530.000000 80.506 62.4592
538.000000 80.503 62.1503
545.000000 80.506 61.8630
552.000000 80.512 61.5773
560.000000 80.509 61.2886
570.000000 80.499 60.9118
580.000000 80.483 60.4998
590.000000 80.465 60.1476
600.000000 80.450 59.8430
608.000000 80.438 59.6001
615.000000 80.424 59.4052
622.000000 80.406 59.2308
630.000000 80.390 59.0573
640.000000 80.375 58.8554
650.000000 80.356 58.6841
660.000000 80.337 58.5492
670.000000 80.320 58.4215
680.000000 80.301 58.3182
690.000000 80.280 58.2568
700.000000 80.259 58.2016
710.000000 80.236 58.1891
720.000000 80.216 58.2280
730.000000 80.196 58.2859
740.000000 80.178 58.3852
750.000000 80.161 58.4915
762.000000 80.141 58.6237
775.000000 80.121 58.8080
788.000000 80.101 59.0032
800.000000 80.083 59.2219
812.000000 80.065 59.4844
825.000000 80.046 59.8371
838.000000 80.021 60.2727
850.000000 79.997 60.7800
862.000000 79.983 61.3641
875.000000 79.987 62.0724
885.000000 80.002 62.6535
900.000000 80.037 63.5230
912.000000 80.075 64.2249
925.000000 80.128 64.9927
938.000000 80.192 65.7250
950.000000 80.256 66.3724
962.000000 80.325 67.0236
975.000000 80.408 67.7328
988.000000 80.499 68.4297
1000.000000 80.585 69.0403
1015.000000 80.697 69.7974
1030.000000 80.824 70.5675
1044.000000 80.951 71.2436
1060.000000 81.104 71.9839
1075.000000 81.253 72.6471
1090.000000 81.406 73.2573
1106.000000 81.577 73.8722
1120.000000 81.733 74.3779
1138.000000 81.937 74.9559
1150.000000 82.076 75.3150
1172.000000 82.337 75.9191
1180.000000 82.434 76.1182
1206.000000 82.759 76.6782
1220.000000 82.937 76.9160
1241.000000 83.206 77.2003
1250.000000 83.323 77.2957
1265.000000 83.518 77.4140
1280.000000 83.714 77.4852
1315.000000 84.173 77.4807
1320.000000 84.239 77.4593
1340.000000 84.503 77.3102
1360.000000 84.768 77.0742
1380.000000 85.028 76.7570
1400.000000 85.282 76.3447
1430.000000 85.658 75.5687
1450.000000 85.903 74.9555
1475.000000 86.196 74.0761
1500.000000 86.476 73.0784
1525.000000 86.743 71.9685
1550.000000 86.991 70.7637
1575.000000 87.219 69.4662
1600.000000 87.420 68.0880
1625.000000 87.596 66.7131
1650.000000 87.754 65.3469
1675.000000 87.895 63.9674
1700.000000 88.017 62.5963
1725.000000 88.120 61.2616
1750.000000 88.206 59.9695
1775.000000 88.278 58.7272
1800.000000 88.339 57.5407
1825.000000 88.390 56.4094
1850.000000 88.429 55.3440
1875.000000 88.460 54.3405
1900.000000 88.486 53.3995
1925.000000 88.507 52.5190
1950.000000 88.525 51.7054
1975.000000 88.541 50.9471
2000.000000 88.555 50.2269
2030.000000 88.569 49.4207
2060.000000 88.582 48.6882
2090.000000 88.597 48.0178
2120.000000 88.614 47.4005
2140.000000 88.627 47.0100
2180.000000 88.658 46.2720
2200.000000 88.675 45.9310
2240.000000 88.715 45.2796
2270.000000 88.749 44.8092
2300.000000 88.787 44.3497
2330.000000 88.829 43.8956
2360.000000 88.873 43.4397
2400.000000 88.937 42.8237
2430.000000 88.989 42.3558
2470.000000 89.063 41.7083
2500.000000 89.122 41.1913
2540.000000 89.203 40.4592
2580.000000 89.286 39.6652
2620.000000 89.368 38.7999
2650.000000 89.429 38.1052
2690.000000 89.504 37.1089
2720.000000 89.554 36.3015
2760.000000 89.610 35.1573
2800.000000 89.649 33.9649
2850.000000 89.671 32.4545
2900.000000 89.660 30.9709
2950.000000 89.621 29.5774
3000.000000 89.559 28.3396
3040.000000 89.500 27.4741
3070.000000 89.454 26.8955
3110.000000 89.392 26.2200
3150.000000 89.332 25.6411
3200.000000 89.262 25.0189
3250.000000 89.202 24.4785
3300.000000 89.150 24.0046
3350.000000 89.107 23.5684
3400.000000 89.070 23.1473
3450.000000 89.039 22.7437
3500.000000 89.012 22.3353
3550.000000 88.987 21.9221
3600.000000 88.963 21.5123
3650.000000 88.939 21.1174
3700.000000 88.916 20.7424
3750.000000 88.894 20.3672
3820.000000 88.864 19.8535
3870.000000 88.846 19.5026
3950.000000 88.822 18.9547
4000.000000 88.810 18.6067
4060.000000 88.799 18.1680
4120.000000 88.790 17.6913
4180.000000 88.780 17.1710
4250.000000 88.763 16.5096
4310.000000 88.739 15.9017
4370.000000 88.705 15.2802
4440.000000 88.650 14.5786
4500.000000 88.595 14.0166
4550.000000 88.545 13.5779
4620.000000 88.470 13.0063
4680.000000 88.401 12.5491
4750.000000 88.315 12.0430
4820.000000 88.221 11.5670
4870.000000 88.148 11.2576
4940.000000 88.036 10.8903
5000.000000 87.935 10.6387
5080.000000 87.796 10.4050
5150.000000 87.672 10.3133
5220.000000 87.547 10.3304
5300.000000 87.408 10.4702
5380.000000 87.279 10.7228
5450.000000 87.179 11.0181
5520.000000 87.089 11.3591
5600.000000 87.001 11.7804
5700.000000 86.910 12.3104
5800.000000 86.832 12.8023
5900.000000 86.761 13.2353
6000.000000 86.697 13.6700
6080.000000 86.650 14.0375
6150.000000 86.616 14.3669
6220.000000 86.590 14.6960
6300.000000 86.572 15.0642
6400.000000 86.566 15.4860
6500.000000 86.584 15.8047
6600.000000 86.627 15.9726
6700.000000 86.693 15.9108
6800.000000 86.775 15.5392
6900.000000 86.858 14.7750
