* Measurement data measured by REW V5.31.1
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -44.0 dBFS with no timing reference
* Dated: 30/05/2024 2:21:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Elysian Gaea R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 92.327 -176.6487
20.299999 92.309 -177.4071
20.600000 92.274 -178.0366
20.900000 92.239 -178.4956
21.200001 92.220 -178.8271
21.400000 92.222 -179.0292
21.799999 92.253 -179.5325
22.000000 92.274 -179.8760
22.400000 92.302 179.2515
22.700001 92.299 178.5121
23.000000 92.271 177.8008
23.299999 92.227 177.1960
23.600000 92.180 176.7366
24.000000 92.135 176.3176
24.299999 92.126 176.0612
24.700001 92.149 175.6230
25.000000 92.181 175.1275
25.400000 92.215 174.2050
25.799999 92.208 173.0944
26.200001 92.148 172.0403
26.500000 92.080 171.4396
26.900000 91.992 170.9818
27.200001 91.956 170.8373
27.600000 91.965 170.6801
28.000000 92.020 170.3080
28.500000 92.093 169.4285
29.000000 92.121 168.3629
29.500000 92.125 167.4283
30.000000 92.146 166.5905
30.400000 92.174 165.8304
30.700001 92.189 165.1703
31.100000 92.186 164.2155
31.500000 92.152 163.2543
32.000000 92.068 162.1139
32.500000 91.921 161.1353
33.000000 91.694 160.6970
33.500000 91.450 161.3545
34.000000 91.357 163.0277
34.500000 91.513 164.5151
35.000000 91.793 164.5939
35.500000 91.980 163.3484
36.000000 91.991 161.8118
36.500000 91.912 160.8237
37.000000 91.875 160.3155
37.500000 91.908 159.6341
38.200001 91.912 157.9666
38.700001 91.830 156.8068
39.500000 91.682 155.7535
40.000000 91.641 155.3441
40.599998 91.624 154.8246
41.200001 91.629 154.2860
41.799999 91.660 153.6375
42.500000 91.682 152.6135
43.099998 91.655 151.7533
43.700001 91.613 151.1395
44.400002 91.595 150.5478
45.000000 91.586 149.9117
45.500000 91.564 149.3208
46.200001 91.514 148.5502
46.799999 91.471 147.9464
47.500000 91.420 147.2570
48.200001 91.370 146.6145
48.700001 91.341 146.1826
49.400002 91.310 145.5530
50.000000 91.285 144.9676
50.799999 91.243 144.1917
51.500000 91.203 143.5717
52.200001 91.166 142.9900
53.000000 91.128 142.3254
53.799999 91.088 141.6363
54.500000 91.050 141.0164
55.200001 91.010 140.3964
56.000000 90.962 139.6949
57.000000 90.903 138.8530
58.000000 90.854 138.0617
59.000000 90.809 137.2218
60.000000 90.748 136.4504
60.799999 90.705 135.9494
61.500000 90.679 135.4868
62.200001 90.651 134.9620
63.000000 90.614 134.3266
64.000000 90.562 133.4668
65.000000 90.495 132.5959
66.000000 90.435 131.8121
67.000000 90.389 130.9333
68.000000 90.320 130.0104
69.000000 90.235 129.3279
70.000000 90.176 128.8257
71.000000 90.136 128.2351
72.000000 90.084 127.5516
73.000000 90.022 126.8893
74.000000 89.961 126.2316
75.000000 89.902 125.5396
76.199997 89.833 124.6837
77.500000 89.756 123.7504
78.800003 89.679 122.9037
80.000000 89.615 122.1844
81.199997 89.554 121.4775
82.500000 89.487 120.6926
83.800003 89.413 119.9011
85.000000 89.345 119.1745
86.199997 89.275 118.4261
87.500000 89.198 117.6591
88.500000 89.142 117.0811
90.000000 89.059 116.2292
91.199997 88.991 115.5607
92.500000 88.916 114.8420
93.800003 88.838 114.1210
95.000000 88.765 113.4755
96.199997 88.698 112.8308
97.500000 88.628 112.1177
98.800003 88.559 111.4062
100.000000 88.494 110.7692
101.500000 88.414 110.0172
103.000000 88.333 109.2695
104.400002 88.252 108.5809
106.000000 88.158 107.8265
107.500000 88.072 107.1265
109.000000 87.986 106.4108
110.599998 87.892 105.6555
112.000000 87.810 105.0125
113.800003 87.707 104.2103
115.000000 87.642 103.6904
117.199997 87.525 102.7756
118.000000 87.485 102.4488
120.599998 87.353 101.3598
122.000000 87.279 100.7551
124.099998 87.158 99.8754
125.000000 87.108 99.5356
126.500000 87.028 98.9616
128.000000 86.947 98.3986
131.500000 86.768 97.1455
132.000000 86.743 96.9573
134.000000 86.639 96.2085
136.000000 86.536 95.4822
138.000000 86.432 94.7687
140.000000 86.329 94.0885
143.000000 86.176 93.0715
145.000000 86.073 92.4169
147.500000 85.948 91.6447
150.000000 85.825 90.9060
152.500000 85.702 90.1774
155.000000 85.577 89.4469
157.500000 85.455 88.7270
160.000000 85.335 88.0217
162.500000 85.215 87.3444
165.000000 85.101 86.7085
167.500000 84.989 86.0806
170.000000 84.873 85.4816
172.500000 84.755 84.8823
175.000000 84.631 84.3076
177.500000 84.521 83.8198
180.000000 84.420 83.2856
182.500000 84.314 82.7684
185.000000 84.208 82.2839
187.500000 84.099 81.8024
190.000000 83.988 81.3177
192.500000 83.879 80.8501
195.000000 83.775 80.4287
197.500000 83.676 80.0494
200.000000 83.580 79.7191
203.000000 83.466 79.3038
206.000000 83.342 78.8487
209.000000 83.210 78.4171
212.000000 83.081 78.1031
214.000000 82.998 77.9302
218.000000 82.834 77.5789
220.000000 82.750 77.4368
224.000000 82.579 77.3529
227.000000 82.457 77.4559
230.000000 82.354 77.7180
233.000000 82.286 78.1736
236.000000 82.270 78.6938
240.000000 82.330 78.9988
243.000000 82.396 78.6960
247.000000 82.435 77.7741
250.000000 82.417 77.0194
254.000000 82.350 76.1746
258.000000 82.260 75.5067
262.000000 82.167 74.9783
265.000000 82.100 74.6578
269.000000 82.017 74.2734
272.000000 81.956 74.0142
276.000000 81.882 73.7349
280.000000 81.815 73.4670
285.000000 81.735 73.1558
290.000000 81.664 72.8112
295.000000 81.598 72.6329
300.000000 81.540 72.4992
304.000000 81.505 72.3603
307.000000 81.481 72.2242
311.000000 81.446 72.0297
315.000000 81.414 71.8460
320.000000 81.379 71.6154
325.000000 81.345 71.4149
330.000000 81.315 71.1881
335.000000 81.280 70.9632
340.000000 81.245 70.8028
345.000000 81.236 70.8030
350.000000 81.255 70.6465
355.000000 81.262 70.2893
360.000000 81.256 69.9493
365.000000 81.245 69.6581
370.000000 81.237 69.3977
375.000000 81.230 69.1357
382.000000 81.226 68.7596
387.000000 81.225 68.4912
395.000000 81.220 68.0688
400.000000 81.218 67.7727
406.000000 81.216 67.4133
412.000000 81.209 67.0894
418.000000 81.204 66.7769
425.000000 81.203 66.3790
431.000000 81.207 66.0030
437.000000 81.207 65.6590
444.000000 81.208 65.3489
450.000000 81.213 65.0977
455.000000 81.219 64.8308
462.000000 81.223 64.4311
468.000000 81.223 64.1186
475.000000 81.221 63.7519
482.000000 81.218 63.3472
487.000000 81.219 63.0654
494.000000 81.218 62.6987
500.000000 81.214 62.3860
508.000000 81.208 61.9787
515.000000 81.198 61.5942
522.000000 81.187 61.2382
530.000000 81.173 60.8584
538.000000 81.155 60.5414
545.000000 81.136 60.3126
552.000000 81.120 60.1016
560.000000 81.109 59.8924
570.000000 81.118 59.6257
580.000000 81.132 59.1725
590.000000 81.106 58.8596
600.000000 81.099 58.6543
608.000000 81.097 58.4092
615.000000 81.091 58.1895
622.000000 81.078 57.9723
630.000000 81.057 57.7285
640.000000 81.030 57.4785
650.000000 81.007 57.2601
660.000000 80.979 57.0717
670.000000 80.951 56.9268
680.000000 80.927 56.8223
690.000000 80.904 56.7277
700.000000 80.876 56.6716
710.000000 80.847 56.6626
720.000000 80.818 56.6782
730.000000 80.787 56.7044
740.000000 80.760 56.7493
750.000000 80.735 56.8298
762.000000 80.706 56.9812
775.000000 80.675 57.1882
788.000000 80.648 57.4785
800.000000 80.626 57.7737
812.000000 80.607 58.0990
825.000000 80.592 58.4869
838.000000 80.579 58.8952
850.000000 80.570 59.3242
862.000000 80.569 59.8322
875.000000 80.574 60.3688
885.000000 80.582 60.8038
900.000000 80.604 61.5135
912.000000 80.625 62.0789
925.000000 80.657 62.7299
938.000000 80.697 63.3941
950.000000 80.738 63.9864
962.000000 80.786 64.5876
975.000000 80.845 65.2464
988.000000 80.907 65.8845
1000.000000 80.969 66.4839
1015.000000 81.056 67.2433
1030.000000 81.153 67.9872
1044.000000 81.251 68.6647
1060.000000 81.374 69.4327
1075.000000 81.498 70.1324
1090.000000 81.630 70.7851
1106.000000 81.774 71.4034
1120.000000 81.899 71.8981
1138.000000 82.065 72.5387
1150.000000 82.178 72.9534
1172.000000 82.390 73.6671
1180.000000 82.470 73.9167
1206.000000 82.737 74.6723
1220.000000 82.884 75.0446
1241.000000 83.111 75.5602
1250.000000 83.210 75.7683
1265.000000 83.378 76.1033
1280.000000 83.550 76.4168
1315.000000 83.972 76.9718
1320.000000 84.034 77.0268
1340.000000 84.284 77.2020
1360.000000 84.537 77.3156
1380.000000 84.789 77.3510
1400.000000 85.043 77.2970
1430.000000 85.428 77.0212
1450.000000 85.683 76.7234
1475.000000 85.996 76.2324
1500.000000 86.302 75.5928
1525.000000 86.598 74.8255
1550.000000 86.879 73.9280
1575.000000 87.144 72.9118
1600.000000 87.391 71.7995
1625.000000 87.619 70.6158
1650.000000 87.829 69.3655
1675.000000 88.017 68.0771
1700.000000 88.182 66.7541
1725.000000 88.328 65.4319
1750.000000 88.456 64.1331
1775.000000 88.568 62.8569
1800.000000 88.666 61.6154
1825.000000 88.749 60.4042
1850.000000 88.818 59.2368
1875.000000 88.874 58.1213
1900.000000 88.920 57.0724
1925.000000 88.960 56.1139
1950.000000 88.998 55.2072
1975.000000 89.032 54.3381
2000.000000 89.060 53.5168
2030.000000 89.089 52.5904
2060.000000 89.116 51.7312
2090.000000 89.142 50.9422
2120.000000 89.170 50.2066
2140.000000 89.188 49.7420
2180.000000 89.228 48.8629
2200.000000 89.250 48.4527
2240.000000 89.296 47.6754
2270.000000 89.335 47.1101
2300.000000 89.378 46.5544
2330.000000 89.425 46.0012
2360.000000 89.475 45.4467
2400.000000 89.546 44.7024
2430.000000 89.603 44.1382
2470.000000 89.681 43.3435
2500.000000 89.742 42.7014
2540.000000 89.823 41.7928
2580.000000 89.904 40.8112
2620.000000 89.979 39.7459
2650.000000 90.029 38.9017
2690.000000 90.085 37.7137
2720.000000 90.116 36.7773
2760.000000 90.139 35.5060
2800.000000 90.141 34.2498
2850.000000 90.115 32.7469
2900.000000 90.065 31.3745
2950.000000 89.998 30.1674
3000.000000 89.921 29.1466
3040.000000 89.860 28.4481
3070.000000 89.818 27.9805
3110.000000 89.766 27.4270
3150.000000 89.720 26.9375
3200.000000 89.671 26.3757
3250.000000 89.632 25.8515
3300.000000 89.602 25.3539
3350.000000 89.582 24.8579
3400.000000 89.567 24.3373
3450.000000 89.556 23.8004
3500.000000 89.547 23.2346
3550.000000 89.537 22.6508
3600.000000 89.525 22.0448
3650.000000 89.510 21.4146
3700.000000 89.493 20.7759
3750.000000 89.473 20.1307
3820.000000 89.437 19.2285
3870.000000 89.407 18.5875
3950.000000 89.352 17.5623
4000.000000 89.313 16.9331
4060.000000 89.260 16.1996
4120.000000 89.202 15.4824
4180.000000 89.139 14.7702
4250.000000 89.058 13.9551
4310.000000 88.983 13.2708
4370.000000 88.902 12.6021
4440.000000 88.798 11.8660
4500.000000 88.700 11.2686
4550.000000 88.613 10.7985
4620.000000 88.483 10.1954
4680.000000 88.362 9.7235
4750.000000 88.210 9.2347
4820.000000 88.046 8.8542
4870.000000 87.925 8.6657
4940.000000 87.751 8.5192
5000.000000 87.601 8.4919
5080.000000 87.401 8.6143
5150.000000 87.230 8.8664
5220.000000 87.067 9.2502
5300.000000 86.892 9.8314
5380.000000 86.732 10.5522
5450.000000 86.610 11.2784
5520.000000 86.506 12.0825
5600.000000 86.412 13.0725
5700.000000 86.333 14.3585
5800.000000 86.293 15.5848
5900.000000 86.289 16.6983
6000.000000 86.314 17.6708
6080.000000 86.350 18.3320
6150.000000 86.389 18.8285
6220.000000 86.435 19.2534
6300.000000 86.497 19.6439
6400.000000 86.588 19.9634
6500.000000 86.695 20.0794
6600.000000 86.817 19.9276
6700.000000 86.952 19.4178
6800.000000 87.086 18.4448
6900.000000 87.189 16.9440
