* Measurement data measured by REW V5.30.9
* Source: External Mic (Realtek(R) Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS with no timing reference
* Dated: 23/02/2024 1:30:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiR Audio Radon 6 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 97.562 -150.7453
20.299999 97.584 -151.4591
20.600000 97.604 -152.1133
20.900000 97.627 -152.7177
21.200001 97.654 -153.2964
21.400000 97.674 -153.6814
21.799999 97.718 -154.4747
22.000000 97.739 -154.8870
22.400000 97.777 -155.7338
22.700001 97.799 -156.3718
23.000000 97.818 -156.9979
23.299999 97.834 -157.6063
23.600000 97.849 -158.1983
24.000000 97.870 -158.9729
24.299999 97.885 -159.5502
24.700001 97.904 -160.3178
25.000000 97.916 -160.8877
25.400000 97.931 -161.6302
25.799999 97.944 -162.3464
26.200001 97.958 -163.0387
26.500000 97.969 -163.5480
26.900000 97.985 -164.2218
27.200001 97.996 -164.7253
27.600000 98.008 -165.3909
28.000000 98.017 -166.0426
28.500000 98.025 -166.8276
29.000000 98.032 -167.5796
29.500000 98.037 -168.3087
30.000000 98.043 -169.0275
30.400000 98.047 -169.6034
30.700001 98.050 -170.0397
31.100000 98.053 -170.6293
31.500000 98.053 -171.2246
32.000000 98.051 -171.9616
32.500000 98.046 -172.6747
33.000000 98.044 -173.3636
33.500000 98.044 -174.0402
34.000000 98.045 -174.7084
34.500000 98.046 -175.3619
35.000000 98.047 -175.9965
35.500000 98.046 -176.6125
36.000000 98.042 -177.2054
36.500000 98.035 -177.7668
37.000000 98.026 -178.2999
37.500000 98.014 -178.8194
38.200001 97.992 -179.5433
38.700001 97.973 179.9379
39.500000 97.937 179.0890
40.000000 97.912 178.5492
40.599998 97.887 177.8898
41.200001 97.869 177.1714
41.799999 97.848 176.3975
42.500000 97.817 175.5963
43.099998 97.814 175.0266
43.700001 97.832 174.3962
44.400002 97.832 173.6366
45.000000 97.820 173.2384
45.500000 97.832 173.0053
46.200001 97.838 172.4972
46.799999 97.758 172.3314
47.500000 97.697 173.3607
48.200001 97.917 174.3653
48.700001 98.144 173.7216
49.400002 98.230 171.2814
50.000000 98.031 169.4737
50.799999 97.711 168.8808
51.500000 97.592 168.8393
52.200001 97.523 168.3162
53.000000 97.445 167.5547
53.799999 97.403 166.6904
54.500000 97.365 165.8415
55.200001 97.327 165.1366
56.000000 97.310 164.4576
57.000000 97.290 163.6709
58.000000 97.259 163.0839
59.000000 97.215 162.5706
60.000000 97.147 162.1574
60.799999 97.098 161.7972
61.500000 97.047 161.2871
62.200001 96.964 160.6823
63.000000 96.840 160.1864
64.000000 96.741 159.8157
65.000000 96.696 159.0991
66.000000 96.629 158.2486
67.000000 96.586 157.6426
68.000000 96.586 156.8732
69.000000 96.548 155.9298
70.000000 96.477 155.3358
71.000000 96.433 154.9814
72.000000 96.407 154.5396
73.000000 96.369 153.9355
74.000000 96.297 153.2900
75.000000 96.204 152.7644
76.199997 96.089 152.3094
77.500000 96.003 152.0533
78.800003 95.966 151.5596
80.000000 95.906 150.9007
81.199997 95.824 150.3592
82.500000 95.734 149.8514
83.800003 95.636 149.3677
85.000000 95.548 148.9633
86.199997 95.464 148.5042
87.500000 95.365 148.0016
88.500000 95.292 147.6790
90.000000 95.194 147.1782
91.199997 95.110 146.7719
92.500000 95.019 146.4263
93.800003 94.936 146.1169
95.000000 94.856 145.8605
96.199997 94.781 145.6326
97.500000 94.691 145.2900
98.800003 94.584 144.9767
100.000000 94.488 144.7908
101.500000 94.399 144.5308
103.000000 94.325 144.1808
104.400002 94.260 143.8640
106.000000 94.185 143.5038
107.500000 94.101 143.1227
109.000000 93.995 142.6664
110.599998 93.860 142.2375
112.000000 93.754 141.9434
113.800003 93.636 141.5565
115.000000 93.559 141.3300
117.199997 93.418 141.0210
118.000000 93.365 140.9030
120.599998 93.184 140.5552
122.000000 93.088 140.3760
124.099998 92.946 140.1592
125.000000 92.887 140.0904
126.500000 92.791 139.9773
128.000000 92.695 139.8557
131.500000 92.472 139.6365
132.000000 92.441 139.6122
134.000000 92.319 139.5257
136.000000 92.195 139.4534
138.000000 92.074 139.4022
140.000000 91.957 139.3552
143.000000 91.781 139.3428
145.000000 91.669 139.3811
147.500000 91.531 139.4083
150.000000 91.391 139.4576
152.500000 91.255 139.5557
155.000000 91.124 139.6502
157.500000 90.994 139.7631
160.000000 90.868 139.9218
162.500000 90.746 140.1035
165.000000 90.626 140.2985
167.500000 90.510 140.5046
170.000000 90.398 140.7113
172.500000 90.288 140.9476
175.000000 90.182 141.2083
177.500000 90.080 141.4681
180.000000 89.980 141.7352
182.500000 89.883 142.0070
185.000000 89.788 142.2875
187.500000 89.697 142.5806
190.000000 89.609 142.8828
192.500000 89.526 143.1863
195.000000 89.445 143.4787
197.500000 89.365 143.7904
200.000000 89.288 144.1264
203.000000 89.199 144.5202
206.000000 89.114 144.9052
209.000000 89.033 145.3147
212.000000 88.958 145.7301
214.000000 88.908 145.9994
218.000000 88.812 146.5469
220.000000 88.769 146.8223
224.000000 88.687 147.3581
227.000000 88.628 147.7635
230.000000 88.575 148.1624
233.000000 88.527 148.5421
236.000000 88.479 148.9061
240.000000 88.419 149.3651
243.000000 88.377 149.6910
247.000000 88.318 150.1173
250.000000 88.276 150.4442
254.000000 88.224 150.8730
258.000000 88.173 151.2752
262.000000 88.124 151.6886
265.000000 88.089 151.9939
269.000000 88.044 152.3751
272.000000 88.011 152.6734
276.000000 87.970 153.0566
280.000000 87.932 153.4047
285.000000 87.884 153.8586
290.000000 87.842 154.2892
295.000000 87.801 154.7073
300.000000 87.763 155.1116
304.000000 87.735 155.4260
307.000000 87.713 155.6495
311.000000 87.685 155.9394
315.000000 87.660 156.2350
320.000000 87.627 156.5775
325.000000 87.595 156.9042
330.000000 87.567 157.2349
335.000000 87.537 157.5242
340.000000 87.509 157.8221
345.000000 87.482 158.1146
350.000000 87.456 158.3713
355.000000 87.429 158.6544
360.000000 87.403 158.9286
365.000000 87.378 159.1777
370.000000 87.352 159.4367
375.000000 87.326 159.6816
382.000000 87.291 160.0099
387.000000 87.265 160.2478
395.000000 87.229 160.6036
400.000000 87.205 160.8184
406.000000 87.176 161.0749
412.000000 87.152 161.3141
418.000000 87.123 161.5235
425.000000 87.091 161.7611
431.000000 87.061 161.9764
437.000000 87.030 162.1852
444.000000 86.996 162.4414
450.000000 86.966 162.6562
455.000000 86.940 162.8251
462.000000 86.905 163.0823
468.000000 86.874 163.3038
475.000000 86.839 163.5357
482.000000 86.804 163.7880
487.000000 86.779 163.9692
494.000000 86.744 164.2073
500.000000 86.712 164.4281
508.000000 86.665 164.7233
515.000000 86.624 164.9073
522.000000 86.585 165.1234
530.000000 86.542 165.4436
538.000000 86.503 165.7332
545.000000 86.467 165.9972
552.000000 86.429 166.2731
560.000000 86.384 166.6045
570.000000 86.327 167.0390
580.000000 86.285 167.4349
590.000000 86.233 167.8342
600.000000 86.183 168.3025
608.000000 86.148 168.6703
615.000000 86.114 168.9801
622.000000 86.083 169.2763
630.000000 86.050 169.6108
640.000000 86.005 170.0432
650.000000 85.963 170.4776
660.000000 85.922 170.9616
670.000000 85.878 171.4478
680.000000 85.848 171.9472
690.000000 85.807 172.4990
700.000000 85.756 173.0014
710.000000 85.723 173.4932
720.000000 85.697 174.0088
730.000000 85.673 174.5053
740.000000 85.648 174.9798
750.000000 85.614 175.4408
762.000000 85.568 176.0395
775.000000 85.521 176.7688
788.000000 85.472 177.5085
800.000000 85.429 178.2819
812.000000 85.393 179.1559
825.000000 85.374 -179.8659
838.000000 85.374 -178.8807
850.000000 85.387 -178.0423
862.000000 85.406 -177.2423
875.000000 85.430 -176.3729
885.000000 85.452 -175.7277
900.000000 85.488 -174.7918
912.000000 85.519 -174.0407
925.000000 85.559 -173.2586
938.000000 85.603 -172.4734
950.000000 85.647 -171.7510
962.000000 85.696 -171.0729
975.000000 85.753 -170.3685
988.000000 85.812 -169.6713
1000.000000 85.873 -169.0572
1015.000000 85.954 -168.3297
1030.000000 86.035 -167.6283
1044.000000 86.115 -167.0300
1060.000000 86.207 -166.3912
1075.000000 86.294 -165.8256
1090.000000 86.385 -165.3114
1106.000000 86.480 -164.8014
1120.000000 86.562 -164.3848
1138.000000 86.669 -163.9007
1150.000000 86.738 -163.6065
1172.000000 86.860 -163.1040
1180.000000 86.905 -162.9350
1206.000000 87.042 -162.4350
1220.000000 87.112 -162.1817
1241.000000 87.218 -161.8289
1250.000000 87.259 -161.6833
1265.000000 87.326 -161.4424
1280.000000 87.393 -161.2039
1315.000000 87.539 -160.6679
1320.000000 87.559 -160.5925
1340.000000 87.641 -160.2854
1360.000000 87.719 -159.9762
1380.000000 87.795 -159.6549
1400.000000 87.872 -159.3177
1430.000000 87.982 -158.8083
1450.000000 88.059 -158.4510
1475.000000 88.155 -158.0017
1500.000000 88.252 -157.5371
1525.000000 88.354 -157.0497
1550.000000 88.456 -156.5750
1575.000000 88.564 -156.0696
1600.000000 88.675 -155.5704
1625.000000 88.791 -155.0826
1650.000000 88.914 -154.5796
1675.000000 89.039 -154.1016
1700.000000 89.171 -153.6193
1725.000000 89.308 -153.1432
1750.000000 89.449 -152.7037
1775.000000 89.598 -152.2657
1800.000000 89.754 -151.8580
1825.000000 89.915 -151.4942
1850.000000 90.083 -151.1429
1875.000000 90.256 -150.8354
1900.000000 90.433 -150.5857
1925.000000 90.617 -150.3595
1950.000000 90.807 -150.1925
1975.000000 91.001 -150.1040
2000.000000 91.201 -150.0597
2030.000000 91.447 -150.0966
2060.000000 91.697 -150.2647
2090.000000 91.952 -150.5282
2120.000000 92.209 -150.9258
2140.000000 92.381 -151.2810
2180.000000 92.729 -152.1828
2200.000000 92.903 -152.7660
2240.000000 93.237 -154.2900
2270.000000 93.458 -155.7144
2300.000000 93.639 -157.3427
2330.000000 93.773 -159.1028
2360.000000 93.855 -160.8633
2400.000000 93.891 -163.0751
2430.000000 93.871 -164.5428
2470.000000 93.806 -166.0853
2500.000000 93.747 -166.9357
2540.000000 93.679 -167.7270
2580.000000 93.643 -168.2132
2620.000000 93.645 -168.6183
2650.000000 93.668 -168.9484
2690.000000 93.716 -169.4704
2720.000000 93.756 -169.9793
2760.000000 93.806 -170.7983
2800.000000 93.840 -171.7192
2850.000000 93.851 -173.0096
2900.000000 93.819 -174.3007
2950.000000 93.747 -175.5116
3000.000000 93.642 -176.5565
3040.000000 93.540 -177.2086
3070.000000 93.458 -177.6021
3110.000000 93.344 -177.9783
3150.000000 93.230 -178.1573
3200.000000 93.094 -178.1521
3250.000000 92.978 -177.9000
3300.000000 92.887 -177.4104
3350.000000 92.831 -176.7819
3400.000000 92.813 -176.0298
3450.000000 92.838 -175.1985
3500.000000 92.913 -174.3656
3550.000000 93.047 -173.5800
3600.000000 93.250 -173.0158
3650.000000 93.524 -172.9473
3700.000000 93.839 -173.6820
3750.000000 94.124 -175.5693
3820.000000 94.183 -179.9271
3870.000000 93.829 177.9909
3950.000000 93.627 -179.4334
4000.000000 94.003 179.5319
4060.000000 93.964 175.2837
4120.000000 93.414 172.8248
4180.000000 92.806 173.2339
4250.000000 92.330 175.8154
4310.000000 92.152 178.6259
4370.000000 92.142 -178.5662
4440.000000 92.290 -175.6271
4500.000000 92.521 -173.4946
4550.000000 92.769 -172.0165
4620.000000 93.188 -170.4928
4680.000000 93.598 -169.7429
4750.000000 94.108 -169.5878
4820.000000 94.620 -170.3091
4870.000000 94.955 -171.3379
4940.000000 95.335 -173.2632
5000.000000 95.571 -174.9813
5080.000000 95.839 -176.7377
5150.000000 96.154 -177.9493
5220.000000 96.577 -179.7793
5300.000000 97.058 176.6422
5380.000000 97.369 171.7042
5450.000000 97.433 166.8929
5520.000000 97.303 162.2398
5600.000000 96.958 157.6597
5700.000000 96.346 153.4854
5800.000000 95.655 151.1599
5900.000000 94.985 150.4624
6000.000000 94.396 151.0899
