* Measurement data measured by REW V5.30.9
* Source: External Mic (Realtek(R) Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -8.0 dBFS with no timing reference
* Dated: 23/02/2024 1:32:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiR Audio Radon 6 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 98.310 -151.5061
20.299999 98.313 -152.2779
20.600000 98.317 -152.9602
20.900000 98.327 -153.5842
21.200001 98.343 -154.1880
21.400000 98.357 -154.5943
21.799999 98.387 -155.4304
22.000000 98.400 -155.8579
22.400000 98.423 -156.7126
22.700001 98.437 -157.3398
23.000000 98.451 -157.9514
23.299999 98.466 -158.5523
23.600000 98.482 -159.1508
24.000000 98.502 -159.9526
24.299999 98.516 -160.5540
24.700001 98.531 -161.3421
25.000000 98.541 -161.9147
25.400000 98.554 -162.6514
25.799999 98.570 -163.3677
26.200001 98.587 -164.0782
26.500000 98.599 -164.6109
26.900000 98.613 -165.3157
27.200001 98.622 -165.8335
27.600000 98.631 -166.5022
28.000000 98.641 -167.1468
28.500000 98.654 -167.9331
29.000000 98.665 -168.7142
29.500000 98.673 -169.4896
30.000000 98.676 -170.2451
30.400000 98.677 -170.8303
30.700001 98.677 -171.2609
31.100000 98.677 -171.8311
31.500000 98.677 -172.4020
32.000000 98.673 -173.1133
32.500000 98.666 -173.8069
33.000000 98.659 -174.4739
33.500000 98.655 -175.1260
34.000000 98.654 -175.7844
34.500000 98.653 -176.4571
35.000000 98.649 -177.1314
35.500000 98.643 -177.7892
36.000000 98.636 -178.4224
36.500000 98.629 -179.0322
37.000000 98.622 -179.6196
37.500000 98.615 179.8113
38.200001 98.607 179.0179
38.700001 98.598 178.4391
39.500000 98.568 177.5461
40.000000 98.547 177.0406
40.599998 98.525 176.4465
41.200001 98.505 175.8073
41.799999 98.475 175.1464
42.500000 98.437 174.4127
43.099998 98.409 173.7896
43.700001 98.380 173.1714
44.400002 98.352 172.5344
45.000000 98.353 171.9859
45.500000 98.360 171.4276
46.200001 98.346 170.6260
46.799999 98.332 170.1736
47.500000 98.382 169.6617
48.200001 98.443 168.5351
48.700001 98.412 167.5150
49.400002 98.264 166.6090
50.000000 98.154 166.5560
50.799999 98.127 166.5610
51.500000 98.113 166.1130
52.200001 98.058 165.6392
53.000000 98.006 165.2177
53.799999 97.963 164.6353
54.500000 97.909 164.1063
55.200001 97.866 163.6440
56.000000 97.833 163.0148
57.000000 97.770 162.1439
58.000000 97.702 161.4744
59.000000 97.653 160.8457
60.000000 97.598 160.1995
60.799999 97.553 159.6881
61.500000 97.509 159.1943
62.200001 97.452 158.7140
63.000000 97.388 158.2363
64.000000 97.319 157.5313
65.000000 97.219 156.8732
66.000000 97.148 156.5346
67.000000 97.123 156.0160
68.000000 97.081 155.3531
69.000000 97.027 154.7212
70.000000 96.956 154.1477
71.000000 96.886 153.7017
72.000000 96.823 153.1831
73.000000 96.742 152.6113
74.000000 96.653 152.1482
75.000000 96.579 151.7083
76.199997 96.491 151.1445
77.500000 96.404 150.6600
78.800003 96.348 150.2075
80.000000 96.299 149.5547
81.199997 96.203 149.0061
82.500000 96.125 148.6236
83.800003 96.036 148.0983
85.000000 95.961 147.7023
86.199997 95.878 147.1505
87.500000 95.772 146.7439
88.500000 95.704 146.4708
90.000000 95.600 146.1197
91.199997 95.527 145.8334
92.500000 95.434 145.4222
93.800003 95.326 144.9857
95.000000 95.224 144.5644
96.199997 95.117 144.0438
97.500000 94.993 143.6735
98.800003 94.919 143.4296
100.000000 94.856 143.0784
101.500000 94.768 142.8181
103.000000 94.660 142.6122
104.400002 94.541 142.5905
106.000000 94.415 142.5368
107.500000 94.310 142.3614
109.000000 94.228 142.0372
110.599998 94.153 141.5584
112.000000 94.078 141.1581
113.800003 93.976 140.8531
115.000000 93.906 140.6724
117.199997 93.756 140.3393
118.000000 93.698 140.2270
120.599998 93.521 139.8758
122.000000 93.430 139.6890
124.099998 93.291 139.5032
125.000000 93.233 139.4501
126.500000 93.136 139.3620
128.000000 93.037 139.2696
131.500000 92.808 139.0831
132.000000 92.776 139.0630
134.000000 92.651 139.0200
136.000000 92.532 139.0062
138.000000 92.414 138.9770
140.000000 92.294 138.9746
143.000000 92.122 138.9938
145.000000 92.013 139.0320
147.500000 91.875 139.1201
150.000000 91.741 139.2673
152.500000 91.607 139.3713
155.000000 91.477 139.5088
157.500000 91.354 139.6597
160.000000 91.230 139.8561
162.500000 91.112 140.0883
165.000000 90.998 140.3081
167.500000 90.885 140.5508
170.000000 90.777 140.7991
172.500000 90.672 141.0368
175.000000 90.569 141.3030
177.500000 90.471 141.5953
180.000000 90.377 141.8973
182.500000 90.285 142.2075
185.000000 90.195 142.5188
187.500000 90.108 142.8322
190.000000 90.026 143.1464
192.500000 89.948 143.4755
195.000000 89.875 143.8091
197.500000 89.804 144.1371
200.000000 89.736 144.4645
203.000000 89.656 144.8668
206.000000 89.581 145.2542
209.000000 89.508 145.6201
212.000000 89.439 145.9908
214.000000 89.396 146.2334
218.000000 89.310 146.7223
220.000000 89.269 146.9763
224.000000 89.190 147.4657
227.000000 89.133 147.8102
230.000000 89.077 148.1640
233.000000 89.026 148.5224
236.000000 88.978 148.8699
240.000000 88.918 149.3301
243.000000 88.876 149.6725
247.000000 88.822 150.1090
250.000000 88.782 150.4339
254.000000 88.732 150.8637
258.000000 88.685 151.2657
262.000000 88.641 151.6400
265.000000 88.610 151.9306
269.000000 88.572 152.3066
272.000000 88.543 152.5686
276.000000 88.505 152.9230
280.000000 88.469 153.2689
285.000000 88.427 153.6703
290.000000 88.386 154.0634
295.000000 88.349 154.4432
300.000000 88.311 154.8052
304.000000 88.283 155.0787
307.000000 88.264 155.2807
311.000000 88.237 155.5406
315.000000 88.209 155.7852
320.000000 88.177 156.0963
325.000000 88.147 156.3857
330.000000 88.117 156.6752
335.000000 88.088 156.9534
340.000000 88.059 157.1973
345.000000 88.029 157.4532
350.000000 88.000 157.7017
355.000000 87.971 157.9266
360.000000 87.943 158.1695
365.000000 87.916 158.3940
370.000000 87.888 158.5952
375.000000 87.860 158.8085
382.000000 87.820 159.0917
387.000000 87.792 159.2836
395.000000 87.747 159.5959
400.000000 87.721 159.7886
406.000000 87.685 160.0198
412.000000 87.650 160.2502
418.000000 87.615 160.4688
425.000000 87.575 160.7061
431.000000 87.542 160.9123
437.000000 87.508 161.1240
444.000000 87.467 161.3610
450.000000 87.432 161.5808
455.000000 87.402 161.7631
462.000000 87.362 162.0031
468.000000 87.328 162.2224
475.000000 87.289 162.4648
482.000000 87.250 162.6883
487.000000 87.222 162.8630
494.000000 87.182 163.1080
500.000000 87.148 163.3139
508.000000 87.101 163.6209
515.000000 87.062 163.8912
522.000000 87.025 164.1580
530.000000 86.980 164.4801
538.000000 86.933 164.7716
545.000000 86.888 165.0028
552.000000 86.844 165.2557
560.000000 86.801 165.5613
570.000000 86.749 165.9502
580.000000 86.696 166.3499
590.000000 86.644 166.7682
600.000000 86.588 167.1904
608.000000 86.546 167.5350
615.000000 86.510 167.8527
622.000000 86.473 168.1741
630.000000 86.433 168.5486
640.000000 86.389 169.0004
650.000000 86.342 169.4566
660.000000 86.297 169.9147
670.000000 86.251 170.3939
680.000000 86.205 170.8725
690.000000 86.155 171.3750
700.000000 86.105 171.9457
710.000000 86.065 172.5037
720.000000 86.027 173.1053
730.000000 85.999 173.7433
740.000000 85.975 174.3269
750.000000 85.952 174.8914
762.000000 85.922 175.5150
775.000000 85.883 176.2659
788.000000 85.846 177.0886
800.000000 85.820 177.8329
812.000000 85.804 178.6176
825.000000 85.791 179.4672
838.000000 85.784 -179.6829
850.000000 85.782 -178.8743
862.000000 85.789 -178.0921
875.000000 85.799 -177.2644
885.000000 85.811 -176.6086
900.000000 85.835 -175.6537
912.000000 85.858 -174.9037
925.000000 85.887 -174.0835
938.000000 85.926 -173.2833
950.000000 85.966 -172.5591
962.000000 86.010 -171.8470
975.000000 86.063 -171.1111
988.000000 86.120 -170.4007
1000.000000 86.176 -169.7722
1015.000000 86.251 -169.0310
1030.000000 86.330 -168.3232
1044.000000 86.405 -167.6913
1060.000000 86.496 -167.0212
1075.000000 86.581 -166.4393
1090.000000 86.668 -165.8976
1106.000000 86.763 -165.3648
1120.000000 86.843 -164.9347
1138.000000 86.945 -164.4296
1150.000000 87.014 -164.1237
1172.000000 87.136 -163.6106
1180.000000 87.179 -163.4371
1206.000000 87.317 -162.9176
1220.000000 87.386 -162.6578
1241.000000 87.484 -162.2818
1250.000000 87.525 -162.1264
1265.000000 87.592 -161.8772
1280.000000 87.656 -161.6367
1315.000000 87.803 -161.0804
1320.000000 87.823 -161.0021
1340.000000 87.902 -160.6881
1360.000000 87.980 -160.3585
1380.000000 88.054 -160.0282
1400.000000 88.127 -159.6897
1430.000000 88.237 -159.1616
1450.000000 88.310 -158.7997
1475.000000 88.404 -158.3334
1500.000000 88.498 -157.8568
1525.000000 88.595 -157.3606
1550.000000 88.696 -156.8591
1575.000000 88.801 -156.3579
1600.000000 88.911 -155.8378
1625.000000 89.024 -155.3270
1650.000000 89.141 -154.8183
1675.000000 89.264 -154.3037
1700.000000 89.391 -153.8085
1725.000000 89.525 -153.3165
1750.000000 89.667 -152.8440
1775.000000 89.815 -152.4051
1800.000000 89.970 -151.9792
1825.000000 90.131 -151.5812
1850.000000 90.297 -151.2238
1875.000000 90.470 -150.8897
1900.000000 90.648 -150.6000
1925.000000 90.832 -150.3675
1950.000000 91.023 -150.1786
1975.000000 91.222 -150.0542
2000.000000 91.426 -150.0119
2030.000000 91.679 -150.0500
2060.000000 91.937 -150.2101
2090.000000 92.201 -150.5298
2120.000000 92.467 -150.9993
2140.000000 92.645 -151.4123
2180.000000 92.992 -152.5269
2200.000000 93.159 -153.2236
2240.000000 93.468 -154.9109
2270.000000 93.667 -156.4310
2300.000000 93.826 -158.1132
2330.000000 93.938 -159.9021
2360.000000 93.995 -161.7233
2400.000000 93.988 -163.9788
2430.000000 93.928 -165.4086
2470.000000 93.804 -166.8132
2500.000000 93.704 -167.4360
2540.000000 93.597 -167.7947
2580.000000 93.546 -167.8244
2620.000000 93.557 -167.7598
2650.000000 93.597 -167.7889
2690.000000 93.678 -168.0191
2720.000000 93.747 -168.3466
2760.000000 93.834 -168.9938
2800.000000 93.903 -169.8293
2850.000000 93.954 -171.0322
2900.000000 93.962 -172.3206
2950.000000 93.926 -173.5558
3000.000000 93.855 -174.6719
3040.000000 93.779 -175.4322
3070.000000 93.713 -175.9006
3110.000000 93.619 -176.3966
3150.000000 93.522 -176.7462
3200.000000 93.401 -176.9487
3250.000000 93.290 -176.9259
3300.000000 93.197 -176.6951
3350.000000 93.125 -176.2698
3400.000000 93.083 -175.6984
3450.000000 93.076 -175.0081
3500.000000 93.110 -174.2400
3550.000000 93.193 -173.4702
3600.000000 93.332 -172.7697
3650.000000 93.532 -172.2746
3700.000000 93.794 -172.1856
3750.000000 94.102 -172.7517
3820.000000 94.511 -175.1926
3870.000000 94.638 -178.1714
3950.000000 94.297 177.9026
4000.000000 94.130 177.9808
4060.000000 94.188 176.2198
4120.000000 93.854 173.3722
4180.000000 93.268 172.8058
4250.000000 92.699 174.6849
4310.000000 92.426 177.3097
4370.000000 92.334 -179.8736
4440.000000 92.405 -176.7670
4500.000000 92.583 -174.4356
4550.000000 92.795 -172.7737
4620.000000 93.168 -170.9041
4680.000000 93.549 -169.7720
4750.000000 94.050 -169.0711
4820.000000 94.591 -169.1329
4870.000000 94.985 -169.7148
4940.000000 95.511 -171.3286
5000.000000 95.894 -173.3679
5080.000000 96.256 -176.5392
5150.000000 96.463 -179.1005
5220.000000 96.674 178.7441
5300.000000 96.996 175.9974
5380.000000 97.312 172.0928
5450.000000 97.458 167.8114
5520.000000 97.425 163.2531
5600.000000 97.175 158.3877
5700.000000 96.628 153.5902
5800.000000 95.954 150.5412
5900.000000 95.262 149.1743
6000.000000 94.627 149.2128
