* Measurement data measured by REW V5.30.9
* Source: External Mic (Realtek(R) Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: 23/02/2024 1:25:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiR Audio Xenon 6 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 93.515 -148.2472
20.299999 93.547 -148.8976
20.600000 93.578 -149.5494
20.900000 93.604 -150.2014
21.200001 93.627 -150.8476
21.400000 93.639 -151.2698
21.799999 93.658 -152.0756
22.000000 93.666 -152.4525
22.400000 93.682 -153.1491
22.700001 93.699 -153.6329
23.000000 93.721 -154.1054
23.299999 93.747 -154.5890
23.600000 93.775 -155.0987
24.000000 93.809 -155.8162
24.299999 93.828 -156.3605
24.700001 93.845 -157.0508
25.000000 93.856 -157.5235
25.400000 93.876 -158.1032
25.799999 93.906 -158.6728
26.200001 93.941 -159.2867
26.500000 93.966 -159.7878
26.900000 93.991 -160.4892
27.200001 94.001 -161.0119
27.600000 94.008 -161.6680
28.000000 94.012 -162.2636
28.500000 94.021 -162.9466
29.000000 94.035 -163.6072
29.500000 94.049 -164.2664
30.000000 94.062 -164.9133
30.400000 94.072 -165.4130
30.700001 94.080 -165.7776
31.100000 94.090 -166.2558
31.500000 94.101 -166.7316
32.000000 94.112 -167.3248
32.500000 94.118 -167.9034
33.000000 94.121 -168.4486
33.500000 94.124 -168.9616
34.000000 94.128 -169.4664
34.500000 94.131 -169.9812
35.000000 94.130 -170.4962
35.500000 94.127 -170.9965
36.000000 94.128 -171.4973
36.500000 94.129 -172.0331
37.000000 94.125 -172.6016
37.500000 94.111 -173.1426
38.200001 94.095 -173.7554
38.700001 94.103 -174.1450
39.500000 94.139 -174.9346
40.000000 94.150 -175.5287
40.599998 94.140 -176.1652
41.200001 94.130 -176.6293
41.799999 94.136 -177.0535
42.500000 94.135 -177.6521
43.099998 94.105 -178.1116
43.700001 94.073 -178.4205
44.400002 94.055 -178.8187
45.000000 94.027 -179.2958
45.500000 93.991 -179.6714
46.200001 93.969 179.7414
46.799999 93.959 178.7471
47.500000 93.813 177.2549
48.200001 93.535 176.9135
48.700001 93.430 177.6764
49.400002 93.563 178.6192
50.000000 93.776 178.1008
50.799999 93.891 176.3724
51.500000 93.874 175.3098
52.200001 93.874 174.7708
53.000000 93.899 174.2988
53.799999 93.929 173.8654
54.500000 93.950 173.3801
55.200001 93.931 172.8412
56.000000 93.876 172.4240
57.000000 93.828 172.0106
58.000000 93.780 171.3936
59.000000 93.729 170.7783
60.000000 93.701 170.1301
60.799999 93.680 169.5720
61.500000 93.660 169.1478
62.200001 93.647 168.7669
63.000000 93.629 168.2983
64.000000 93.575 167.8389
65.000000 93.537 167.5880
66.000000 93.510 167.0779
67.000000 93.439 166.5350
68.000000 93.388 166.2234
69.000000 93.381 165.7239
70.000000 93.361 165.0404
71.000000 93.327 164.4857
72.000000 93.300 164.1263
73.000000 93.297 163.8553
74.000000 93.306 163.4583
75.000000 93.294 162.9332
76.199997 93.261 162.2974
77.500000 93.202 161.4880
78.800003 93.120 160.9109
80.000000 93.085 160.4465
81.199997 93.042 159.8235
82.500000 92.974 159.3066
83.800003 92.918 158.9744
85.000000 92.883 158.6104
86.199997 92.842 158.1189
87.500000 92.785 157.5746
88.500000 92.740 157.2047
90.000000 92.687 156.6645
91.199997 92.648 156.1783
92.500000 92.600 155.6483
93.800003 92.547 155.1351
95.000000 92.492 154.6964
96.199997 92.437 154.3092
97.500000 92.380 153.9130
98.800003 92.326 153.5574
100.000000 92.287 153.2089
101.500000 92.231 152.6240
103.000000 92.156 152.0935
104.400002 92.091 151.6857
106.000000 92.025 151.2316
107.500000 91.966 150.7823
109.000000 91.904 150.3110
110.599998 91.834 149.8096
112.000000 91.770 149.3685
113.800003 91.686 148.8320
115.000000 91.630 148.5043
117.199997 91.531 147.9551
118.000000 91.494 147.7632
120.599998 91.372 147.1888
122.000000 91.307 146.8976
124.099998 91.214 146.4527
125.000000 91.176 146.2555
126.500000 91.110 145.9133
128.000000 91.042 145.5736
131.500000 90.873 144.8667
132.000000 90.848 144.7737
134.000000 90.748 144.4073
136.000000 90.644 144.0726
138.000000 90.542 143.7536
140.000000 90.441 143.4198
143.000000 90.302 142.9512
145.000000 90.222 142.7478
147.500000 90.135 142.6351
150.000000 90.041 142.4679
152.500000 89.936 142.2500
155.000000 89.861 141.8198
157.500000 89.784 141.3232
160.000000 89.694 140.9384
162.500000 89.582 140.6049
165.000000 89.469 140.2709
167.500000 89.362 139.9491
170.000000 89.256 139.7053
172.500000 89.148 139.5008
175.000000 89.040 139.2897
177.500000 88.934 139.0886
180.000000 88.831 138.9166
182.500000 88.729 138.7627
185.000000 88.627 138.6233
187.500000 88.526 138.4912
190.000000 88.425 138.3757
192.500000 88.327 138.2896
195.000000 88.232 138.2073
197.500000 88.138 138.1471
200.000000 88.043 138.0876
203.000000 87.930 138.0164
206.000000 87.821 137.9607
209.000000 87.715 137.9153
212.000000 87.608 137.8921
214.000000 87.537 137.8866
218.000000 87.398 137.8943
220.000000 87.331 137.9062
224.000000 87.201 137.9428
227.000000 87.105 137.9824
230.000000 87.009 138.0209
233.000000 86.913 138.0709
236.000000 86.821 138.1386
240.000000 86.702 138.2351
243.000000 86.614 138.3091
247.000000 86.500 138.4214
250.000000 86.416 138.5190
254.000000 86.305 138.6645
258.000000 86.196 138.8254
262.000000 86.091 138.9879
265.000000 86.014 139.0962
269.000000 85.914 139.2599
272.000000 85.840 139.3922
276.000000 85.743 139.5700
280.000000 85.647 139.7805
285.000000 85.530 140.0507
290.000000 85.419 140.3179
295.000000 85.312 140.6138
300.000000 85.210 140.9088
304.000000 85.130 141.1465
307.000000 85.073 141.3301
311.000000 85.001 141.5837
315.000000 84.933 141.8358
320.000000 84.852 142.1427
325.000000 84.778 142.4352
330.000000 84.704 142.6903
335.000000 84.633 142.9271
340.000000 84.564 143.1541
345.000000 84.495 143.3502
350.000000 84.424 143.5428
355.000000 84.353 143.7407
360.000000 84.282 143.9252
365.000000 84.209 144.1302
370.000000 84.136 144.3405
375.000000 84.065 144.5341
382.000000 83.968 144.8322
387.000000 83.901 145.0422
395.000000 83.794 145.3828
400.000000 83.728 145.6089
406.000000 83.652 145.8820
412.000000 83.576 146.1528
418.000000 83.502 146.4238
425.000000 83.419 146.7464
431.000000 83.347 147.0131
437.000000 83.276 147.2909
444.000000 83.194 147.6073
450.000000 83.125 147.8651
455.000000 83.070 148.0914
462.000000 82.994 148.4120
468.000000 82.929 148.6683
475.000000 82.854 148.9879
482.000000 82.781 149.3094
487.000000 82.729 149.5330
494.000000 82.658 149.8650
500.000000 82.598 150.1519
508.000000 82.521 150.5142
515.000000 82.453 150.8508
522.000000 82.385 151.1942
530.000000 82.308 151.5669
538.000000 82.232 151.9819
545.000000 82.167 152.3347
552.000000 82.105 152.6559
560.000000 82.032 153.0505
570.000000 81.944 153.5775
580.000000 81.860 154.0850
590.000000 81.776 154.6022
600.000000 81.696 155.1418
608.000000 81.630 155.5800
615.000000 81.575 155.9669
622.000000 81.524 156.3555
630.000000 81.463 156.8051
640.000000 81.387 157.3740
650.000000 81.318 157.9445
660.000000 81.250 158.5217
670.000000 81.184 159.1213
680.000000 81.121 159.7182
690.000000 81.058 160.3144
700.000000 80.997 160.9354
710.000000 80.938 161.5414
720.000000 80.880 162.1340
730.000000 80.822 162.7431
740.000000 80.764 163.3623
750.000000 80.707 163.9786
762.000000 80.632 164.7852
775.000000 80.552 165.7942
788.000000 80.493 166.9246
800.000000 80.463 167.9569
812.000000 80.445 168.8896
825.000000 80.430 169.8695
838.000000 80.418 170.8334
850.000000 80.411 171.7050
862.000000 80.407 172.6072
875.000000 80.410 173.5848
885.000000 80.422 174.3267
900.000000 80.456 175.4491
912.000000 80.497 176.2560
925.000000 80.545 176.9757
938.000000 80.578 177.5935
950.000000 80.596 178.1604
962.000000 80.609 178.7962
975.000000 80.629 179.5623
988.000000 80.657 -179.6476
1000.000000 80.691 -178.9267
1015.000000 80.739 -178.0602
1030.000000 80.796 -177.2560
1044.000000 80.856 -176.5488
1060.000000 80.927 -175.7708
1075.000000 80.996 -175.1025
1090.000000 81.068 -174.4858
1106.000000 81.143 -173.8626
1120.000000 81.210 -173.3597
1138.000000 81.297 -172.7673
1150.000000 81.352 -172.3884
1172.000000 81.451 -171.7388
1180.000000 81.487 -171.5157
1206.000000 81.598 -170.8306
1220.000000 81.656 -170.4860
1241.000000 81.739 -169.9966
1250.000000 81.773 -169.7962
1265.000000 81.830 -169.4764
1280.000000 81.886 -169.1672
1315.000000 82.005 -168.4278
1320.000000 82.022 -168.3207
1340.000000 82.088 -167.8955
1360.000000 82.151 -167.4772
1380.000000 82.215 -167.0513
1400.000000 82.277 -166.6215
1430.000000 82.370 -165.9737
1450.000000 82.435 -165.5328
1475.000000 82.513 -164.9888
1500.000000 82.595 -164.4389
1525.000000 82.677 -163.8799
1550.000000 82.762 -163.3138
1575.000000 82.853 -162.7455
1600.000000 82.944 -162.1949
1625.000000 83.039 -161.6298
1650.000000 83.137 -161.0738
1675.000000 83.239 -160.5431
1700.000000 83.346 -160.0185
1725.000000 83.456 -159.5147
1750.000000 83.568 -159.0285
1775.000000 83.684 -158.5482
1800.000000 83.801 -158.0980
1825.000000 83.920 -157.6653
1850.000000 84.041 -157.2413
1875.000000 84.163 -156.8363
1900.000000 84.286 -156.4224
1925.000000 84.413 -155.9856
1950.000000 84.546 -155.5379
1975.000000 84.692 -155.0683
2000.000000 84.861 -154.6076
2030.000000 85.091 -154.2331
2060.000000 85.332 -154.1582
2090.000000 85.557 -154.3474
2120.000000 85.751 -154.6988
2140.000000 85.865 -154.9557
2180.000000 86.065 -155.4345
2200.000000 86.156 -155.6526
2240.000000 86.326 -156.0076
2270.000000 86.448 -156.1951
2300.000000 86.572 -156.3241
2330.000000 86.706 -156.3763
2360.000000 86.858 -156.3989
2400.000000 87.098 -156.5522
2430.000000 87.297 -156.8656
2470.000000 87.559 -157.6365
2500.000000 87.736 -158.4372
2540.000000 87.940 -159.6638
2580.000000 88.108 -161.0136
2620.000000 88.242 -162.4550
2650.000000 88.319 -163.5624
2690.000000 88.393 -165.0734
2720.000000 88.424 -166.2225
2760.000000 88.433 -167.7228
2800.000000 88.403 -169.1519
2850.000000 88.315 -170.7407
2900.000000 88.184 -171.9542
2950.000000 88.037 -172.7430
3000.000000 87.903 -173.0946
3040.000000 87.820 -173.1720
3070.000000 87.774 -173.1935
3110.000000 87.727 -173.2048
3150.000000 87.686 -173.2027
3200.000000 87.639 -173.1604
3250.000000 87.594 -172.9823
3300.000000 87.558 -172.6424
3350.000000 87.545 -172.1407
3400.000000 87.566 -171.4524
3450.000000 87.638 -170.6640
3500.000000 87.770 -169.8688
3550.000000 87.971 -169.1884
3600.000000 88.245 -168.8405
3650.000000 88.585 -169.0144
3700.000000 88.971 -169.9610
3750.000000 89.361 -172.0124
3820.000000 89.736 -176.9854
3870.000000 89.714 178.3280
3950.000000 88.904 171.9863
4000.000000 88.118 172.1272
4060.000000 87.808 175.8646
4120.000000 87.989 175.6477
4180.000000 87.827 173.4769
4250.000000 87.257 172.3870
4310.000000 86.726 173.8519
4370.000000 86.384 176.6762
4440.000000 86.246 -179.6715
4500.000000 86.296 -176.7510
4550.000000 86.427 -174.6119
4620.000000 86.706 -172.1843
4680.000000 87.002 -170.6771
4750.000000 87.370 -169.6241
4820.000000 87.713 -169.2393
4870.000000 87.916 -169.1615
4940.000000 88.147 -168.8654
5000.000000 88.359 -168.1319
5080.000000 88.798 -166.6969
5150.000000 89.374 -165.9319
5220.000000 90.059 -166.4146
5300.000000 90.832 -168.7190
5380.000000 91.472 -172.6164
5450.000000 91.861 -176.9054
5520.000000 92.063 178.4632
5600.000000 92.075 173.2887
5700.000000 91.825 167.7281
5800.000000 91.386 163.7041
5900.000000 90.878 161.2918
6000.000000 90.389 160.3328
