* Measurement data measured by REW V5.30.9
* Source: External Mic (Realtek(R) Audio), MICROPHONE (Master Volume), R, volume: 0.500
* Format: 256k Log Swept Sine, 1 sweep at -13.0 dBFS with no timing reference
* Dated: 23/02/2024 1:26:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiR Audio Xenon 6 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 94.256 -151.4072
20.299999 94.280 -152.0077
20.600000 94.304 -152.6103
20.900000 94.327 -153.2158
21.200001 94.348 -153.8214
21.400000 94.361 -154.2226
21.799999 94.384 -155.0113
22.000000 94.395 -155.3956
22.400000 94.415 -156.1401
22.700001 94.432 -156.6798
23.000000 94.450 -157.2101
23.299999 94.470 -157.7387
23.600000 94.491 -158.2719
24.000000 94.518 -158.9921
24.299999 94.535 -159.5325
24.700001 94.554 -160.2365
25.000000 94.565 -160.7412
25.400000 94.579 -161.3757
25.799999 94.594 -161.9723
26.200001 94.611 -162.5465
26.500000 94.624 -162.9710
26.900000 94.641 -163.5334
27.200001 94.651 -163.9507
27.600000 94.662 -164.4948
28.000000 94.671 -165.0201
28.500000 94.680 -165.6514
29.000000 94.689 -166.2674
29.500000 94.698 -166.8852
30.000000 94.707 -167.5201
30.400000 94.713 -168.0474
30.700001 94.716 -168.4543
31.100000 94.716 -169.0046
31.500000 94.711 -169.5480
32.000000 94.702 -170.1890
32.500000 94.695 -170.7763
33.000000 94.696 -171.3344
33.500000 94.703 -171.8997
34.000000 94.711 -172.4803
34.500000 94.715 -173.0515
35.000000 94.718 -173.5889
35.500000 94.720 -174.0922
36.000000 94.721 -174.5736
36.500000 94.719 -175.0347
37.000000 94.715 -175.4694
37.500000 94.711 -175.8864
38.200001 94.705 -176.4978
38.700001 94.697 -176.9802
39.500000 94.669 -177.7710
40.000000 94.650 -178.2397
40.599998 94.637 -178.8209
41.200001 94.628 -179.4840
41.799999 94.611 179.8311
42.500000 94.593 179.1591
43.099998 94.599 178.6529
43.700001 94.614 178.1266
44.400002 94.624 177.6269
45.000000 94.648 177.3727
45.500000 94.687 177.1339
46.200001 94.715 176.6855
46.799999 94.696 176.6074
47.500000 94.746 177.0200
48.200001 94.927 176.7598
48.700001 95.015 175.7065
49.400002 94.928 173.9024
50.000000 94.724 173.1517
50.799999 94.550 173.2301
51.500000 94.517 173.0065
52.200001 94.461 172.3439
53.000000 94.382 171.7261
53.799999 94.348 171.1107
54.500000 94.314 170.4701
55.200001 94.274 170.0056
56.000000 94.262 169.6435
57.000000 94.263 169.0814
58.000000 94.237 168.5731
59.000000 94.209 168.1198
60.000000 94.162 167.5869
60.799999 94.113 167.1986
61.500000 94.077 166.9220
62.200001 94.062 166.6147
63.000000 94.053 166.1403
64.000000 94.032 165.6138
65.000000 94.053 165.2936
66.000000 94.107 164.7236
67.000000 94.111 163.9414
68.000000 94.058 163.3953
69.000000 94.009 163.1474
70.000000 93.983 162.7397
71.000000 93.920 162.0979
72.000000 93.832 161.6164
73.000000 93.776 161.2593
74.000000 93.753 160.7453
75.000000 93.727 160.0524
76.199997 93.675 159.3080
77.500000 93.622 158.6481
78.800003 93.564 158.0999
80.000000 93.517 157.5913
81.199997 93.452 157.0405
82.500000 93.387 156.5281
83.800003 93.332 155.9331
85.000000 93.278 155.3906
86.199997 93.231 154.9115
87.500000 93.180 154.3622
88.500000 93.130 153.9766
90.000000 93.043 153.4997
91.199997 92.973 153.2197
92.500000 92.916 152.9589
93.800003 92.882 152.5975
95.000000 92.856 152.1432
96.199997 92.827 151.6354
97.500000 92.782 151.0544
98.800003 92.718 150.5558
100.000000 92.653 150.1945
101.500000 92.580 149.7732
103.000000 92.508 149.2736
104.400002 92.443 148.7745
106.000000 92.370 148.1785
107.500000 92.299 147.6729
109.000000 92.229 147.2090
110.599998 92.151 146.7732
112.000000 92.085 146.3984
113.800003 92.001 145.9025
115.000000 91.942 145.5725
117.199997 91.833 145.0313
118.000000 91.794 144.8380
120.599998 91.664 144.1897
122.000000 91.595 143.8349
124.099998 91.497 143.3531
125.000000 91.457 143.1693
126.500000 91.390 142.8831
128.000000 91.319 142.6102
131.500000 91.141 141.9067
132.000000 91.116 141.7916
134.000000 91.019 141.3295
136.000000 90.925 140.9551
138.000000 90.832 140.6885
140.000000 90.738 140.4379
143.000000 90.595 139.9425
145.000000 90.500 139.5658
147.500000 90.381 139.1430
150.000000 90.254 138.7994
152.500000 90.132 138.5189
155.000000 90.020 138.1940
157.500000 89.906 137.8818
160.000000 89.791 137.6033
162.500000 89.678 137.3277
165.000000 89.567 137.0710
167.500000 89.455 136.8558
170.000000 89.343 136.6544
172.500000 89.230 136.4410
175.000000 89.119 136.2544
177.500000 89.009 136.1062
180.000000 88.899 135.9745
182.500000 88.789 135.8425
185.000000 88.681 135.7168
187.500000 88.576 135.6024
190.000000 88.473 135.5084
192.500000 88.371 135.4364
195.000000 88.271 135.3685
197.500000 88.172 135.3123
200.000000 88.073 135.2737
203.000000 87.957 135.2469
206.000000 87.843 135.2209
209.000000 87.729 135.2030
212.000000 87.617 135.2050
214.000000 87.544 135.2179
218.000000 87.399 135.2621
220.000000 87.328 135.2945
224.000000 87.191 135.3447
227.000000 87.090 135.3897
230.000000 86.988 135.4564
233.000000 86.888 135.5388
236.000000 86.792 135.6266
240.000000 86.666 135.7471
243.000000 86.573 135.8437
247.000000 86.452 135.9993
250.000000 86.363 136.1241
254.000000 86.246 136.2928
258.000000 86.133 136.4653
262.000000 86.021 136.6613
265.000000 85.939 136.8162
269.000000 85.834 137.0075
272.000000 85.758 137.1502
276.000000 85.658 137.3671
280.000000 85.560 137.5977
285.000000 85.441 137.8818
290.000000 85.324 138.1724
295.000000 85.210 138.4752
300.000000 85.100 138.7924
304.000000 85.018 139.0365
307.000000 84.957 139.2161
311.000000 84.875 139.4678
315.000000 84.796 139.7311
320.000000 84.701 140.0585
325.000000 84.608 140.3707
330.000000 84.519 140.7042
335.000000 84.433 141.0351
340.000000 84.350 141.3625
345.000000 84.271 141.7078
350.000000 84.196 142.0352
355.000000 84.124 142.3568
360.000000 84.054 142.6835
365.000000 83.991 142.9897
370.000000 83.929 143.2688
375.000000 83.866 143.5347
382.000000 83.780 143.8854
387.000000 83.718 144.1213
395.000000 83.620 144.4826
400.000000 83.559 144.6950
406.000000 83.482 144.9671
412.000000 83.407 145.2552
418.000000 83.332 145.5337
425.000000 83.246 145.8729
431.000000 83.174 146.1754
437.000000 83.101 146.4611
444.000000 83.018 146.7961
450.000000 82.950 147.0991
455.000000 82.894 147.3412
462.000000 82.815 147.6841
468.000000 82.749 147.9936
475.000000 82.673 148.3440
482.000000 82.596 148.7019
487.000000 82.542 148.9671
494.000000 82.469 149.3300
500.000000 82.407 149.6403
508.000000 82.326 150.0609
515.000000 82.258 150.4247
522.000000 82.192 150.7909
530.000000 82.115 151.2293
538.000000 82.040 151.6562
545.000000 81.974 152.0320
552.000000 81.910 152.4109
560.000000 81.841 152.8474
570.000000 81.755 153.4068
580.000000 81.669 153.9670
590.000000 81.586 154.5439
600.000000 81.502 155.1346
608.000000 81.439 155.6033
615.000000 81.384 156.0116
622.000000 81.330 156.4199
630.000000 81.272 156.9032
640.000000 81.202 157.5192
650.000000 81.131 158.1344
660.000000 81.065 158.7700
670.000000 81.001 159.4057
680.000000 80.939 160.0432
690.000000 80.882 160.6920
700.000000 80.828 161.3458
710.000000 80.778 162.0079
720.000000 80.734 162.6587
730.000000 80.692 163.2475
740.000000 80.644 163.7601
750.000000 80.580 164.2645
762.000000 80.485 165.0234
775.000000 80.396 166.1182
788.000000 80.338 167.2862
800.000000 80.301 168.2922
812.000000 80.273 169.2580
825.000000 80.251 170.2579
838.000000 80.234 171.2482
850.000000 80.222 172.1662
862.000000 80.215 173.0631
875.000000 80.214 174.0400
885.000000 80.217 174.7887
900.000000 80.228 175.8885
912.000000 80.240 176.7736
925.000000 80.259 177.7110
938.000000 80.284 178.6217
950.000000 80.311 179.4587
962.000000 80.343 -179.7186
975.000000 80.386 -178.8658
988.000000 80.432 -178.0427
1000.000000 80.477 -177.3107
1015.000000 80.541 -176.4385
1030.000000 80.606 -175.5989
1044.000000 80.670 -174.8512
1060.000000 80.748 -174.0572
1075.000000 80.820 -173.3547
1090.000000 80.893 -172.6917
1106.000000 80.974 -172.0133
1120.000000 81.043 -171.4592
1138.000000 81.134 -170.8050
1150.000000 81.193 -170.3944
1172.000000 81.299 -169.6866
1180.000000 81.337 -169.4366
1206.000000 81.456 -168.6557
1220.000000 81.516 -168.2610
1241.000000 81.606 -167.7061
1250.000000 81.644 -167.4759
1265.000000 81.705 -167.0947
1280.000000 81.764 -166.7159
1315.000000 81.893 -165.8318
1320.000000 81.911 -165.7060
1340.000000 81.983 -165.2054
1360.000000 82.054 -164.7086
1380.000000 82.122 -164.2095
1400.000000 82.193 -163.6922
1430.000000 82.300 -162.9091
1450.000000 82.371 -162.3860
1475.000000 82.463 -161.7177
1500.000000 82.554 -161.0331
1525.000000 82.652 -160.3365
1550.000000 82.754 -159.6546
1575.000000 82.860 -158.9694
1600.000000 82.972 -158.2789
1625.000000 83.088 -157.6049
1650.000000 83.211 -156.9198
1675.000000 83.338 -156.2474
1700.000000 83.470 -155.6024
1725.000000 83.609 -154.9597
1750.000000 83.753 -154.3483
1775.000000 83.903 -153.7646
1800.000000 84.060 -153.1941
1825.000000 84.222 -152.6630
1850.000000 84.389 -152.1677
1875.000000 84.562 -151.6881
1900.000000 84.742 -151.2611
1925.000000 84.926 -150.8732
1950.000000 85.116 -150.4999
1975.000000 85.315 -150.1601
2000.000000 85.523 -149.8690
2030.000000 85.793 -149.5870
2060.000000 86.083 -149.4813
2090.000000 86.386 -149.6498
2120.000000 86.684 -150.0849
2140.000000 86.873 -150.5178
2180.000000 87.224 -151.6417
2200.000000 87.385 -152.2912
2240.000000 87.675 -153.7709
2270.000000 87.860 -155.0149
2300.000000 88.014 -156.3129
2330.000000 88.135 -157.6390
2360.000000 88.224 -158.9296
2400.000000 88.305 -160.4677
2430.000000 88.348 -161.4993
2470.000000 88.395 -162.7273
2500.000000 88.424 -163.5391
2540.000000 88.463 -164.5409
2580.000000 88.507 -165.4651
2620.000000 88.556 -166.3830
2650.000000 88.593 -167.1330
2690.000000 88.632 -168.2055
2720.000000 88.649 -169.0538
2760.000000 88.650 -170.2430
2800.000000 88.622 -171.4145
2850.000000 88.545 -172.7667
2900.000000 88.426 -173.8998
2950.000000 88.278 -174.6767
3000.000000 88.126 -175.0706
3040.000000 88.018 -175.1074
3070.000000 87.955 -175.0154
3110.000000 87.896 -174.8350
3150.000000 87.858 -174.6662
3200.000000 87.820 -174.4739
3250.000000 87.782 -174.2207
3300.000000 87.751 -173.7807
3350.000000 87.744 -173.1313
3400.000000 87.780 -172.3314
3450.000000 87.869 -171.4215
3500.000000 88.028 -170.5100
3550.000000 88.270 -169.7654
3600.000000 88.597 -169.3876
3650.000000 89.002 -169.6929
3700.000000 89.450 -171.0075
3750.000000 89.875 -173.5460
3820.000000 90.244 -179.2312
3870.000000 90.206 175.7692
3950.000000 89.492 168.7805
4000.000000 88.745 166.8724
4060.000000 87.986 167.9821
4120.000000 87.640 169.0224
4180.000000 87.191 169.1624
4250.000000 86.614 171.6732
4310.000000 86.332 174.9815
4370.000000 86.253 178.3624
4440.000000 86.348 -178.0628
4500.000000 86.548 -175.4631
4550.000000 86.777 -173.6698
4620.000000 87.165 -171.7895
4680.000000 87.538 -170.8238
4750.000000 87.980 -170.4716
4820.000000 88.374 -170.8406
4870.000000 88.603 -171.3495
4940.000000 88.856 -171.9306
5000.000000 89.068 -171.9797
5080.000000 89.482 -171.6969
5150.000000 89.998 -172.0300
5220.000000 90.571 -173.5953
5300.000000 91.154 -176.9721
5380.000000 91.547 178.4794
5450.000000 91.694 174.1170
5520.000000 91.666 169.8742
5600.000000 91.458 165.6353
5700.000000 91.022 161.6846
5800.000000 90.511 159.3354
5900.000000 90.012 158.4575
6000.000000 89.591 158.7563
