* Measurement data measured by REW V5.30.8
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: 16/02/2024 11:58:58 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiiO FH-9 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 84.279 64.5561
20.299999 84.260 63.9651
20.600000 84.250 63.8265
20.900000 84.301 64.0373
21.200001 84.448 64.2923
21.400000 84.596 64.2954
21.799999 84.945 63.4191
22.000000 85.103 62.5085
22.400000 85.297 60.0472
22.700001 85.298 58.1103
23.000000 85.187 56.5900
23.299999 85.016 55.8412
23.600000 84.867 55.9722
24.000000 84.839 57.0192
24.299999 84.975 57.7360
24.700001 85.269 57.7218
25.000000 85.469 56.8954
25.400000 85.603 55.2209
25.799999 85.578 53.7267
26.200001 85.492 53.0255
26.500000 85.468 52.9812
26.900000 85.550 53.0089
27.200001 85.674 52.6730
27.600000 85.834 51.5090
28.000000 85.902 49.8054
28.500000 85.833 47.7853
29.000000 85.707 46.5519
29.500000 85.666 45.8541
30.000000 85.720 44.9342
30.400000 85.771 43.8291
30.700001 85.787 42.8840
31.100000 85.779 41.6707
31.500000 85.760 40.6532
32.000000 85.761 39.6342
32.500000 85.797 38.7058
33.000000 85.846 37.7693
33.500000 85.890 36.9010
34.000000 85.933 36.2005
34.500000 85.987 35.6828
35.000000 86.061 35.2759
35.500000 86.156 34.8502
36.000000 86.253 34.2780
36.500000 86.322 33.5571
37.000000 86.338 32.8849
37.500000 86.319 32.5396
38.200001 86.342 32.6586
38.700001 86.441 32.6901
39.500000 86.626 31.8422
40.000000 86.679 31.0364
40.599998 86.710 30.3543
41.200001 86.804 29.8276
41.799999 86.954 28.7335
42.500000 87.022 26.5627
43.099998 86.907 24.8606
43.700001 86.721 24.1121
44.400002 86.596 24.1793
45.000000 86.577 24.2341
45.500000 86.570 24.1498
46.200001 86.572 24.1470
46.799999 86.644 24.0567
47.500000 86.758 23.1343
48.200001 86.739 21.6702
48.700001 86.648 21.0090
49.400002 86.564 20.9077
50.000000 86.609 20.9067
50.799999 86.711 20.2335
51.500000 86.752 19.4591
52.200001 86.777 18.9420
53.000000 86.839 18.7487
53.799999 87.018 18.4608
54.500000 87.199 17.1198
55.200001 87.177 15.0309
56.000000 86.879 13.8620
57.000000 86.647 15.0261
58.000000 86.690 15.5370
59.000000 86.672 15.5242
60.000000 86.741 15.6621
60.799999 86.818 15.1411
61.500000 86.830 14.6272
62.200001 86.851 14.4027
63.000000 86.941 14.0470
64.000000 87.026 12.9554
65.000000 87.023 11.8887
66.000000 86.991 11.0383
67.000000 86.938 10.3200
68.000000 86.870 9.7174
69.000000 86.816 9.4759
70.000000 86.859 9.0563
71.000000 86.864 7.9633
72.000000 86.787 7.2653
73.000000 86.755 7.1133
74.000000 86.776 6.9675
75.000000 86.813 6.6025
76.199997 86.804 5.9716
77.500000 86.766 5.6374
78.800003 86.799 5.3330
80.000000 86.861 4.5691
81.199997 86.877 3.6686
82.500000 86.859 3.2142
83.800003 86.870 3.3735
85.000000 86.928 3.5192
86.199997 86.959 3.0256
87.500000 86.853 2.2850
88.500000 86.775 2.0593
90.000000 86.724 1.0316
91.199997 86.675 0.4966
92.500000 86.756 -0.0840
93.800003 86.774 -0.8571
95.000000 86.784 -0.7903
96.199997 86.820 -0.8163
97.500000 86.807 -1.2123
98.800003 86.704 -1.7687
100.000000 86.599 -1.7397
101.500000 86.651 -2.0270
103.000000 86.692 -3.4309
104.400002 86.648 -4.3761
106.000000 86.644 -4.7369
107.500000 86.651 -5.1545
109.000000 86.667 -5.2008
110.599998 86.762 -5.5594
112.000000 86.784 -6.4516
113.800003 86.703 -7.0252
115.000000 86.661 -7.1146
117.199997 86.626 -7.3793
118.000000 86.618 -7.6194
120.599998 86.572 -8.2843
122.000000 86.580 -8.5574
124.099998 86.577 -9.0327
125.000000 86.580 -9.1124
126.500000 86.605 -9.3950
128.000000 86.606 -9.9854
131.500000 86.495 -10.7269
132.000000 86.490 -10.7749
134.000000 86.484 -11.2017
136.000000 86.467 -11.8377
138.000000 86.443 -12.5224
140.000000 86.415 -13.0873
143.000000 86.382 -13.5616
145.000000 86.361 -13.7666
147.500000 86.306 -14.2597
150.000000 86.218 -14.7065
152.500000 86.202 -15.0947
155.000000 86.214 -15.7313
157.500000 86.221 -16.2057
160.000000 86.210 -16.8182
162.500000 86.184 -17.3987
165.000000 86.155 -17.8859
167.500000 86.117 -18.3483
170.000000 86.068 -18.8016
172.500000 86.018 -19.1743
175.000000 85.992 -19.5173
177.500000 85.964 -20.0647
180.000000 85.916 -20.7067
182.500000 85.870 -21.1365
185.000000 85.849 -21.4321
187.500000 85.811 -21.7444
190.000000 85.747 -22.0062
192.500000 85.676 -22.3137
195.000000 85.616 -22.5635
197.500000 85.573 -22.7794
200.000000 85.538 -23.0548
203.000000 85.516 -23.4327
206.000000 85.515 -23.7250
209.000000 85.494 -23.7629
212.000000 85.476 -23.6657
214.000000 85.480 -23.8600
218.000000 85.497 -24.6040
220.000000 85.507 -25.0076
224.000000 85.502 -25.6666
227.000000 85.488 -26.0878
230.000000 85.462 -26.4982
233.000000 85.435 -26.9210
236.000000 85.406 -27.3700
240.000000 85.362 -27.9331
243.000000 85.321 -28.4041
247.000000 85.267 -28.9703
250.000000 85.235 -29.2986
254.000000 85.186 -29.7655
258.000000 85.137 -30.2751
262.000000 85.088 -30.7737
265.000000 85.053 -31.1639
269.000000 85.010 -31.6633
272.000000 84.967 -32.0402
276.000000 84.900 -32.4974
280.000000 84.854 -32.8894
285.000000 84.814 -33.4145
290.000000 84.763 -33.8399
295.000000 84.714 -34.3104
300.000000 84.659 -34.8999
304.000000 84.607 -35.2620
307.000000 84.568 -35.5710
311.000000 84.522 -35.9954
315.000000 84.477 -36.3789
320.000000 84.421 -36.8494
325.000000 84.362 -37.3276
330.000000 84.300 -37.7614
335.000000 84.245 -38.1597
340.000000 84.189 -38.5979
345.000000 84.136 -38.9943
350.000000 84.077 -39.3940
355.000000 84.002 -39.8941
360.000000 83.930 -40.3014
365.000000 83.865 -40.6642
370.000000 83.797 -41.0476
375.000000 83.725 -41.4048
382.000000 83.627 -41.8135
387.000000 83.557 -42.1106
395.000000 83.439 -42.5488
400.000000 83.364 -42.7305
406.000000 83.282 -42.9659
412.000000 83.203 -43.1252
418.000000 83.129 -43.2664
425.000000 83.046 -43.4230
431.000000 82.982 -43.5237
437.000000 82.925 -43.6514
444.000000 82.860 -43.8190
450.000000 82.805 -43.9423
455.000000 82.762 -44.0381
462.000000 82.703 -44.1536
468.000000 82.651 -44.2844
475.000000 82.592 -44.4456
482.000000 82.535 -44.5801
487.000000 82.495 -44.6490
494.000000 82.443 -44.7371
500.000000 82.402 -44.8105
508.000000 82.346 -44.9155
515.000000 82.296 -45.0308
522.000000 82.249 -45.1219
530.000000 82.199 -45.1935
538.000000 82.151 -45.2791
545.000000 82.111 -45.3781
552.000000 82.078 -45.4833
560.000000 82.032 -45.5563
570.000000 81.970 -45.6357
580.000000 81.915 -45.7327
590.000000 81.861 -45.8163
600.000000 81.808 -45.8668
608.000000 81.766 -45.9000
615.000000 81.731 -45.9263
622.000000 81.697 -45.9324
630.000000 81.659 -45.9309
640.000000 81.610 -45.9158
650.000000 81.565 -45.8903
660.000000 81.523 -45.8485
670.000000 81.482 -45.7965
680.000000 81.443 -45.7374
690.000000 81.409 -45.6578
700.000000 81.374 -45.5547
710.000000 81.337 -45.4355
720.000000 81.305 -45.3095
730.000000 81.275 -45.1580
740.000000 81.248 -44.9928
750.000000 81.222 -44.8088
762.000000 81.195 -44.5817
775.000000 81.170 -44.3151
788.000000 81.149 -44.0289
800.000000 81.138 -43.7518
812.000000 81.130 -43.4451
825.000000 81.125 -43.0804
838.000000 81.125 -42.7099
850.000000 81.130 -42.3621
862.000000 81.139 -41.9966
875.000000 81.157 -41.5870
885.000000 81.173 -41.2679
900.000000 81.207 -40.7932
912.000000 81.238 -40.4180
925.000000 81.277 -40.0050
938.000000 81.321 -39.5992
950.000000 81.368 -39.2391
962.000000 81.421 -38.8875
975.000000 81.483 -38.5159
988.000000 81.549 -38.1707
1000.000000 81.614 -37.8708
1015.000000 81.699 -37.5161
1030.000000 81.791 -37.1979
1044.000000 81.880 -36.9349
1060.000000 81.984 -36.6878
1075.000000 82.085 -36.4928
1090.000000 82.186 -36.3323
1106.000000 82.295 -36.2117
1120.000000 82.390 -36.1492
1138.000000 82.510 -36.1140
1150.000000 82.589 -36.1084
1172.000000 82.728 -36.1428
1180.000000 82.777 -36.1713
1206.000000 82.930 -36.3110
1220.000000 83.007 -36.4084
1241.000000 83.115 -36.5795
1250.000000 83.159 -36.6545
1265.000000 83.230 -36.7785
1280.000000 83.296 -36.9043
1315.000000 83.436 -37.1949
1320.000000 83.454 -37.2322
1340.000000 83.523 -37.3716
1360.000000 83.586 -37.4856
1380.000000 83.646 -37.5697
1400.000000 83.701 -37.6357
1430.000000 83.777 -37.6740
1450.000000 83.825 -37.6596
1475.000000 83.881 -37.5829
1500.000000 83.936 -37.4548
1525.000000 83.990 -37.2791
1550.000000 84.046 -37.0519
1575.000000 84.103 -36.7726
1600.000000 84.161 -36.4545
1625.000000 84.221 -36.0872
1650.000000 84.287 -35.6771
1675.000000 84.357 -35.2359
1700.000000 84.432 -34.7703
1725.000000 84.510 -34.2777
1750.000000 84.592 -33.7512
1775.000000 84.680 -33.1968
1800.000000 84.774 -32.6337
1825.000000 84.876 -32.0585
1850.000000 84.982 -31.4781
1875.000000 85.095 -30.8928
1900.000000 85.213 -30.2963
1925.000000 85.335 -29.6962
1950.000000 85.464 -29.0989
1975.000000 85.601 -28.5151
2000.000000 85.745 -27.9440
2030.000000 85.925 -27.2699
2060.000000 86.113 -26.6241
2090.000000 86.310 -26.0139
2120.000000 86.516 -25.4341
2140.000000 86.657 -25.0730
2180.000000 86.951 -24.4196
2200.000000 87.103 -24.1296
2240.000000 87.416 -23.6317
2270.000000 87.658 -23.3397
2300.000000 87.907 -23.1248
2330.000000 88.162 -22.9931
2360.000000 88.421 -22.9520
2400.000000 88.770 -23.0497
2430.000000 89.033 -23.2435
2470.000000 89.383 -23.6807
2500.000000 89.641 -24.1376
2540.000000 89.978 -24.9028
2580.000000 90.307 -25.8433
2620.000000 90.627 -27.0032
2650.000000 90.854 -28.0428
2690.000000 91.132 -29.6171
2720.000000 91.320 -30.9076
2760.000000 91.538 -32.7524
2800.000000 91.718 -34.7179
2850.000000 91.887 -37.2985
2900.000000 91.990 -39.9473
2950.000000 92.025 -42.5861
3000.000000 91.993 -45.1364
3040.000000 91.921 -47.0596
3070.000000 91.843 -48.4086
3110.000000 91.709 -50.0546
3150.000000 91.547 -51.5065
3200.000000 91.314 -53.0311
3250.000000 91.059 -54.2138
3300.000000 90.792 -55.0623
3350.000000 90.523 -55.5837
3400.000000 90.260 -55.8019
3450.000000 90.009 -55.7495
3500.000000 89.775 -55.4558
3550.000000 89.563 -54.9597
3600.000000 89.374 -54.2984
3650.000000 89.210 -53.4989
3700.000000 89.072 -52.5956
3750.000000 88.961 -51.6137
3820.000000 88.853 -50.1624
3870.000000 88.807 -49.1029
3950.000000 88.789 -47.4232
4000.000000 88.811 -46.4204
4060.000000 88.872 -45.3181
4120.000000 88.972 -44.3715
4180.000000 89.108 -43.6362
4250.000000 89.304 -43.1257
4310.000000 89.499 -43.0570
4370.000000 89.709 -43.4005
4440.000000 89.954 -44.4015
4500.000000 90.143 -45.8142
4550.000000 90.270 -47.3880
4620.000000 90.372 -50.1378
4680.000000 90.366 -52.8866
4750.000000 90.226 -56.3220
4820.000000 89.937 -59.6978
4870.000000 89.644 -61.9009
4940.000000 89.136 -64.4984
5000.000000 88.631 -66.1516
5080.000000 87.903 -67.4581
5150.000000 87.250 -67.7961
5220.000000 86.609 -67.4680
5300.000000 85.912 -66.4208
