* Measurement data measured by REW V5.30.8
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -35.0 dBFS with no timing reference
* Dated: 16/02/2024 11:58:31 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: FiiO FH-9 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 84.515 63.6354
20.299999 84.479 62.7773
20.600000 84.444 62.2796
20.900000 84.449 62.1320
21.200001 84.529 62.1604
21.400000 84.631 62.1323
21.799999 84.924 61.5939
22.000000 85.092 60.9826
22.400000 85.401 59.0811
22.700001 85.570 57.2493
23.000000 85.668 55.3197
23.299999 85.700 53.5146
23.600000 85.686 51.9991
24.000000 85.639 50.5502
24.299999 85.615 49.8557
24.700001 85.622 49.2707
25.000000 85.659 48.9478
25.400000 85.740 48.5200
25.799999 85.839 48.0067
26.200001 85.943 47.3568
26.500000 86.014 46.7613
26.900000 86.086 45.8280
27.200001 86.113 45.0620
27.600000 86.103 44.0684
28.000000 86.047 43.2685
28.500000 85.952 42.7278
29.000000 85.893 42.6520
29.500000 85.910 42.7185
30.000000 85.995 42.5880
30.400000 86.092 42.2308
30.700001 86.173 41.7997
31.100000 86.282 41.0026
31.500000 86.377 39.9694
32.000000 86.445 38.4961
32.500000 86.442 37.1743
33.000000 86.409 36.3727
33.500000 86.420 36.0868
34.000000 86.516 35.8729
34.500000 86.652 35.2992
35.000000 86.756 34.3539
35.500000 86.800 33.2987
36.000000 86.799 32.2970
36.500000 86.755 31.3675
37.000000 86.656 30.6593
37.500000 86.528 30.5036
38.200001 86.494 31.1176
38.700001 86.639 31.0682
39.500000 86.834 28.7702
40.000000 86.745 26.9595
40.599998 86.515 26.0459
41.200001 86.428 26.4878
41.799999 86.555 26.7657
42.500000 86.722 26.1358
43.099998 86.804 25.6263
43.700001 86.917 25.3658
44.400002 87.084 24.6763
45.000000 87.152 23.7121
45.500000 87.143 22.9574
46.200001 87.074 22.1432
46.799999 86.971 21.6505
47.500000 86.827 21.5758
48.200001 86.778 21.8872
48.700001 86.822 21.8138
49.400002 86.896 20.9829
50.000000 86.910 20.0586
50.799999 86.951 19.1935
51.500000 87.073 18.3408
52.200001 87.172 17.0947
53.000000 87.184 16.2771
53.799999 87.309 16.5409
54.500000 87.565 16.0415
55.200001 87.682 14.2568
56.000000 87.482 12.6970
57.000000 87.212 13.4268
58.000000 87.227 13.8036
59.000000 87.153 12.9260
60.000000 87.029 12.2614
60.799999 86.957 11.7870
61.500000 86.916 11.4786
62.200001 86.919 11.2108
63.000000 86.949 10.8036
64.000000 86.992 10.4078
65.000000 87.073 9.9880
66.000000 87.108 9.3163
67.000000 87.089 8.9713
68.000000 87.109 8.9139
69.000000 87.191 8.5601
70.000000 87.256 7.5876
71.000000 87.235 6.5028
72.000000 87.170 5.9265
73.000000 87.150 5.8052
74.000000 87.175 5.4821
75.000000 87.161 5.0226
76.199997 87.135 4.5653
77.500000 87.082 4.0295
78.800003 87.093 3.6327
80.000000 87.131 2.5602
81.199997 87.063 1.4420
82.500000 86.987 1.3247
83.800003 87.009 1.3483
85.000000 87.033 1.2991
86.199997 87.046 0.8257
87.500000 86.943 0.4088
88.500000 86.916 0.4020
90.000000 86.888 -0.5855
91.199997 86.831 -1.0311
92.500000 86.850 -1.4413
93.800003 86.886 -1.7441
95.000000 86.941 -2.0988
96.199997 86.948 -2.5695
97.500000 86.892 -3.1321
98.800003 86.765 -3.3475
100.000000 86.718 -3.0927
101.500000 86.756 -3.6316
103.000000 86.759 -4.4546
104.400002 86.781 -4.9785
106.000000 86.856 -5.6658
107.500000 86.884 -6.7114
109.000000 86.850 -7.5831
110.599998 86.817 -8.2869
112.000000 86.760 -8.7366
113.800003 86.740 -8.6480
115.000000 86.764 -8.7091
117.199997 86.788 -9.4413
118.000000 86.766 -9.8096
120.599998 86.697 -10.5480
122.000000 86.688 -10.9823
124.099998 86.679 -11.4720
125.000000 86.682 -11.6764
126.500000 86.670 -12.1100
128.000000 86.630 -12.4299
131.500000 86.553 -12.8156
132.000000 86.541 -12.8845
134.000000 86.496 -13.1535
136.000000 86.469 -13.5135
138.000000 86.469 -14.0318
140.000000 86.462 -14.7224
143.000000 86.399 -15.6845
145.000000 86.341 -16.1912
147.500000 86.307 -16.6544
150.000000 86.311 -17.1409
152.500000 86.281 -17.5769
155.000000 86.244 -17.9073
157.500000 86.225 -18.4496
160.000000 86.188 -19.1818
162.500000 86.140 -19.6887
165.000000 86.098 -20.2366
167.500000 86.047 -20.7062
170.000000 85.996 -21.0757
172.500000 85.950 -21.4350
175.000000 85.911 -21.9100
177.500000 85.865 -22.4250
180.000000 85.815 -22.8272
182.500000 85.771 -23.2684
185.000000 85.713 -23.7429
187.500000 85.649 -23.9250
190.000000 85.605 -24.0432
192.500000 85.549 -24.3214
195.000000 85.485 -24.5922
197.500000 85.437 -24.8193
200.000000 85.398 -24.9914
203.000000 85.365 -24.9513
206.000000 85.374 -24.8011
209.000000 85.401 -24.9969
212.000000 85.414 -25.3661
214.000000 85.425 -25.7126
218.000000 85.416 -26.5906
220.000000 85.394 -26.9604
224.000000 85.359 -27.5951
227.000000 85.330 -28.0747
230.000000 85.297 -28.5498
233.000000 85.257 -29.0244
236.000000 85.208 -29.4279
240.000000 85.151 -29.9570
243.000000 85.114 -30.3298
247.000000 85.065 -30.7933
250.000000 85.031 -31.2236
254.000000 84.981 -31.7512
258.000000 84.908 -32.2130
262.000000 84.840 -32.6438
265.000000 84.799 -32.9552
269.000000 84.743 -33.4207
272.000000 84.704 -33.7264
276.000000 84.653 -34.0974
280.000000 84.595 -34.5126
285.000000 84.523 -35.0071
290.000000 84.458 -35.4135
295.000000 84.390 -35.8259
300.000000 84.317 -36.2855
304.000000 84.260 -36.6151
307.000000 84.221 -36.8099
311.000000 84.173 -37.0803
315.000000 84.122 -37.3963
320.000000 84.053 -37.6981
325.000000 83.985 -37.9979
330.000000 83.912 -38.3532
335.000000 83.843 -38.6844
340.000000 83.778 -39.0010
345.000000 83.710 -39.2683
350.000000 83.637 -39.5552
355.000000 83.570 -39.8058
360.000000 83.526 -40.0105
365.000000 83.458 -40.2217
370.000000 83.392 -40.3340
375.000000 83.344 -40.4713
382.000000 83.273 -40.6821
387.000000 83.223 -40.7921
395.000000 83.153 -41.0479
400.000000 83.116 -41.2170
406.000000 83.070 -41.4681
412.000000 83.026 -41.7313
418.000000 82.974 -41.9153
425.000000 82.912 -42.1566
431.000000 82.868 -42.3486
437.000000 82.819 -42.5331
444.000000 82.757 -42.7498
450.000000 82.705 -42.9091
455.000000 82.665 -43.0341
462.000000 82.613 -43.1989
468.000000 82.567 -43.3337
475.000000 82.513 -43.4845
482.000000 82.461 -43.6461
487.000000 82.425 -43.7539
494.000000 82.376 -43.8719
500.000000 82.333 -43.9595
508.000000 82.278 -44.0795
515.000000 82.233 -44.1642
522.000000 82.194 -44.2401
530.000000 82.152 -44.3328
538.000000 82.111 -44.4353
545.000000 82.074 -44.5204
552.000000 82.037 -44.5954
560.000000 81.994 -44.6639
570.000000 81.940 -44.7784
580.000000 81.889 -44.8928
590.000000 81.837 -44.9813
600.000000 81.788 -45.0383
608.000000 81.752 -45.0659
615.000000 81.719 -45.0818
622.000000 81.686 -45.0850
630.000000 81.648 -45.0709
640.000000 81.605 -45.0486
650.000000 81.565 -45.0153
660.000000 81.526 -44.9645
670.000000 81.489 -44.9032
680.000000 81.456 -44.8166
690.000000 81.424 -44.6935
700.000000 81.393 -44.5832
710.000000 81.361 -44.4613
720.000000 81.333 -44.3408
730.000000 81.312 -44.2135
740.000000 81.292 -44.0565
750.000000 81.272 -43.8644
762.000000 81.251 -43.6185
775.000000 81.234 -43.3444
788.000000 81.219 -43.0310
800.000000 81.211 -42.7340
812.000000 81.207 -42.4316
825.000000 81.207 -42.0875
838.000000 81.211 -41.7237
850.000000 81.219 -41.3682
862.000000 81.234 -41.0005
875.000000 81.257 -40.6007
885.000000 81.278 -40.2904
900.000000 81.314 -39.8149
912.000000 81.348 -39.4382
925.000000 81.392 -39.0389
938.000000 81.442 -38.6423
950.000000 81.493 -38.2783
962.000000 81.549 -37.9234
975.000000 81.612 -37.5623
988.000000 81.681 -37.2260
1000.000000 81.749 -36.9346
1015.000000 81.838 -36.5971
1030.000000 81.931 -36.2805
1044.000000 82.023 -36.0181
1060.000000 82.129 -35.7751
1075.000000 82.231 -35.5928
1090.000000 82.334 -35.4457
1106.000000 82.443 -35.3264
1120.000000 82.537 -35.2545
1138.000000 82.657 -35.2064
1150.000000 82.734 -35.2056
1172.000000 82.874 -35.2543
1180.000000 82.923 -35.2854
1206.000000 83.075 -35.4194
1220.000000 83.151 -35.5109
1241.000000 83.258 -35.6665
1250.000000 83.302 -35.7341
1265.000000 83.371 -35.8550
1280.000000 83.435 -35.9822
1315.000000 83.569 -36.2329
1320.000000 83.586 -36.2657
1340.000000 83.652 -36.3874
1360.000000 83.713 -36.4832
1380.000000 83.770 -36.5491
1400.000000 83.820 -36.5828
1430.000000 83.889 -36.5621
1450.000000 83.932 -36.5013
1475.000000 83.985 -36.3744
1500.000000 84.035 -36.1951
1525.000000 84.086 -35.9586
1550.000000 84.138 -35.6667
1575.000000 84.192 -35.3223
1600.000000 84.246 -34.9281
1625.000000 84.305 -34.4881
1650.000000 84.367 -34.0037
1675.000000 84.433 -33.4791
1700.000000 84.504 -32.9231
1725.000000 84.581 -32.3320
1750.000000 84.664 -31.7147
1775.000000 84.752 -31.0801
1800.000000 84.846 -30.4224
1825.000000 84.946 -29.7477
1850.000000 85.052 -29.0667
1875.000000 85.166 -28.3802
1900.000000 85.286 -27.6870
1925.000000 85.412 -26.9910
1950.000000 85.545 -26.2975
1975.000000 85.685 -25.6078
2000.000000 85.833 -24.9265
2030.000000 86.019 -24.1311
2060.000000 86.214 -23.3644
2090.000000 86.419 -22.6251
2120.000000 86.633 -21.9172
2140.000000 86.780 -21.4693
2180.000000 87.089 -20.6478
2200.000000 87.250 -20.2776
2240.000000 87.582 -19.6161
2270.000000 87.841 -19.2073
2300.000000 88.106 -18.8866
2330.000000 88.378 -18.6547
2360.000000 88.655 -18.5208
2400.000000 89.030 -18.5049
2430.000000 89.315 -18.6317
2470.000000 89.693 -19.0131
2500.000000 89.968 -19.4454
2540.000000 90.321 -20.1583
2580.000000 90.673 -20.9695
2620.000000 91.033 -22.0330
2650.000000 91.292 -23.0621
2690.000000 91.609 -24.6809
2720.000000 91.822 -26.0389
2760.000000 92.069 -28.0016
2800.000000 92.273 -30.1093
2850.000000 92.461 -32.8908
2900.000000 92.574 -35.7463
2950.000000 92.608 -38.5813
3000.000000 92.566 -41.2900
3040.000000 92.482 -43.3093
3070.000000 92.392 -44.7126
3110.000000 92.243 -46.4026
3150.000000 92.064 -47.8629
3200.000000 91.811 -49.3523
3250.000000 91.538 -50.4564
3300.000000 91.258 -51.1862
3350.000000 90.982 -51.5605
3400.000000 90.718 -51.6190
3450.000000 90.472 -51.3995
3500.000000 90.249 -50.9413
3550.000000 90.052 -50.2906
3600.000000 89.883 -49.4816
3650.000000 89.742 -48.5524
3700.000000 89.628 -47.5360
3750.000000 89.543 -46.4518
3820.000000 89.473 -44.8982
3870.000000 89.457 -43.7913
3950.000000 89.489 -42.0906
4000.000000 89.543 -41.1090
4060.000000 89.644 -40.0656
4120.000000 89.780 -39.2257
4180.000000 89.949 -38.6378
4250.000000 90.179 -38.3470
4310.000000 90.393 -38.5033
4370.000000 90.611 -39.0955
4440.000000 90.850 -40.3856
4500.000000 91.019 -42.0103
4550.000000 91.119 -43.6987
4620.000000 91.174 -46.4537
4680.000000 91.130 -49.0160
4750.000000 90.970 -52.0167
4820.000000 90.710 -54.8370
4870.000000 90.475 -56.6915
4940.000000 90.086 -59.0485
5000.000000 89.701 -60.8247
5080.000000 89.118 -62.7511
5150.000000 88.552 -63.9165
5220.000000 87.952 -64.5324
5300.000000 87.251 -64.5573
