* Measurement data measured by REW V5.31.1
* Source: Apogee Symphony Desktop (Apogee Symphony Desktop), LINE_IN (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 22/08/2024 6:41:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HiSenior Mega5EST RT L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 60.542 12.5904
1.015000 60.786 12.0287
1.030000 61.028 11.4688
1.044000 61.253 10.9469
1.060000 61.508 10.3505
1.075000 61.745 9.7909
1.090000 61.981 9.2315
1.106000 62.231 8.6370
1.120000 62.446 8.1210
1.138000 62.719 7.4662
1.150000 62.899 7.0357
1.172000 63.221 6.2593
1.180000 63.337 5.9810
1.206000 63.706 5.0906
1.220000 63.901 4.6197
1.241000 64.189 3.9240
1.250000 64.311 3.6295
1.265000 64.511 3.1434
1.280000 64.709 2.6628
1.315000 65.162 1.5613
1.320000 65.226 1.4061
1.340000 65.479 0.7899
1.360000 65.729 0.1808
1.380000 65.976 -0.4217
1.400000 66.220 -1.0183
1.430000 66.581 -1.9031
1.450000 66.819 -2.4858
1.475000 67.113 -3.2044
1.500000 67.402 -3.9086
1.525000 67.685 -4.5973
1.550000 67.963 -5.2714
1.575000 68.235 -5.9330
1.600000 68.501 -6.5845
1.625000 68.763 -7.2280
1.650000 69.020 -7.8655
1.675000 69.273 -8.4987
1.700000 69.522 -9.1296
1.725000 69.767 -9.7596
1.750000 70.009 -10.3900
1.775000 70.248 -11.0221
1.800000 70.484 -11.6565
1.825000 70.716 -12.2928
1.850000 70.946 -12.9296
1.875000 71.172 -13.5647
1.900000 71.393 -14.1966
1.925000 71.611 -14.8245
1.950000 71.825 -15.4479
1.975000 72.036 -16.0669
2.000000 72.243 -16.6814
2.030000 72.487 -17.4132
2.060000 72.727 -18.1391
2.090000 72.963 -18.8596
2.120000 73.196 -19.5755
2.140000 73.349 -20.0503
2.180000 73.650 -20.9952
2.200000 73.798 -21.4655
2.240000 74.090 -22.4015
2.270000 74.304 -23.0992
2.300000 74.513 -23.7925
2.330000 74.719 -24.4810
2.360000 74.921 -25.1642
2.400000 75.185 -26.0667
2.430000 75.379 -26.7370
2.470000 75.634 -27.6221
2.500000 75.821 -28.2798
2.540000 76.067 -29.1490
2.580000 76.307 -30.0108
2.620000 76.543 -30.8663
2.650000 76.716 -31.5040
2.690000 76.942 -32.3484
2.720000 77.108 -32.9768
2.760000 77.325 -33.8074
2.800000 77.537 -34.6290
2.850000 77.798 -35.6428
2.900000 78.052 -36.6422
2.950000 78.300 -37.6292
3.000000 78.542 -38.6062
3.040000 78.731 -39.3811
3.070000 78.870 -39.9581
3.110000 79.052 -40.7210
3.150000 79.231 -41.4761
3.200000 79.450 -42.4076
3.250000 79.664 -43.3250
3.300000 79.873 -44.2290
3.350000 80.078 -45.1213
3.400000 80.278 -46.0036
3.450000 80.474 -46.8759
3.500000 80.665 -47.7378
3.550000 80.852 -48.5886
3.600000 81.036 -49.4280
3.650000 81.216 -50.2563
3.700000 81.392 -51.0745
3.750000 81.565 -51.8838
3.820000 81.801 -53.0026
3.870000 81.966 -53.7912
3.950000 82.223 -55.0342
4.000000 82.380 -55.7991
4.060000 82.565 -56.7058
4.120000 82.746 -57.6015
4.180000 82.923 -58.4869
4.250000 83.125 -59.5070
4.310000 83.294 -60.3703
4.370000 83.460 -61.2236
4.440000 83.649 -62.2076
4.500000 83.807 -63.0421
4.550000 83.937 -63.7314
4.620000 84.115 -64.6869
4.680000 84.264 -65.4968
4.750000 84.435 -66.4313
4.820000 84.601 -67.3558
4.870000 84.718 -68.0103
4.940000 84.878 -68.9187
5.000000 85.012 -69.6895
5.080000 85.186 -70.7057
5.150000 85.336 -71.5843
5.220000 85.481 -72.4540
5.300000 85.644 -73.4374
5.380000 85.802 -74.4087
5.450000 85.937 -75.2483
5.520000 86.069 -76.0784
5.600000 86.217 -77.0162
5.700000 86.395 -78.1726
5.800000 86.569 -79.3104
5.900000 86.737 -80.4293
6.000000 86.900 -81.5305
6.080000 87.027 -82.3991
6.150000 87.135 -83.1499
6.220000 87.242 -83.8922
6.300000 87.361 -84.7304
6.400000 87.506 -85.7637
6.500000 87.647 -86.7814
6.600000 87.785 -87.7835
6.700000 87.918 -88.7710
6.800000 88.049 -89.7445
6.900000 88.176 -90.7043
7.000000 88.299 -91.6510
7.100000 88.420 -92.5851
7.200000 88.538 -93.5072
7.300000 88.652 -94.4173
7.400000 88.764 -95.3158
7.500000 88.872 -96.2032
7.620000 88.999 -97.2534
7.750000 89.132 -98.3734
7.880000 89.261 -99.4754
8.000000 89.376 -100.4768
8.120000 89.488 -101.4630
8.250000 89.605 -102.5146
8.380000 89.718 -103.5489
8.500000 89.820 -104.4884
8.620000 89.918 -105.4135
8.750000 90.022 -106.3999
8.850000 90.099 -107.1475
9.000000 90.212 -108.2515
9.120000 90.300 -109.1200
9.250000 90.392 -110.0465
9.380000 90.482 -110.9585
9.500000 90.562 -111.7880
9.620000 90.640 -112.6059
9.750000 90.723 -113.4793
9.880000 90.803 -114.3400
10.000000 90.875 -115.1235
10.150000 90.963 -116.0884
10.300000 91.048 -117.0378
10.440000 91.124 -117.9103
10.600000 91.209 -118.8917
10.750000 91.286 -119.7970
10.900000 91.361 -120.6884
11.060000 91.438 -121.6240
11.200000 91.503 -122.4302
11.380000 91.584 -123.4500
11.500000 91.636 -124.1196
11.720000 91.728 -125.3263
11.800000 91.761 -125.7585
12.060000 91.863 -127.1400
12.200000 91.916 -127.8695
12.410000 91.993 -128.9457
12.500000 92.025 -129.4004
12.650000 92.076 -130.1502
12.800000 92.127 -130.8899
13.150000 92.239 -132.5789
13.200000 92.254 -132.8161
13.400000 92.314 -133.7552
13.600000 92.372 -134.6791
13.800000 92.427 -135.5880
14.000000 92.481 -136.4822
14.300000 92.557 -137.7964
14.500000 92.605 -138.6550
14.750000 92.662 -139.7088
15.000000 92.717 -140.7419
15.250000 92.769 -141.7549
15.500000 92.819 -142.7487
15.750000 92.866 -143.7238
16.000000 92.911 -144.6808
16.250000 92.954 -145.6198
16.500000 92.996 -146.5415
16.750000 93.035 -147.4465
17.000000 93.073 -148.3357
17.250000 93.110 -149.2103
17.500000 93.145 -150.0718
17.750000 93.179 -150.9213
18.000000 93.211 -151.7597
18.250000 93.242 -152.5875
18.500000 93.271 -153.4047
18.750000 93.298 -154.2108
19.000000 93.324 -155.0048
19.250000 93.348 -155.7862
19.500000 93.371 -156.5543
19.750000 93.392 -157.3092
20.000000 93.412 -158.0510
20.299999 93.435 -158.9252
20.600000 93.457 -159.7835
20.900000 93.478 -160.6277
21.200001 93.498 -161.4593
21.400000 93.510 -162.0070
21.799999 93.533 -163.0870
22.000000 93.544 -163.6192
22.400000 93.564 -164.6681
22.700001 93.577 -165.4410
23.000000 93.590 -166.2026
23.299999 93.601 -166.9532
23.600000 93.611 -167.6933
24.000000 93.624 -168.6651
24.299999 93.632 -169.3830
24.700001 93.641 -170.3266
25.000000 93.647 -171.0242
25.400000 93.653 -171.9408
25.799999 93.657 -172.8414
26.200001 93.660 -173.7250
26.500000 93.661 -174.3762
26.900000 93.662 -175.2297
27.200001 93.662 -175.8601
27.600000 93.661 -176.6898
28.000000 93.660 -177.5090
28.500000 93.656 -178.5185
29.000000 93.651 -179.5090
29.500000 93.644 179.5228
30.000000 93.637 178.5759
30.400000 93.630 177.8307
30.700001 93.626 177.2774
31.100000 93.619 176.5462
31.500000 93.611 175.8229
32.000000 93.601 174.9321
32.500000 93.589 174.0587
33.000000 93.576 173.2038
33.500000 93.563 172.3653
34.000000 93.550 171.5389
34.500000 93.537 170.7195
35.000000 93.523 169.9053
35.500000 93.506 169.0995
36.000000 93.488 168.3084
36.500000 93.467 167.5365
37.000000 93.447 166.7827
37.500000 93.427 166.0416
38.200001 93.399 165.0160
38.700001 93.379 164.2900
39.500000 93.345 163.1428
40.000000 93.323 162.4359
40.599998 93.296 161.5977
41.200001 93.268 160.7708
41.799999 93.239 159.9566
42.500000 93.205 159.0228
43.099998 93.176 158.2354
43.700001 93.146 157.4596
44.400002 93.111 156.5701
45.000000 93.080 155.8217
45.500000 93.054 155.2068
46.200001 93.017 154.3563
46.799999 92.986 153.6354
47.500000 92.948 152.8052
48.200001 92.909 151.9872
48.700001 92.881 151.4096
49.400002 92.841 150.6089
50.000000 92.807 149.9307
50.799999 92.759 149.0396
51.500000 92.718 148.2721
52.200001 92.676 147.5151
53.000000 92.627 146.6628
53.799999 92.579 145.8234
54.500000 92.536 145.0973
55.200001 92.493 144.3793
56.000000 92.443 143.5713
57.000000 92.380 142.5818
58.000000 92.317 141.6127
59.000000 92.254 140.6623
60.000000 92.190 139.7287
60.799999 92.138 138.9925
61.500000 92.093 138.3558
62.200001 92.047 137.7272
63.000000 91.994 137.0193
64.000000 91.928 136.1484
65.000000 91.862 135.2895
66.000000 91.797 134.4421
67.000000 91.731 133.6073
68.000000 91.664 132.7858
69.000000 91.597 131.9782
70.000000 91.530 131.1862
71.000000 91.462 130.4116
72.000000 91.395 129.6523
73.000000 91.327 128.9045
74.000000 91.260 128.1672
75.000000 91.193 127.4407
76.199997 91.113 126.5844
77.500000 91.027 125.6752
78.800003 90.940 124.7833
80.000000 90.860 123.9753
81.199997 90.780 123.1825
82.500000 90.694 122.3397
83.800003 90.608 121.5117
85.000000 90.528 120.7605
86.199997 90.448 120.0225
87.500000 90.362 119.2376
88.500000 90.296 118.6437
90.000000 90.197 117.7693
91.199997 90.118 117.0845
92.500000 90.033 116.3577
93.800003 89.947 115.6453
95.000000 89.869 114.9997
96.199997 89.791 114.3656
97.500000 89.708 113.6915
98.800003 89.625 113.0298
100.000000 89.549 112.4299
101.500000 89.455 111.6960
103.000000 89.362 110.9799
104.400002 89.275 110.3257
106.000000 89.176 109.5939
107.500000 89.084 108.9244
109.000000 88.991 108.2709
110.599998 88.894 107.5880
112.000000 88.811 107.0015
113.800003 88.704 106.2640
115.000000 88.634 105.7844
117.199997 88.505 104.9305
118.000000 88.459 104.6269
120.599998 88.311 103.6577
122.000000 88.232 103.1467
124.099998 88.116 102.4036
125.000000 88.066 102.0952
126.500000 87.985 101.5922
128.000000 87.905 101.1004
131.500000 87.719 99.9891
132.000000 87.693 99.8341
134.000000 87.590 99.2236
136.000000 87.489 98.6301
138.000000 87.390 98.0558
140.000000 87.292 97.4990
143.000000 87.150 96.6932
145.000000 87.056 96.1732
147.500000 86.941 95.5411
150.000000 86.830 94.9276
152.500000 86.720 94.3323
155.000000 86.613 93.7562
157.500000 86.509 93.1997
160.000000 86.406 92.6644
162.500000 86.306 92.1495
165.000000 86.208 91.6532
167.500000 86.112 91.1718
170.000000 86.018 90.7027
172.500000 85.926 90.2456
175.000000 85.837 89.8036
177.500000 85.749 89.3801
180.000000 85.663 88.9780
182.500000 85.578 88.5981
185.000000 85.494 88.2408
187.500000 85.411 87.9070
190.000000 85.330 87.6028
192.500000 85.250 87.3360
195.000000 85.174 87.1144
197.500000 85.105 86.9412
200.000000 85.043 86.8115
203.000000 84.986 86.6910
206.000000 84.947 86.5644
209.000000 84.927 86.3734
212.000000 84.917 86.0743
214.000000 84.913 85.8105
218.000000 84.896 85.1644
220.000000 84.881 84.8088
224.000000 84.842 84.0877
227.000000 84.804 83.5632
230.000000 84.763 83.0652
233.000000 84.720 82.5987
236.000000 84.677 82.1579
240.000000 84.622 81.5938
243.000000 84.583 81.1868
247.000000 84.534 80.6677
250.000000 84.498 80.2930
254.000000 84.454 79.8075
258.000000 84.413 79.3339
262.000000 84.375 78.8686
265.000000 84.348 78.5230
269.000000 84.314 78.0683
272.000000 84.290 77.7323
276.000000 84.260 77.2865
280.000000 84.231 76.8373
285.000000 84.197 76.2787
290.000000 84.165 75.7341
295.000000 84.136 75.2018
300.000000 84.109 74.6810
304.000000 84.089 74.2710
307.000000 84.074 73.9648
311.000000 84.055 73.5554
315.000000 84.037 73.1437
320.000000 84.017 72.6320
