* Measurement data measured by REW V5.31.1
* Source: Apogee Symphony Desktop (Apogee Symphony Desktop), LINE_IN (Master Volume), R, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 22/08/2024 6:43:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: HiSenior Mega5EST RT R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 61.290 12.0493
1.015000 61.534 11.4775
1.030000 61.776 10.9076
1.044000 62.001 10.3763
1.060000 62.255 9.7691
1.075000 62.493 9.1994
1.090000 62.729 8.6296
1.106000 62.978 8.0240
1.120000 63.194 7.4983
1.138000 63.467 6.8310
1.150000 63.646 6.3922
1.172000 63.968 5.6005
1.180000 64.084 5.3167
1.206000 64.453 4.4087
1.220000 64.648 3.9284
1.241000 64.935 3.2187
1.250000 65.056 2.9183
1.265000 65.257 2.4223
1.280000 65.455 1.9320
1.315000 65.907 0.8083
1.320000 65.971 0.6499
1.340000 66.224 0.0212
1.360000 66.473 -0.6002
1.380000 66.719 -1.2149
1.400000 66.963 -1.8236
1.430000 67.324 -2.7263
1.450000 67.562 -3.3209
1.475000 67.856 -4.0541
1.500000 68.144 -4.7730
1.525000 68.427 -5.4761
1.550000 68.704 -6.1646
1.575000 68.975 -6.8405
1.600000 69.241 -7.5061
1.625000 69.502 -8.1635
1.650000 69.759 -8.8147
1.675000 70.011 -9.4618
1.700000 70.260 -10.1062
1.725000 70.504 -10.7498
1.750000 70.745 -11.3937
1.775000 70.984 -12.0393
1.800000 71.219 -12.6872
1.825000 71.451 -13.3371
1.850000 71.680 -13.9875
1.875000 71.905 -14.6364
1.900000 72.126 -15.2821
1.925000 72.343 -15.9238
1.950000 72.556 -16.5611
1.975000 72.766 -17.1938
2.000000 72.973 -17.8220
2.030000 73.216 -18.5701
2.060000 73.455 -19.3122
2.090000 73.690 -20.0487
2.120000 73.922 -20.7803
2.140000 74.074 -21.2657
2.180000 74.374 -22.2313
2.200000 74.522 -22.7118
2.240000 74.812 -23.6686
2.270000 75.025 -24.3818
2.300000 75.234 -25.0907
2.330000 75.439 -25.7947
2.360000 75.640 -26.4934
2.400000 75.902 -27.4163
2.430000 76.095 -28.1018
2.470000 76.348 -29.0069
2.500000 76.534 -29.6793
2.540000 76.779 -30.5679
2.580000 77.018 -31.4490
2.620000 77.252 -32.3237
2.650000 77.424 -32.9758
2.690000 77.648 -33.8395
2.720000 77.813 -34.4822
2.760000 78.028 -35.3318
2.800000 78.239 -36.1722
2.850000 78.498 -37.2090
2.900000 78.750 -38.2310
2.950000 78.996 -39.2402
3.000000 79.236 -40.2392
3.040000 79.423 -41.0317
3.070000 79.561 -41.6219
3.110000 79.741 -42.4023
3.150000 79.918 -43.1745
3.200000 80.135 -44.1272
3.250000 80.347 -45.0653
3.300000 80.554 -45.9896
3.350000 80.757 -46.9019
3.400000 80.955 -47.8040
3.450000 81.148 -48.6960
3.500000 81.337 -49.5773
3.550000 81.522 -50.4472
3.600000 81.703 -51.3052
3.650000 81.881 -52.1518
3.700000 82.055 -52.9880
3.750000 82.226 -53.8151
3.820000 82.459 -54.9584
3.870000 82.621 -55.7643
3.950000 82.874 -57.0342
4.000000 83.029 -57.8155
4.060000 83.211 -58.7416
4.120000 83.389 -59.6562
4.180000 83.564 -60.5603
4.250000 83.762 -61.6018
4.310000 83.928 -62.4829
4.370000 84.091 -63.3538
4.440000 84.277 -64.3578
4.500000 84.433 -65.2090
4.550000 84.560 -65.9121
4.620000 84.735 -66.8865
4.680000 84.881 -67.7123
4.750000 85.048 -68.6650
4.820000 85.212 -69.6071
4.870000 85.326 -70.2741
4.940000 85.482 -71.1995
5.000000 85.614 -71.9847
5.080000 85.785 -73.0196
5.150000 85.931 -73.9142
5.220000 86.073 -74.7996
5.300000 86.232 -75.8004
5.380000 86.387 -76.7889
5.450000 86.519 -77.6432
5.520000 86.648 -78.4877
5.600000 86.792 -79.4418
5.700000 86.966 -80.6182
5.800000 87.135 -81.7757
5.900000 87.299 -82.9140
6.000000 87.458 -84.0345
6.080000 87.582 -84.9184
6.150000 87.687 -85.6825
6.220000 87.791 -86.4381
6.300000 87.906 -87.2915
6.400000 88.047 -88.3439
6.500000 88.184 -89.3806
6.600000 88.317 -90.4016
6.700000 88.446 -91.4079
6.800000 88.572 -92.3999
6.900000 88.694 -93.3780
7.000000 88.813 -94.3423
7.100000 88.929 -95.2936
7.200000 89.041 -96.2320
7.300000 89.151 -97.1575
7.400000 89.257 -98.0702
7.500000 89.360 -98.9707
7.620000 89.481 -100.0349
7.750000 89.607 -101.1676
7.880000 89.729 -102.2799
8.000000 89.837 -103.2887
8.120000 89.943 -104.2804
8.250000 90.054 -105.3361
8.380000 90.161 -106.3730
8.500000 90.257 -107.3141
8.620000 90.351 -108.2405
8.750000 90.449 -109.2283
8.850000 90.523 -109.9776
9.000000 90.631 -111.0852
9.120000 90.715 -111.9581
9.250000 90.803 -112.8911
9.380000 90.888 -113.8116
9.500000 90.965 -114.6506
9.620000 91.040 -115.4795
9.750000 91.118 -116.3662
9.880000 91.193 -117.2412
10.000000 91.261 -118.0384
10.150000 91.343 -119.0204
10.300000 91.421 -119.9859
10.440000 91.491 -120.8721
10.600000 91.569 -121.8667
10.750000 91.639 -122.7817
10.900000 91.706 -123.6798
11.060000 91.775 -124.6196
11.200000 91.834 -125.4270
11.380000 91.907 -126.4456
11.500000 91.954 -127.1130
11.720000 92.038 -128.3138
11.800000 92.067 -128.7436
12.060000 92.160 -130.1165
12.200000 92.208 -130.8416
12.410000 92.278 -131.9117
12.500000 92.308 -132.3642
12.650000 92.355 -133.1105
12.800000 92.401 -133.8473
13.150000 92.503 -135.5316
13.200000 92.517 -135.7683
13.400000 92.572 -136.7061
13.600000 92.624 -137.6291
13.800000 92.673 -138.5372
14.000000 92.720 -139.4302
14.300000 92.787 -140.7397
14.500000 92.828 -141.5920
14.750000 92.878 -142.6333
15.000000 92.925 -143.6484
15.250000 92.970 -144.6396
15.500000 93.013 -145.6100
15.750000 93.056 -146.5635
16.000000 93.097 -147.5036
16.250000 93.136 -148.4319
16.500000 93.173 -149.3483
16.750000 93.206 -150.2504
17.000000 93.238 -151.1350
17.250000 93.267 -151.9993
17.500000 93.294 -152.8417
17.750000 93.321 -153.6632
18.000000 93.347 -154.4673
18.250000 93.374 -155.2587
18.500000 93.400 -156.0425
18.750000 93.426 -156.8226
19.000000 93.452 -157.6005
19.250000 93.475 -158.3754
19.500000 93.496 -159.1446
19.750000 93.515 -159.9046
20.000000 93.532 -160.6526
20.299999 93.551 -161.5321
20.600000 93.568 -162.3924
20.900000 93.584 -163.2362
21.200001 93.599 -164.0668
21.400000 93.608 -164.6142
21.799999 93.626 -165.6937
22.000000 93.633 -166.2249
22.400000 93.646 -167.2676
22.700001 93.655 -168.0320
23.000000 93.663 -168.7826
23.299999 93.671 -169.5220
23.600000 93.678 -170.2524
24.000000 93.686 -171.2138
24.299999 93.691 -171.9245
24.700001 93.695 -172.8549
25.000000 93.697 -173.5380
25.400000 93.698 -174.4292
25.799999 93.699 -175.3009
26.200001 93.700 -176.1578
26.500000 93.700 -176.7929
26.900000 93.699 -177.6308
27.200001 93.698 -178.2527
27.600000 93.695 -179.0722
28.000000 93.690 -179.8797
28.500000 93.683 179.1293
29.000000 93.675 178.1588
29.500000 93.665 177.2073
30.000000 93.655 176.2720
30.400000 93.646 175.5344
30.700001 93.639 174.9877
31.100000 93.630 174.2679
31.500000 93.619 173.5585
32.000000 93.606 172.6843
32.500000 93.592 171.8208
33.000000 93.577 170.9668
33.500000 93.559 170.1260
34.000000 93.540 169.3043
34.500000 93.520 168.5046
35.000000 93.500 167.7243
35.500000 93.481 166.9559
36.000000 93.463 166.1917
36.500000 93.444 165.4272
37.000000 93.424 164.6642
37.500000 93.402 163.9079
38.200001 93.369 162.8705
38.700001 93.345 162.1460
39.500000 93.306 161.0071
40.000000 93.283 160.3039
40.599998 93.253 159.4691
41.200001 93.222 158.6482
41.799999 93.191 157.8441
42.500000 93.154 156.9272
43.099998 93.122 156.1563
43.700001 93.090 155.3958
44.400002 93.052 154.5205
45.000000 93.019 153.7821
45.500000 92.990 153.1750
46.200001 92.950 152.3351
46.799999 92.915 151.6226
47.500000 92.874 150.8008
48.200001 92.832 149.9908
48.700001 92.802 149.4196
49.400002 92.759 148.6295
50.000000 92.723 147.9605
50.799999 92.674 147.0798
51.500000 92.631 146.3194
52.200001 92.587 145.5699
53.000000 92.537 144.7286
53.799999 92.486 143.9029
54.500000 92.441 143.1909
55.200001 92.396 142.4878
56.000000 92.344 141.6956
57.000000 92.279 140.7204
58.000000 92.213 139.7584
59.000000 92.147 138.8121
60.000000 92.080 137.8842
60.799999 92.026 137.1540
61.500000 91.979 136.5240
62.200001 91.932 135.9023
63.000000 91.879 135.2006
64.000000 91.812 134.3345
65.000000 91.745 133.4816
66.000000 91.677 132.6439
67.000000 91.608 131.8219
68.000000 91.540 131.0151
69.000000 91.471 130.2224
70.000000 91.403 129.4418
71.000000 91.335 128.6719
72.000000 91.266 127.9127
73.000000 91.198 127.1647
74.000000 91.129 126.4286
75.000000 91.060 125.7043
76.199997 90.978 124.8490
77.500000 90.889 123.9391
78.800003 90.800 123.0481
80.000000 90.717 122.2430
81.199997 90.635 121.4564
82.500000 90.546 120.6228
83.800003 90.458 119.8042
85.000000 90.377 119.0615
86.199997 90.295 118.3320
87.500000 90.208 117.5557
88.500000 90.140 116.9670
90.000000 90.039 116.0992
91.199997 89.959 115.4203
92.500000 89.872 114.7003
93.800003 89.786 113.9932
95.000000 89.707 113.3495
96.199997 89.628 112.7156
97.500000 89.543 112.0421
98.800003 89.458 111.3832
100.000000 89.381 110.7876
101.500000 89.284 110.0583
103.000000 89.188 109.3441
104.400002 89.100 108.6906
106.000000 88.999 107.9603
107.500000 88.905 107.2941
109.000000 88.812 106.6431
110.599998 88.713 105.9630
112.000000 88.627 105.3805
113.800003 88.518 104.6492
115.000000 88.446 104.1725
117.199997 88.315 103.3201
118.000000 88.268 103.0167
120.599998 88.116 102.0533
122.000000 88.035 101.5492
124.099998 87.915 100.8120
125.000000 87.865 100.5033
126.500000 87.781 99.9991
128.000000 87.698 99.5074
131.500000 87.508 98.3997
132.000000 87.481 98.2457
134.000000 87.375 97.6398
136.000000 87.271 97.0483
138.000000 87.168 96.4729
140.000000 87.066 95.9160
143.000000 86.916 95.1160
145.000000 86.818 94.6058
147.500000 86.697 93.9901
150.000000 86.577 93.3918
152.500000 86.459 92.8112
155.000000 86.342 92.2535
157.500000 86.227 91.7207
160.000000 86.113 91.2139
162.500000 86.000 90.7385
165.000000 85.888 90.3034
167.500000 85.776 89.9152
170.000000 85.666 89.5811
172.500000 85.557 89.3125
175.000000 85.454 89.1208
177.500000 85.360 89.0114
180.000000 85.281 88.9759
182.500000 85.223 88.9830
185.000000 85.188 88.9742
187.500000 85.175 88.8826
190.000000 85.175 88.6623
192.500000 85.177 88.3058
195.000000 85.175 87.8367
197.500000 85.161 87.2939
200.000000 85.136 86.7176
203.000000 85.093 86.0265
206.000000 85.041 85.3672
209.000000 84.982 84.7549
212.000000 84.921 84.1903
214.000000 84.880 83.8368
218.000000 84.801 83.1728
220.000000 84.762 82.8597
224.000000 84.687 82.2693
227.000000 84.633 81.8509
230.000000 84.582 81.4475
233.000000 84.533 81.0563
236.000000 84.486 80.6748
240.000000 84.426 80.1783
243.000000 84.384 79.8150
247.000000 84.332 79.3412
250.000000 84.295 78.9909
254.000000 84.248 78.5286
258.000000 84.204 78.0773
262.000000 84.164 77.6415
265.000000 84.136 77.3235
269.000000 84.101 76.9077
272.000000 84.075 76.5981
276.000000 84.044 76.1841
280.000000 84.014 75.7709
285.000000 83.980 75.2634
290.000000 83.948 74.7660
295.000000 83.918 74.2703
300.000000 83.891 73.7751
304.000000 83.871 73.3848
307.000000 83.856 73.0963
311.000000 83.838 72.7162
315.000000 83.821 72.3403
320.000000 83.802 71.8703
