* Measurement data measured by REW V5.31.1
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 23/06/2024 4:51:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hisenior Mega5EST L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 92.152 -156.0862
20.299999 92.186 -156.9949
20.600000 92.218 -157.8882
20.900000 92.249 -158.7673
21.200001 92.278 -159.6333
21.400000 92.296 -160.2038
21.799999 92.331 -161.3278
22.000000 92.346 -161.8808
22.400000 92.376 -162.9675
22.700001 92.396 -163.7653
23.000000 92.415 -164.5498
23.299999 92.434 -165.3237
23.600000 92.451 -166.0895
24.000000 92.472 -167.0992
24.299999 92.486 -167.8463
24.700001 92.501 -168.8234
25.000000 92.511 -169.5391
25.400000 92.523 -170.4705
25.799999 92.534 -171.3804
26.200001 92.546 -172.2746
26.500000 92.553 -172.9362
26.900000 92.563 -173.8056
27.200001 92.570 -174.4483
27.600000 92.580 -175.2968
28.000000 92.590 -176.1441
28.500000 92.601 -177.2098
29.000000 92.605 -178.2696
29.500000 92.603 -179.2905
30.000000 92.599 179.7463
30.400000 92.600 179.0052
30.700001 92.603 178.4527
31.100000 92.608 177.7061
31.500000 92.613 176.9446
32.000000 92.613 175.9876
32.500000 92.609 175.0513
33.000000 92.602 174.1471
33.500000 92.596 173.2654
34.000000 92.589 172.3934
34.500000 92.581 171.5292
35.000000 92.571 170.6779
35.500000 92.560 169.8417
36.000000 92.547 169.0189
36.500000 92.534 168.2077
37.000000 92.519 167.4084
37.500000 92.504 166.6209
38.200001 92.481 165.5356
38.700001 92.464 164.7715
39.500000 92.435 163.5703
40.000000 92.417 162.8328
40.599998 92.394 161.9606
41.200001 92.370 161.1020
41.799999 92.346 160.2569
42.500000 92.317 159.2869
43.099998 92.291 158.4682
43.700001 92.264 157.6618
44.400002 92.233 156.7369
45.000000 92.205 155.9569
45.500000 92.181 155.3142
46.200001 92.148 154.4244
46.799999 92.118 153.6729
47.500000 92.082 152.8123
48.200001 92.046 151.9669
48.700001 92.021 151.3692
49.400002 91.985 150.5396
50.000000 91.954 149.8368
50.799999 91.912 148.9138
51.500000 91.874 148.1189
52.200001 91.836 147.3354
53.000000 91.792 146.4539
53.799999 91.748 145.5858
54.500000 91.709 144.8353
55.200001 91.669 144.0935
56.000000 91.622 143.2579
57.000000 91.564 142.2330
58.000000 91.505 141.2280
59.000000 91.446 140.2397
60.000000 91.386 139.2686
60.799999 91.338 138.5057
61.500000 91.295 137.8480
62.200001 91.253 137.1984
63.000000 91.204 136.4658
64.000000 91.143 135.5640
65.000000 91.082 134.6765
66.000000 91.020 133.8019
67.000000 90.958 132.9415
68.000000 90.897 132.0969
69.000000 90.835 131.2642
70.000000 90.773 130.4411
71.000000 90.710 129.6328
72.000000 90.647 128.8411
73.000000 90.584 128.0627
74.000000 90.522 127.2960
75.000000 90.459 126.5406
76.199997 90.383 125.6482
77.500000 90.301 124.7025
78.800003 90.219 123.7786
80.000000 90.144 122.9419
81.199997 90.069 122.1207
82.500000 89.988 121.2449
83.800003 89.908 120.3835
85.000000 89.833 119.6040
86.199997 89.759 118.8405
87.500000 89.679 118.0298
88.500000 89.618 117.4145
90.000000 89.526 116.5052
91.199997 89.452 115.7941
92.500000 89.373 115.0403
93.800003 89.295 114.3001
95.000000 89.223 113.6268
96.199997 89.151 112.9650
97.500000 89.074 112.2632
98.800003 88.997 111.5766
100.000000 88.926 110.9555
101.500000 88.838 110.1944
103.000000 88.752 109.4469
104.400002 88.672 108.7632
106.000000 88.581 107.9992
107.500000 88.497 107.2996
109.000000 88.414 106.6115
110.599998 88.326 105.8891
112.000000 88.250 105.2686
113.800003 88.152 104.4892
115.000000 88.087 103.9826
117.199997 87.969 103.0776
118.000000 87.927 102.7551
120.599998 87.791 101.7299
122.000000 87.718 101.1937
124.099998 87.610 100.4141
125.000000 87.564 100.0890
126.500000 87.488 99.5587
128.000000 87.414 99.0395
131.500000 87.244 97.8717
132.000000 87.220 97.7112
134.000000 87.126 97.0760
136.000000 87.033 96.4612
138.000000 86.943 95.8701
140.000000 86.856 95.2775
143.000000 86.724 94.4236
145.000000 86.639 93.8782
147.500000 86.534 93.2070
150.000000 86.429 92.5581
152.500000 86.323 91.9501
155.000000 86.217 91.3699
157.500000 86.112 90.8369
160.000000 86.006 90.3596
162.500000 85.901 89.9502
165.000000 85.798 89.6216
167.500000 85.702 89.4066
170.000000 85.620 89.3141
172.500000 85.561 89.3186
175.000000 85.536 89.3683
177.500000 85.549 89.3167
180.000000 85.586 89.0594
182.500000 85.628 88.5490
185.000000 85.655 87.8261
187.500000 85.657 87.0030
190.000000 85.637 86.1757
192.500000 85.602 85.3912
195.000000 85.558 84.6634
197.500000 85.509 83.9913
200.000000 85.457 83.3696
203.000000 85.396 82.6818
206.000000 85.336 82.0440
209.000000 85.278 81.4451
212.000000 85.223 80.8721
214.000000 85.189 80.5029
218.000000 85.122 79.7996
220.000000 85.090 79.4635
224.000000 85.030 78.8107
227.000000 84.989 78.3334
230.000000 84.950 77.8647
233.000000 84.913 77.4040
236.000000 84.877 76.9520
240.000000 84.833 76.3640
243.000000 84.802 75.9301
247.000000 84.762 75.3610
250.000000 84.733 74.9379
254.000000 84.696 74.3848
258.000000 84.661 73.8510
262.000000 84.628 73.3345
265.000000 84.604 72.9527
269.000000 84.575 72.4447
272.000000 84.555 72.0679
276.000000 84.529 71.5836
280.000000 84.505 71.1120
285.000000 84.474 70.5321
290.000000 84.446 69.9645
295.000000 84.419 69.4322
300.000000 84.394 68.9156
304.000000 84.376 68.5291
307.000000 84.362 68.2457
311.000000 84.347 67.8829
315.000000 84.335 67.5488
320.000000 84.326 67.1621
325.000000 84.327 66.7846
330.000000 84.336 66.3984
335.000000 84.354 65.9780
340.000000 84.376 65.5109
345.000000 84.398 64.9791
350.000000 84.416 64.3914
355.000000 84.429 63.7831
360.000000 84.435 63.1805
365.000000 84.435 62.5906
370.000000 84.433 62.0165
375.000000 84.429 61.4611
382.000000 84.422 60.7181
387.000000 84.417 60.2138
395.000000 84.405 59.4514
400.000000 84.397 58.9750
406.000000 84.390 58.4094
412.000000 84.382 57.8773
418.000000 84.374 57.3574
425.000000 84.364 56.7667
431.000000 84.357 56.2725
437.000000 84.351 55.7961
444.000000 84.341 55.2655
450.000000 84.331 54.8106
455.000000 84.325 54.4342
462.000000 84.316 53.9262
468.000000 84.308 53.5081
475.000000 84.296 53.0202
482.000000 84.287 52.5307
487.000000 84.282 52.2062
494.000000 84.273 51.7954
500.000000 84.262 51.4516
508.000000 84.246 50.9787
515.000000 84.234 50.5765
522.000000 84.224 50.1902
530.000000 84.210 49.7693
538.000000 84.196 49.3692
545.000000 84.183 49.0277
552.000000 84.172 48.7004
560.000000 84.158 48.3365
570.000000 84.139 47.9060
580.000000 84.118 47.5006
590.000000 84.099 47.1248
600.000000 84.080 46.7797
608.000000 84.064 46.5194
615.000000 84.049 46.3002
622.000000 84.033 46.0941
630.000000 84.016 45.8721
640.000000 83.998 45.6176
650.000000 83.979 45.3961
660.000000 83.961 45.1873
670.000000 83.942 44.9958
680.000000 83.922 44.8424
690.000000 83.903 44.7114
700.000000 83.884 44.5907
710.000000 83.868 44.4963
720.000000 83.852 44.4330
730.000000 83.837 44.3896
740.000000 83.823 44.3614
750.000000 83.810 44.3483
762.000000 83.797 44.3618
775.000000 83.785 44.4125
788.000000 83.776 44.4883
800.000000 83.769 44.5746
812.000000 83.766 44.6800
825.000000 83.765 44.8236
838.000000 83.765 45.0018
850.000000 83.767 45.1824
862.000000 83.772 45.3803
875.000000 83.781 45.6276
885.000000 83.789 45.8449
900.000000 83.807 46.2189
912.000000 83.826 46.5511
925.000000 83.855 46.9477
938.000000 83.897 47.3847
950.000000 83.946 47.8004
962.000000 84.007 48.1997
975.000000 84.085 48.5853
988.000000 84.174 48.9054
1000.000000 84.261 49.1399
1015.000000 84.373 49.3541
1030.000000 84.487 49.4826
1044.000000 84.591 49.5316
1060.000000 84.708 49.5228
1075.000000 84.814 49.4649
1090.000000 84.917 49.3645
1106.000000 85.021 49.2124
1120.000000 85.109 49.0455
1138.000000 85.216 48.7942
1150.000000 85.284 48.6096
1172.000000 85.399 48.2416
1180.000000 85.439 48.0986
1206.000000 85.557 47.6111
1220.000000 85.614 47.3428
1241.000000 85.693 46.9402
1250.000000 85.725 46.7679
1265.000000 85.774 46.4824
1280.000000 85.819 46.2014
1315.000000 85.909 45.5830
1320.000000 85.920 45.4998
1340.000000 85.963 45.1782
1360.000000 86.001 44.8802
1380.000000 86.036 44.6093
1400.000000 86.067 44.3647
1430.000000 86.109 44.0428
1450.000000 86.136 43.8558
1475.000000 86.167 43.6626
1500.000000 86.195 43.5103
1525.000000 86.223 43.3875
1550.000000 86.252 43.2978
1575.000000 86.282 43.2411
1600.000000 86.311 43.2115
1625.000000 86.343 43.2068
1650.000000 86.377 43.2231
1675.000000 86.412 43.2582
1700.000000 86.449 43.3121
1725.000000 86.489 43.3850
1750.000000 86.531 43.4696
1775.000000 86.576 43.5604
1800.000000 86.624 43.6600
1825.000000 86.675 43.7706
1850.000000 86.728 43.8842
1875.000000 86.784 43.9953
1900.000000 86.843 44.1027
1925.000000 86.905 44.2117
1950.000000 86.969 44.3218
1975.000000 87.036 44.4264
2000.000000 87.106 44.5203
2030.000000 87.194 44.6163
2060.000000 87.285 44.6978
2090.000000 87.379 44.7653
2120.000000 87.476 44.8110
2140.000000 87.543 44.8270
2180.000000 87.680 44.8245
2200.000000 87.750 44.8067
2240.000000 87.893 44.7365
2270.000000 88.003 44.6493
2300.000000 88.114 44.5281
2330.000000 88.228 44.3704
2360.000000 88.342 44.1781
2400.000000 88.495 43.8687
2430.000000 88.610 43.5902
2470.000000 88.765 43.1515
2500.000000 88.880 42.7716
2540.000000 89.031 42.2041
2580.000000 89.178 41.5662
2620.000000 89.322 40.8470
2650.000000 89.428 40.2546
2690.000000 89.563 39.4034
2720.000000 89.659 38.7202
2760.000000 89.779 37.7467
2800.000000 89.892 36.7031
2850.000000 90.019 35.3085
2900.000000 90.128 33.8329
2950.000000 90.216 32.2911
3000.000000 90.284 30.6944
3040.000000 90.324 29.3904
3070.000000 90.345 28.4053
3110.000000 90.360 27.0928
3150.000000 90.361 25.7899
3200.000000 90.344 24.1869
3250.000000 90.308 22.6296
3300.000000 90.255 21.1428
3350.000000 90.185 19.7410
3400.000000 90.103 18.4326
3450.000000 90.012 17.2286
3500.000000 89.917 16.1348
3550.000000 89.820 15.1452
3600.000000 89.726 14.2396
3650.000000 89.637 13.3790
3700.000000 89.553 12.5276
3750.000000 89.467 11.6725
3820.000000 89.340 10.4840
3870.000000 89.243 9.6610
3950.000000 89.079 8.4116
4000.000000 88.973 7.6711
4060.000000 88.843 6.8134
4120.000000 88.708 5.9750
4180.000000 88.568 5.1501
4250.000000 88.393 4.2176
4310.000000 88.228 3.4729
4370.000000 88.053 2.8099
4440.000000 87.840 2.1745
4500.000000 87.657 1.7553
4550.000000 87.506 1.4854
4620.000000 87.301 1.2048
4680.000000 87.131 1.0345
4750.000000 86.939 0.9050
4820.000000 86.756 0.8483
4870.000000 86.630 0.8496
4940.000000 86.463 0.8932
5000.000000 86.328 0.9573
5080.000000 86.159 1.0769
5150.000000 86.024 1.1995
5220.000000 85.899 1.3118
5300.000000 85.764 1.4069
5380.000000 85.632 1.4641
5450.000000 85.518 1.4926
5520.000000 85.402 1.5171
5600.000000 85.267 1.5563
5700.000000 85.092 1.6352
5800.000000 84.910 1.7794
5900.000000 84.724 2.0411
6000.000000 84.537 2.4841
6080.000000 84.394 2.9934
6150.000000 84.279 3.5452
6220.000000 84.178 4.1859
6300.000000 84.085 5.0057
6400.000000 84.003 6.1205
6500.000000 83.960 7.2892
6600.000000 83.959 8.4641
6700.000000 84.003 9.5946
6800.000000 84.087 10.6564
6900.000000 84.208 11.6393
7000.000000 84.370 12.5773
