* Measurement data measured by REW V5.31.1
* Source: Input device not selected, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 23/06/2024 4:49:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Hisenior Mega5EST R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 92.410 -155.3746
20.299999 92.443 -156.2702
20.600000 92.475 -157.1484
20.900000 92.504 -158.0081
21.200001 92.532 -158.8499
21.400000 92.550 -159.4020
21.799999 92.585 -160.4877
22.000000 92.602 -161.0230
22.400000 92.634 -162.0818
22.700001 92.657 -162.8668
23.000000 92.678 -163.6439
23.299999 92.699 -164.4127
23.600000 92.717 -165.1724
24.000000 92.740 -166.1701
24.299999 92.755 -166.9062
24.700001 92.774 -167.8715
25.000000 92.787 -168.5838
25.400000 92.804 -169.5195
25.799999 92.819 -170.4411
26.200001 92.833 -171.3495
26.500000 92.842 -172.0217
26.900000 92.852 -172.9046
27.200001 92.860 -173.5562
27.600000 92.868 -174.4108
28.000000 92.876 -175.2509
28.500000 92.884 -176.2834
29.000000 92.890 -177.2981
29.500000 92.894 -178.2941
30.000000 92.897 -179.2707
30.400000 92.898 179.9610
30.700001 92.898 179.3915
31.100000 92.897 178.6400
31.500000 92.896 177.8971
32.000000 92.892 176.9818
32.500000 92.887 176.0829
33.000000 92.881 175.2006
33.500000 92.875 174.3320
34.000000 92.867 173.4740
34.500000 92.859 172.6259
35.000000 92.850 171.7888
35.500000 92.839 170.9643
36.000000 92.828 170.1526
36.500000 92.816 169.3535
37.000000 92.803 168.5669
37.500000 92.790 167.7927
38.200001 92.770 166.7268
38.700001 92.755 165.9762
39.500000 92.729 164.7940
40.000000 92.712 164.0687
40.599998 92.691 163.2123
41.200001 92.669 162.3690
41.799999 92.646 161.5363
42.500000 92.619 160.5788
43.099998 92.594 159.7716
43.700001 92.570 158.9765
44.400002 92.540 158.0615
45.000000 92.515 157.2875
45.500000 92.493 156.6504
46.200001 92.462 155.7701
46.799999 92.434 155.0256
47.500000 92.402 154.1691
48.200001 92.368 153.3277
48.700001 92.344 152.7352
49.400002 92.310 151.9152
50.000000 92.280 151.2208
50.799999 92.239 150.3085
51.500000 92.203 149.5228
52.200001 92.167 148.7466
53.000000 92.124 147.8714
53.799999 92.082 147.0093
54.500000 92.044 146.2654
55.200001 92.006 145.5308
56.000000 91.963 144.7025
57.000000 91.907 143.6835
58.000000 91.852 142.6834
59.000000 91.795 141.7018
60.000000 91.738 140.7386
60.799999 91.692 139.9810
61.500000 91.651 139.3262
62.200001 91.611 138.6782
63.000000 91.565 137.9454
64.000000 91.506 137.0419
65.000000 91.447 136.1540
66.000000 91.388 135.2817
67.000000 91.328 134.4227
68.000000 91.268 133.5775
69.000000 91.208 132.7466
70.000000 91.148 131.9279
71.000000 91.088 131.1206
72.000000 91.027 130.3257
73.000000 90.966 129.5433
74.000000 90.905 128.7725
75.000000 90.843 128.0145
76.199997 90.770 127.1213
77.500000 90.690 126.1719
78.800003 90.610 125.2431
80.000000 90.537 124.3990
81.199997 90.463 123.5714
82.500000 90.385 122.6925
83.800003 90.307 121.8264
85.000000 90.235 121.0371
86.199997 90.163 120.2580
87.500000 90.084 119.4295
88.500000 90.024 118.8031
90.000000 89.933 117.8802
91.199997 89.860 117.1556
92.500000 89.782 116.3825
93.800003 89.704 115.6212
95.000000 89.631 114.9321
96.199997 89.560 114.2564
97.500000 89.482 113.5375
98.800003 89.404 112.8321
100.000000 89.333 112.1938
101.500000 89.244 111.4109
103.000000 89.156 110.6417
104.400002 89.074 109.9363
106.000000 88.981 109.1455
107.500000 88.895 108.4188
109.000000 88.808 107.7066
110.599998 88.716 106.9629
112.000000 88.636 106.3239
113.800003 88.532 105.5190
115.000000 88.463 104.9928
117.199997 88.337 104.0500
118.000000 88.291 103.7151
120.599998 88.141 102.6587
122.000000 88.060 102.1102
124.099998 87.939 101.3121
125.000000 87.886 100.9789
126.500000 87.798 100.4375
128.000000 87.710 99.9187
131.500000 87.500 98.8136
132.000000 87.470 98.6692
134.000000 87.350 98.1288
136.000000 87.232 97.6590
138.000000 87.120 97.2678
140.000000 87.016 96.9475
143.000000 86.882 96.5490
145.000000 86.807 96.2997
147.500000 86.727 95.9790
150.000000 86.658 95.6403
152.500000 86.599 95.2978
155.000000 86.547 94.9506
157.500000 86.507 94.5919
160.000000 86.480 94.2097
162.500000 86.467 93.7780
165.000000 86.463 93.2562
167.500000 86.462 92.6160
170.000000 86.458 91.8569
172.500000 86.443 91.0107
175.000000 86.414 90.1269
177.500000 86.371 89.2446
180.000000 86.316 88.3980
182.500000 86.254 87.6006
185.000000 86.189 86.8521
187.500000 86.121 86.1545
190.000000 86.053 85.5064
192.500000 85.987 84.8948
195.000000 85.922 84.3125
197.500000 85.860 83.7562
200.000000 85.798 83.2187
203.000000 85.724 82.6052
206.000000 85.653 82.0490
209.000000 85.590 81.5201
212.000000 85.530 81.0036
214.000000 85.491 80.6679
218.000000 85.421 80.0115
220.000000 85.389 79.6853
224.000000 85.328 79.0269
227.000000 85.284 78.5305
230.000000 85.242 78.0360
233.000000 85.201 77.5513
236.000000 85.162 77.0817
240.000000 85.110 76.4758
243.000000 85.072 76.0310
247.000000 85.025 75.4450
250.000000 84.992 75.0152
254.000000 84.949 74.4532
258.000000 84.908 73.8991
262.000000 84.869 73.3564
265.000000 84.841 72.9557
269.000000 84.805 72.4294
272.000000 84.780 72.0422
276.000000 84.747 71.5370
280.000000 84.716 71.0427
285.000000 84.678 70.4298
290.000000 84.642 69.8279
295.000000 84.607 69.2498
300.000000 84.574 68.6923
304.000000 84.547 68.2563
307.000000 84.527 67.9396
311.000000 84.500 67.5414
315.000000 84.474 67.1737
320.000000 84.443 66.7660
325.000000 84.420 66.4327
330.000000 84.412 66.1703
335.000000 84.427 65.9126
340.000000 84.462 65.5521
345.000000 84.500 65.0225
350.000000 84.529 64.3638
355.000000 84.543 63.6680
360.000000 84.544 62.9883
365.000000 84.537 62.3409
370.000000 84.526 61.7256
375.000000 84.513 61.1467
382.000000 84.496 60.3846
387.000000 84.483 59.8573
395.000000 84.461 59.0654
400.000000 84.450 58.5948
406.000000 84.436 58.0359
412.000000 84.422 57.4913
418.000000 84.408 56.9588
425.000000 84.392 56.3639
431.000000 84.379 55.8706
437.000000 84.365 55.3793
444.000000 84.350 54.8174
450.000000 84.337 54.3332
455.000000 84.327 53.9619
462.000000 84.314 53.4529
468.000000 84.300 53.0325
475.000000 84.286 52.5457
482.000000 84.271 52.0638
487.000000 84.260 51.7351
494.000000 84.245 51.2936
500.000000 84.231 50.9232
508.000000 84.213 50.4366
515.000000 84.196 50.0286
522.000000 84.179 49.6385
530.000000 84.160 49.2019
538.000000 84.141 48.7863
545.000000 84.126 48.4448
552.000000 84.110 48.1112
560.000000 84.089 47.7413
570.000000 84.065 47.3203
580.000000 84.043 46.9176
590.000000 84.019 46.5304
600.000000 83.996 46.1641
608.000000 83.978 45.8884
615.000000 83.962 45.6657
622.000000 83.945 45.4565
630.000000 83.924 45.2174
640.000000 83.902 44.9430
650.000000 83.879 44.7186
660.000000 83.856 44.5037
670.000000 83.833 44.3069
680.000000 83.809 44.1313
690.000000 83.787 43.9796
700.000000 83.767 43.8552
710.000000 83.747 43.7512
720.000000 83.727 43.6653
730.000000 83.708 43.5924
740.000000 83.691 43.5361
750.000000 83.676 43.5241
762.000000 83.658 43.5464
775.000000 83.641 43.5851
788.000000 83.627 43.6457
800.000000 83.616 43.7265
812.000000 83.610 43.8370
825.000000 83.604 43.9803
838.000000 83.600 44.1431
850.000000 83.598 44.3112
862.000000 83.599 44.5114
875.000000 83.602 44.7532
885.000000 83.607 44.9704
900.000000 83.618 45.3504
912.000000 83.632 45.7053
925.000000 83.655 46.1326
938.000000 83.693 46.5959
950.000000 83.742 47.0372
962.000000 83.805 47.4630
975.000000 83.887 47.8777
988.000000 83.979 48.2217
1000.000000 84.071 48.4624
1015.000000 84.190 48.6613
1030.000000 84.308 48.7654
1044.000000 84.417 48.7903
1060.000000 84.537 48.7430
1075.000000 84.645 48.6410
1090.000000 84.748 48.5027
1106.000000 84.853 48.3182
1120.000000 84.941 48.1241
1138.000000 85.048 47.8352
1150.000000 85.116 47.6252
1172.000000 85.231 47.2094
1180.000000 85.270 47.0504
1206.000000 85.387 46.5126
1220.000000 85.444 46.2158
1241.000000 85.521 45.7648
1250.000000 85.552 45.5713
1265.000000 85.599 45.2528
1280.000000 85.642 44.9407
1315.000000 85.728 44.2509
1320.000000 85.739 44.1561
1340.000000 85.779 43.7914
1360.000000 85.813 43.4538
1380.000000 85.843 43.1427
1400.000000 85.870 42.8608
1430.000000 85.906 42.4920
1450.000000 85.927 42.2828
1475.000000 85.952 42.0624
1500.000000 85.975 41.8841
1525.000000 85.999 41.7421
1550.000000 86.024 41.6359
1575.000000 86.049 41.5588
1600.000000 86.076 41.5076
1625.000000 86.105 41.4804
1650.000000 86.135 41.4752
1675.000000 86.168 41.4891
1700.000000 86.203 41.5198
1725.000000 86.240 41.5643
1750.000000 86.280 41.6203
1775.000000 86.321 41.6857
1800.000000 86.366 41.7566
1825.000000 86.413 41.8345
1850.000000 86.463 41.9203
1875.000000 86.516 42.0060
1900.000000 86.571 42.0885
1925.000000 86.629 42.1714
1950.000000 86.690 42.2506
1975.000000 86.753 42.3232
2000.000000 86.819 42.3879
2030.000000 86.902 42.4536
2060.000000 86.987 42.5070
2090.000000 87.076 42.5423
2120.000000 87.168 42.5577
2140.000000 87.230 42.5569
2180.000000 87.359 42.5246
2200.000000 87.425 42.4914
2240.000000 87.560 42.3837
2270.000000 87.664 42.2638
2300.000000 87.768 42.1130
2330.000000 87.873 41.9340
2360.000000 87.978 41.7230
2400.000000 88.120 41.3885
2430.000000 88.226 41.0934
2470.000000 88.367 40.6443
2500.000000 88.471 40.2681
2540.000000 88.608 39.7091
2580.000000 88.742 39.0855
2620.000000 88.872 38.3960
2650.000000 88.966 37.8360
2690.000000 89.087 37.0352
2720.000000 89.172 36.3951
2760.000000 89.280 35.4929
2800.000000 89.379 34.5430
2850.000000 89.492 33.2912
2900.000000 89.591 31.9734
2950.000000 89.675 30.6026
3000.000000 89.743 29.1859
3040.000000 89.786 28.0223
3070.000000 89.810 27.1370
3110.000000 89.832 25.9504
3150.000000 89.842 24.7669
3200.000000 89.839 23.3080
3250.000000 89.819 21.8950
3300.000000 89.785 20.5430
3350.000000 89.743 19.2605
3400.000000 89.694 18.0385
3450.000000 89.642 16.8530
3500.000000 89.586 15.6838
3550.000000 89.522 14.5237
3600.000000 89.448 13.3806
3650.000000 89.362 12.2791
3700.000000 89.267 11.2443
3750.000000 89.165 10.2865
3820.000000 89.017 9.0717
3870.000000 88.912 8.2795
3950.000000 88.747 7.1053
4000.000000 88.647 6.4050
4060.000000 88.529 5.5745
4120.000000 88.410 4.7407
4180.000000 88.290 3.8923
4250.000000 88.141 2.8740
4310.000000 88.003 1.9838
4370.000000 87.851 1.0981
4440.000000 87.653 0.1041
4500.000000 87.466 -0.6782
4550.000000 87.300 -1.2557
4620.000000 87.056 -1.9272
4680.000000 86.840 -2.3617
4750.000000 86.587 -2.7046
4820.000000 86.337 -2.8881
4870.000000 86.163 -2.9343
4940.000000 85.926 -2.8968
5000.000000 85.729 -2.7766
5080.000000 85.480 -2.4971
5150.000000 85.275 -2.1536
5220.000000 85.086 -1.7394
5300.000000 84.891 -1.2178
5380.000000 84.715 -0.6831
5450.000000 84.572 -0.2277
5520.000000 84.436 0.2079
5600.000000 84.287 0.6956
5700.000000 84.104 1.3109
5800.000000 83.925 1.9663
5900.000000 83.750 2.7045
6000.000000 83.583 3.5635
6080.000000 83.461 4.3462
6150.000000 83.365 5.0942
6220.000000 83.282 5.8926
6300.000000 83.206 6.8541
6400.000000 83.140 8.1025
6500.000000 83.107 9.3719
6600.000000 83.110 10.6394
6700.000000 83.149 11.8817
6800.000000 83.228 13.0802
6900.000000 83.350 14.2036
