* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -47.0 dBFS with no timing reference
* Dated: 06/03/2024 11:56:59 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ISN Audio Neo5 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 90.617 13.1381
20.299999 90.622 12.7857
20.600000 90.645 12.4454
20.900000 90.672 12.0131
21.200001 90.684 11.4767
21.400000 90.677 11.0969
21.799999 90.626 10.4276
22.000000 90.587 10.1947
22.400000 90.512 9.9861
22.700001 90.477 10.0024
23.000000 90.472 10.0599
23.299999 90.494 10.0518
23.600000 90.535 9.9038
24.000000 90.596 9.4538
24.299999 90.633 8.9605
24.700001 90.665 8.1902
25.000000 90.675 7.5909
25.400000 90.678 6.8229
25.799999 90.678 6.1060
26.200001 90.680 5.4208
26.500000 90.681 4.9153
26.900000 90.677 4.2621
27.200001 90.668 3.8131
27.600000 90.652 3.3132
28.000000 90.638 2.9414
28.500000 90.640 2.5872
29.000000 90.658 2.2198
29.500000 90.670 1.7936
30.000000 90.665 1.3984
30.400000 90.657 1.1527
30.700001 90.656 0.9908
31.100000 90.660 0.7489
31.500000 90.664 0.4369
32.000000 90.655 -0.0197
32.500000 90.637 -0.4663
33.000000 90.627 -0.9349
33.500000 90.622 -1.5796
34.000000 90.587 -2.4193
34.500000 90.493 -3.1873
35.000000 90.369 -3.5342
35.500000 90.283 -3.4095
36.000000 90.281 -3.1626
36.500000 90.336 -3.2018
37.000000 90.391 -3.6130
37.500000 90.411 -4.1825
38.200001 90.397 -4.8555
38.700001 90.387 -5.2326
39.500000 90.370 -5.8716
40.000000 90.341 -6.2810
40.599998 90.292 -6.6647
41.200001 90.248 -6.9061
41.799999 90.224 -7.1149
42.500000 90.210 -7.4625
43.099998 90.195 -7.8318
43.700001 90.179 -8.1963
44.400002 90.169 -8.6332
45.000000 90.162 -9.0785
45.500000 90.148 -9.4780
46.200001 90.112 -9.9657
46.799999 90.079 -10.2687
47.500000 90.051 -10.5416
48.200001 90.033 -10.7980
48.700001 90.027 -11.0033
49.400002 90.020 -11.3757
50.000000 90.005 -11.7679
50.799999 89.964 -12.2384
51.500000 89.932 -12.5474
52.200001 89.911 -12.8937
53.000000 89.871 -13.3339
53.799999 89.821 -13.6281
54.500000 89.791 -13.8411
55.200001 89.759 -14.1171
56.000000 89.711 -14.3961
57.000000 89.662 -14.7612
58.000000 89.594 -15.1628
59.000000 89.563 -15.3807
60.000000 89.569 -16.0551
60.799999 89.516 -16.6957
61.500000 89.456 -16.9302
62.200001 89.420 -16.9670
63.000000 89.396 -16.9910
64.000000 89.356 -16.9130
65.000000 89.315 -16.5933
66.000000 89.309 -16.0057
67.000000 89.413 -15.7204
68.000000 89.529 -16.7899
69.000000 89.462 -18.6083
70.000000 89.262 -19.7892
71.000000 89.093 -20.1371
72.000000 89.018 -20.2411
73.000000 88.990 -20.5076
74.000000 88.954 -20.8275
75.000000 88.907 -21.0352
76.199997 88.842 -21.2294
77.500000 88.760 -21.3437
78.800003 88.716 -21.6367
80.000000 88.664 -22.2953
81.199997 88.578 -23.0014
82.500000 88.479 -23.2949
83.800003 88.453 -23.4931
85.000000 88.420 -23.8718
86.199997 88.369 -24.2274
87.500000 88.300 -24.5895
88.500000 88.245 -24.8910
90.000000 88.157 -25.2144
91.199997 88.114 -25.4208
92.500000 88.067 -25.6793
93.800003 88.015 -25.9006
95.000000 87.950 -26.0979
96.199997 87.870 -26.2917
97.500000 87.770 -26.4903
98.800003 87.674 -26.7151
100.000000 87.577 -26.9784
101.500000 87.462 -27.0762
103.000000 87.373 -27.1464
104.400002 87.287 -27.1707
106.000000 87.188 -26.9633
107.500000 87.140 -26.5801
109.000000 87.126 -26.3014
110.599998 87.136 -26.0144
112.000000 87.158 -25.8837
113.800003 87.180 -26.0010
115.000000 87.169 -26.2620
117.199997 87.117 -26.8390
118.000000 87.095 -27.0732
120.599998 87.018 -27.8055
122.000000 86.972 -28.1072
124.099998 86.897 -28.4789
125.000000 86.860 -28.6272
126.500000 86.795 -28.8726
128.000000 86.727 -29.1235
131.500000 86.567 -29.6416
132.000000 86.546 -29.6946
134.000000 86.468 -29.8967
136.000000 86.392 -30.1414
138.000000 86.307 -30.3760
140.000000 86.219 -30.5419
143.000000 86.089 -30.7711
145.000000 86.001 -30.9045
147.500000 85.893 -31.0765
150.000000 85.784 -31.2096
152.500000 85.679 -31.3170
155.000000 85.566 -31.4362
157.500000 85.458 -31.4569
160.000000 85.360 -31.5108
162.500000 85.258 -31.5913
165.000000 85.151 -31.6222
167.500000 85.049 -31.5767
170.000000 84.956 -31.5236
172.500000 84.862 -31.5258
175.000000 84.763 -31.5260
177.500000 84.663 -31.4803
180.000000 84.564 -31.3808
182.500000 84.470 -31.2557
185.000000 84.379 -31.1365
187.500000 84.286 -31.0291
190.000000 84.194 -30.9103
192.500000 84.107 -30.7765
195.000000 84.024 -30.5931
197.500000 83.939 -30.4139
200.000000 83.845 -30.3152
203.000000 83.732 -30.1861
206.000000 83.642 -29.9052
209.000000 83.553 -29.5872
212.000000 83.457 -29.2877
214.000000 83.398 -29.1381
218.000000 83.283 -28.8026
220.000000 83.225 -28.6135
224.000000 83.110 -28.2495
227.000000 83.026 -27.9562
230.000000 82.945 -27.6289
233.000000 82.869 -27.2968
236.000000 82.794 -26.9574
240.000000 82.691 -26.5037
243.000000 82.616 -26.1791
247.000000 82.523 -25.7147
250.000000 82.456 -25.3381
254.000000 82.370 -24.8419
258.000000 82.289 -24.3572
262.000000 82.216 -23.8853
265.000000 82.160 -23.5356
269.000000 82.084 -23.0431
272.000000 82.027 -22.6680
276.000000 81.955 -22.1569
280.000000 81.889 -21.6483
285.000000 81.812 -20.9841
290.000000 81.732 -20.3269
295.000000 81.668 -19.7116
300.000000 81.615 -19.0418
304.000000 81.572 -18.4999
307.000000 81.542 -18.1141
311.000000 81.504 -17.6558
315.000000 81.470 -17.2301
320.000000 81.433 -16.6754
325.000000 81.394 -16.1343
330.000000 81.352 -15.5876
335.000000 81.311 -15.0683
340.000000 81.274 -14.5618
345.000000 81.237 -14.0458
350.000000 81.203 -13.5161
355.000000 81.173 -13.0022
360.000000 81.145 -12.5011
365.000000 81.117 -11.9725
370.000000 81.092 -11.4705
375.000000 81.068 -11.0102
382.000000 81.039 -10.4099
387.000000 81.021 -9.9892
395.000000 80.992 -9.2940
400.000000 80.970 -8.8624
406.000000 80.944 -8.3579
412.000000 80.923 -7.8834
418.000000 80.905 -7.3742
425.000000 80.883 -6.8043
431.000000 80.864 -6.3284
437.000000 80.844 -5.8583
444.000000 80.822 -5.3104
450.000000 80.807 -4.8188
455.000000 80.797 -4.4226
462.000000 80.782 -3.9164
468.000000 80.769 -3.4918
475.000000 80.752 -2.9763
482.000000 80.735 -2.4660
487.000000 80.724 -2.1047
494.000000 80.710 -1.6066
500.000000 80.700 -1.1974
508.000000 80.689 -0.6628
515.000000 80.681 -0.1976
522.000000 80.672 0.2831
530.000000 80.663 0.8287
538.000000 80.654 1.3448
545.000000 80.646 1.7955
552.000000 80.638 2.2398
560.000000 80.628 2.7578
570.000000 80.617 3.3886
580.000000 80.610 3.9814
590.000000 80.602 4.5646
600.000000 80.593 5.1707
608.000000 80.587 5.6669
615.000000 80.579 6.0987
622.000000 80.570 6.5244
630.000000 80.560 7.0074
640.000000 80.549 7.6279
650.000000 80.540 8.2534
660.000000 80.532 8.8813
670.000000 80.527 9.5085
680.000000 80.523 10.1481
690.000000 80.521 10.7909
700.000000 80.520 11.4050
710.000000 80.520 12.0403
720.000000 80.519 12.7134
730.000000 80.519 13.3798
740.000000 80.523 14.0314
750.000000 80.530 14.6818
762.000000 80.541 15.4879
775.000000 80.557 16.3629
788.000000 80.575 17.2330
800.000000 80.596 18.0401
812.000000 80.620 18.8458
825.000000 80.651 19.7297
838.000000 80.685 20.6112
850.000000 80.724 21.4182
862.000000 80.766 22.2292
875.000000 80.817 23.0764
885.000000 80.859 23.7332
900.000000 80.925 24.7233
912.000000 80.984 25.4905
925.000000 81.052 26.3115
938.000000 81.123 27.0975
950.000000 81.195 27.7996
962.000000 81.270 28.4777
975.000000 81.353 29.1840
988.000000 81.440 29.8761
1000.000000 81.525 30.4841
1015.000000 81.632 31.1855
1030.000000 81.741 31.8488
1044.000000 81.847 32.4298
1060.000000 81.969 33.0448
1075.000000 82.086 33.5729
1090.000000 82.200 34.0587
1106.000000 82.322 34.5141
1120.000000 82.427 34.8797
1138.000000 82.560 35.3187
1150.000000 82.646 35.5856
1172.000000 82.801 36.0013
1180.000000 82.857 36.1411
1206.000000 83.032 36.5362
1220.000000 83.121 36.7236
1241.000000 83.248 36.9966
1250.000000 83.300 37.1082
1265.000000 83.386 37.2766
1280.000000 83.470 37.4252
1315.000000 83.657 37.7619
1320.000000 83.683 37.8118
1340.000000 83.784 38.0250
1360.000000 83.884 38.2575
1380.000000 83.986 38.4878
1400.000000 84.089 38.6870
1430.000000 84.239 38.9188
1450.000000 84.336 39.0468
1475.000000 84.453 39.2168
1500.000000 84.565 39.3981
1525.000000 84.674 39.5696
1550.000000 84.782 39.7530
1575.000000 84.892 39.9423
1600.000000 84.999 40.1191
1625.000000 85.107 40.2955
1650.000000 85.218 40.4755
1675.000000 85.328 40.6549
1700.000000 85.435 40.8500
1725.000000 85.542 41.0806
1750.000000 85.652 41.3533
1775.000000 85.770 41.7021
1800.000000 85.912 42.1385
1825.000000 86.093 42.5451
1850.000000 86.308 42.7317
1875.000000 86.532 42.5671
1900.000000 86.735 42.1221
1925.000000 86.907 41.5462
1950.000000 87.051 40.9441
1975.000000 87.179 40.3550
2000.000000 87.298 39.7808
2030.000000 87.431 39.1129
2060.000000 87.556 38.4328
2090.000000 87.675 37.7264
2120.000000 87.788 36.9921
2140.000000 87.859 36.4843
2180.000000 87.989 35.4256
2200.000000 88.046 34.8811
2240.000000 88.148 33.7765
2270.000000 88.214 32.9485
2300.000000 88.271 32.1269
2330.000000 88.323 31.3156
2360.000000 88.372 30.4915
2400.000000 88.430 29.3095
2430.000000 88.460 28.3516
2470.000000 88.470 27.0381
2500.000000 88.455 26.0818
2540.000000 88.413 24.8896
2580.000000 88.354 23.8197
2620.000000 88.278 22.8845
2650.000000 88.214 22.2623
2690.000000 88.124 21.5319
2720.000000 88.054 21.0542
2760.000000 87.960 20.5059
2800.000000 87.864 20.0430
2850.000000 87.743 19.5992
2900.000000 87.624 19.3048
2950.000000 87.514 19.1318
3000.000000 87.413 19.0626
3040.000000 87.336 19.0731
3070.000000 87.282 19.1148
3110.000000 87.217 19.2098
3150.000000 87.162 19.3408
3200.000000 87.106 19.5540
3250.000000 87.065 19.8085
3300.000000 87.038 20.0513
3350.000000 87.028 20.2496
3400.000000 87.027 20.3953
3450.000000 87.033 20.4590
3500.000000 87.039 20.4310
3550.000000 87.035 20.3278
3600.000000 87.015 20.1927
3650.000000 86.977 20.1136
3700.000000 86.925 20.2062
3750.000000 86.878 20.5492
3820.000000 86.869 21.3590
3870.000000 86.919 21.9706
3950.000000 87.079 22.6311
4000.000000 87.212 22.7750
4060.000000 87.389 22.6487
4120.000000 87.571 22.1979
4180.000000 87.751 21.4315
4250.000000 87.952 20.1108
4310.000000 88.101 18.5892
4370.000000 88.214 16.7130
4440.000000 88.276 14.1316
4500.000000 88.254 11.6827
4550.000000 88.176 9.5720
4620.000000 87.970 6.7030
4680.000000 87.711 4.4635
4750.000000 87.329 2.2437
4820.000000 86.882 0.5761
4870.000000 86.538 -0.2314
4940.000000 86.038 -0.8269
5000.000000 85.610 -0.8459
5080.000000 85.062 -0.1765
5150.000000 84.624 1.0007
5220.000000 84.245 2.6412
5300.000000 83.901 4.9572
5380.000000 83.671 7.5897
5450.000000 83.576 9.9744
5520.000000 83.586 12.2225
5600.000000 83.725 14.3372
5700.000000 84.046 15.7327
