* Measurement data measured by REW V5.30.5
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -47.0 dBFS with no timing reference
* Dated: 06/03/2024 11:56:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: ISN Audio Neo5 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 90.510 13.0351
20.299999 90.520 12.4610
20.600000 90.515 11.8472
20.900000 90.499 11.2771
21.200001 90.480 10.7896
21.400000 90.472 10.5035
21.799999 90.472 9.9628
22.000000 90.477 9.6797
22.400000 90.490 9.0568
22.700001 90.494 8.5591
23.000000 90.490 8.0735
23.299999 90.482 7.6301
23.600000 90.473 7.2369
24.000000 90.468 6.7622
24.299999 90.468 6.4107
24.700001 90.468 5.9221
25.000000 90.462 5.5521
25.400000 90.448 5.0958
25.799999 90.434 4.7101
26.200001 90.428 4.3656
26.500000 90.433 4.0853
26.900000 90.442 3.6235
27.200001 90.444 3.2058
27.600000 90.427 2.6119
28.000000 90.389 2.0813
28.500000 90.334 1.6189
29.000000 90.306 1.3095
29.500000 90.308 0.9358
30.000000 90.310 0.4025
30.400000 90.295 -0.0515
30.700001 90.278 -0.3403
31.100000 90.260 -0.6331
31.500000 90.262 -0.8889
32.000000 90.289 -1.3534
32.500000 90.305 -2.0827
33.000000 90.269 -2.9050
33.500000 90.186 -3.4907
34.000000 90.104 -3.6705
34.500000 90.076 -3.6278
35.000000 90.104 -3.7593
35.500000 90.137 -4.2839
36.000000 90.118 -5.0265
36.500000 90.041 -5.5788
37.000000 89.962 -5.7025
37.500000 89.943 -5.5946
38.200001 90.004 -5.8467
38.700001 90.027 -6.4397
39.500000 89.962 -7.2588
40.000000 89.923 -7.4205
40.599998 89.922 -7.5720
41.200001 89.931 -7.9558
41.799999 89.906 -8.4135
42.500000 89.862 -8.7738
43.099998 89.838 -9.0302
43.700001 89.817 -9.3389
44.400002 89.788 -9.7095
45.000000 89.771 -10.0547
45.500000 89.758 -10.4075
46.200001 89.725 -10.9407
46.799999 89.689 -11.3477
47.500000 89.648 -11.7761
48.200001 89.598 -12.1176
48.700001 89.564 -12.2433
49.400002 89.544 -12.3510
50.000000 89.541 -12.5748
50.799999 89.506 -13.0387
51.500000 89.450 -13.3159
52.200001 89.414 -13.5046
53.000000 89.389 -13.9461
53.799999 89.333 -14.5423
54.500000 89.271 -14.9243
55.200001 89.228 -15.1803
56.000000 89.206 -15.4803
57.000000 89.191 -15.9526
58.000000 89.157 -16.5302
59.000000 89.066 -17.1139
60.000000 88.916 -17.3901
60.799999 88.811 -17.3945
61.500000 88.742 -17.6127
62.200001 88.646 -18.0027
63.000000 88.523 -18.2878
64.000000 88.410 -18.5245
65.000000 88.353 -17.8892
66.000000 88.577 -17.6781
67.000000 88.547 -18.7604
68.000000 88.458 -16.1331
69.000000 88.930 -14.7299
70.000000 88.976 -16.4907
71.000000 88.778 -15.9413
72.000000 88.824 -15.6696
73.000000 88.757 -16.7889
74.000000 88.624 -17.5996
75.000000 88.551 -18.0422
76.199997 88.625 -18.6876
77.500000 88.686 -20.0195
78.800003 88.679 -20.7502
80.000000 88.612 -21.0897
81.199997 88.552 -20.9752
82.500000 88.493 -21.5946
83.800003 88.358 -22.2681
85.000000 88.276 -22.8505
86.199997 88.204 -23.4990
87.500000 88.132 -23.9364
88.500000 88.091 -24.0920
90.000000 88.032 -24.3888
91.199997 87.959 -24.6813
92.500000 87.871 -24.9851
93.800003 87.794 -25.2939
95.000000 87.734 -25.6024
96.199997 87.677 -25.8427
97.500000 87.618 -25.9955
98.800003 87.555 -26.0717
100.000000 87.501 -26.1061
101.500000 87.439 -26.3036
103.000000 87.366 -26.6149
104.400002 87.305 -26.8433
106.000000 87.247 -27.1382
107.500000 87.188 -27.2920
109.000000 87.140 -27.4518
110.599998 87.084 -27.6863
112.000000 87.024 -27.9882
113.800003 86.930 -28.3784
115.000000 86.865 -28.5901
117.199997 86.764 -28.8981
118.000000 86.731 -29.0134
120.599998 86.618 -29.4052
122.000000 86.550 -29.5876
124.099998 86.446 -29.8223
125.000000 86.404 -29.9184
126.500000 86.337 -30.0819
128.000000 86.270 -30.2310
131.500000 86.111 -30.5058
132.000000 86.087 -30.5444
134.000000 85.984 -30.6953
136.000000 85.881 -30.8024
138.000000 85.786 -30.8901
140.000000 85.692 -30.9833
143.000000 85.547 -31.0967
145.000000 85.451 -31.1590
147.500000 85.334 -31.2518
150.000000 85.219 -31.2950
152.500000 85.105 -31.3357
155.000000 84.987 -31.3506
157.500000 84.870 -31.3474
160.000000 84.752 -31.3271
162.500000 84.634 -31.2880
165.000000 84.511 -31.2739
167.500000 84.381 -31.1942
170.000000 84.256 -31.0233
172.500000 84.122 -30.8322
175.000000 83.976 -30.5542
177.500000 83.827 -30.2113
180.000000 83.676 -29.7738
182.500000 83.525 -29.0881
185.000000 83.394 -28.0406
187.500000 83.317 -26.6876
190.000000 83.336 -25.2800
192.500000 83.444 -24.3018
195.000000 83.576 -24.0141
197.500000 83.673 -24.2809
200.000000 83.714 -24.8449
203.000000 83.690 -25.5054
206.000000 83.606 -25.8995
209.000000 83.496 -26.1171
212.000000 83.387 -26.1924
214.000000 83.324 -26.1804
218.000000 83.202 -26.0914
220.000000 83.136 -26.0153
224.000000 83.011 -25.7793
227.000000 82.924 -25.5253
230.000000 82.841 -25.2391
233.000000 82.762 -24.9464
236.000000 82.685 -24.6608
240.000000 82.581 -24.2810
243.000000 82.507 -23.9753
247.000000 82.414 -23.5422
250.000000 82.349 -23.2146
254.000000 82.264 -22.7710
258.000000 82.179 -22.3358
262.000000 82.096 -21.9181
265.000000 82.043 -21.5665
269.000000 81.978 -21.0842
272.000000 81.932 -20.7199
276.000000 81.869 -20.2167
280.000000 81.804 -19.7227
285.000000 81.731 -19.1475
290.000000 81.658 -18.5312
295.000000 81.590 -17.9841
300.000000 81.535 -17.4279
304.000000 81.496 -16.9418
307.000000 81.468 -16.5819
311.000000 81.432 -16.1155
315.000000 81.396 -15.6526
320.000000 81.347 -15.0808
325.000000 81.299 -14.5237
330.000000 81.259 -13.9766
335.000000 81.221 -13.4421
340.000000 81.184 -12.9200
345.000000 81.152 -12.4204
350.000000 81.124 -11.8994
355.000000 81.100 -11.3475
360.000000 81.076 -10.8325
365.000000 81.049 -10.3412
370.000000 81.024 -9.8889
375.000000 81.003 -9.4175
382.000000 80.974 -8.7557
387.000000 80.954 -8.3053
395.000000 80.927 -7.5785
400.000000 80.913 -7.1425
406.000000 80.896 -6.6328
412.000000 80.878 -6.1418
418.000000 80.863 -5.6647
425.000000 80.843 -5.1072
431.000000 80.827 -4.6234
437.000000 80.815 -4.1580
444.000000 80.805 -3.6339
450.000000 80.797 -3.1891
455.000000 80.788 -2.8235
462.000000 80.775 -2.3246
468.000000 80.763 -1.9023
475.000000 80.749 -1.4113
482.000000 80.739 -0.9132
487.000000 80.733 -0.5639
494.000000 80.724 -0.0898
500.000000 80.716 0.3021
508.000000 80.708 0.8212
515.000000 80.701 1.2982
522.000000 80.694 1.7753
530.000000 80.688 2.3071
538.000000 80.680 2.7868
545.000000 80.672 3.2177
552.000000 80.665 3.6572
560.000000 80.658 4.1613
570.000000 80.651 4.8114
580.000000 80.645 5.4385
590.000000 80.643 6.0484
600.000000 80.639 6.6355
608.000000 80.633 7.1190
615.000000 80.629 7.5301
622.000000 80.626 7.9514
630.000000 80.623 8.4492
640.000000 80.620 9.0630
650.000000 80.618 9.6515
660.000000 80.616 10.2480
670.000000 80.613 10.8706
680.000000 80.614 11.4960
690.000000 80.615 12.1067
700.000000 80.618 12.7318
710.000000 80.625 13.3579
720.000000 80.631 13.9891
730.000000 80.638 14.6198
740.000000 80.644 15.2482
750.000000 80.656 15.8818
762.000000 80.671 16.6499
775.000000 80.690 17.4929
788.000000 80.711 18.3240
800.000000 80.735 19.1119
812.000000 80.765 19.9047
825.000000 80.800 20.7389
838.000000 80.840 21.5768
850.000000 80.880 22.3574
862.000000 80.923 23.1370
875.000000 80.976 23.9701
885.000000 81.020 24.6012
900.000000 81.093 25.5425
912.000000 81.155 26.2739
925.000000 81.225 27.0490
938.000000 81.298 27.8047
950.000000 81.371 28.4787
962.000000 81.447 29.1299
975.000000 81.533 29.8210
988.000000 81.623 30.4849
1000.000000 81.709 31.0648
1015.000000 81.819 31.7252
1030.000000 81.932 32.3514
1044.000000 82.038 32.8979
1060.000000 82.160 33.4781
1075.000000 82.276 33.9823
1090.000000 82.393 34.4412
1106.000000 82.517 34.8786
1120.000000 82.623 35.2256
1138.000000 82.758 35.6278
1150.000000 82.847 35.8702
1172.000000 83.002 36.2679
1180.000000 83.058 36.3991
1206.000000 83.236 36.7525
1220.000000 83.328 36.9259
1241.000000 83.461 37.1729
1250.000000 83.516 37.2662
1265.000000 83.607 37.4061
1280.000000 83.694 37.5361
1315.000000 83.889 37.8219
1320.000000 83.916 37.8608
1340.000000 84.022 38.0233
1360.000000 84.125 38.1875
1380.000000 84.229 38.3456
1400.000000 84.332 38.5045
1430.000000 84.485 38.6999
1450.000000 84.587 38.7982
1475.000000 84.710 38.9304
1500.000000 84.828 39.0486
1525.000000 84.944 39.1588
1550.000000 85.061 39.2633
1575.000000 85.178 39.3616
1600.000000 85.293 39.4526
1625.000000 85.408 39.5392
1650.000000 85.526 39.6146
1675.000000 85.642 39.6729
1700.000000 85.757 39.7260
1725.000000 85.871 39.7611
1750.000000 85.983 39.7980
1775.000000 86.095 39.8658
1800.000000 86.209 39.9925
1825.000000 86.337 40.1905
1850.000000 86.491 40.4169
1875.000000 86.678 40.5234
1900.000000 86.886 40.3608
1925.000000 87.087 39.8996
1950.000000 87.262 39.2366
1975.000000 87.408 38.4843
2000.000000 87.534 37.7183
2030.000000 87.663 36.8281
2060.000000 87.776 35.9467
2090.000000 87.880 35.0586
2120.000000 87.974 34.1606
2140.000000 88.031 33.5491
2180.000000 88.131 32.2985
2200.000000 88.173 31.6658
2240.000000 88.241 30.3959
2270.000000 88.277 29.4429
2300.000000 88.301 28.5002
2330.000000 88.314 27.5851
2360.000000 88.321 26.6976
2400.000000 88.317 25.5255
2430.000000 88.304 24.6454
2470.000000 88.269 23.4821
2500.000000 88.225 22.6412
2540.000000 88.151 21.6025
2580.000000 88.061 20.6851
2620.000000 87.958 19.8979
2650.000000 87.874 19.3839
2690.000000 87.759 18.8020
2720.000000 87.670 18.4482
2760.000000 87.549 18.0916
2800.000000 87.429 17.8584
2850.000000 87.286 17.7417
2900.000000 87.159 17.7735
2950.000000 87.048 17.8923
3000.000000 86.948 18.0818
3040.000000 86.875 18.2850
3070.000000 86.824 18.4612
3110.000000 86.763 18.7345
3150.000000 86.713 19.0514
3200.000000 86.665 19.5005
3250.000000 86.636 19.9819
3300.000000 86.624 20.4548
3350.000000 86.632 20.8897
3400.000000 86.656 21.2777
3450.000000 86.694 21.5850
3500.000000 86.742 21.7872
3550.000000 86.795 21.8633
3600.000000 86.845 21.8054
3650.000000 86.884 21.6359
3700.000000 86.902 21.4156
3750.000000 86.895 21.2490
3820.000000 86.865 21.3361
3870.000000 86.864 21.6880
3950.000000 86.951 22.4701
4000.000000 87.068 22.8573
4060.000000 87.259 23.0116
4120.000000 87.481 22.7386
4180.000000 87.715 21.9960
4250.000000 87.978 20.4871
4310.000000 88.172 18.6407
4370.000000 88.310 16.3284
4440.000000 88.371 13.1738
4500.000000 88.320 10.2484
4550.000000 88.198 7.8020
4620.000000 87.914 4.6161
4680.000000 87.584 2.2571
4750.000000 87.120 0.0458
4820.000000 86.597 -1.4972
4870.000000 86.200 -2.1484
4940.000000 85.631 -2.3755
5000.000000 85.167 -1.9183
5080.000000 84.614 -0.6888
5150.000000 84.181 0.8511
5220.000000 83.811 2.8528
5300.000000 83.491 5.6060
5380.000000 83.308 8.6561
5450.000000 83.277 11.3439
5520.000000 83.371 13.7601
5600.000000 83.621 15.7825
5700.000000 84.065 16.5195
