* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.108
* Format: 256k Log Swept Sine, 1 sweep at -29.0 dBFS with no timing reference
* Dated: 28/10/2023 2:21:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ x Crinacle CRN L1 Oct 28
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 100.586 176.3998
20.299999 100.555 175.8857
20.600000 100.524 175.3847
20.900000 100.491 174.9025
21.200001 100.460 174.4404
21.400000 100.440 174.1398
21.799999 100.402 173.5449
22.000000 100.384 173.2449
22.400000 100.347 172.6342
22.700001 100.316 172.1733
23.000000 100.281 171.7248
23.299999 100.244 171.3018
23.600000 100.206 170.9090
24.000000 100.157 170.4265
24.299999 100.123 170.0812
24.700001 100.080 169.6242
25.000000 100.048 169.2802
25.400000 100.004 168.8274
25.799999 99.959 168.3938
26.200001 99.915 167.9765
26.500000 99.883 167.6621
26.900000 99.841 167.2277
27.200001 99.807 166.8922
27.600000 99.756 166.4516
28.000000 99.701 166.0465
28.500000 99.635 165.5983
29.000000 99.575 165.1665
29.500000 99.518 164.7085
30.000000 99.458 164.2466
30.400000 99.408 163.9035
30.700001 99.373 163.6606
31.100000 99.330 163.3324
31.500000 99.288 162.9820
32.000000 99.230 162.5345
32.500000 99.168 162.1410
33.000000 99.112 161.8093
33.500000 99.067 161.4621
34.000000 99.020 161.0579
34.500000 98.960 160.6821
35.000000 98.899 160.4274
35.500000 98.855 160.2417
36.000000 98.826 159.9787
36.500000 98.789 159.6077
37.000000 98.733 159.2688
37.500000 98.674 159.0728
38.200001 98.625 158.8551
38.700001 98.602 158.5267
39.500000 98.518 157.8069
40.000000 98.437 157.4728
40.599998 98.337 157.2609
41.200001 98.254 157.1604
41.799999 98.190 157.0842
42.500000 98.141 156.8795
43.099998 98.096 156.4891
43.700001 98.016 156.0375
44.400002 97.892 155.7927
45.000000 97.814 155.8607
45.500000 97.786 155.8761
46.200001 97.761 155.5743
46.799999 97.706 155.1635
47.500000 97.613 154.9115
48.200001 97.548 154.8491
48.700001 97.518 154.7067
49.400002 97.452 154.3775
50.000000 97.372 154.2807
50.799999 97.314 154.4256
51.500000 97.315 154.2031
52.200001 97.264 153.5672
53.000000 97.110 153.1955
53.799999 96.991 153.5224
54.500000 96.972 153.7189
55.200001 96.959 153.4695
56.000000 96.881 153.0450
57.000000 96.752 152.9828
58.000000 96.687 153.1005
59.000000 96.646 152.8020
60.000000 96.542 152.3453
60.799999 96.429 152.2747
61.500000 96.349 152.4289
62.200001 96.303 152.5986
63.000000 96.275 152.6307
64.000000 96.232 152.3947
65.000000 96.147 152.0825
66.000000 96.033 151.9919
67.000000 95.933 152.1955
68.000000 95.881 152.4767
69.000000 95.864 152.5039
70.000000 95.829 152.1951
71.000000 95.743 151.8132
72.000000 95.616 151.6641
73.000000 95.488 151.8990
74.000000 95.411 152.4008
75.000000 95.398 152.7972
76.199997 95.410 152.8024
77.500000 95.375 152.3391
78.800003 95.251 151.9065
80.000000 95.104 151.9465
81.199997 94.990 152.2484
82.500000 94.907 152.5482
83.800003 94.845 152.7425
85.000000 94.801 152.8511
86.199997 94.764 152.9047
87.500000 94.726 152.9361
88.500000 94.696 152.9579
90.000000 94.644 152.9888
91.199997 94.596 153.0140
92.500000 94.535 153.0291
93.800003 94.468 153.0394
95.000000 94.404 153.0544
96.199997 94.340 153.0775
97.500000 94.273 153.1207
98.800003 94.206 153.1859
100.000000 94.143 153.2843
101.500000 94.071 153.4346
103.000000 94.001 153.5634
104.400002 93.939 153.6662
106.000000 93.872 153.7686
107.500000 93.813 153.8646
109.000000 93.754 153.9877
110.599998 93.691 154.1539
112.000000 93.636 154.3065
113.800003 93.564 154.4929
115.000000 93.518 154.6060
117.199997 93.440 154.7933
118.000000 93.412 154.8611
120.599998 93.325 155.1241
122.000000 93.279 155.2841
124.099998 93.207 155.5148
125.000000 93.177 155.6091
126.500000 93.126 155.7647
128.000000 93.078 155.9232
131.500000 92.972 156.3104
132.000000 92.956 156.3661
134.000000 92.896 156.5844
136.000000 92.836 156.7946
138.000000 92.778 157.0064
140.000000 92.721 157.2375
143.000000 92.638 157.6133
145.000000 92.585 157.8570
147.500000 92.520 158.1644
150.000000 92.456 158.4885
152.500000 92.394 158.8273
155.000000 92.336 159.1702
157.500000 92.284 159.5399
160.000000 92.240 159.9301
162.500000 92.202 160.3102
165.000000 92.170 160.6489
167.500000 92.141 160.9344
170.000000 92.111 161.1844
172.500000 92.080 161.4059
175.000000 92.044 161.6046
177.500000 92.006 161.7965
180.000000 91.966 161.9931
182.500000 91.926 162.1996
185.000000 91.885 162.4155
187.500000 91.842 162.6397
190.000000 91.800 162.8672
192.500000 91.759 163.1012
195.000000 91.718 163.3540
197.500000 91.677 163.6298
200.000000 91.637 163.9003
203.000000 91.590 164.1910
206.000000 91.543 164.4900
209.000000 91.497 164.8174
212.000000 91.452 165.1654
214.000000 91.424 165.4059
218.000000 91.371 165.9121
220.000000 91.345 166.1796
224.000000 91.300 166.7393
227.000000 91.274 167.1753
230.000000 91.256 167.6143
233.000000 91.246 168.0340
236.000000 91.242 168.4101
240.000000 91.244 168.8201
243.000000 91.246 169.0569
247.000000 91.245 169.3015
250.000000 91.238 169.4606
254.000000 91.219 169.6776
258.000000 91.193 169.9001
262.000000 91.163 170.1328
265.000000 91.140 170.3192
269.000000 91.110 170.5815
272.000000 91.086 170.7825
276.000000 91.055 171.0533
280.000000 91.024 171.3401
285.000000 90.987 171.7167
290.000000 90.951 172.1065
295.000000 90.916 172.5057
300.000000 90.882 172.9016
304.000000 90.855 173.2222
307.000000 90.837 173.4705
311.000000 90.813 173.8107
315.000000 90.789 174.1547
320.000000 90.762 174.5924
325.000000 90.739 175.0429
330.000000 90.720 175.5117
335.000000 90.707 175.9897
340.000000 90.701 176.4547
345.000000 90.701 176.8882
350.000000 90.708 177.2645
355.000000 90.716 177.5689
360.000000 90.721 177.8206
365.000000 90.718 178.0502
370.000000 90.708 178.2795
375.000000 90.694 178.5175
382.000000 90.671 178.8737
387.000000 90.653 179.1427
395.000000 90.626 179.5918
400.000000 90.609 179.8817
406.000000 90.589 -179.7573
412.000000 90.572 -179.3913
418.000000 90.554 -179.0224
425.000000 90.535 -178.5942
431.000000 90.520 -178.2244
437.000000 90.506 -177.8510
444.000000 90.491 -177.4175
450.000000 90.479 -177.0493
455.000000 90.469 -176.7442
462.000000 90.456 -176.3179
468.000000 90.446 -175.9525
475.000000 90.434 -175.5256
482.000000 90.423 -175.0982
487.000000 90.416 -174.7946
494.000000 90.405 -174.3722
500.000000 90.397 -174.0136
508.000000 90.389 -173.5399
515.000000 90.381 -173.1232
522.000000 90.374 -172.7066
530.000000 90.367 -172.2300
538.000000 90.360 -171.7530
545.000000 90.355 -171.3365
552.000000 90.351 -170.9233
560.000000 90.347 -170.4541
570.000000 90.343 -169.8636
580.000000 90.340 -169.2764
590.000000 90.337 -168.6945
600.000000 90.335 -168.1186
608.000000 90.334 -167.6531
615.000000 90.332 -167.2423
622.000000 90.331 -166.8303
630.000000 90.331 -166.3595
640.000000 90.332 -165.7713
650.000000 90.334 -165.1807
660.000000 90.338 -164.5877
670.000000 90.343 -163.9932
680.000000 90.348 -163.3963
690.000000 90.352 -162.7969
700.000000 90.358 -162.1871
710.000000 90.362 -161.5559
720.000000 90.366 -160.8983
730.000000 90.372 -160.1913
740.000000 90.388 -159.4117
750.000000 90.428 -158.6344
762.000000 90.492 -157.8975
775.000000 90.542 -157.2767
788.000000 90.572 -156.6166
800.000000 90.597 -155.9420
812.000000 90.624 -155.2240
825.000000 90.657 -154.4188
838.000000 90.696 -153.5933
850.000000 90.736 -152.7973
862.000000 90.784 -151.9691
875.000000 90.851 -151.0717
885.000000 90.911 -150.4165
900.000000 91.010 -149.5279
912.000000 91.088 -148.8770
925.000000 91.173 -148.1968
938.000000 91.257 -147.5314
950.000000 91.337 -146.9316
962.000000 91.419 -146.3457
975.000000 91.512 -145.7267
988.000000 91.608 -145.1296
1000.000000 91.699 -144.6048
1015.000000 91.815 -143.9868
1030.000000 91.935 -143.4136
1044.000000 92.049 -142.9197
1060.000000 92.180 -142.4018
1075.000000 92.304 -141.9645
1090.000000 92.429 -141.5745
1106.000000 92.560 -141.2076
1120.000000 92.674 -140.9232
1138.000000 92.817 -140.6088
1150.000000 92.912 -140.4309
1172.000000 93.081 -140.1607
1180.000000 93.140 -140.0779
1206.000000 93.327 -139.8611
1220.000000 93.424 -139.7753
1241.000000 93.564 -139.6801
1250.000000 93.622 -139.6500
1265.000000 93.716 -139.6113
1280.000000 93.807 -139.5853
1315.000000 94.006 -139.5624
1320.000000 94.033 -139.5630
1340.000000 94.139 -139.5748
1360.000000 94.240 -139.5974
1380.000000 94.336 -139.6238
1400.000000 94.429 -139.6559
1430.000000 94.562 -139.7133
1450.000000 94.647 -139.7552
1475.000000 94.748 -139.8093
1500.000000 94.845 -139.8660
1525.000000 94.939 -139.9239
1550.000000 95.029 -139.9857
1575.000000 95.116 -140.0485
1600.000000 95.200 -140.1129
1625.000000 95.281 -140.1796
1650.000000 95.360 -140.2493
1675.000000 95.437 -140.3196
1700.000000 95.511 -140.3868
1725.000000 95.584 -140.4602
1750.000000 95.654 -140.5410
1775.000000 95.721 -140.6142
1800.000000 95.787 -140.6866
1825.000000 95.851 -140.7729
1850.000000 95.914 -140.8594
1875.000000 95.975 -140.9419
1900.000000 96.033 -141.0277
1925.000000 96.089 -141.1164
1950.000000 96.145 -141.2079
1975.000000 96.198 -141.3020
2000.000000 96.250 -141.3945
2030.000000 96.310 -141.5050
2060.000000 96.366 -141.6193
2090.000000 96.421 -141.7334
2120.000000 96.473 -141.8430
2140.000000 96.508 -141.9133
2180.000000 96.573 -142.0493
2200.000000 96.606 -142.1175
2240.000000 96.669 -142.2642
2270.000000 96.714 -142.3821
2300.000000 96.756 -142.5009
2330.000000 96.795 -142.6163
2360.000000 96.832 -142.7274
2400.000000 96.878 -142.8687
2430.000000 96.910 -142.9665
2470.000000 96.951 -143.0844
2500.000000 96.979 -143.1648
2540.000000 97.016 -143.2626
2580.000000 97.051 -143.3478
2620.000000 97.084 -143.4174
2650.000000 97.108 -143.4606
2690.000000 97.140 -143.5090
2720.000000 97.163 -143.5389
2760.000000 97.194 -143.5687
2800.000000 97.223 -143.5869
2850.000000 97.260 -143.5974
2900.000000 97.298 -143.5953
2950.000000 97.336 -143.5792
3000.000000 97.376 -143.5513
3040.000000 97.408 -143.5243
3070.000000 97.433 -143.5013
3110.000000 97.467 -143.4658
3150.000000 97.502 -143.4240
3200.000000 97.548 -143.3593
3250.000000 97.597 -143.2781
3300.000000 97.652 -143.1792
3350.000000 97.716 -143.0702
3400.000000 97.793 -142.9825
3450.000000 97.883 -142.9650
3500.000000 97.980 -143.0538
3550.000000 98.077 -143.2503
3600.000000 98.170 -143.5354
3650.000000 98.258 -143.8919
3700.000000 98.341 -144.3089
3750.000000 98.420 -144.7820
3820.000000 98.522 -145.5449
3870.000000 98.590 -146.1679
3950.000000 98.684 -147.3127
4000.000000 98.730 -148.1245
4060.000000 98.770 -149.1904
4120.000000 98.788 -150.3408
4180.000000 98.782 -151.5508
4250.000000 98.743 -152.9990
4310.000000 98.681 -154.2409
4370.000000 98.593 -155.4666
4440.000000 98.458 -156.8625
4500.000000 98.311 -158.0074
4550.000000 98.165 -158.8985
4620.000000 97.924 -159.9923
4680.000000 97.684 -160.7273
4750.000000 97.371 -161.2597
4820.000000 97.034 -161.3413
4870.000000 96.792 -161.0779
4940.000000 96.473 -160.2442
5000.000000 96.243 -159.1552
5080.000000 96.031 -157.3995
5150.000000 95.939 -155.8811
5220.000000 95.913 -154.6370
5300.000000 95.917 -153.6688
5380.000000 95.915 -153.1045
5450.000000 95.888 -152.8025
5520.000000 95.835 -152.5594
5600.000000 95.743 -152.2404
5700.000000 95.584 -151.5815
