* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.108
* Format: 256k Log Swept Sine, 1 sweep at -29.0 dBFS with no timing reference
* Dated: 28/10/2023 2:25:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: KZ x Crinacle CRN R1 Oct 28
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 101.674 173.5102
20.299999 101.640 173.0063
20.600000 101.607 172.5092
20.900000 101.575 172.0123
21.200001 101.542 171.5124
21.400000 101.520 171.1789
21.799999 101.472 170.5192
22.000000 101.447 170.1982
22.400000 101.393 169.5847
22.700001 101.352 169.1543
23.000000 101.311 168.7480
23.299999 101.272 168.3592
23.600000 101.235 167.9801
24.000000 101.188 167.4796
24.299999 101.153 167.1045
24.700001 101.105 166.6060
25.000000 101.069 166.2364
25.400000 101.020 165.7517
25.799999 100.969 165.2768
26.200001 100.918 164.8140
26.500000 100.878 164.4783
26.900000 100.824 164.0503
27.200001 100.784 163.7440
27.600000 100.733 163.3493
28.000000 100.684 162.9582
28.500000 100.624 162.4611
29.000000 100.561 161.9591
29.500000 100.496 161.4699
30.000000 100.429 161.0087
30.400000 100.375 160.6626
30.700001 100.336 160.4156
31.100000 100.286 160.0981
31.500000 100.238 159.7854
32.000000 100.182 159.3851
32.500000 100.125 158.9686
33.000000 100.064 158.5541
33.500000 100.000 158.1659
34.000000 99.937 157.8124
34.500000 99.874 157.4882
35.000000 99.812 157.1930
35.500000 99.754 156.9244
36.000000 99.700 156.6562
36.500000 99.647 156.3571
37.000000 99.585 156.0486
37.500000 99.513 155.8130
38.200001 99.423 155.6815
38.700001 99.388 155.6008
39.500000 99.351 155.1081
40.000000 99.301 154.6214
40.599998 99.206 154.1166
41.200001 99.102 153.8297
41.799999 99.017 153.6438
42.500000 98.935 153.3771
43.099998 98.864 153.1133
43.700001 98.794 152.8650
44.400002 98.716 152.5864
45.000000 98.651 152.3439
45.500000 98.596 152.1489
46.200001 98.519 151.9016
46.799999 98.454 151.7179
47.500000 98.382 151.5244
48.200001 98.312 151.3217
48.700001 98.260 151.1680
49.400002 98.184 150.9725
50.000000 98.118 150.8399
50.799999 98.037 150.6740
51.500000 97.969 150.5066
52.200001 97.900 150.3339
53.000000 97.822 150.1480
53.799999 97.745 149.9704
54.500000 97.677 149.8331
55.200001 97.612 149.7214
56.000000 97.541 149.6024
57.000000 97.453 149.4368
58.000000 97.360 149.2935
59.000000 97.268 149.1793
60.000000 97.176 149.0684
60.799999 97.104 148.9870
61.500000 97.042 148.9135
62.200001 96.980 148.8397
63.000000 96.910 148.7717
64.000000 96.827 148.7007
65.000000 96.746 148.6269
66.000000 96.666 148.5645
67.000000 96.586 148.5040
68.000000 96.504 148.4640
69.000000 96.426 148.4445
70.000000 96.349 148.4198
71.000000 96.273 148.3979
72.000000 96.197 148.3828
73.000000 96.123 148.3763
74.000000 96.049 148.3788
75.000000 95.977 148.3851
76.199997 95.892 148.3898
77.500000 95.799 148.4019
78.800003 95.710 148.4266
80.000000 95.631 148.4518
81.199997 95.553 148.4752
82.500000 95.469 148.5089
83.800003 95.384 148.5750
85.000000 95.308 148.6605
86.199997 95.235 148.7413
87.500000 95.158 148.8210
88.500000 95.100 148.8779
90.000000 95.013 148.9532
91.199997 94.943 149.0221
92.500000 94.868 149.1206
93.800003 94.795 149.2337
95.000000 94.729 149.3331
96.199997 94.661 149.4214
97.500000 94.585 149.5211
98.800003 94.509 149.6464
100.000000 94.444 149.7840
101.500000 94.371 149.9153
103.000000 94.295 150.0222
104.400002 94.223 150.1440
106.000000 94.142 150.3210
107.500000 94.068 150.5069
109.000000 93.994 150.7056
110.599998 93.912 150.9259
112.000000 93.839 151.1172
113.800003 93.746 151.3535
115.000000 93.685 151.4976
117.199997 93.571 151.8018
118.000000 93.531 151.9586
120.599998 93.418 152.5504
122.000000 93.359 152.8860
124.099998 93.265 153.4339
125.000000 93.225 153.7029
126.500000 93.165 154.2185
128.000000 93.123 154.8192
131.500000 93.112 156.2081
132.000000 93.119 156.3745
134.000000 93.162 156.8696
136.000000 93.209 157.0284
138.000000 93.234 156.9315
140.000000 93.230 156.7347
143.000000 93.179 156.4522
145.000000 93.127 156.3544
147.500000 93.054 156.3364
150.000000 92.978 156.4007
152.500000 92.902 156.5152
155.000000 92.828 156.6613
157.500000 92.756 156.8542
160.000000 92.688 157.0822
162.500000 92.624 157.3160
165.000000 92.561 157.5609
167.500000 92.501 157.8123
170.000000 92.443 158.0563
172.500000 92.387 158.3068
175.000000 92.332 158.5767
177.500000 92.279 158.8564
180.000000 92.229 159.1259
182.500000 92.181 159.3837
185.000000 92.134 159.6410
187.500000 92.087 159.8979
190.000000 92.041 160.1543
192.500000 91.997 160.4138
195.000000 91.956 160.6832
197.500000 91.915 160.9641
200.000000 91.874 161.2363
203.000000 91.824 161.5325
206.000000 91.775 161.8287
209.000000 91.728 162.1349
212.000000 91.682 162.4443
214.000000 91.652 162.6505
218.000000 91.595 163.0636
220.000000 91.567 163.2728
224.000000 91.513 163.6932
227.000000 91.474 164.0006
230.000000 91.435 164.2998
233.000000 91.396 164.5986
236.000000 91.360 164.8980
240.000000 91.312 165.2945
243.000000 91.276 165.5915
247.000000 91.227 165.9881
250.000000 91.191 166.2874
254.000000 91.147 166.6871
258.000000 91.104 167.0860
262.000000 91.059 167.4777
265.000000 91.024 167.7780
269.000000 90.978 168.1915
272.000000 90.944 168.5005
276.000000 90.897 168.9123
280.000000 90.847 169.3445
285.000000 90.781 169.9334
290.000000 90.713 170.5968
295.000000 90.645 171.3879
300.000000 90.587 172.3740
304.000000 90.566 173.3162
307.000000 90.576 174.0775
311.000000 90.634 175.0297
315.000000 90.731 175.7120
320.000000 90.861 176.0322
325.000000 90.946 175.9270
330.000000 90.972 175.7184
335.000000 90.962 175.6020
340.000000 90.934 175.6162
345.000000 90.899 175.7375
350.000000 90.862 175.9312
355.000000 90.828 176.1758
360.000000 90.797 176.4562
365.000000 90.768 176.7591
370.000000 90.741 177.0774
375.000000 90.716 177.4037
382.000000 90.683 177.8726
387.000000 90.662 178.2145
395.000000 90.631 178.7529
400.000000 90.613 179.0865
406.000000 90.592 179.5049
412.000000 90.574 179.9220
418.000000 90.556 -179.6682
425.000000 90.537 -179.1916
431.000000 90.521 -178.7883
437.000000 90.506 -178.3864
444.000000 90.491 -177.9160
450.000000 90.478 -177.5186
455.000000 90.468 -177.1904
462.000000 90.455 -176.7312
468.000000 90.445 -176.3369
475.000000 90.433 -175.8777
482.000000 90.422 -175.4177
487.000000 90.415 -175.0936
494.000000 90.405 -174.6454
500.000000 90.398 -174.2612
508.000000 90.389 -173.7460
515.000000 90.383 -173.3028
522.000000 90.377 -172.8633
530.000000 90.370 -172.3582
538.000000 90.364 -171.8550
545.000000 90.360 -171.4175
552.000000 90.356 -170.9770
560.000000 90.352 -170.4772
570.000000 90.348 -169.8602
580.000000 90.347 -169.2485
590.000000 90.346 -168.6235
600.000000 90.346 -168.0025
608.000000 90.347 -167.5106
615.000000 90.349 -167.0817
622.000000 90.350 -166.6552
630.000000 90.353 -166.1703
640.000000 90.358 -165.5611
650.000000 90.366 -164.9476
660.000000 90.374 -164.3417
670.000000 90.383 -163.7430
680.000000 90.395 -163.1398
690.000000 90.408 -162.5380
700.000000 90.424 -161.9456
710.000000 90.441 -161.3675
720.000000 90.461 -160.8175
730.000000 90.481 -160.3159
740.000000 90.497 -159.8876
750.000000 90.492 -159.5235
762.000000 90.441 -158.9381
775.000000 90.387 -157.7512
788.000000 90.414 -156.4019
800.000000 90.471 -155.3943
812.000000 90.524 -154.5358
825.000000 90.573 -153.6375
838.000000 90.618 -152.6965
850.000000 90.665 -151.7445
862.000000 90.731 -150.7171
875.000000 90.837 -149.6480
885.000000 90.934 -148.9671
900.000000 91.076 -148.1930
912.000000 91.173 -147.6755
925.000000 91.266 -147.1176
938.000000 91.353 -146.5375
950.000000 91.434 -145.9867
962.000000 91.517 -145.4371
975.000000 91.610 -144.8557
988.000000 91.707 -144.2952
1000.000000 91.798 -143.7960
1015.000000 91.915 -143.2024
1030.000000 92.035 -142.6490
1044.000000 92.150 -142.1691
1060.000000 92.282 -141.6671
1075.000000 92.407 -141.2399
1090.000000 92.531 -140.8584
1106.000000 92.664 -140.4997
1120.000000 92.778 -140.2242
1138.000000 92.923 -139.9213
1150.000000 93.018 -139.7501
1172.000000 93.188 -139.4896
1180.000000 93.248 -139.4099
1206.000000 93.437 -139.2060
1220.000000 93.535 -139.1252
1241.000000 93.677 -139.0356
1250.000000 93.736 -139.0098
1265.000000 93.831 -138.9806
1280.000000 93.923 -138.9629
1315.000000 94.127 -138.9642
1320.000000 94.155 -138.9692
1340.000000 94.263 -138.9969
1360.000000 94.367 -139.0329
1380.000000 94.466 -139.0782
1400.000000 94.561 -139.1328
1430.000000 94.697 -139.2272
1450.000000 94.784 -139.2961
1475.000000 94.888 -139.3888
1500.000000 94.987 -139.4841
1525.000000 95.082 -139.5822
1550.000000 95.173 -139.6874
1575.000000 95.261 -139.7967
1600.000000 95.345 -139.9069
1625.000000 95.427 -140.0235
1650.000000 95.505 -140.1440
1675.000000 95.580 -140.2635
1700.000000 95.653 -140.3866
1725.000000 95.723 -140.5153
1750.000000 95.791 -140.6461
1775.000000 95.855 -140.7776
1800.000000 95.918 -140.9113
1825.000000 95.978 -141.0471
1850.000000 96.035 -141.1857
1875.000000 96.091 -141.3276
1900.000000 96.143 -141.4716
1925.000000 96.194 -141.6160
1950.000000 96.242 -141.7607
1975.000000 96.289 -141.9063
2000.000000 96.333 -142.0522
2030.000000 96.383 -142.2276
2060.000000 96.430 -142.4034
2090.000000 96.473 -142.5792
2120.000000 96.514 -142.7521
2140.000000 96.539 -142.8647
2180.000000 96.585 -143.0837
2200.000000 96.606 -143.1903
2240.000000 96.645 -143.3949
2270.000000 96.671 -143.5390
2300.000000 96.695 -143.6737
2330.000000 96.716 -143.7999
2360.000000 96.735 -143.9168
2400.000000 96.758 -144.0542
2430.000000 96.772 -144.1450
2470.000000 96.789 -144.2480
2500.000000 96.800 -144.3105
2540.000000 96.814 -144.3749
2580.000000 96.825 -144.4176
2620.000000 96.835 -144.4385
2650.000000 96.842 -144.4403
2690.000000 96.851 -144.4222
2720.000000 96.857 -144.3950
2760.000000 96.866 -144.3430
2800.000000 96.875 -144.2725
2850.000000 96.887 -144.1592
2900.000000 96.900 -144.0201
2950.000000 96.916 -143.8575
3000.000000 96.933 -143.6736
3040.000000 96.949 -143.5113
3070.000000 96.961 -143.3810
3110.000000 96.980 -143.1964
3150.000000 97.001 -142.9968
3200.000000 97.032 -142.7206
3250.000000 97.071 -142.4191
3300.000000 97.121 -142.1112
3350.000000 97.182 -141.8295
3400.000000 97.253 -141.6038
3450.000000 97.329 -141.4464
3500.000000 97.407 -141.3506
3550.000000 97.485 -141.3027
3600.000000 97.563 -141.2951
3650.000000 97.642 -141.3256
3700.000000 97.723 -141.3941
3750.000000 97.806 -141.5026
3820.000000 97.926 -141.7348
3870.000000 98.017 -141.9764
3950.000000 98.168 -142.5559
4000.000000 98.260 -143.0710
4060.000000 98.359 -143.8527
4120.000000 98.438 -144.7848
4180.000000 98.493 -145.8280
4250.000000 98.526 -147.1469
4310.000000 98.525 -148.3418
4370.000000 98.496 -149.5752
4440.000000 98.422 -151.0270
4500.000000 98.322 -152.2426
4550.000000 98.211 -153.2021
4620.000000 98.014 -154.4015
4680.000000 97.807 -155.2240
4750.000000 97.526 -155.8341
4820.000000 97.219 -155.9476
4870.000000 96.998 -155.6698
4940.000000 96.717 -154.7676
5000.000000 96.532 -153.6040
5080.000000 96.399 -151.8151
5150.000000 96.386 -150.4009
5220.000000 96.434 -149.3858
5300.000000 96.508 -148.7646
5380.000000 96.559 -148.5655
5450.000000 96.573 -148.5671
5520.000000 96.556 -148.6021
5600.000000 96.505 -148.5363
5700.000000 96.434 -148.1806
