* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.099
* Format: 256k Log Swept Sine, 1 sweep at -29.0 dBFS with no timing reference
* Dated: 17/11/2023 5:23:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Urd L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 103.547 171.3480
20.299999 103.479 171.0621
20.600000 103.432 170.9072
20.900000 103.416 170.7676
21.200001 103.427 170.4988
21.400000 103.437 170.2032
21.799999 103.441 169.3802
22.000000 103.427 168.9098
22.400000 103.358 168.0363
22.700001 103.285 167.5677
23.000000 103.217 167.3014
23.299999 103.170 167.1622
23.600000 103.149 167.0414
24.000000 103.151 166.7477
24.299999 103.157 166.3738
24.700001 103.149 165.7288
25.000000 103.124 165.2323
25.400000 103.073 164.6641
25.799999 103.020 164.2308
26.200001 102.976 163.8658
26.500000 102.948 163.5892
26.900000 102.909 163.2009
27.200001 102.876 162.9175
27.600000 102.829 162.5897
28.000000 102.788 162.3225
28.500000 102.754 161.9772
29.000000 102.729 161.4789
29.500000 102.688 160.8173
30.000000 102.616 160.1444
30.400000 102.543 159.7109
30.700001 102.488 159.4697
31.100000 102.422 159.2346
31.500000 102.373 159.0433
32.000000 102.330 158.7797
32.500000 102.301 158.4423
33.000000 102.273 158.0424
33.500000 102.245 157.6121
34.000000 102.214 157.1664
34.500000 102.180 156.6974
35.000000 102.136 156.2003
35.500000 102.074 155.7100
36.000000 101.992 155.3012
36.500000 101.900 155.0343
37.000000 101.812 154.8977
37.500000 101.738 154.8133
38.200001 101.653 154.6364
38.700001 101.601 154.4199
39.500000 101.519 153.8828
40.000000 101.456 153.4924
40.599998 101.376 153.1400
41.200001 101.327 152.9364
41.799999 101.317 152.6366
42.500000 101.294 152.0780
43.099998 101.242 151.7980
43.700001 101.203 151.8082
44.400002 101.170 151.8465
45.000000 101.104 152.0130
45.500000 101.051 152.4451
46.200001 101.027 152.8940
46.799999 100.931 152.6296
47.500000 100.578 153.2809
48.200001 100.364 156.5356
48.700001 100.578 158.7470
49.400002 101.072 158.2263
50.000000 101.179 155.0105
50.799999 100.799 151.5836
51.500000 100.446 150.8152
52.200001 100.300 150.2222
53.000000 100.184 149.0211
53.799999 100.076 148.1944
54.500000 100.041 147.6577
55.200001 100.013 147.1499
56.000000 99.974 146.8754
57.000000 99.939 146.8149
58.000000 99.875 146.7798
59.000000 99.772 146.8646
60.000000 99.662 146.9482
60.799999 99.575 146.8908
61.500000 99.498 146.7642
62.200001 99.428 146.5872
63.000000 99.352 146.3375
64.000000 99.263 146.0878
65.000000 99.193 145.9738
66.000000 99.136 145.8909
67.000000 99.070 145.8493
68.000000 98.995 145.8827
69.000000 98.918 145.8874
70.000000 98.827 145.8472
71.000000 98.738 145.8387
72.000000 98.667 145.7398
73.000000 98.596 145.4890
74.000000 98.507 145.2194
75.000000 98.410 145.1371
76.199997 98.333 145.2085
77.500000 98.264 145.0153
78.800003 98.155 144.8874
80.000000 98.070 144.8391
81.199997 97.986 144.6966
82.500000 97.900 144.6044
83.800003 97.834 144.5540
85.000000 97.783 144.5280
86.199997 97.722 144.5057
87.500000 97.631 144.6119
88.500000 97.555 144.7429
90.000000 97.433 144.8862
91.199997 97.343 144.9037
92.500000 97.258 144.8250
93.800003 97.190 144.7621
95.000000 97.140 144.6946
96.199997 97.057 144.5592
97.500000 96.861 144.5961
98.800003 96.587 145.8514
100.000000 96.549 147.6428
101.500000 96.690 147.5481
103.000000 96.649 146.2087
104.400002 96.573 145.5278
106.000000 96.529 145.3038
107.500000 96.488 145.3536
109.000000 96.406 145.5345
110.599998 96.294 145.7614
112.000000 96.197 145.8279
113.800003 96.088 145.8569
115.000000 96.032 145.9318
117.199997 95.936 146.1945
118.000000 95.892 146.3321
120.599998 95.729 146.7924
122.000000 95.644 146.9506
124.099998 95.531 147.1764
125.000000 95.489 147.3313
126.500000 95.423 147.6995
128.000000 95.351 148.2002
131.500000 95.173 149.5280
132.000000 95.150 149.6935
134.000000 95.075 150.3640
136.000000 95.057 151.2664
138.000000 95.120 152.1125
140.000000 95.202 152.5408
143.000000 95.374 152.5083
145.000000 95.543 152.0923
147.500000 95.648 151.0502
150.000000 95.456 150.7213
152.500000 95.240 150.8854
155.000000 95.108 150.6964
157.500000 95.027 150.4982
160.000000 94.936 150.5624
162.500000 94.837 150.6987
165.000000 94.752 150.8431
167.500000 94.679 151.0757
170.000000 94.603 151.3062
172.500000 94.532 151.4473
175.000000 94.468 151.6075
177.500000 94.401 151.8619
180.000000 94.326 152.1355
182.500000 94.255 152.3619
185.000000 94.194 152.5744
187.500000 94.136 152.7872
190.000000 94.076 153.0307
192.500000 94.020 153.2973
195.000000 93.969 153.5784
197.500000 93.920 153.8198
200.000000 93.868 154.0085
203.000000 93.809 154.2331
206.000000 93.756 154.5029
209.000000 93.699 154.8143
212.000000 93.637 155.1068
214.000000 93.596 155.3092
218.000000 93.521 155.6709
220.000000 93.487 155.8587
224.000000 93.425 156.2537
227.000000 93.383 156.5960
230.000000 93.332 156.9167
233.000000 93.284 157.2428
236.000000 93.247 157.5021
240.000000 93.189 157.9082
243.000000 93.141 158.1333
247.000000 93.083 158.4865
250.000000 93.076 158.8468
254.000000 93.048 159.1217
258.000000 92.985 159.4955
262.000000 92.952 159.8465
265.000000 92.915 159.9715
269.000000 92.843 160.2539
272.000000 92.804 160.6351
276.000000 92.780 160.9814
280.000000 92.746 161.2632
285.000000 92.672 161.5529
290.000000 92.616 162.1426
295.000000 92.554 162.6526
300.000000 92.542 163.1365
304.000000 92.490 163.3060
307.000000 92.449 163.6965
311.000000 92.460 164.1687
315.000000 92.466 164.2391
320.000000 92.402 164.5428
325.000000 92.372 165.2668
330.000000 92.370 165.6383
335.000000 92.328 165.7484
340.000000 92.274 166.0701
345.000000 92.240 166.5479
350.000000 92.228 166.9510
355.000000 92.221 167.2228
360.000000 92.193 167.4724
365.000000 92.156 167.8446
370.000000 92.122 168.3246
375.000000 92.086 168.7963
382.000000 92.037 169.3578
387.000000 92.010 169.7306
395.000000 91.958 170.3310
400.000000 91.928 170.5978
406.000000 91.916 170.9406
412.000000 91.894 171.4100
418.000000 91.865 171.8097
425.000000 91.840 172.3073
431.000000 91.816 172.7043
437.000000 91.794 173.0999
444.000000 91.772 173.5525
450.000000 91.753 173.9377
455.000000 91.738 174.2698
462.000000 91.718 174.7358
468.000000 91.700 175.1238
475.000000 91.681 175.5748
482.000000 91.664 176.0175
487.000000 91.653 176.3288
494.000000 91.639 176.7695
500.000000 91.626 177.1437
508.000000 91.610 177.6381
515.000000 91.595 178.0840
522.000000 91.582 178.5219
530.000000 91.567 178.9963
538.000000 91.552 179.4787
545.000000 91.541 179.8985
552.000000 91.533 -179.6906
560.000000 91.522 -179.2291
570.000000 91.510 -178.6426
580.000000 91.499 -178.0459
590.000000 91.488 -177.4461
600.000000 91.479 -176.8544
608.000000 91.470 -176.3815
615.000000 91.464 -175.9709
622.000000 91.460 -175.5618
630.000000 91.457 -175.0892
640.000000 91.452 -174.5144
650.000000 91.450 -173.9538
660.000000 91.450 -173.4040
670.000000 91.450 -172.8434
680.000000 91.448 -172.2600
690.000000 91.445 -171.6864
700.000000 91.446 -171.1178
710.000000 91.448 -170.5492
720.000000 91.453 -169.9845
730.000000 91.460 -169.4122
740.000000 91.468 -168.8413
750.000000 91.478 -168.2743
762.000000 91.491 -167.5850
775.000000 91.505 -166.8414
788.000000 91.520 -166.0937
800.000000 91.535 -165.3965
812.000000 91.551 -164.7103
825.000000 91.573 -163.9510
838.000000 91.599 -163.1973
850.000000 91.627 -162.5078
862.000000 91.657 -161.8056
875.000000 91.691 -161.0391
885.000000 91.718 -160.4319
900.000000 91.761 -159.4773
912.000000 91.802 -158.6948
925.000000 91.855 -157.8335
938.000000 91.923 -156.9683
950.000000 92.002 -156.1997
962.000000 92.095 -155.4905
975.000000 92.208 -154.8270
988.000000 92.323 -154.3041
1000.000000 92.423 -153.9298
1015.000000 92.533 -153.5374
1030.000000 92.630 -153.1636
1044.000000 92.714 -152.8004
1060.000000 92.809 -152.3948
1075.000000 92.902 -152.0526
1090.000000 92.995 -151.7466
1106.000000 93.092 -151.4585
1120.000000 93.175 -151.2412
1138.000000 93.275 -150.9991
1150.000000 93.338 -150.8568
1172.000000 93.446 -150.6310
1180.000000 93.482 -150.5570
1206.000000 93.591 -150.3383
1220.000000 93.644 -150.2328
1241.000000 93.717 -150.0884
1250.000000 93.746 -150.0301
1265.000000 93.791 -149.9354
1280.000000 93.830 -149.8412
1315.000000 93.893 -149.5602
1320.000000 93.898 -149.5034
1340.000000 93.917 -149.2120
1360.000000 93.935 -148.8041
1380.000000 93.964 -148.2951
1400.000000 94.007 -147.7418
1430.000000 94.095 -146.9462
1450.000000 94.160 -146.4716
1475.000000 94.243 -145.9182
1500.000000 94.325 -145.3735
1525.000000 94.405 -144.8246
1550.000000 94.487 -144.2491
1575.000000 94.575 -143.6613
1600.000000 94.668 -143.0773
1625.000000 94.770 -142.4974
1650.000000 94.876 -141.9345
1675.000000 94.991 -141.3907
1700.000000 95.112 -140.8854
1725.000000 95.238 -140.4342
1750.000000 95.367 -140.0229
1775.000000 95.498 -139.6499
1800.000000 95.629 -139.3101
1825.000000 95.763 -138.9931
1850.000000 95.899 -138.7149
1875.000000 96.038 -138.4801
1900.000000 96.179 -138.2835
1925.000000 96.322 -138.1392
1950.000000 96.464 -138.0491
1975.000000 96.607 -138.0003
2000.000000 96.747 -137.9971
2030.000000 96.913 -138.0535
2060.000000 97.073 -138.1437
2090.000000 97.229 -138.2542
2120.000000 97.383 -138.3652
2140.000000 97.488 -138.4221
2180.000000 97.722 -138.5327
2200.000000 97.856 -138.6395
2240.000000 98.154 -139.1528
2270.000000 98.376 -139.9367
2300.000000 98.570 -141.0365
2330.000000 98.723 -142.3121
2360.000000 98.833 -143.6499
2400.000000 98.926 -145.4035
2430.000000 98.965 -146.6442
2470.000000 98.983 -148.2021
2500.000000 98.976 -149.2935
2540.000000 98.946 -150.6408
2580.000000 98.896 -151.8830
2620.000000 98.827 -152.9985
2650.000000 98.765 -153.7484
2690.000000 98.671 -154.6441
2720.000000 98.595 -155.2254
2760.000000 98.486 -155.8754
2800.000000 98.373 -156.3994
2850.000000 98.229 -156.8679
2900.000000 98.089 -157.1517
2950.000000 97.957 -157.2700
3000.000000 97.839 -157.2332
3040.000000 97.756 -157.1243
3070.000000 97.700 -156.9989
3110.000000 97.634 -156.7810
3150.000000 97.580 -156.5279
3200.000000 97.525 -156.1678
3250.000000 97.486 -155.7608
3300.000000 97.465 -155.3258
3350.000000 97.465 -154.8610
3400.000000 97.494 -154.4164
3450.000000 97.552 -154.0755
3500.000000 97.633 -153.9046
3550.000000 97.724 -153.9791
3600.000000 97.808 -154.3295
3650.000000 97.859 -154.8946
3700.000000 97.858 -155.5129
3750.000000 97.805 -155.8977
3820.000000 97.724 -155.5826
3870.000000 97.748 -154.8361
3950.000000 98.020 -153.7460
4000.000000 98.306 -153.6997
4060.000000 98.703 -154.6020
4120.000000 99.095 -156.6111
4180.000000 99.428 -159.7059
4250.000000 99.672 -164.5110
4310.000000 99.709 -169.3646
4370.000000 99.562 -174.5356
4440.000000 99.147 179.6001
4500.000000 98.599 175.1901
4550.000000 98.035 172.1895
4620.000000 97.136 169.2328
4680.000000 96.318 167.8899
4750.000000 95.373 167.5980
4820.000000 94.493 168.4590
4870.000000 93.928 169.5988
4940.000000 93.241 171.6367
5000.000000 92.748 173.5711
5080.000000 92.199 176.1440
5150.000000 91.791 178.2607
5220.000000 91.419 -179.7440
5300.000000 91.019 -177.5434
5380.000000 90.638 -175.3483
5450.000000 90.315 -173.3653
5520.000000 90.002 -171.2857
5600.000000 89.663 -168.7586
5700.000000 89.276 -165.3143
5800.000000 88.953 -161.5676
5900.000000 88.715 -157.6259
6000.000000 88.568 -153.6473
