* Measurement data measured by REW V5.20.13
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.099
* Format: 256k Log Swept Sine, 1 sweep at -29.0 dBFS with no timing reference
* Dated: 17/11/2023 5:25:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Kinera Urd R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 103.299 -178.4970
20.299999 103.304 -178.8521
20.600000 103.316 -179.3293
20.900000 103.322 -179.9125
21.200001 103.313 179.4688
21.400000 103.299 179.0824
21.799999 103.265 178.4129
22.000000 103.250 178.1337
22.400000 103.232 177.6429
22.700001 103.232 177.2708
23.000000 103.237 176.8464
23.299999 103.240 176.3665
23.600000 103.237 175.8575
24.000000 103.219 175.1982
24.299999 103.201 174.7620
24.700001 103.181 174.2641
25.000000 103.175 173.9115
25.400000 103.181 173.3815
25.799999 103.188 172.7087
26.200001 103.175 171.9134
26.500000 103.146 171.3092
26.900000 103.083 170.6043
27.200001 103.027 170.2033
27.600000 102.959 169.8356
28.000000 102.909 169.5669
28.500000 102.872 169.1981
29.000000 102.838 168.7176
29.500000 102.790 168.2125
30.000000 102.733 167.8065
30.400000 102.694 167.5684
30.700001 102.675 167.4125
31.100000 102.662 167.1711
31.500000 102.659 166.8319
32.000000 102.651 166.2323
32.500000 102.619 165.5146
33.000000 102.556 164.8579
33.500000 102.480 164.3898
34.000000 102.418 164.0863
34.500000 102.378 163.8114
35.000000 102.349 163.4732
35.500000 102.318 163.0860
36.000000 102.282 162.7047
36.500000 102.247 162.3319
37.000000 102.211 161.9266
37.500000 102.167 161.4792
38.200001 102.084 160.8802
38.700001 102.017 160.5346
39.500000 101.923 160.0532
40.000000 101.873 159.7175
40.599998 101.818 159.2597
41.200001 101.766 158.7549
41.799999 101.714 158.2154
42.500000 101.648 157.6506
43.099998 101.603 157.3205
43.700001 101.584 157.0178
44.400002 101.563 156.5685
45.000000 101.521 156.3085
45.500000 101.492 156.2736
46.200001 101.467 156.1498
46.799999 101.383 155.9232
47.500000 101.197 156.6061
48.200001 101.190 158.4723
48.700001 101.377 159.2233
49.400002 101.627 157.9604
50.000000 101.576 155.7755
50.799999 101.213 154.2224
51.500000 100.961 154.2394
52.200001 100.845 154.0662
53.000000 100.724 153.4412
53.799999 100.615 152.9556
54.500000 100.559 152.5190
55.200001 100.509 152.0568
56.000000 100.457 151.6690
57.000000 100.402 151.3173
58.000000 100.335 151.0912
59.000000 100.257 150.9521
60.000000 100.166 150.8174
60.799999 100.092 150.6873
61.500000 100.029 150.5080
62.200001 99.964 150.2633
63.000000 99.882 149.9859
64.000000 99.788 149.7726
65.000000 99.726 149.6143
66.000000 99.675 149.3611
67.000000 99.606 149.0806
68.000000 99.518 148.9055
69.000000 99.433 148.8278
70.000000 99.358 148.7378
71.000000 99.295 148.5585
72.000000 99.231 148.2477
73.000000 99.148 147.9657
74.000000 99.071 147.8877
75.000000 99.022 147.8655
76.199997 98.966 147.6838
77.500000 98.862 147.5481
78.800003 98.761 147.6537
80.000000 98.678 147.6252
81.199997 98.579 147.6101
82.500000 98.496 147.6602
83.800003 98.435 147.5131
85.000000 98.363 147.2841
86.199997 98.284 147.1718
87.500000 98.208 147.1768
88.500000 98.163 147.1975
90.000000 98.093 147.1363
91.199997 98.031 147.0253
92.500000 97.936 146.7749
93.800003 97.816 146.6788
95.000000 97.730 146.6996
96.199997 97.688 146.6194
97.500000 97.664 146.0603
98.800003 97.542 145.2856
100.000000 97.373 145.3676
101.500000 97.289 146.0595
103.000000 97.267 146.3247
104.400002 97.232 146.4182
106.000000 97.174 146.5219
107.500000 97.128 146.6141
109.000000 97.072 146.5492
110.599998 96.980 146.4405
112.000000 96.875 146.4565
113.800003 96.749 146.7112
115.000000 96.681 146.9161
117.199997 96.593 147.3715
118.000000 96.577 147.4857
120.599998 96.503 147.5197
122.000000 96.443 147.5787
124.099998 96.370 147.5825
125.000000 96.331 147.5369
126.500000 96.256 147.5660
128.000000 96.195 147.7218
131.500000 96.053 147.9325
132.000000 96.024 147.9800
134.000000 95.909 148.2776
136.000000 95.820 148.5004
138.000000 95.737 148.4698
140.000000 95.642 148.3607
143.000000 95.514 148.4163
145.000000 95.465 148.6817
147.500000 95.423 149.1575
150.000000 95.323 149.5635
152.500000 95.148 149.7189
155.000000 95.008 149.7892
157.500000 94.974 150.0097
160.000000 94.940 150.5823
162.500000 94.839 151.3345
165.000000 94.722 151.9720
167.500000 94.667 152.6295
170.000000 94.663 153.3918
172.500000 94.669 154.0167
175.000000 94.681 154.3210
177.500000 94.719 154.4261
180.000000 94.758 154.3823
182.500000 94.753 154.1942
185.000000 94.698 153.9082
187.500000 94.614 153.5510
190.000000 94.535 153.1993
192.500000 94.490 153.0269
195.000000 94.475 153.2031
197.500000 94.461 153.5688
200.000000 94.409 153.8174
203.000000 94.294 153.9894
206.000000 94.180 154.1205
209.000000 94.103 154.1832
212.000000 94.056 154.2960
214.000000 94.026 154.4531
218.000000 93.950 154.8441
220.000000 93.909 155.0334
224.000000 93.830 155.4039
227.000000 93.771 155.6860
230.000000 93.717 155.9976
233.000000 93.664 156.3060
236.000000 93.610 156.5621
240.000000 93.542 156.8879
243.000000 93.494 157.1526
247.000000 93.438 157.5320
250.000000 93.401 157.8434
254.000000 93.354 158.2524
258.000000 93.309 158.6093
262.000000 93.260 158.9520
265.000000 93.226 159.2066
269.000000 93.187 159.5309
272.000000 93.157 159.7589
276.000000 93.114 160.0496
280.000000 93.072 160.3394
285.000000 93.019 160.6725
290.000000 92.968 161.0146
295.000000 92.917 161.3957
300.000000 92.864 161.7681
304.000000 92.822 162.0737
307.000000 92.793 162.3176
311.000000 92.756 162.6490
315.000000 92.720 162.9757
320.000000 92.677 163.3606
325.000000 92.638 163.7240
330.000000 92.596 164.0858
335.000000 92.557 164.4599
340.000000 92.520 164.8502
345.000000 92.482 165.2335
350.000000 92.445 165.6107
355.000000 92.409 165.9933
360.000000 92.374 166.3567
365.000000 92.340 166.7130
370.000000 92.310 167.0805
375.000000 92.281 167.4535
382.000000 92.239 167.9458
387.000000 92.214 168.2839
395.000000 92.173 168.8327
400.000000 92.144 169.1740
406.000000 92.113 169.6004
412.000000 92.081 170.0319
418.000000 92.048 170.4574
425.000000 92.015 170.9638
431.000000 91.986 171.3942
437.000000 91.956 171.8103
444.000000 91.930 172.3096
450.000000 91.912 172.7612
455.000000 91.896 173.1414
462.000000 91.875 173.6740
468.000000 91.860 174.1330
475.000000 91.848 174.6652
482.000000 91.842 175.1575
487.000000 91.839 175.4756
494.000000 91.838 175.8839
500.000000 91.837 176.2056
508.000000 91.831 176.5995
515.000000 91.820 176.9416
522.000000 91.805 177.2959
530.000000 91.785 177.7171
538.000000 91.763 178.1484
545.000000 91.745 178.5201
552.000000 91.728 178.8964
560.000000 91.709 179.3481
570.000000 91.689 179.9136
580.000000 91.671 -179.5262
590.000000 91.654 -178.9630
600.000000 91.638 -178.3947
608.000000 91.623 -177.9375
615.000000 91.611 -177.5338
622.000000 91.601 -177.1268
630.000000 91.590 -176.6572
640.000000 91.578 -176.0696
650.000000 91.569 -175.4863
660.000000 91.563 -174.9112
670.000000 91.559 -174.3344
680.000000 91.558 -173.7735
690.000000 91.557 -173.2402
700.000000 91.552 -172.7111
710.000000 91.546 -172.1685
720.000000 91.538 -171.6133
730.000000 91.529 -171.0425
740.000000 91.519 -170.4658
750.000000 91.511 -169.8819
762.000000 91.504 -169.1559
775.000000 91.497 -168.3369
788.000000 91.492 -167.4695
800.000000 91.491 -166.6180
812.000000 91.496 -165.7263
825.000000 91.513 -164.7006
838.000000 91.547 -163.6471
850.000000 91.595 -162.6822
862.000000 91.658 -161.7514
875.000000 91.743 -160.8295
885.000000 91.815 -160.2000
900.000000 91.924 -159.3789
912.000000 92.009 -158.8155
925.000000 92.097 -158.2672
938.000000 92.179 -157.7557
950.000000 92.250 -157.3061
962.000000 92.320 -156.8664
975.000000 92.393 -156.4005
988.000000 92.467 -155.9528
1000.000000 92.535 -155.5527
1015.000000 92.619 -155.0675
1030.000000 92.705 -154.6074
1044.000000 92.785 -154.2031
1060.000000 92.876 -153.7715
1075.000000 92.961 -153.4070
1090.000000 93.043 -153.0768
1106.000000 93.128 -152.7547
1120.000000 93.200 -152.5052
1138.000000 93.287 -152.2327
1150.000000 93.339 -152.0747
1172.000000 93.420 -151.7942
1180.000000 93.444 -151.6775
1206.000000 93.514 -151.1616
1220.000000 93.558 -150.7973
1241.000000 93.640 -150.2423
1250.000000 93.680 -150.0293
1265.000000 93.747 -149.7171
1280.000000 93.811 -149.4478
1315.000000 93.940 -148.8635
1320.000000 93.957 -148.7743
1340.000000 94.023 -148.3920
1360.000000 94.091 -147.9727
1380.000000 94.165 -147.5358
1400.000000 94.242 -147.1079
1430.000000 94.362 -146.4875
1450.000000 94.442 -146.0861
1475.000000 94.544 -145.5946
1500.000000 94.649 -145.1114
1525.000000 94.756 -144.6424
1550.000000 94.868 -144.1802
1575.000000 94.982 -143.7281
1600.000000 95.099 -143.2737
1625.000000 95.222 -142.8055
1650.000000 95.352 -142.3590
1675.000000 95.488 -141.9559
1700.000000 95.625 -141.5983
1725.000000 95.765 -141.2509
1750.000000 95.919 -140.9235
1775.000000 96.082 -140.6824
1800.000000 96.248 -140.5290
1825.000000 96.414 -140.4438
1850.000000 96.580 -140.4309
1875.000000 96.743 -140.4865
1900.000000 96.904 -140.5936
1925.000000 97.064 -140.7461
1950.000000 97.227 -140.9592
1975.000000 97.392 -141.2674
2000.000000 97.554 -141.6898
2030.000000 97.738 -142.3259
2060.000000 97.909 -143.0657
2090.000000 98.065 -143.9065
2120.000000 98.206 -144.8449
2140.000000 98.288 -145.5145
2180.000000 98.421 -146.9397
2200.000000 98.470 -147.6748
2240.000000 98.539 -149.1364
2270.000000 98.566 -150.2634
2300.000000 98.559 -151.3948
2330.000000 98.516 -152.3841
2360.000000 98.454 -153.1296
2400.000000 98.380 -153.7690
2430.000000 98.342 -154.0985
2470.000000 98.319 -154.3949
2500.000000 98.338 -154.6002
2540.000000 98.398 -155.1754
2580.000000 98.437 -156.2420
2620.000000 98.406 -157.5294
2650.000000 98.341 -158.4263
2690.000000 98.220 -159.5418
2720.000000 98.088 -160.2633
2760.000000 97.866 -160.7474
2800.000000 97.662 -160.5417
2850.000000 97.528 -159.9220
2900.000000 97.465 -159.7393
2950.000000 97.356 -159.7560
3000.000000 97.231 -159.3745
3040.000000 97.170 -158.9548
3070.000000 97.135 -158.7099
3110.000000 97.080 -158.3776
3150.000000 97.033 -157.9028
3200.000000 97.018 -157.2504
3250.000000 97.026 -156.7871
3300.000000 97.022 -156.4377
3350.000000 97.009 -156.0178
3400.000000 97.002 -155.4898
3450.000000 97.012 -154.8431
3500.000000 97.060 -154.0947
3550.000000 97.153 -153.4462
3600.000000 97.268 -152.9957
3650.000000 97.398 -152.6599
3700.000000 97.550 -152.4796
3750.000000 97.718 -152.5179
3820.000000 97.957 -152.9826
3870.000000 98.115 -153.5985
3950.000000 98.320 -154.7819
4000.000000 98.443 -155.4486
4060.000000 98.635 -156.2271
4120.000000 98.899 -157.3446
4180.000000 99.206 -159.2249
4250.000000 99.540 -162.6734
4310.000000 99.729 -166.6825
4370.000000 99.768 -171.4208
4440.000000 99.579 -177.2969
4500.000000 99.214 177.9208
4550.000000 98.788 174.4242
4620.000000 98.060 170.5678
4680.000000 97.370 168.2981
4750.000000 96.556 166.7332
4820.000000 95.783 166.0595
4870.000000 95.269 165.9307
4940.000000 94.597 166.0103
5000.000000 94.048 166.2186
5080.000000 93.322 166.7125
5150.000000 92.681 167.4637
5220.000000 92.039 168.6425
5300.000000 91.325 170.5708
5380.000000 90.664 173.0674
5450.000000 90.145 175.6271
5520.000000 89.689 178.4349
5600.000000 89.250 -178.1820
5700.000000 88.818 -173.9056
5800.000000 88.498 -169.7866
5900.000000 88.254 -165.9283
6000.000000 88.053 -162.2883
