* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 01/11/2023 11:58:41 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Letshuoer Cadenza 12 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.415	177.5456
20.299999	101.402	177.3358
20.600000	101.394	177.1304
20.900000	101.390	176.9080
21.200001	101.387	176.6522
21.400000	101.384	176.4644
21.799999	101.371	176.0687
22.000000	101.362	175.8744
22.400000	101.338	175.5212
22.700001	101.320	175.2944
23.000000	101.305	175.0913
23.299999	101.294	174.8922
23.600000	101.285	174.6820
24.000000	101.273	174.3745
24.299999	101.262	174.1317
24.700001	101.241	173.8177
25.000000	101.222	173.6074
25.400000	101.197	173.3694
25.799999	101.176	173.1654
26.200001	101.160	172.9655
26.500000	101.151	172.8033
26.900000	101.138	172.5652
27.200001	101.127	172.3766
27.600000	101.109	172.1266
28.000000	101.089	171.8924
28.500000	101.065	171.6224
29.000000	101.044	171.3536
29.500000	101.025	171.0621
30.000000	101.002	170.7514
30.400000	100.980	170.5091
30.700001	100.962	170.3423
31.100000	100.937	170.1470
31.500000	100.916	169.9780
32.000000	100.894	169.7802
32.500000	100.878	169.5673
33.000000	100.863	169.3277
33.500000	100.844	169.0739
34.000000	100.823	168.8241
34.500000	100.800	168.5854
35.000000	100.776	168.3564
35.500000	100.750	168.1396
36.000000	100.724	167.9417
36.500000	100.698	167.7640
37.000000	100.675	167.5969
37.500000	100.654	167.4285
38.200001	100.627	167.1837
38.700001	100.607	167.0086
39.500000	100.577	166.7291
40.000000	100.557	166.5465
40.599998	100.532	166.3264
41.200001	100.503	166.1308
41.799999	100.477	165.9570
42.500000	100.448	165.7320
43.099998	100.418	165.5125
43.700001	100.381	165.3185
44.400002	100.337	165.1515
45.000000	100.304	165.0372
45.500000	100.282	164.9556
46.200001	100.266	164.8230
46.799999	100.264	164.5814
47.500000	100.241	164.1116
48.200001	100.177	163.7312
48.700001	100.127	163.6712
49.400002	100.094	163.7590
50.000000	100.098	163.7375
50.799999	100.099	163.4988
51.500000	100.082	163.2823
52.200001	100.062	163.1129
53.000000	100.037	162.9298
53.799999	100.007	162.7803
54.500000	99.982	162.6645
55.200001	99.957	162.5316
56.000000	99.928	162.3683
57.000000	99.890	162.1447
58.000000	99.849	161.9021
59.000000	99.808	161.6882
60.000000	99.770	161.4851
60.799999	99.741	161.3176
61.500000	99.714	161.1776
62.200001	99.687	161.0543
63.000000	99.656	160.9275
64.000000	99.618	160.7725
65.000000	99.580	160.6333
66.000000	99.546	160.4908
67.000000	99.511	160.3201
68.000000	99.475	160.1480
69.000000	99.440	159.9831
70.000000	99.406	159.8259
71.000000	99.374	159.6703
72.000000	99.341	159.5089
73.000000	99.307	159.3644
74.000000	99.273	159.2403
75.000000	99.240	159.1185
76.199997	99.199	158.9803
77.500000	99.155	158.8319
78.800003	99.112	158.6730
80.000000	99.072	158.5221
81.199997	99.034	158.3744
82.500000	98.996	158.2084
83.800003	98.957	158.0367
85.000000	98.918	157.8985
86.199997	98.880	157.7772
87.500000	98.838	157.6483
88.500000	98.806	157.5479
90.000000	98.758	157.3991
91.199997	98.722	157.2850
92.500000	98.683	157.1637
93.800003	98.645	157.0512
95.000000	98.608	156.9608
96.199997	98.572	156.8786
97.500000	98.534	156.7815
98.800003	98.494	156.6608
100.000000	98.455	156.5552
101.500000	98.408	156.4392
103.000000	98.364	156.3258
104.400002	98.324	156.2298
106.000000	98.278	156.1328
107.500000	98.235	156.0506
109.000000	98.192	155.9667
110.599998	98.147	155.8734
112.000000	98.109	155.7903
113.800003	98.058	155.6834
115.000000	98.024	155.6146
117.199997	97.960	155.4933
118.000000	97.936	155.4509
120.599998	97.858	155.3206
122.000000	97.816	155.2581
124.099998	97.751	155.1779
125.000000	97.723	155.1484
126.500000	97.675	155.1055
128.000000	97.624	155.0726
131.500000	97.497	155.0498
132.000000	97.478	155.0552
134.000000	97.398	155.1114
136.000000	97.315	155.2457
138.000000	97.232	155.4982
140.000000	97.153	155.9199
143.000000	97.074	156.9020
145.000000	97.079	157.6731
147.500000	97.169	158.4239
150.000000	97.307	158.5668
152.500000	97.413	158.1397
155.000000	97.457	157.4838
157.500000	97.453	156.8414
160.000000	97.422	156.3065
162.500000	97.376	155.8911
165.000000	97.323	155.5626
167.500000	97.267	155.2910
170.000000	97.210	155.0670
172.500000	97.154	154.8849
175.000000	97.100	154.7340
177.500000	97.049	154.6151
180.000000	96.999	154.5290
182.500000	96.953	154.4637
185.000000	96.907	154.4070
187.500000	96.863	154.3529
190.000000	96.820	154.2926
192.500000	96.777	154.2217
195.000000	96.734	154.1512
197.500000	96.691	154.0919
200.000000	96.650	154.0411
203.000000	96.602	153.9877
206.000000	96.555	153.9475
209.000000	96.509	153.9183
212.000000	96.464	153.8965
214.000000	96.433	153.8866
218.000000	96.375	153.8643
220.000000	96.346	153.8435
224.000000	96.288	153.7938
227.000000	96.247	153.7619
230.000000	96.206	153.7379
233.000000	96.167	153.7260
236.000000	96.128	153.7245
240.000000	96.077	153.7279
243.000000	96.038	153.7318
247.000000	95.988	153.7386
250.000000	95.952	153.7419
254.000000	95.905	153.7352
258.000000	95.860	153.7254
262.000000	95.816	153.7181
265.000000	95.783	153.7139
269.000000	95.740	153.7227
272.000000	95.707	153.7340
276.000000	95.663	153.7367
280.000000	95.619	153.7393
285.000000	95.565	153.7529
290.000000	95.513	153.7656
295.000000	95.461	153.7761
300.000000	95.411	153.7865
304.000000	95.370	153.8032
307.000000	95.339	153.8188
311.000000	95.299	153.8416
315.000000	95.259	153.8639
320.000000	95.210	153.8907
325.000000	95.163	153.9232
330.000000	95.114	153.9491
335.000000	95.066	153.9748
340.000000	95.019	154.0062
345.000000	94.973	154.0408
350.000000	94.927	154.0898
355.000000	94.881	154.1447
360.000000	94.835	154.1958
365.000000	94.790	154.2541
370.000000	94.746	154.3165
375.000000	94.702	154.3771
382.000000	94.641	154.4760
387.000000	94.599	154.5554
395.000000	94.532	154.7020
400.000000	94.490	154.8076
406.000000	94.443	154.9523
412.000000	94.397	155.1147
418.000000	94.356	155.2905
425.000000	94.317	155.5048
431.000000	94.291	155.6680
437.000000	94.271	155.7890
444.000000	94.248	155.8643
450.000000	94.224	155.8697
455.000000	94.198	155.8537
462.000000	94.155	155.8328
468.000000	94.113	155.8286
475.000000	94.061	155.8595
482.000000	94.007	155.9254
487.000000	93.968	155.9842
494.000000	93.913	156.0878
500.000000	93.865	156.1968
508.000000	93.803	156.3608
515.000000	93.749	156.5249
522.000000	93.696	156.7088
530.000000	93.637	156.9308
538.000000	93.579	157.1746
545.000000	93.530	157.4116
552.000000	93.483	157.6649
560.000000	93.431	157.9768
570.000000	93.370	158.4023
580.000000	93.314	158.8473
590.000000	93.263	159.3180
600.000000	93.221	159.8083
608.000000	93.193	160.1996
615.000000	93.172	160.5402
622.000000	93.154	160.8886
630.000000	93.137	161.2968
640.000000	93.119	161.8095
650.000000	93.108	162.3160
660.000000	93.102	162.8003
670.000000	93.102	163.2628
680.000000	93.108	163.7127
690.000000	93.117	164.1395
700.000000	93.129	164.5424
710.000000	93.143	164.9291
720.000000	93.159	165.2910
730.000000	93.176	165.6402
740.000000	93.194	165.9814
750.000000	93.212	166.3059
762.000000	93.234	166.6851
775.000000	93.261	167.0732
788.000000	93.290	167.4391
800.000000	93.319	167.7716
812.000000	93.348	168.0997
825.000000	93.382	168.4537
838.000000	93.417	168.8087
850.000000	93.450	169.1296
862.000000	93.487	169.4504
875.000000	93.529	169.7883
885.000000	93.565	170.0390
900.000000	93.622	170.4094
912.000000	93.671	170.6988
925.000000	93.729	170.9971
938.000000	93.789	171.2756
950.000000	93.848	171.5152
962.000000	93.911	171.7321
975.000000	93.981	171.9469
988.000000	94.054	172.1378
1000.000000	94.125	172.2862
1015.000000	94.215	172.4365
1030.000000	94.306	172.5420
1044.000000	94.394	172.5963
1060.000000	94.495	172.6126
1075.000000	94.588	172.5839
1090.000000	94.681	172.5150
1106.000000	94.777	172.3992
1120.000000	94.860	172.2596
1138.000000	94.964	172.0309
1150.000000	95.030	171.8572
1172.000000	95.146	171.4990
1180.000000	95.185	171.3544
1206.000000	95.304	170.8536
1220.000000	95.363	170.5739
1241.000000	95.446	170.1321
1250.000000	95.479	169.9351
1265.000000	95.531	169.6050
1280.000000	95.581	169.2842
1315.000000	95.682	168.5331
1320.000000	95.695	168.4266
1340.000000	95.743	168.0193
1360.000000	95.785	167.6399
1380.000000	95.825	167.2687
1400.000000	95.861	166.9018
1430.000000	95.909	166.4193
1450.000000	95.938	166.1373
1475.000000	95.973	165.7929
1500.000000	96.010	165.4868
1525.000000	96.046	165.2230
1550.000000	96.080	165.0003
1575.000000	96.119	164.8015
1600.000000	96.156	164.6224
1625.000000	96.195	164.4973
1650.000000	96.237	164.4061
1675.000000	96.283	164.3156
1700.000000	96.336	164.2581
1725.000000	96.393	164.2208
1750.000000	96.456	164.1958
1775.000000	96.524	164.1944
1800.000000	96.597	164.2053
1825.000000	96.675	164.2258
1850.000000	96.761	164.2621
1875.000000	96.853	164.3018
1900.000000	96.955	164.3353
1925.000000	97.066	164.3708
1950.000000	97.188	164.3997
1975.000000	97.321	164.3996
2000.000000	97.462	164.3877
2030.000000	97.642	164.3802
2060.000000	97.845	164.3609
2090.000000	98.079	164.2675
2120.000000	98.332	164.0812
2140.000000	98.507	163.8671
2180.000000	98.876	163.1215
2200.000000	99.066	162.5881
2240.000000	99.444	161.1912
2270.000000	99.714	159.8676
2300.000000	99.960	158.3293
2330.000000	100.175	156.6272
2360.000000	100.357	154.8037
2400.000000	100.541	152.2256
2430.000000	100.635	150.2516
2470.000000	100.704	147.6753
2500.000000	100.718	145.8168
2540.000000	100.692	143.4998
2580.000000	100.628	141.4204
2620.000000	100.538	139.5637
2650.000000	100.460	138.3088
2690.000000	100.345	136.8342
2720.000000	100.257	135.8460
2760.000000	100.140	134.6387
2800.000000	100.029	133.5474
2850.000000	99.898	132.2910
2900.000000	99.773	131.1384
2950.000000	99.653	130.0501
3000.000000	99.533	128.9765
3040.000000	99.428	128.1816
3070.000000	99.344	127.6083
3110.000000	99.229	126.8683
3150.000000	99.112	126.1918
3200.000000	98.966	125.4337
3250.000000	98.820	124.7884
3300.000000	98.674	124.2505
3350.000000	98.534	123.7709
3400.000000	98.399	123.3250
3450.000000	98.263	122.8901
3500.000000	98.122	122.4435
3550.000000	97.968	122.0031
3600.000000	97.794	121.6169
3650.000000	97.598	121.3423
3700.000000	97.379	121.2691
3750.000000	97.145	121.4667
3820.000000	96.817	122.2166
3870.000000	96.598	123.1121
3950.000000	96.302	125.0839
4000.000000	96.160	126.5786
4060.000000	96.039	128.5744
4120.000000	95.980	130.6993
4180.000000	95.983	132.8710
4250.000000	96.048	135.4012
4310.000000	96.153	137.5044
4370.000000	96.302	139.5359
4440.000000	96.530	141.7792
4500.000000	96.772	143.5533
4550.000000	97.007	144.9116
4620.000000	97.389	146.5574
4680.000000	97.767	147.6477
4750.000000	98.257	148.4175
4820.000000	98.776	148.4839
4870.000000	99.142	148.0376
4940.000000	99.612	146.7237
5000.000000	99.949	145.0720
5080.000000	100.280	142.4266
5150.000000	100.465	139.9929
5220.000000	100.574	137.6200
5300.000000	100.631	135.0279
5380.000000	100.629	132.5191
5450.000000	100.576	130.3311
5520.000000	100.463	128.1503
5600.000000	100.236	125.7946
5700.000000	99.780	123.4569
5800.000000	99.151	122.5685
