* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 01/11/2023 11:59:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Letshuoer Cadenza 12 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	101.403	177.3653
20.299999	101.394	177.0703
20.600000	101.383	176.7623
20.900000	101.368	176.4540
21.200001	101.350	176.1609
21.400000	101.337	175.9807
21.799999	101.313	175.6581
22.000000	101.303	175.5130
22.400000	101.288	175.2401
22.700001	101.281	175.0349
23.000000	101.276	174.8188
23.299999	101.272	174.5923
23.600000	101.266	174.3623
24.000000	101.255	174.0649
24.299999	101.246	173.8587
24.700001	101.232	173.6109
25.000000	101.221	173.4429
25.400000	101.208	173.2358
25.799999	101.194	173.0372
26.200001	101.180	172.8347
26.500000	101.166	172.6754
26.900000	101.144	172.4564
27.200001	101.121	172.2997
27.600000	101.086	172.1264
28.000000	101.049	172.0136
28.500000	101.014	171.9261
29.000000	100.999	171.7735
29.500000	100.988	171.4432
30.000000	100.958	170.9659
30.400000	100.913	170.5920
30.700001	100.873	170.3746
31.100000	100.821	170.1939
31.500000	100.786	170.0989
32.000000	100.770	169.9744
32.500000	100.776	169.7269
33.000000	100.781	169.3494
33.500000	100.776	168.9230
34.000000	100.762	168.5315
34.500000	100.743	168.2103
35.000000	100.726	167.9561
35.500000	100.712	167.7470
36.000000	100.700	167.5555
36.500000	100.686	167.3638
37.000000	100.667	167.1771
37.500000	100.643	167.0169
38.200001	100.605	166.8488
38.700001	100.581	166.7366
39.500000	100.545	166.4960
40.000000	100.519	166.3112
40.599998	100.485	166.0811
41.200001	100.451	165.8522
41.799999	100.418	165.6279
42.500000	100.384	165.3886
43.099998	100.361	165.1981
43.700001	100.343	164.9940
44.400002	100.316	164.7519
45.000000	100.288	164.5931
45.500000	100.266	164.4992
46.200001	100.233	164.3803
46.799999	100.197	164.3109
47.500000	100.155	164.3695
48.200001	100.143	164.4741
48.700001	100.152	164.4068
49.400002	100.150	164.0441
50.000000	100.114	163.6777
50.799999	100.049	163.3760
51.500000	100.008	163.2008
52.200001	99.978	162.9761
53.000000	99.941	162.7059
53.799999	99.907	162.4789
54.500000	99.880	162.2997
55.200001	99.854	162.1459
56.000000	99.827	162.0018
57.000000	99.796	161.8180
58.000000	99.760	161.6175
59.000000	99.718	161.4258
60.000000	99.675	161.2510
60.799999	99.643	161.1132
61.500000	99.616	160.9862
62.200001	99.590	160.8555
63.000000	99.561	160.7081
64.000000	99.525	160.5311
65.000000	99.489	160.3689
66.000000	99.453	160.2216
67.000000	99.416	160.0781
68.000000	99.379	159.9344
69.000000	99.342	159.7905
70.000000	99.305	159.6489
71.000000	99.268	159.5105
72.000000	99.233	159.3751
73.000000	99.199	159.2430
74.000000	99.165	159.1165
75.000000	99.131	158.9990
76.199997	99.093	158.8603
77.500000	99.052	158.7030
78.800003	99.010	158.5466
80.000000	98.971	158.4046
81.199997	98.932	158.2633
82.500000	98.889	158.1161
83.800003	98.847	157.9753
85.000000	98.809	157.8463
86.199997	98.769	157.7176
87.500000	98.726	157.5948
88.500000	98.695	157.5116
90.000000	98.652	157.3715
91.199997	98.618	157.2418
92.500000	98.578	157.1208
93.800003	98.540	157.0244
95.000000	98.505	156.9443
96.199997	98.470	156.8720
97.500000	98.434	156.7957
98.800003	98.399	156.6942
100.000000	98.365	156.5692
101.500000	98.317	156.4131
103.000000	98.270	156.2950
104.400002	98.229	156.1981
106.000000	98.183	156.0958
107.500000	98.139	156.0045
109.000000	98.094	155.9128
110.599998	98.046	155.8174
112.000000	98.005	155.7360
113.800003	97.951	155.6381
115.000000	97.915	155.5783
117.199997	97.849	155.4744
118.000000	97.825	155.4381
120.599998	97.747	155.3248
122.000000	97.704	155.2773
124.099998	97.638	155.2249
125.000000	97.609	155.2092
126.500000	97.558	155.1991
128.000000	97.506	155.2093
131.500000	97.379	155.3317
132.000000	97.360	155.3682
134.000000	97.288	155.5800
136.000000	97.225	155.9045
138.000000	97.179	156.3438
140.000000	97.164	156.8508
143.000000	97.209	157.4502
145.000000	97.263	157.5559
147.500000	97.320	157.3417
150.000000	97.345	156.9099
152.500000	97.338	156.4507
155.000000	97.309	156.0521
157.500000	97.266	155.7371
160.000000	97.218	155.5035
162.500000	97.171	155.3153
165.000000	97.122	155.1513
167.500000	97.075	155.0023
170.000000	97.029	154.8623
172.500000	96.984	154.7432
175.000000	96.940	154.6449
177.500000	96.896	154.5501
180.000000	96.850	154.4567
182.500000	96.806	154.3709
185.000000	96.762	154.2909
187.500000	96.718	154.2227
190.000000	96.675	154.1616
192.500000	96.634	154.0919
195.000000	96.590	154.0240
197.500000	96.546	153.9796
200.000000	96.505	153.9568
203.000000	96.458	153.9335
206.000000	96.412	153.9027
209.000000	96.366	153.8724
212.000000	96.319	153.8340
214.000000	96.288	153.8038
218.000000	96.228	153.7468
220.000000	96.200	153.7213
224.000000	96.143	153.6848
227.000000	96.099	153.6832
230.000000	96.056	153.6926
233.000000	96.016	153.6920
236.000000	95.977	153.6752
240.000000	95.923	153.6454
243.000000	95.880	153.6359
247.000000	95.823	153.6474
250.000000	95.781	153.6704
254.000000	95.728	153.7153
258.000000	95.677	153.7720
262.000000	95.627	153.8452
265.000000	95.589	153.9152
269.000000	95.538	154.0199
272.000000	95.500	154.1018
276.000000	95.450	154.2045
280.000000	95.403	154.2952
285.000000	95.349	154.4099
290.000000	95.302	154.5365
295.000000	95.262	154.6865
300.000000	95.223	154.8295
304.000000	95.198	154.9199
307.000000	95.183	154.9698
311.000000	95.161	155.0082
315.000000	95.138	155.0190
320.000000	95.108	155.0110
325.000000	95.074	154.9884
330.000000	95.037	154.9764
335.000000	95.000	154.9774
340.000000	94.962	154.9846
345.000000	94.923	155.0051
350.000000	94.884	155.0328
355.000000	94.845	155.0608
360.000000	94.806	155.0744
365.000000	94.766	155.0737
370.000000	94.724	155.0784
375.000000	94.681	155.0966
382.000000	94.625	155.1592
387.000000	94.589	155.2014
395.000000	94.524	155.2402
400.000000	94.480	155.2914
406.000000	94.430	155.3702
412.000000	94.385	155.4462
418.000000	94.342	155.5166
425.000000	94.291	155.6073
431.000000	94.243	155.6999
437.000000	94.198	155.7816
444.000000	94.151	155.8807
450.000000	94.108	155.9871
455.000000	94.069	156.0750
462.000000	94.013	156.1763
468.000000	93.969	156.2813
475.000000	93.922	156.4527
482.000000	93.870	156.6258
487.000000	93.832	156.7465
494.000000	93.780	156.9246
500.000000	93.737	157.0856
508.000000	93.683	157.3300
515.000000	93.637	157.5754
522.000000	93.590	157.8247
530.000000	93.537	158.1177
538.000000	93.491	158.4177
545.000000	93.455	158.6912
552.000000	93.418	158.9904
560.000000	93.377	159.3246
570.000000	93.331	159.7596
580.000000	93.292	160.2057
590.000000	93.248	160.6975
600.000000	93.218	161.2778
608.000000	93.214	161.7020
615.000000	93.219	162.0027
622.000000	93.225	162.2528
630.000000	93.235	162.5023
640.000000	93.256	162.8263
650.000000	93.279	163.2188
660.000000	93.293	163.7252
670.000000	93.301	164.2051
680.000000	93.317	164.5777
690.000000	93.340	164.9497
700.000000	93.358	165.2992
710.000000	93.375	165.6193
720.000000	93.389	165.9539
730.000000	93.405	166.2925
740.000000	93.428	166.6024
750.000000	93.462	166.8580
762.000000	93.505	167.0713
775.000000	93.538	167.3191
788.000000	93.566	167.6853
800.000000	93.589	168.0549
812.000000	93.613	168.3792
825.000000	93.643	168.6581
838.000000	93.686	168.8744
850.000000	93.728	169.1056
862.000000	93.768	169.3945
875.000000	93.820	169.7076
885.000000	93.864	169.8854
900.000000	93.927	170.0325
912.000000	93.976	170.1023
925.000000	94.034	170.1630
938.000000	94.099	170.2242
950.000000	94.159	170.3330
962.000000	94.213	170.4977
975.000000	94.268	170.6517
988.000000	94.323	170.7479
1000.000000	94.369	170.8342
1015.000000	94.431	170.9813
1030.000000	94.511	171.1174
1044.000000	94.594	171.1929
1060.000000	94.685	171.2180
1075.000000	94.764	171.1501
1090.000000	94.844	170.9955
1106.000000	94.929	170.8046
1120.000000	94.998	170.6247
1138.000000	95.077	170.3549
1150.000000	95.128	170.1517
1172.000000	95.219	169.7154
1180.000000	95.250	169.5386
1206.000000	95.348	168.9649
1220.000000	95.395	168.6516
1241.000000	95.449	168.1631
1250.000000	95.469	167.9530
1265.000000	95.496	167.6054
1280.000000	95.519	167.2608
1315.000000	95.580	166.4644
1320.000000	95.588	166.3585
1340.000000	95.613	165.9620
1360.000000	95.630	165.5969
1380.000000	95.643	165.2439
1400.000000	95.656	164.9016
1430.000000	95.678	164.5306
1450.000000	95.688	164.3847
1475.000000	95.703	164.1710
1500.000000	95.719	163.9424
1525.000000	95.732	163.7798
1550.000000	95.741	163.6274
1575.000000	95.755	163.4729
1600.000000	95.770	163.4052
1625.000000	95.788	163.4115
1650.000000	95.808	163.4520
1675.000000	95.833	163.5020
1700.000000	95.864	163.5828
1725.000000	95.901	163.6958
1750.000000	95.943	163.8391
1775.000000	95.992	164.0031
1800.000000	96.051	164.1889
1825.000000	96.119	164.3958
1850.000000	96.194	164.6092
1875.000000	96.278	164.8286
1900.000000	96.374	165.0501
1925.000000	96.480	165.2733
1950.000000	96.599	165.5004
1975.000000	96.731	165.7069
2000.000000	96.876	165.8702
2030.000000	97.067	166.0219
2060.000000	97.274	166.1129
2090.000000	97.498	166.1088
2120.000000	97.741	166.0094
2140.000000	97.913	165.8635
2180.000000	98.276	165.3273
2200.000000	98.465	164.9427
2240.000000	98.847	163.8903
2270.000000	99.131	162.8126
2300.000000	99.403	161.4991
2330.000000	99.654	159.9700
2360.000000	99.875	158.2505
2400.000000	100.110	155.7657
2430.000000	100.238	153.8371
2470.000000	100.347	151.2596
2500.000000	100.385	149.3942
2540.000000	100.386	147.0704
2580.000000	100.343	144.9602
2620.000000	100.271	143.0885
2650.000000	100.204	141.8237
2690.000000	100.103	140.3268
2720.000000	100.023	139.3357
2760.000000	99.917	138.1332
2800.000000	99.815	137.0431
2850.000000	99.695	135.8165
2900.000000	99.580	134.6922
2950.000000	99.471	133.6546
3000.000000	99.362	132.6626
3040.000000	99.270	131.9406
3070.000000	99.198	131.4351
3110.000000	99.101	130.7924
3150.000000	99.006	130.2001
3200.000000	98.889	129.5395
3250.000000	98.776	128.9654
3300.000000	98.672	128.4352
3350.000000	98.576	127.9239
3400.000000	98.485	127.3934
3450.000000	98.392	126.8202
3500.000000	98.290	126.2064
3550.000000	98.173	125.5570
3600.000000	98.033	124.9301
3650.000000	97.865	124.4013
3700.000000	97.670	124.0428
3750.000000	97.456	123.9326
3820.000000	97.149	124.2547
3870.000000	96.943	124.8350
3950.000000	96.663	126.3065
4000.000000	96.529	127.4910
4060.000000	96.414	129.1028
4120.000000	96.354	130.8503
4180.000000	96.345	132.6544
4250.000000	96.397	134.7299
4310.000000	96.491	136.4157
