* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01/11/2023 12:55:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Letshuoer EJ07M L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.426	165.8145
20.299999	103.392	165.4133
20.600000	103.358	165.0513
20.900000	103.326	164.7227
21.200001	103.298	164.4077
21.400000	103.282	164.1933
21.799999	103.252	163.7475
22.000000	103.237	163.5167
22.400000	103.204	163.0526
22.700001	103.178	162.7146
23.000000	103.152	162.3897
23.299999	103.127	162.0716
23.600000	103.103	161.7529
24.000000	103.072	161.3200
24.299999	103.046	160.9929
24.700001	103.010	160.5671
25.000000	102.981	160.2654
25.400000	102.942	159.8904
25.799999	102.906	159.5368
26.200001	102.871	159.1905
26.500000	102.846	158.9322
26.900000	102.811	158.5942
27.200001	102.785	158.3505
27.600000	102.753	158.0391
28.000000	102.724	157.7289
28.500000	102.691	157.3063
29.000000	102.653	156.8259
29.500000	102.604	156.3282
30.000000	102.543	155.8934
30.400000	102.494	155.6192
30.700001	102.461	155.4465
31.100000	102.426	155.2197
31.500000	102.399	154.9541
32.000000	102.364	154.5372
32.500000	102.317	154.0683
33.000000	102.256	153.6422
33.500000	102.191	153.3146
34.000000	102.136	153.0604
34.500000	102.091	152.8075
35.000000	102.053	152.5149
35.500000	102.013	152.1935
36.000000	101.972	151.8667
36.500000	101.931	151.5312
37.000000	101.886	151.1779
37.500000	101.835	150.8287
38.200001	101.758	150.4095
38.700001	101.706	150.1480
39.500000	101.625	149.7109
40.000000	101.570	149.4558
40.599998	101.509	149.2075
41.200001	101.459	148.9528
41.799999	101.414	148.6224
42.500000	101.349	148.2130
43.099998	101.293	147.9138
43.700001	101.242	147.6233
44.400002	101.182	147.2725
45.000000	101.130	146.9833
45.500000	101.084	146.7294
46.200001	101.002	146.4087
46.799999	100.922	146.3693
47.500000	100.882	146.5666
48.200001	100.913	146.3867
48.700001	100.917	145.8363
49.400002	100.828	144.9614
50.000000	100.706	144.6173
50.799999	100.589	144.5596
51.500000	100.529	144.3479
52.200001	100.455	144.0051
53.000000	100.362	143.7064
53.799999	100.285	143.4255
54.500000	100.221	143.1413
55.200001	100.156	142.8725
56.000000	100.085	142.5873
57.000000	99.998	142.2597
58.000000	99.912	141.9843
59.000000	99.829	141.7335
60.000000	99.747	141.4780
60.799999	99.677	141.2593
61.500000	99.613	141.0754
62.200001	99.548	140.9098
63.000000	99.477	140.7253
64.000000	99.389	140.4818
65.000000	99.301	140.2527
66.000000	99.215	140.0313
67.000000	99.130	139.8115
68.000000	99.043	139.6213
69.000000	98.959	139.4448
70.000000	98.876	139.2597
71.000000	98.790	139.0773
72.000000	98.705	138.9086
73.000000	98.621	138.7499
74.000000	98.539	138.5946
75.000000	98.457	138.4437
76.199997	98.361	138.2778
77.500000	98.257	138.1039
78.800003	98.152	137.9555
80.000000	98.057	137.8310
81.199997	97.962	137.7117
82.500000	97.861	137.5804
83.800003	97.758	137.4480
85.000000	97.665	137.3507
86.199997	97.574	137.2531
87.500000	97.474	137.1493
88.500000	97.396	137.0907
90.000000	97.279	137.0291
91.199997	97.188	136.9857
92.500000	97.091	136.9300
93.800003	96.992	136.8705
95.000000	96.903	136.8561
96.199997	96.821	136.8550
97.500000	96.734	136.8326
98.800003	96.641	136.8116
100.000000	96.552	136.8204
101.500000	96.437	136.8431
103.000000	96.320	136.8984
104.400002	96.215	136.9667
106.000000	96.103	137.0372
107.500000	95.997	137.1035
109.000000	95.891	137.2133
110.599998	95.778	137.3724
112.000000	95.679	137.5573
113.800003	95.560	137.8416
115.000000	95.484	138.0290
117.199997	95.352	138.3890
118.000000	95.305	138.5352
120.599998	95.175	139.0280
122.000000	95.113	139.2834
124.099998	95.029	139.6020
125.000000	94.992	139.7308
126.500000	94.932	139.9479
128.000000	94.873	140.1357
131.500000	94.744	140.5019
132.000000	94.726	140.5400
134.000000	94.655	140.7095
136.000000	94.584	140.8612
138.000000	94.505	141.0413
140.000000	94.422	141.2128
143.000000	94.290	141.5045
145.000000	94.213	141.7278
147.500000	94.122	142.0153
150.000000	94.034	142.3436
152.500000	93.944	142.6678
155.000000	93.854	142.9739
157.500000	93.765	143.2687
160.000000	93.686	143.5819
162.500000	93.608	143.8716
165.000000	93.531	144.1869
167.500000	93.452	144.4962
170.000000	93.375	144.8116
172.500000	93.299	145.0608
175.000000	93.219	145.3175
177.500000	93.147	145.6326
180.000000	93.079	145.9559
182.500000	93.008	146.2708
185.000000	92.935	146.5963
187.500000	92.864	146.9445
190.000000	92.795	147.3138
192.500000	92.730	147.6832
195.000000	92.667	148.0267
197.500000	92.608	148.3744
200.000000	92.553	148.7329
203.000000	92.489	149.1681
206.000000	92.425	149.6125
209.000000	92.364	150.0569
212.000000	92.306	150.4969
214.000000	92.269	150.7875
218.000000	92.198	151.3693
220.000000	92.162	151.6622
224.000000	92.094	152.2351
227.000000	92.048	152.6533
230.000000	92.004	153.0734
233.000000	91.961	153.5007
236.000000	91.921	153.9243
240.000000	91.870	154.4766
243.000000	91.832	154.8910
247.000000	91.788	155.4476
250.000000	91.758	155.8604
254.000000	91.721	156.3933
258.000000	91.687	156.9465
262.000000	91.653	157.4946
265.000000	91.626	157.8537
269.000000	91.592	158.3247
272.000000	91.571	158.6899
276.000000	91.545	159.1853
280.000000	91.523	159.6887
285.000000	91.500	160.2938
290.000000	91.489	160.8559
295.000000	91.479	161.3960
300.000000	91.464	161.9388
304.000000	91.455	162.3410
307.000000	91.450	162.6219
311.000000	91.443	162.9752
315.000000	91.434	163.3116
320.000000	91.422	163.7339
325.000000	91.411	164.1488
330.000000	91.400	164.5612
335.000000	91.390	164.9779
340.000000	91.382	165.3636
345.000000	91.374	165.7316
350.000000	91.367	166.1047
355.000000	91.360	166.4768
360.000000	91.355	166.8479
365.000000	91.353	167.2125
370.000000	91.354	167.5604
375.000000	91.355	167.8880
382.000000	91.354	168.3065
387.000000	91.351	168.5994
395.000000	91.341	169.0745
400.000000	91.338	169.3665
406.000000	91.335	169.7059
412.000000	91.332	170.0358
418.000000	91.331	170.3611
425.000000	91.329	170.7335
431.000000	91.326	171.0472
437.000000	91.324	171.3514
444.000000	91.321	171.6902
450.000000	91.318	171.9861
455.000000	91.316	172.2368
462.000000	91.312	172.5802
468.000000	91.309	172.8758
475.000000	91.306	173.2191
482.000000	91.304	173.5413
487.000000	91.302	173.7659
494.000000	91.301	174.0839
500.000000	91.299	174.3573
508.000000	91.298	174.7234
515.000000	91.297	175.0410
522.000000	91.295	175.3589
530.000000	91.294	175.7187
538.000000	91.292	176.0664
545.000000	91.291	176.3671
552.000000	91.289	176.6729
560.000000	91.287	177.0267
570.000000	91.288	177.4600
580.000000	91.287	177.8802
590.000000	91.287	178.3051
600.000000	91.288	178.7420
608.000000	91.288	179.0934
615.000000	91.289	179.4016
622.000000	91.290	179.7077
630.000000	91.291	-179.9457
640.000000	91.293	-179.5052
650.000000	91.296	-179.0590
660.000000	91.299	-178.6164
670.000000	91.305	-178.1687
680.000000	91.310	-177.7160
690.000000	91.317	-177.2618
700.000000	91.325	-176.7999
710.000000	91.333	-176.3325
720.000000	91.343	-175.8616
730.000000	91.355	-175.3834
740.000000	91.367	-174.9039
750.000000	91.382	-174.4198
762.000000	91.404	-173.8304
775.000000	91.431	-173.1830
788.000000	91.459	-172.5319
800.000000	91.486	-171.9188
812.000000	91.517	-171.3032
825.000000	91.558	-170.6339
838.000000	91.604	-169.9846
850.000000	91.652	-169.4017
862.000000	91.701	-168.8297
875.000000	91.755	-168.2211
885.000000	91.799	-167.7460
900.000000	91.869	-167.0237
912.000000	91.929	-166.4563
925.000000	92.000	-165.8490
938.000000	92.076	-165.2528
950.000000	92.151	-164.7215
962.000000	92.230	-164.2116
975.000000	92.320	-163.6913
988.000000	92.415	-163.2043
1000.000000	92.506	-162.7770
1015.000000	92.621	-162.2754
1030.000000	92.741	-161.8230
1044.000000	92.854	-161.4519
1060.000000	92.984	-161.0799
1075.000000	93.108	-160.7689
1090.000000	93.230	-160.4953
1106.000000	93.360	-160.2602
1120.000000	93.474	-160.1060
1138.000000	93.618	-159.9538
1150.000000	93.712	-159.8742
1172.000000	93.882	-159.7885
1180.000000	93.942	-159.7767
1206.000000	94.130	-159.7977
1220.000000	94.228	-159.8349
1241.000000	94.368	-159.9136
1250.000000	94.425	-159.9568
1265.000000	94.519	-160.0419
1280.000000	94.610	-160.1407
1315.000000	94.810	-160.4023
1320.000000	94.838	-160.4415
1340.000000	94.945	-160.6063
1360.000000	95.048	-160.7781
1380.000000	95.149	-160.9498
1400.000000	95.246	-161.1248
1430.000000	95.386	-161.3833
1450.000000	95.477	-161.5571
1475.000000	95.587	-161.7785
1500.000000	95.694	-161.9903
1525.000000	95.798	-162.1984
1550.000000	95.902	-162.4078
1575.000000	96.004	-162.6191
1600.000000	96.105	-162.8292
1625.000000	96.208	-163.0383
1650.000000	96.310	-163.2580
1675.000000	96.412	-163.4838
1700.000000	96.514	-163.7110
1725.000000	96.616	-163.9516
1750.000000	96.718	-164.2009
1775.000000	96.820	-164.4601
1800.000000	96.922	-164.7339
1825.000000	97.023	-165.0161
1850.000000	97.124	-165.3122
1875.000000	97.226	-165.6275
1900.000000	97.328	-165.9572
1925.000000	97.432	-166.3060
1950.000000	97.535	-166.6791
1975.000000	97.637	-167.0666
2000.000000	97.739	-167.4637
2030.000000	97.859	-167.9635
2060.000000	97.979	-168.4905
2090.000000	98.099	-169.0487
2120.000000	98.220	-169.6422
2140.000000	98.300	-170.0564
2180.000000	98.461	-170.9393
2200.000000	98.541	-171.4131
2240.000000	98.699	-172.4328
2270.000000	98.814	-173.2720
2300.000000	98.926	-174.1808
2330.000000	99.030	-175.1535
2360.000000	99.127	-176.1853
2400.000000	99.239	-177.6386
2430.000000	99.309	-178.7629
2470.000000	99.385	179.7049
2500.000000	99.429	178.5356
2540.000000	99.473	176.9766
2580.000000	99.498	175.4268
2620.000000	99.506	173.8912
2650.000000	99.502	172.7599
2690.000000	99.482	171.2819
2720.000000	99.458	170.1973
2760.000000	99.413	168.7953
2800.000000	99.356	167.4498
2850.000000	99.269	165.8474
2900.000000	99.167	164.3513
2950.000000	99.052	162.9672
3000.000000	98.928	161.7068
3040.000000	98.824	160.7817
3070.000000	98.745	160.1375
3110.000000	98.636	159.3528
3150.000000	98.524	158.6489
3200.000000	98.385	157.8624
3250.000000	98.250	157.1714
3300.000000	98.120	156.5581
3350.000000	97.995	156.0108
3400.000000	97.875	155.5297
3450.000000	97.758	155.0994
3500.000000	97.646	154.7178
3550.000000	97.538	154.3912
3600.000000	97.434	154.1131
3650.000000	97.333	153.8867
3700.000000	97.237	153.7182
3750.000000	97.147	153.5944
3820.000000	97.036	153.4919
3870.000000	96.969	153.4671
3950.000000	96.888	153.4631
4000.000000	96.855	153.4646
4060.000000	96.834	153.4412
4120.000000	96.832	153.3588
4180.000000	96.845	153.1948
4250.000000	96.877	152.8571
4310.000000	96.915	152.4113
4370.000000	96.958	151.8065
4440.000000	97.007	150.8769
4500.000000	97.042	149.8876
4550.000000	97.061	148.9320
4620.000000	97.068	147.4012
4680.000000	97.048	145.9412
4750.000000	96.987	144.1134
4820.000000	96.882	142.1995
4870.000000	96.778	140.8198
4940.000000	96.593	138.9240
5000.000000	96.399	137.3647
5080.000000	96.096	135.4235
5150.000000	95.793	133.8874
5220.000000	95.455	132.5146
5300.000000	95.025	131.1768
5380.000000	94.541	130.2006
5450.000000	94.078	129.7821
5520.000000	93.596	129.8855
5600.000000	93.059	130.6574
5700.000000	92.458	132.3687
5800.000000	91.956	134.5698
5900.000000	91.540	137.0278
6000.000000	91.198	139.6355
6080.000000	90.968	141.8160
6150.000000	90.799	143.7869
6220.000000	90.659	145.8097
6300.000000	90.536	148.1733
6400.000000	90.436	151.1770
6500.000000	90.399	154.2072
6600.000000	90.428	157.2292
6700.000000	90.524	160.2097
6800.000000	90.689	163.1081
6900.000000	90.926	165.8816
7000.000000	91.242	168.4684
7100.000000	91.641	170.7847
7200.000000	92.124	172.7242
7300.000000	92.691	174.1581
7400.000000	93.341	174.9335
7500.000000	94.063	174.8458
7620.000000	94.995	173.2283
7750.000000	95.985	169.0872
7880.000000	96.778	162.1199
8000.000000	97.150	153.5938
8120.000000	97.057	144.3558
8250.000000	96.448	135.4348
8380.000000	95.464	129.0303
8500.000000	94.404	125.6174
8620.000000	93.336	124.2626
8750.000000	92.262	124.5612
8850.000000	91.522	125.7016
9000.000000	90.569	128.4455
9120.000000	89.941	131.2595
