* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 01/11/2023 12:57:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Letshuoer EJ07M R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	103.544	166.6449
20.299999	103.507	166.3602
20.600000	103.476	166.1263
20.900000	103.456	165.9146
21.200001	103.448	165.6825
21.400000	103.447	165.4938
21.799999	103.447	165.0192
22.000000	103.444	164.7354
22.400000	103.426	164.1105
22.700001	103.398	163.6439
23.000000	103.360	163.2300
23.299999	103.318	162.8918
23.600000	103.278	162.6239
24.000000	103.237	162.3330
24.299999	103.215	162.1137
24.700001	103.192	161.7674
25.000000	103.173	161.4604
25.400000	103.138	161.0203
25.799999	103.092	160.6079
26.200001	103.040	160.2648
26.500000	103.004	160.0482
26.900000	102.960	159.7827
27.200001	102.931	159.5780
27.600000	102.894	159.2852
28.000000	102.857	158.9832
28.500000	102.810	158.6236
29.000000	102.772	158.2782
29.500000	102.745	157.8943
30.000000	102.722	157.4270
30.400000	102.701	156.9998
30.700001	102.681	156.6648
31.100000	102.650	156.2242
31.500000	102.614	155.8094
32.000000	102.568	155.3395
32.500000	102.523	154.9178
33.000000	102.480	154.5292
33.500000	102.438	154.1646
34.000000	102.395	153.8249
34.500000	102.352	153.5129
35.000000	102.308	153.2240
35.500000	102.264	152.9442
36.000000	102.219	152.6626
36.500000	102.171	152.3787
37.000000	102.121	152.0992
37.500000	102.069	151.8256
38.200001	101.998	151.4315
38.700001	101.948	151.1244
39.500000	101.862	150.6079
40.000000	101.807	150.3038
40.599998	101.744	149.9661
41.200001	101.688	149.6300
41.799999	101.633	149.2929
42.500000	101.570	148.9428
43.099998	101.521	148.6839
43.700001	101.477	148.4290
44.400002	101.425	148.1389
45.000000	101.382	147.9021
45.500000	101.344	147.6840
46.200001	101.275	147.3754
46.799999	101.204	147.2484
47.500000	101.149	147.2736
48.200001	101.139	147.0950
48.700001	101.125	146.6971
49.400002	101.050	146.0223
50.000000	100.952	145.6605
50.799999	100.842	145.4575
51.500000	100.773	145.2426
52.200001	100.703	144.9702
