* Measurement data measured by REW V5.31.1
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -46.0 dBFS with no timing reference
* Dated: 30/05/2024 2:37:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM Audio Dark Magician L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 84.431 -142.3243
20.299999 84.506 -142.7119
20.600000 84.581 -143.3118
20.900000 84.633 -144.0595
21.200001 84.650 -144.8104
21.400000 84.645 -145.2369
21.799999 84.627 -145.8029
22.000000 84.629 -145.9513
22.400000 84.679 -146.1504
22.700001 84.754 -146.4047
23.000000 84.842 -146.8723
23.299999 84.916 -147.5565
23.600000 84.959 -148.3681
24.000000 84.961 -149.4193
24.299999 84.935 -150.0552
24.700001 84.895 -150.6632
25.000000 84.876 -151.0107
25.400000 84.861 -151.4557
25.799999 84.840 -151.9053
26.200001 84.807 -152.2569
26.500000 84.787 -152.4009
26.900000 84.794 -152.4929
27.200001 84.833 -152.6152
27.600000 84.913 -153.0462
28.000000 84.986 -153.8430
28.500000 85.014 -155.1080
29.000000 84.972 -156.2040
29.500000 84.916 -156.8247
30.000000 84.908 -157.0087
30.400000 84.962 -157.0295
30.700001 85.040 -157.1190
31.100000 85.179 -157.5361
31.500000 85.311 -158.4260
32.000000 85.365 -159.9855
32.500000 85.231 -161.1372
33.000000 85.006 -160.7256
33.500000 84.956 -158.6877
34.000000 85.236 -156.7638
34.500000 85.667 -156.7123
35.000000 85.949 -158.4349
35.500000 85.961 -160.5775
36.000000 85.787 -161.9135
36.500000 85.607 -162.1881
37.000000 85.525 -162.0535
37.500000 85.508 -162.2057
38.200001 85.464 -163.0113
38.700001 85.404 -163.6852
39.500000 85.302 -164.7170
40.000000 85.241 -165.3366
40.599998 85.174 -165.9818
41.200001 85.127 -166.5038
41.799999 85.098 -166.9163
42.500000 85.090 -167.1858
43.099998 85.127 -167.3295
43.700001 85.191 -167.6685
44.400002 85.225 -168.3335
45.000000 85.199 -168.7611
45.500000 85.174 -168.8858
46.200001 85.175 -168.9951
46.799999 85.183 -169.2876
47.500000 85.163 -169.7252
48.200001 85.140 -170.0888
48.700001 85.137 -170.3972
49.400002 85.127 -170.9781
50.000000 85.102 -171.4851
50.799999 85.068 -172.0059
51.500000 85.053 -172.3705
52.200001 85.047 -172.6677
53.000000 85.062 -172.9810
53.799999 85.084 -173.4566
54.500000 85.074 -173.9697
55.200001 85.033 -174.3665
56.000000 84.983 -174.5715
57.000000 84.958 -174.7129
58.000000 84.954 -175.0721
59.000000 84.933 -175.5737
60.000000 84.895 -176.0389
60.799999 84.863 -176.3153
61.500000 84.847 -176.5298
62.200001 84.837 -176.8167
63.000000 84.810 -177.2441
64.000000 84.732 -177.5955
65.000000 84.678 -177.4924
66.000000 84.692 -177.4820
67.000000 84.702 -177.8435
68.000000 84.673 -178.3341
69.000000 84.606 -178.6804
70.000000 84.555 -178.8387
71.000000 84.515 -179.1316
72.000000 84.461 -179.4477
73.000000 84.403 -179.6832
74.000000 84.346 -179.7794
75.000000 84.299 -179.7092
76.199997 84.276 -179.3363
77.500000 84.298 -179.3313
78.800003 84.224 -179.4187
80.000000 84.167 -179.1913
81.199997 84.131 -179.1413
82.500000 84.115 -179.2695
83.800003 84.096 -179.6697
85.000000 84.070 -179.8802
86.199997 84.060 179.8825
87.500000 83.991 179.6975
88.500000 83.931 179.9266
90.000000 83.882 -179.8304
91.199997 83.805 -179.8020
92.500000 83.729 -179.3464
93.800003 83.729 -178.9494
95.000000 83.749 -178.7983
96.199997 83.773 -178.6935
97.500000 83.815 -178.5651
98.800003 83.857 -178.7144
100.000000 83.854 -178.8864
101.500000 83.835 -178.9232
103.000000 83.817 -178.7574
104.400002 83.824 -178.5503
106.000000 83.842 -178.3275
107.500000 83.879 -178.1345
109.000000 83.925 -178.0876
110.599998 83.979 -178.0601
112.000000 84.033 -178.0497
113.800003 84.110 -178.0775
115.000000 84.160 -178.2160
117.199997 84.231 -178.7512
118.000000 84.249 -179.0028
120.599998 84.294 -179.7643
122.000000 84.307 179.8757
124.099998 84.290 179.4250
125.000000 84.278 179.2556
126.500000 84.268 178.7939
128.000000 84.259 178.0242
131.500000 84.175 176.5318
132.000000 84.163 176.5324
134.000000 84.149 176.8739
136.000000 84.145 177.0718
138.000000 84.101 176.9564
140.000000 84.054 176.7128
143.000000 84.020 176.2723
145.000000 83.994 176.1218
147.500000 83.945 176.0324
150.000000 83.897 175.9142
152.500000 83.865 175.6823
155.000000 83.821 175.4817
157.500000 83.777 175.4346
160.000000 83.741 175.3087
162.500000 83.706 175.1708
165.000000 83.669 175.1309
167.500000 83.637 175.1589
170.000000 83.602 175.1451
172.500000 83.566 175.2047
175.000000 83.544 175.3101
177.500000 83.528 175.3177
180.000000 83.508 175.2243
182.500000 83.489 175.1418
185.000000 83.473 175.0617
187.500000 83.454 174.9521
190.000000 83.435 174.8398
192.500000 83.409 174.7320
195.000000 83.370 174.7048
197.500000 83.331 174.7211
200.000000 83.299 174.6654
203.000000 83.269 174.5247
206.000000 83.244 174.3912
209.000000 83.227 174.3110
212.000000 83.203 174.2922
214.000000 83.182 174.3237
218.000000 83.132 174.3474
220.000000 83.108 174.3641
224.000000 83.067 174.4042
227.000000 83.034 174.3955
230.000000 82.999 174.3764
233.000000 82.972 174.3675
236.000000 82.948 174.3963
240.000000 82.909 174.5215
243.000000 82.881 174.6161
247.000000 82.835 174.6317
250.000000 82.802 174.7007
254.000000 82.775 174.6847
258.000000 82.743 174.7476
262.000000 82.708 174.8423
265.000000 82.683 174.8893
269.000000 82.657 174.9601
272.000000 82.637 175.0133
276.000000 82.600 175.0491
280.000000 82.564 175.1350
285.000000 82.530 175.2806
290.000000 82.498 175.3809
295.000000 82.463 175.4571
300.000000 82.426 175.5836
304.000000 82.393 175.7327
307.000000 82.369 175.8023
311.000000 82.339 175.8489
315.000000 82.308 175.9302
320.000000 82.271 176.0424
325.000000 82.244 176.1585
330.000000 82.221 176.3314
335.000000 82.191 176.5077
340.000000 82.158 176.6584
345.000000 82.128 176.7382
350.000000 82.093 176.8389
355.000000 82.063 177.0255
360.000000 82.037 177.1983
365.000000 82.008 177.3809
370.000000 81.976 177.5410
375.000000 81.951 177.6709
382.000000 81.914 177.8820
387.000000 81.886 178.0771
395.000000 81.845 178.3564
400.000000 81.820 178.4875
406.000000 81.788 178.6354
412.000000 81.755 178.8467
418.000000 81.726 179.0922
425.000000 81.697 179.3492
431.000000 81.672 179.5861
437.000000 81.641 179.8278
444.000000 81.605 -179.9124
450.000000 81.576 -179.7284
455.000000 81.557 -179.5738
462.000000 81.535 -179.3131
468.000000 81.512 -179.0496
475.000000 81.481 -178.7449
482.000000 81.453 -178.4898
487.000000 81.433 -178.3028
494.000000 81.404 -178.0139
500.000000 81.379 -177.7848
508.000000 81.348 -177.4602
515.000000 81.322 -177.1946
522.000000 81.298 -176.9169
530.000000 81.271 -176.6032
538.000000 81.239 -176.2761
545.000000 81.213 -175.9646
552.000000 81.193 -175.6591
560.000000 81.167 -175.3119
570.000000 81.131 -174.7903
580.000000 81.096 -174.3661
590.000000 81.062 -173.9269
600.000000 81.035 -173.4471
608.000000 81.014 -173.0687
615.000000 80.994 -172.7523
622.000000 80.972 -172.4321
630.000000 80.951 -172.0235
640.000000 80.932 -171.5065
650.000000 80.911 -171.0088
660.000000 80.884 -170.4988
670.000000 80.860 -169.9862
680.000000 80.838 -169.4460
690.000000 80.817 -168.8907
700.000000 80.798 -168.3470
710.000000 80.780 -167.7837
720.000000 80.761 -167.2151
730.000000 80.744 -166.6099
740.000000 80.726 -165.9753
750.000000 80.714 -165.3769
762.000000 80.702 -164.6412
775.000000 80.688 -163.7567
788.000000 80.678 -162.8343
800.000000 80.672 -161.9352
812.000000 80.677 -160.9125
825.000000 80.703 -159.7174
838.000000 80.766 -158.5656
850.000000 80.849 -157.5928
862.000000 80.942 -156.7843
875.000000 81.043 -156.1173
885.000000 81.114 -155.6956
900.000000 81.204 -155.1198
912.000000 81.264 -154.6315
925.000000 81.329 -154.0627
938.000000 81.396 -153.4791
950.000000 81.459 -152.9372
962.000000 81.523 -152.4015
975.000000 81.593 -151.8458
988.000000 81.667 -151.3177
1000.000000 81.743 -150.8415
1015.000000 81.843 -150.2586
1030.000000 81.941 -149.6975
1044.000000 82.033 -149.2289
1060.000000 82.141 -148.7459
1075.000000 82.244 -148.3327
1090.000000 82.347 -147.9561
1106.000000 82.459 -147.5990
1120.000000 82.554 -147.3267
1138.000000 82.672 -147.0223
1150.000000 82.750 -146.8569
1172.000000 82.888 -146.5861
1180.000000 82.937 -146.4961
1206.000000 83.090 -146.2323
1220.000000 83.167 -146.1243
1241.000000 83.279 -145.9850
1250.000000 83.325 -145.9276
1265.000000 83.399 -145.8408
1280.000000 83.472 -145.7645
1315.000000 83.627 -145.6189
1320.000000 83.648 -145.5970
1340.000000 83.730 -145.5121
1360.000000 83.810 -145.4185
1380.000000 83.889 -145.3348
1400.000000 83.964 -145.2609
1430.000000 84.064 -145.1113
1450.000000 84.125 -144.9957
1475.000000 84.200 -144.8294
1500.000000 84.272 -144.6218
1525.000000 84.342 -144.3602
1550.000000 84.410 -144.0327
1575.000000 84.486 -143.6124
1600.000000 84.577 -143.0805
1625.000000 84.692 -142.4952
1650.000000 84.840 -141.9345
1675.000000 85.023 -141.5377
1700.000000 85.222 -141.4105
1725.000000 85.413 -141.5381
1750.000000 85.583 -141.8523
1775.000000 85.730 -142.2729
1800.000000 85.855 -142.7327
1825.000000 85.963 -143.1771
1850.000000 86.058 -143.5958
1875.000000 86.147 -143.9937
1900.000000 86.231 -144.3690
1925.000000 86.311 -144.7267
1950.000000 86.391 -145.0842
1975.000000 86.468 -145.4449
2000.000000 86.542 -145.8133
2030.000000 86.626 -146.2690
2060.000000 86.707 -146.7242
2090.000000 86.784 -147.1805
2120.000000 86.857 -147.6467
2140.000000 86.905 -147.9640
2180.000000 86.999 -148.6349
2200.000000 87.044 -148.9912
2240.000000 87.127 -149.7360
2270.000000 87.182 -150.3359
2300.000000 87.230 -150.9669
2330.000000 87.269 -151.6103
2360.000000 87.300 -152.2529
2400.000000 87.328 -153.1006
2430.000000 87.339 -153.7434
2470.000000 87.345 -154.5833
2500.000000 87.341 -155.1925
2540.000000 87.325 -155.9833
2580.000000 87.300 -156.7401
2620.000000 87.265 -157.4543
2650.000000 87.232 -157.9670
2690.000000 87.180 -158.5980
2720.000000 87.136 -159.0290
2760.000000 87.075 -159.5635
2800.000000 87.010 -160.0493
2850.000000 86.920 -160.5829
2900.000000 86.824 -161.0229
2950.000000 86.726 -161.3865
3000.000000 86.626 -161.6785
3040.000000 86.545 -161.8743
3070.000000 86.485 -161.9943
3110.000000 86.406 -162.1059
3150.000000 86.326 -162.1735
3200.000000 86.225 -162.2228
3250.000000 86.125 -162.2310
3300.000000 86.027 -162.1863
3350.000000 85.928 -162.0829
3400.000000 85.830 -161.9273
3450.000000 85.736 -161.7238
3500.000000 85.647 -161.4689
3550.000000 85.562 -161.1779
3600.000000 85.478 -160.8581
3650.000000 85.397 -160.4917
3700.000000 85.318 -160.0641
3750.000000 85.242 -159.5518
3820.000000 85.156 -158.6635
3870.000000 85.126 -157.9999
3950.000000 85.114 -157.1439
4000.000000 85.107 -156.7318
4060.000000 85.098 -156.2682
4120.000000 85.088 -155.8091
4180.000000 85.080 -155.3586
4250.000000 85.076 -154.8357
4310.000000 85.079 -154.3793
4370.000000 85.090 -153.9411
4440.000000 85.114 -153.4834
4500.000000 85.141 -153.1521
4550.000000 85.167 -152.9217
4620.000000 85.207 -152.6662
4680.000000 85.243 -152.5228
4750.000000 85.287 -152.4300
4820.000000 85.328 -152.4232
4870.000000 85.354 -152.4776
4940.000000 85.388 -152.6257
5000.000000 85.410 -152.8083
5080.000000 85.430 -153.1214
5150.000000 85.436 -153.4650
5220.000000 85.430 -153.8538
