* Measurement data measured by REW V5.31.1
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.700
* Format: 256k Log Swept Sine, 1 sweep at -46.0 dBFS with no timing reference
* Dated: 30/05/2024 2:33:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: MiM Audio Dark Magician R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 84.822 -134.5444
20.299999 84.877 -135.2043
20.600000 84.929 -135.9048
20.900000 84.975 -136.6409
21.200001 85.011 -137.3879
21.400000 85.029 -137.8707
21.799999 85.055 -138.7401
22.000000 85.067 -139.1094
22.400000 85.106 -139.7320
22.700001 85.156 -140.1633
23.000000 85.223 -140.6445
23.299999 85.295 -141.2246
23.600000 85.361 -141.8996
24.000000 85.421 -142.8431
24.299999 85.448 -143.4810
24.700001 85.476 -144.1529
25.000000 85.507 -144.5513
25.400000 85.570 -145.0767
25.799999 85.638 -145.7189
26.200001 85.683 -146.4573
26.500000 85.695 -146.9803
26.900000 85.694 -147.5206
27.200001 85.697 -147.8051
27.600000 85.726 -148.1465
28.000000 85.772 -148.6194
28.500000 85.814 -149.4856
29.000000 85.803 -150.4462
29.500000 85.761 -151.2308
30.000000 85.732 -151.8250
30.400000 85.728 -152.2677
30.700001 85.735 -152.6190
31.100000 85.756 -153.1226
31.500000 85.789 -153.6756
32.000000 85.844 -154.4576
32.500000 85.897 -155.2617
33.000000 85.956 -155.8755
33.500000 86.077 -156.3079
34.000000 86.292 -157.0878
34.500000 86.511 -158.7757
35.000000 86.574 -161.1484
35.500000 86.406 -163.1260
36.000000 86.110 -163.5483
36.500000 85.927 -162.3279
37.000000 85.994 -160.8078
37.500000 86.190 -160.3517
38.200001 86.317 -161.2792
38.700001 86.254 -161.8605
39.500000 86.138 -161.8004
40.000000 86.128 -161.7365
40.599998 86.119 -162.0441
41.200001 86.079 -162.4996
41.799999 86.050 -162.9289
42.500000 86.055 -163.6843
43.099998 86.047 -164.6321
43.700001 86.003 -165.5396
44.400002 85.959 -166.2120
45.000000 85.975 -166.6205
45.500000 86.019 -167.0711
46.200001 86.063 -167.9373
46.799999 86.050 -168.6249
47.500000 86.000 -168.9395
48.200001 85.994 -168.7678
48.700001 86.036 -168.6759
49.400002 86.106 -168.9342
50.000000 86.123 -169.3883
50.799999 86.095 -169.8656
51.500000 86.070 -170.1801
52.200001 86.035 -170.5326
53.000000 85.983 -170.7644
53.799999 85.975 -170.8548
54.500000 86.000 -171.1519
55.200001 86.008 -171.6356
56.000000 85.998 -172.1689
57.000000 85.982 -172.8049
58.000000 85.944 -173.4195
59.000000 85.902 -173.8601
60.000000 85.881 -174.2704
60.799999 85.868 -174.7003
61.500000 85.849 -175.1152
62.200001 85.822 -175.4963
63.000000 85.793 -175.8742
64.000000 85.762 -176.2855
65.000000 85.745 -176.6760
66.000000 85.726 -177.1654
67.000000 85.684 -177.5976
68.000000 85.650 -177.8936
69.000000 85.623 -178.2604
70.000000 85.584 -178.6255
71.000000 85.548 -178.9291
72.000000 85.518 -179.2280
73.000000 85.491 -179.5576
74.000000 85.457 -179.9138
75.000000 85.415 179.7788
76.199997 85.363 179.4770
77.500000 85.303 179.1862
78.800003 85.237 178.9353
80.000000 85.187 178.8058
81.199997 85.164 178.5613
82.500000 85.121 178.1025
83.800003 85.062 177.8284
85.000000 85.021 177.7002
86.199997 84.988 177.5570
87.500000 84.933 177.3545
88.500000 84.877 177.3036
90.000000 84.812 177.2391
91.199997 84.756 177.0358
92.500000 84.682 176.8260
93.800003 84.609 176.7061
95.000000 84.549 176.6451
96.199997 84.485 176.6154
97.500000 84.409 176.6536
98.800003 84.328 176.7665
100.000000 84.256 176.9412
101.500000 84.173 177.2306
103.000000 84.102 177.6237
104.400002 84.048 178.0524
106.000000 83.972 178.6808
107.500000 83.923 179.5837
109.000000 83.916 -179.5095
110.599998 83.951 -178.5806
112.000000 84.025 -177.8773
113.800003 84.153 -177.2315
115.000000 84.244 -176.9136
117.199997 84.415 -176.6047
118.000000 84.476 -176.5826
120.599998 84.678 -176.9163
122.000000 84.774 -177.3479
124.099998 84.887 -177.9991
125.000000 84.930 -178.2728
126.500000 84.986 -178.7697
128.000000 85.021 -179.2817
131.500000 85.046 179.4135
132.000000 85.044 179.2218
134.000000 85.031 178.4856
136.000000 85.011 177.8411
138.000000 84.985 177.3083
140.000000 84.955 176.8676
143.000000 84.901 176.3107
145.000000 84.862 175.9373
147.500000 84.811 175.5227
150.000000 84.765 175.1729
152.500000 84.717 174.9010
155.000000 84.672 174.6283
157.500000 84.622 174.3168
160.000000 84.576 174.0890
162.500000 84.534 173.8965
165.000000 84.488 173.6876
167.500000 84.439 173.4960
170.000000 84.391 173.3356
172.500000 84.344 173.2159
175.000000 84.299 173.1204
177.500000 84.256 173.0402
180.000000 84.215 172.9524
182.500000 84.173 172.8657
185.000000 84.129 172.7997
187.500000 84.087 172.7277
190.000000 84.049 172.6382
192.500000 84.014 172.5531
195.000000 83.976 172.5207
197.500000 83.936 172.5311
200.000000 83.899 172.5323
203.000000 83.864 172.4720
206.000000 83.827 172.3922
209.000000 83.779 172.3937
212.000000 83.732 172.4219
214.000000 83.707 172.4281
218.000000 83.660 172.4433
220.000000 83.636 172.4549
224.000000 83.581 172.4564
227.000000 83.544 172.4503
230.000000 83.509 172.4722
233.000000 83.475 172.5425
236.000000 83.440 172.6161
240.000000 83.393 172.6916
243.000000 83.363 172.7614
247.000000 83.328 172.8534
250.000000 83.306 172.9103
254.000000 83.274 172.9738
258.000000 83.238 173.0603
262.000000 83.208 173.1276
265.000000 83.186 173.1684
269.000000 83.151 173.2208
272.000000 83.122 173.2433
276.000000 83.087 173.2869
280.000000 83.055 173.3554
285.000000 83.016 173.4467
290.000000 82.975 173.5483
295.000000 82.933 173.6472
300.000000 82.893 173.7453
304.000000 82.863 173.8407
307.000000 82.841 173.9324
311.000000 82.813 174.0613
315.000000 82.783 174.1555
320.000000 82.744 174.2357
325.000000 82.709 174.3545
330.000000 82.673 174.4818
335.000000 82.637 174.5970
340.000000 82.602 174.7368
345.000000 82.571 174.8947
350.000000 82.543 175.0240
355.000000 82.511 175.1376
360.000000 82.474 175.2881
365.000000 82.439 175.4498
370.000000 82.407 175.5882
375.000000 82.379 175.7344
382.000000 82.342 175.9718
387.000000 82.313 176.1337
395.000000 82.269 176.3942
400.000000 82.240 176.5446
406.000000 82.204 176.7031
412.000000 82.173 176.8993
418.000000 82.144 177.1034
425.000000 82.106 177.3801
431.000000 82.077 177.6024
437.000000 82.051 177.7793
444.000000 82.013 177.9884
450.000000 81.981 178.2294
455.000000 81.958 178.4046
462.000000 81.925 178.6307
468.000000 81.895 178.8584
475.000000 81.863 179.1153
482.000000 81.832 179.3791
487.000000 81.811 179.5664
494.000000 81.781 179.8425
500.000000 81.754 -179.9174
508.000000 81.721 -179.6021
515.000000 81.692 -179.3288
522.000000 81.663 -179.0644
530.000000 81.631 -178.7513
538.000000 81.598 -178.4273
545.000000 81.570 -178.1483
552.000000 81.543 -177.8627
560.000000 81.513 -177.5285
570.000000 81.477 -177.1151
580.000000 81.445 -176.6858
590.000000 81.408 -176.2365
600.000000 81.373 -175.8069
608.000000 81.350 -175.4381
615.000000 81.330 -175.1079
622.000000 81.307 -174.7765
630.000000 81.280 -174.4060
640.000000 81.253 -173.9252
650.000000 81.224 -173.4189
660.000000 81.197 -172.9422
670.000000 81.171 -172.4663
680.000000 81.143 -171.9905
690.000000 81.115 -171.4652
700.000000 81.090 -170.9052
710.000000 81.066 -170.3561
720.000000 81.039 -169.7932
730.000000 81.013 -169.2230
740.000000 80.985 -168.6224
750.000000 80.957 -167.9795
762.000000 80.922 -167.1053
775.000000 80.896 -165.9612
788.000000 80.901 -164.7321
800.000000 80.939 -163.6098
812.000000 81.005 -162.5356
825.000000 81.101 -161.5317
838.000000 81.207 -160.8031
850.000000 81.296 -160.3416
862.000000 81.364 -159.9539
875.000000 81.419 -159.5220
885.000000 81.453 -159.1440
900.000000 81.500 -158.5373
912.000000 81.540 -158.0170
925.000000 81.588 -157.4074
938.000000 81.643 -156.7893
950.000000 81.700 -156.2417
962.000000 81.760 -155.7021
975.000000 81.827 -155.1280
988.000000 81.899 -154.5866
1000.000000 81.970 -154.1122
1015.000000 82.063 -153.5523
1030.000000 82.158 -153.0510
1044.000000 82.248 -152.6270
1060.000000 82.354 -152.1586
1075.000000 82.454 -151.7764
1090.000000 82.553 -151.4339
1106.000000 82.658 -151.1172
1120.000000 82.748 -150.8727
1138.000000 82.860 -150.5954
1150.000000 82.934 -150.4296
1172.000000 83.067 -150.1887
1180.000000 83.114 -150.1204
1206.000000 83.260 -149.9237
1220.000000 83.333 -149.8350
1241.000000 83.438 -149.7262
1250.000000 83.482 -149.6922
1265.000000 83.555 -149.6441
1280.000000 83.625 -149.6037
1315.000000 83.774 -149.5136
1320.000000 83.794 -149.5047
1340.000000 83.874 -149.4686
1360.000000 83.950 -149.4338
1380.000000 84.026 -149.4015
1400.000000 84.099 -149.3643
1430.000000 84.202 -149.3167
1450.000000 84.268 -149.2884
1475.000000 84.351 -149.2478
1500.000000 84.433 -149.1939
1525.000000 84.513 -149.1528
1550.000000 84.592 -149.1124
1575.000000 84.671 -149.0763
1600.000000 84.750 -149.0372
1625.000000 84.829 -149.0151
1650.000000 84.906 -149.0039
1675.000000 84.983 -148.9973
1700.000000 85.059 -149.0063
1725.000000 85.137 -149.0338
1750.000000 85.215 -149.0766
1775.000000 85.294 -149.1239
1800.000000 85.371 -149.1876
1825.000000 85.447 -149.2568
1850.000000 85.524 -149.3493
1875.000000 85.600 -149.4840
1900.000000 85.673 -149.6314
1925.000000 85.745 -149.7865
1950.000000 85.815 -149.9637
1975.000000 85.884 -150.1561
2000.000000 85.952 -150.3696
2030.000000 86.030 -150.6504
2060.000000 86.105 -150.9543
2090.000000 86.176 -151.2695
2120.000000 86.243 -151.6141
2140.000000 86.285 -151.8549
2180.000000 86.366 -152.3535
2200.000000 86.405 -152.6066
2240.000000 86.478 -153.1234
2270.000000 86.530 -153.5396
2300.000000 86.581 -153.9845
2330.000000 86.627 -154.4537
2360.000000 86.667 -154.9446
2400.000000 86.711 -155.6348
2430.000000 86.736 -156.1695
2470.000000 86.758 -156.8974
2500.000000 86.767 -157.4463
2540.000000 86.769 -158.1667
2580.000000 86.759 -158.8707
2620.000000 86.740 -159.5555
2650.000000 86.718 -160.0514
2690.000000 86.681 -160.6729
2720.000000 86.649 -161.1102
2760.000000 86.601 -161.6724
2800.000000 86.548 -162.2011
2850.000000 86.471 -162.8000
2900.000000 86.384 -163.3284
2950.000000 86.291 -163.7837
3000.000000 86.191 -164.1730
3040.000000 86.106 -164.4325
3070.000000 86.043 -164.5929
3110.000000 85.958 -164.7630
3150.000000 85.872 -164.8921
3200.000000 85.765 -165.0025
3250.000000 85.657 -165.0547
3300.000000 85.550 -165.0597
3350.000000 85.441 -165.0039
3400.000000 85.334 -164.8975
3450.000000 85.228 -164.7517
3500.000000 85.123 -164.5453
3550.000000 85.016 -164.2818
3600.000000 84.905 -163.9396
3650.000000 84.794 -163.4698
3700.000000 84.692 -162.7803
3750.000000 84.629 -161.8946
3820.000000 84.627 -160.8713
3870.000000 84.640 -160.5147
3950.000000 84.619 -160.1718
4000.000000 84.588 -159.9385
4060.000000 84.548 -159.5946
4120.000000 84.510 -159.2064
4180.000000 84.478 -158.7860
4250.000000 84.450 -158.2851
4310.000000 84.430 -157.8681
4370.000000 84.416 -157.4709
4440.000000 84.408 -157.0284
4500.000000 84.407 -156.6790
4550.000000 84.408 -156.4234
4620.000000 84.415 -156.1144
4680.000000 84.423 -155.8879
4750.000000 84.434 -155.6744
4820.000000 84.445 -155.5172
4870.000000 84.454 -155.4385
4940.000000 84.466 -155.3856
5000.000000 84.474 -155.3909
5080.000000 84.478 -155.4501
5150.000000 84.478 -155.5648
5220.000000 84.471 -155.7329
5300.000000 84.452 -155.9546
