* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 08/11/2023 1:55:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Aria Snow L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	97.118	-136.1357
20.299999	97.168	-136.8537
20.600000	97.216	-137.5551
20.900000	97.262	-138.2415
21.200001	97.307	-138.9189
21.400000	97.335	-139.3679
21.799999	97.388	-140.2560
22.000000	97.412	-140.6898
22.400000	97.453	-141.5189
22.700001	97.480	-142.0934
23.000000	97.508	-142.6240
23.299999	97.540	-143.1252
23.600000	97.575	-143.6187
24.000000	97.626	-144.2993
24.299999	97.662	-144.8398
24.700001	97.703	-145.5864
25.000000	97.726	-146.1392
25.400000	97.750	-146.8342
25.799999	97.773	-147.4760
26.200001	97.798	-148.0973
26.500000	97.818	-148.5742
26.900000	97.841	-149.2336
27.200001	97.853	-149.7312
27.600000	97.863	-150.3653
28.000000	97.870	-150.9379
28.500000	97.886	-151.5823
29.000000	97.913	-152.2159
29.500000	97.944	-152.8778
30.000000	97.974	-153.5464
30.400000	97.999	-154.0713
30.700001	98.019	-154.4676
31.100000	98.047	-155.0240
31.500000	98.068	-155.6200
32.000000	98.077	-156.3707
32.500000	98.066	-157.0143
33.000000	98.054	-157.4888
33.500000	98.061	-157.8777
34.000000	98.085	-158.3417
34.500000	98.105	-158.9513
35.000000	98.106	-159.6316
35.500000	98.090	-160.2587
36.000000	98.076	-160.7971
36.500000	98.074	-161.3131
37.000000	98.081	-161.8894
37.500000	98.088	-162.5372
38.200001	98.083	-163.4384
38.700001	98.076	-163.9814
39.500000	98.085	-164.6883
40.000000	98.100	-165.1187
40.599998	98.113	-165.6298
41.200001	98.117	-166.0461
41.799999	98.122	-166.3980
42.500000	98.117	-166.8805
43.099998	98.081	-167.2782
43.700001	98.038	-167.5517
44.400002	98.006	-167.9939
45.000000	97.960	-168.6554
45.500000	97.900	-169.2063
46.200001	97.853	-169.9992
46.799999	97.847	-171.3980
47.500000	97.661	-173.8211
48.200001	97.211	-174.6286
48.700001	96.961	-173.3270
49.400002	97.074	-170.8563
50.000000	97.419	-170.5144
50.799999	97.691	-172.1913
51.500000	97.731	-173.2892
52.200001	97.775	-173.7212
53.000000	97.826	-174.2779
53.799999	97.802	-174.6999
54.500000	97.769	-174.7817
55.200001	97.749	-174.9133
56.000000	97.713	-175.3277
57.000000	97.617	-176.0528
58.000000	97.494	-176.6934
59.000000	97.385	-177.2110
60.000000	97.289	-177.5734
60.799999	97.223	-177.6384
61.500000	97.182	-177.5254
62.200001	97.161	-177.2802
63.000000	97.172	-176.9706
64.000000	97.218	-176.8853
65.000000	97.237	-177.1790
66.000000	97.230	-177.5366
67.000000	97.241	-177.9830
68.000000	97.252	-178.7315
69.000000	97.216	-179.5703
70.000000	97.133	179.8855
71.000000	97.034	179.7650
72.000000	96.939	-179.9868
73.000000	96.874	-179.4835
74.000000	96.861	-179.0665
75.000000	96.856	-179.0829
76.199997	96.807	-179.2230
77.500000	96.789	-179.1566
78.800003	96.820	-179.1168
80.000000	96.888	-178.9624
81.199997	96.999	-178.9542
82.500000	97.086	-179.3007
83.800003	97.117	-179.6708
85.000000	97.130	179.9576
86.199997	97.130	179.4894
87.500000	97.127	178.9584
88.500000	97.130	178.4857
90.000000	97.114	177.7130
91.199997	97.076	177.1734
92.500000	97.020	176.7456
93.800003	96.960	176.3820
95.000000	96.899	176.0863
96.199997	96.844	175.8439
97.500000	96.802	175.5917
98.800003	96.770	175.2778
100.000000	96.731	174.9814
101.500000	96.668	174.7518
103.000000	96.607	174.6020
104.400002	96.543	174.4542
106.000000	96.469	174.3008
107.500000	96.406	174.1558
109.000000	96.344	174.0596
110.599998	96.284	174.0709
112.000000	96.237	174.1513
113.800003	96.179	174.3364
115.000000	96.149	174.4927
117.199997	96.118	174.7492
118.000000	96.114	174.8216
120.599998	96.123	174.9910
122.000000	96.140	175.0144
124.099998	96.170	174.8814
125.000000	96.180	174.7613
126.500000	96.190	174.5177
128.000000	96.194	174.2377
131.500000	96.160	173.5473
132.000000	96.151	173.4542
134.000000	96.111	173.1020
136.000000	96.069	172.7821
138.000000	96.023	172.4820
140.000000	95.967	172.2360
143.000000	95.878	171.8983
145.000000	95.812	171.6531
147.500000	95.739	171.5203
150.000000	95.691	171.4467
152.500000	95.633	171.3466
155.000000	95.563	171.2543
