* Measurement data measured by REW V5.20.13
* Source: Primary Sound Capture Driver, no input selected, R, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: 08/11/2023 1:58:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Aria Snow R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	96.554	-134.7943
20.299999	96.603	-135.4503
20.600000	96.654	-136.0731
20.900000	96.709	-136.6919
21.200001	96.764	-137.3340
21.400000	96.798	-137.7781
21.799999	96.856	-138.6805
22.000000	96.879	-139.1197
22.400000	96.913	-139.9249
22.700001	96.935	-140.4396
23.000000	96.962	-140.8814
23.299999	97.000	-141.2909
23.600000	97.048	-141.7202
24.000000	97.122	-142.4011
24.299999	97.173	-143.0190
24.700001	97.218	-143.9427
25.000000	97.231	-144.6285
25.400000	97.223	-145.4098
25.799999	97.209	-145.9567
26.200001	97.214	-146.3116
26.500000	97.238	-146.5415
26.900000	97.292	-146.9171
27.200001	97.341	-147.2961
27.600000	97.400	-147.9187
28.000000	97.447	-148.6007
28.500000	97.494	-149.4504
29.000000	97.536	-150.3215
29.500000	97.564	-151.2692
30.000000	97.558	-152.1978
30.400000	97.531	-152.7754
30.700001	97.508	-153.0569
31.100000	97.498	-153.2592
31.500000	97.522	-153.3926
32.000000	97.596	-153.7229
32.500000	97.677	-154.3920
33.000000	97.725	-155.2940
33.500000	97.730	-156.1863
34.000000	97.711	-156.8983
34.500000	97.697	-157.4414
35.000000	97.698	-157.9261
35.500000	97.708	-158.4426
36.000000	97.718	-159.0044
36.500000	97.726	-159.5906
37.000000	97.730	-160.1876
37.500000	97.728	-160.7828
38.200001	97.715	-161.5428
38.700001	97.708	-161.9959
39.500000	97.717	-162.6767
40.000000	97.727	-163.1583
40.599998	97.727	-163.7544
41.200001	97.720	-164.2667
41.799999	97.721	-164.7178
42.500000	97.728	-165.2992
43.099998	97.724	-165.8323
43.700001	97.713	-166.3192
44.400002	97.707	-166.8729
45.000000	97.700	-167.3888
45.500000	97.692	-167.8042
46.200001	97.690	-168.3540
46.799999	97.701	-168.9358
47.500000	97.687	-169.7843
48.200001	97.627	-170.4556
48.700001	97.584	-170.6664
49.400002	97.567	-170.7568
50.000000	97.586	-170.9244
50.799999	97.602	-171.3534
