* Measurement data measured by REW V5.30.5
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.600
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: 08/03/2024 10:27:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Moondrop Chu L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 89.452 -166.5860
20.299999 89.433 -167.2335
20.600000 89.417 -167.7872
20.900000 89.416 -168.2959
21.200001 89.430 -168.8361
21.400000 89.442 -169.2429
21.799999 89.457 -170.1713
22.000000 89.454 -170.6637
22.400000 89.424 -171.5904
22.700001 89.389 -172.1604
23.000000 89.358 -172.6090
23.299999 89.340 -172.9821
23.600000 89.336 -173.3507
24.000000 89.341 -173.9241
24.299999 89.340 -174.4134
24.700001 89.319 -175.0528
25.000000 89.296 -175.4535
25.400000 89.274 -175.8623
25.799999 89.278 -176.2371
26.200001 89.303 -176.7539
26.500000 89.319 -177.2899
26.900000 89.308 -178.1378
27.200001 89.268 -178.7565
27.600000 89.182 -179.3667
28.000000 89.094 -179.6296
28.500000 89.040 -179.6524
29.000000 89.059 -179.8443
29.500000 89.073 179.4969
30.000000 89.006 178.7018
30.400000 88.903 178.3849
30.700001 88.834 178.4416
31.100000 88.800 178.7491
31.500000 88.851 178.9084
32.000000 88.965 178.3197
32.500000 89.007 176.8736
33.000000 88.907 175.1981
33.500000 88.703 173.8912
34.000000 88.461 173.1101
34.500000 88.207 172.8303
35.000000 87.962 173.2474
35.500000 87.822 174.4657
36.000000 87.905 175.7640
36.500000 88.167 175.8972
37.000000 88.399 174.4507
37.500000 88.433 172.2578
38.200001 88.189 170.2245
38.700001 88.029 170.1041
39.500000 88.038 170.3446
40.000000 88.092 169.8934
40.599998 88.087 169.1005
41.200001 88.039 168.5417
41.799999 87.997 168.1708
42.500000 87.949 167.7365
43.099998 87.899 167.3542
43.700001 87.843 166.9247
44.400002 87.750 166.4015
45.000000 87.657 166.1345
45.500000 87.602 166.0240
46.200001 87.570 165.6955
46.799999 87.534 165.1714
47.500000 87.461 164.6205
48.200001 87.402 164.2314
48.700001 87.367 163.9348
49.400002 87.300 163.5812
50.000000 87.243 163.4960
50.799999 87.218 163.4067
51.500000 87.190 163.0440
52.200001 87.111 162.6958
53.000000 87.015 162.5576
53.799999 86.939 162.3608
54.500000 86.858 162.0973
55.200001 86.774 161.8692
56.000000 86.692 161.5193
57.000000 86.565 160.9669
58.000000 86.433 160.6493
59.000000 86.333 160.4651
60.000000 86.256 160.2540
60.799999 86.192 160.0198
61.500000 86.124 159.8141
62.200001 86.048 159.6455
63.000000 85.955 159.4529
64.000000 85.821 159.2039
65.000000 85.678 158.9592
66.000000 85.516 158.6250
67.000000 85.318 158.4667
68.000000 85.131 158.6928
69.000000 84.999 159.1019
70.000000 84.901 159.3162
71.000000 84.778 159.4983
72.000000 84.668 159.7444
73.000000 84.506 159.4908
74.000000 84.174 159.8690
75.000000 83.884 161.5782
76.199997 83.638 163.8948
77.500000 83.532 167.6693
78.800003 83.728 170.5503
80.000000 83.974 172.3801
81.199997 84.274 172.9247
82.500000 84.400 172.6727
83.800003 84.452 173.0418
85.000000 84.504 173.4999
86.199997 84.553 174.2428
87.500000 84.690 175.6583
88.500000 84.922 176.7592
90.000000 85.406 177.2650
91.199997 85.794 176.4680
92.500000 86.104 174.4965
93.800003 86.223 172.0030
95.000000 86.192 169.9893
96.199997 86.114 168.4623
97.500000 86.023 167.1396
98.800003 85.930 166.0601
100.000000 85.838 165.2243
101.500000 85.705 164.4581
103.000000 85.575 163.9923
104.400002 85.467 163.6452
106.000000 85.355 163.2524
107.500000 85.255 162.8993
109.000000 85.158 162.6200
110.599998 85.059 162.4303
112.000000 84.975 162.3211
113.800003 84.870 162.2269
115.000000 84.802 162.1635
117.199997 84.682 162.0586
118.000000 84.641 162.0227
120.599998 84.514 161.9354
122.000000 84.449 161.9352
124.099998 84.356 162.0056
125.000000 84.319 162.0500
126.500000 84.258 162.1158
128.000000 84.198 162.1621
131.500000 84.059 162.2584
132.000000 84.040 162.2746
134.000000 83.964 162.3614
136.000000 83.891 162.4795
138.000000 83.820 162.5997
140.000000 83.750 162.7101
143.000000 83.653 162.8886
145.000000 83.588 163.0255
147.500000 83.511 163.2092
150.000000 83.434 163.3777
152.500000 83.360 163.5578
155.000000 83.292 163.7542
157.500000 83.227 163.9541
160.000000 83.160 164.1794
162.500000 83.093 164.4098
165.000000 83.027 164.6357
167.500000 82.965 164.8668
170.000000 82.904 165.1100
172.500000 82.843 165.3625
175.000000 82.785 165.6173
177.500000 82.732 165.8837
180.000000 82.684 166.1707
182.500000 82.639 166.4681
185.000000 82.600 166.7553
187.500000 82.565 167.0035
190.000000 82.531 167.2057
192.500000 82.493 167.3888
195.000000 82.451 167.5728
197.500000 82.405 167.7808
200.000000 82.359 168.0084
203.000000 82.307 168.2822
206.000000 82.262 168.5382
209.000000 82.218 168.8334
212.000000 82.176 169.1413
214.000000 82.147 169.3335
218.000000 82.085 169.6940
220.000000 82.055 169.8773
224.000000 82.001 170.2726
227.000000 81.961 170.5798
230.000000 81.921 170.8619
233.000000 81.884 171.1310
236.000000 81.850 171.4126
240.000000 81.807 171.7963
243.000000 81.775 172.0862
247.000000 81.730 172.4757
250.000000 81.693 172.7811
254.000000 81.649 173.1705
258.000000 81.611 173.5461
262.000000 81.574 173.9215
265.000000 81.545 174.2036
269.000000 81.509 174.5756
272.000000 81.485 174.8465
276.000000 81.453 175.2016
280.000000 81.421 175.5472
285.000000 81.380 175.9968
290.000000 81.341 176.4656
295.000000 81.304 176.9261
300.000000 81.268 177.3544
304.000000 81.240 177.6926
307.000000 81.221 177.9646
311.000000 81.197 178.3290
315.000000 81.173 178.6797
320.000000 81.145 179.1093
325.000000 81.119 179.5238
330.000000 81.093 179.9642
335.000000 81.066 -179.5990
340.000000 81.038 -179.1905
345.000000 81.011 -178.7714
350.000000 80.986 -178.3629
355.000000 80.964 -177.9600
360.000000 80.942 -177.5440
365.000000 80.922 -177.1341
370.000000 80.904 -176.7278
375.000000 80.885 -176.3035
382.000000 80.859 -175.7323
387.000000 80.843 -175.3385
395.000000 80.817 -174.6948
400.000000 80.799 -174.3001
406.000000 80.779 -173.8495
412.000000 80.764 -173.3776
418.000000 80.748 -172.9022
425.000000 80.728 -172.3748
431.000000 80.715 -171.9340
437.000000 80.703 -171.4670
444.000000 80.686 -170.9276
450.000000 80.671 -170.4742
455.000000 80.661 -170.0885
462.000000 80.649 -169.5630
468.000000 80.638 -169.1202
475.000000 80.626 -168.6025
482.000000 80.614 -168.0975
487.000000 80.607 -167.7423
494.000000 80.598 -167.2299
500.000000 80.591 -166.7842
508.000000 80.584 -166.1829
515.000000 80.574 -165.6785
522.000000 80.565 -165.1942
530.000000 80.553 -164.6362
538.000000 80.545 -164.0685
545.000000 80.540 -163.5705
552.000000 80.536 -163.0721
560.000000 80.532 -162.4984
570.000000 80.528 -161.7975
580.000000 80.523 -161.0846
590.000000 80.516 -160.3746
600.000000 80.514 -159.6672
608.000000 80.516 -159.0904
615.000000 80.518 -158.5963
622.000000 80.520 -158.1138
630.000000 80.523 -157.5546
640.000000 80.523 -156.8543
650.000000 80.528 -156.1518
660.000000 80.537 -155.4506
670.000000 80.546 -154.7455
680.000000 80.554 -154.0322
690.000000 80.564 -153.3104
700.000000 80.577 -152.6034
710.000000 80.590 -151.9109
720.000000 80.606 -151.2131
730.000000 80.625 -150.4999
740.000000 80.644 -149.7834
750.000000 80.665 -149.0759
762.000000 80.692 -148.2303
775.000000 80.726 -147.3070
788.000000 80.763 -146.3780
800.000000 80.801 -145.5266
812.000000 80.842 -144.6779
825.000000 80.891 -143.7694
838.000000 80.941 -142.8691
850.000000 80.989 -142.0403
862.000000 81.040 -141.2267
875.000000 81.096 -140.3512
885.000000 81.138 -139.6780
900.000000 81.203 -138.6451
912.000000 81.258 -137.7596
925.000000 81.328 -136.7117
938.000000 81.417 -135.6347
950.000000 81.530 -134.6120
962.000000 81.674 -133.7914
975.000000 81.823 -133.2368
988.000000 81.944 -132.7762
1000.000000 82.042 -132.3149
1015.000000 82.162 -131.7120
1030.000000 82.283 -131.1253
1044.000000 82.398 -130.6050
1060.000000 82.531 -130.0397
1075.000000 82.656 -129.5555
1090.000000 82.780 -129.1074
1106.000000 82.911 -128.6673
1120.000000 83.025 -128.3151
1138.000000 83.168 -127.9140
1150.000000 83.261 -127.6723
1172.000000 83.426 -127.2763
1180.000000 83.486 -127.1449
1206.000000 83.671 -126.7665
1220.000000 83.766 -126.5915
1241.000000 83.905 -126.3497
1250.000000 83.962 -126.2503
1265.000000 84.056 -126.0907
1280.000000 84.146 -125.9469
1315.000000 84.348 -125.6457
1320.000000 84.376 -125.6033
1340.000000 84.484 -125.4301
1360.000000 84.589 -125.2651
1380.000000 84.691 -125.1100
1400.000000 84.790 -124.9527
1430.000000 84.935 -124.7166
1450.000000 85.029 -124.5652
1475.000000 85.146 -124.3687
1500.000000 85.261 -124.1717
1525.000000 85.376 -123.9769
1550.000000 85.489 -123.7859
1575.000000 85.602 -123.6022
1600.000000 85.715 -123.4246
1625.000000 85.828 -123.2559
1650.000000 85.940 -123.0959
1675.000000 86.054 -122.9483
1700.000000 86.168 -122.8127
1725.000000 86.281 -122.6997
1750.000000 86.394 -122.6041
1775.000000 86.508 -122.5163
1800.000000 86.621 -122.4445
1825.000000 86.733 -122.3877
1850.000000 86.843 -122.3446
1875.000000 86.955 -122.3174
1900.000000 87.067 -122.3068
1925.000000 87.179 -122.3080
1950.000000 87.292 -122.3267
1975.000000 87.406 -122.3658
2000.000000 87.521 -122.4339
2030.000000 87.658 -122.5665
2060.000000 87.791 -122.7430
2090.000000 87.920 -122.9522
2120.000000 88.045 -123.1872
2140.000000 88.127 -123.3538
2180.000000 88.286 -123.7003
2200.000000 88.364 -123.8756
2240.000000 88.523 -124.2331
2270.000000 88.646 -124.5242
2300.000000 88.773 -124.8615
2330.000000 88.902 -125.2779
2360.000000 89.026 -125.7812
2400.000000 89.177 -126.5445
2430.000000 89.280 -127.1547
2470.000000 89.406 -127.9991
2500.000000 89.494 -128.6547
2540.000000 89.602 -129.5701
2580.000000 89.698 -130.5299
2620.000000 89.778 -131.5129
2650.000000 89.829 -132.2565
2690.000000 89.885 -133.2479
2720.000000 89.919 -133.9842
2760.000000 89.952 -134.9498
2800.000000 89.974 -135.8839
2850.000000 89.989 -136.9814
2900.000000 89.996 -137.9857
2950.000000 90.007 -138.9321
3000.000000 90.024 -139.9138
3040.000000 90.035 -140.7802
3070.000000 90.034 -141.4701
3110.000000 90.019 -142.4042
3150.000000 89.987 -143.3212
3200.000000 89.930 -144.4008
3250.000000 89.858 -145.3854
3300.000000 89.776 -146.2744
3350.000000 89.687 -147.0773
3400.000000 89.595 -147.7993
3450.000000 89.498 -148.4453
3500.000000 89.400 -149.0206
3550.000000 89.302 -149.5341
3600.000000 89.203 -149.9911
3650.000000 89.104 -150.3888
3700.000000 89.006 -150.7329
3750.000000 88.909 -151.0273
3820.000000 88.778 -151.3645
3870.000000 88.686 -151.5538
3950.000000 88.546 -151.7810
4000.000000 88.464 -151.8775
4060.000000 88.371 -151.9629
4120.000000 88.283 -152.0383
4180.000000 88.199 -152.1064
4250.000000 88.103 -152.1576
4310.000000 88.024 -152.1549
4370.000000 87.951 -152.1121
4440.000000 87.880 -152.0271
4500.000000 87.831 -151.9655
4550.000000 87.797 -151.9458
4620.000000 87.754 -151.9750
4680.000000 87.718 -152.0452
4750.000000 87.676 -152.1564
4820.000000 87.635 -152.2878
4870.000000 87.608 -152.4024
4940.000000 87.569 -152.6133
5000.000000 87.534 -152.8325
5080.000000 87.480 -153.1554
5150.000000 87.425 -153.4448
5220.000000 87.365 -153.7218
5300.000000 87.294 -154.0136
5380.000000 87.220 -154.2878
5450.000000 87.155 -154.5270
5520.000000 87.086 -154.7611
